CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.05,0.0,0.12,3.18,0.13,0.09,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.19,3756.34,1649.8,1032.4,0.12,0.0,0.0,0.19819178666666665,0.446,21.17,6.32,0.39,0.9,1.35,0.6,4,264,35,38366,7278,0,0,0,10.4,7272.4,1.0,1652.0,4.07,2.18,0.09173333333333332,default,ceph
0.06,0.0,0.07,3.51,0.1,0.07,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.65,4043.72,1773.6,1111.8,0.13,0.0,0.0,0.21995520000000002,0.447,22.39,6.89,0.39,0.95,1.3,0.58,5,264,84,38136,7042,0,0,1,15.4,7040.6,1.0,1651.0,4.15,2.22,0.10453333333333333,default,ceph
0.05,0.0,0.08,3.36,0.11,0.07,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.86,4077.73,1785.8,1126.6,0.13,0.0,0.0,0.23042048,0.47,22.33,6.59,0.38,0.95,1.22,0.57,9,264,45,38353,7421,0,0,1,15.8,7410.4,1.0,1653.0,4.22,2.27,0.10453333333333333,default,ceph
0.04,0.0,0.06,3.42,0.11,0.07,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.8,3762.83,1646.6,1025.8,0.12,0.0,0.0,0.1989768533333333,0.442,20.69,6.35,0.39,0.9,1.37,0.6,10,264,61,37923,6862,0,0,1,8.8,6854.4,2.0,1651.0,4.2,2.3,0.10453333333333333,default,ceph
0.05,0.0,0.08,3.48,0.1,0.09,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.12,4069.51,1794.0,1115.4,0.13,0.0,0.0,0.226304,0.46,21.92,6.6,0.38,0.95,1.25,0.58,5,264,46,38806,7623,0,0,0,15.8,7550.8,1.0,1653.0,4.58,2.41,0.10453333333333333,default,ceph
0.05,0.0,0.08,3.38,0.11,0.08,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.03,3853.94,1693.2,1055.4,0.13,0.0,0.0,0.22117717333333334,0.456,22.28,6.74,0.38,0.94,1.27,0.58,5,264,57,37965,6998,0,0,0,15.4,7001.6,1.0,1652.0,4.62,2.45,0.10453333333333333,default,ceph
0.04,0.0,0.06,3.48,0.12,0.07,0.0,0.0,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.1,3933.61,1720.0,1091.8,0.13,0.0,0.0,0.20609024,0.447,20.87,6.28,0.39,0.91,1.34,0.6,3,264,50,38109,7073,0,0,0,9.0,6792.6,1.0,1652.0,4.89,2.55,0.1024,default,ceph
0.06,0.0,0.07,3.16,0.1,0.09,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.12,3828.01,1690.0,1049.6,0.13,0.0,0.0,0.22512981333333335,0.45399999999999996,22.88,6.88,0.39,0.95,1.28,0.58,5,264,78,38100,7196,0,0,0,15.6,7477.2,1.0,1651.0,4.74,2.55,0.1024,default,ceph
0.18,0.0,0.08,3.32,0.12,0.07,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.55,3871.82,1711.0,1069.8,0.13,0.0,0.0,0.2425856,0.368,23.26,6.79,0.36,0.89,1.8,0.66,4,264,56,38335,7545,0,0,1,15.4,7372.2,1.0,1652.0,4.92,2.63,0.1024,default,ceph
0.05,0.0,0.05,3.54,0.09,0.08,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.83,4020.39,1757.8,1119.2,0.13,0.0,0.0,0.20630186666666667,0.435,20.88,6.52,0.41,0.91,1.38,0.6,4,264,56,38057,6974,0,0,0,9.2,7146.6,1.0,1651.0,5.01,2.68,0.1024,default,ceph
