cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.06,0.0,0.1,3.65,0.1,0.08,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.9,1607.0,1041.0,690.0,0.05,0.0,0.0,0.23546538666666664,0.467,24.94,7.12,0.34,0.96,1.21,0.56,4,264,2534,37354,6726,0,0,1,16.6,6719.6,2.0,1651.0,4.03,2.12,0.08746666666666666,default,ceph
0.06,0.0,0.07,3.75,0.12,0.06,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.66,1700.25,1084.6,706.8,0.06,0.0,0.0,0.2090257066666667,0.441,22.88,6.82,0.37,0.92,1.33,0.59,5,264,2578,37171,6883,0,0,2,8.8,6878.2,2.0,1649.0,4.11,2.17,0.09813333333333334,default,ceph
0.3,0.0,0.18,3.73,0.1,0.09,0.0,0.0,0.6699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.24,1705.61,1096.0,722.8,0.06,0.0,0.0,0.5734536533333334,0.591,28.98,7.41,0.58,1.73,0.86,0.51,6,264,2630,37418,7414,0,0,2,51.0,7411.4,2.0,1649.0,4.18,2.22,0.09813333333333334,default,ceph
0.07,0.0,0.08,3.65,0.1,0.07,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.54,1670.44,1079.0,712.6,0.05,0.0,0.0,0.24582144000000003,0.456,24.34,7.19,0.35,0.95,1.24,0.56,6,264,2620,37275,7080,0,0,4,14.8,7077.8,2.0,1650.0,4.25,2.27,0.09813333333333334,default,ceph
0.1,0.0,0.07,3.64,0.11,0.07,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.58,1678.3,1062.4,694.6,0.05,0.0,0.0,0.22495914666666667,0.436,22.84,6.69,0.35,0.91,1.36,0.59,5,264,2434,37136,6827,0,0,1,9.8,6824.2,1.0,1649.0,4.31,2.31,0.09813333333333334,default,ceph
0.07,0.0,0.07,3.77,0.12,0.08,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.45,1655.13,1080.2,717.4,0.05,0.0,0.0,0.2459716266666667,0.456,24.56,7.19,0.35,0.96,1.23,0.56,6,264,2650,37178,6900,0,0,1,15.4,6903.0,1.0,1649.0,4.36,2.36,0.09813333333333334,default,ceph
0.06,0.0,0.08,3.65,0.1,0.06,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.68,1642.58,1075.4,711.0,0.05,0.0,0.0,0.24917333333333336,0.47,24.82,7.12,0.34,0.98,1.18,0.56,5,264,2633,37146,6825,0,0,3,14.8,6822.2,1.0,1649.0,4.41,2.4,0.09813333333333334,default,ceph
0.05,0.0,0.06,3.53,0.1,0.09,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.21,1603.21,1037.8,693.2,0.05,0.0,0.0,0.21075968,0.438,22.59,6.71,0.36,0.92,1.34,0.59,6,264,2502,37129,6843,0,0,2,9.8,6842.8,1.0,1649.0,4.46,2.44,0.09813333333333334,default,ceph
0.07,0.0,0.07,3.61,0.11,0.07,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.18,1660.07,1055.0,692.8,0.05,0.0,0.0,0.24233984,0.458,24.52,7.12,0.34,0.98,1.23,0.56,6,264,2530,37088,6733,0,0,2,15.8,6735.0,1.0,1649.0,4.5,2.49,0.09813333333333334,default,ceph
0.05,0.0,0.07,3.64,0.1,0.07,0.0,0.0,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901.59,1662.64,1070.8,705.4,0.05,0.0,0.0,0.24102911999999999,0.459,24.52,7.1,0.35,0.96,1.22,0.56,5,264,2500,37064,6673,0,0,2,14.4,6651.0,1.0,1649.0,4.54,2.53,0.10026666666666667,default,ceph
0.06,0.0,0.07,3.5,0.1,0.07,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.68,1610.49,1035.4,687.6,0.05,0.0,0.0,0.21948416,0.456,23.16,6.7,0.35,0.94,1.27,0.58,5,264,2547,37184,6972,0,0,1,10.4,6991.0,1.0,1650.0,4.58,2.57,0.10239999999999999,default,ceph
0.05,0.0,0.07,3.71,0.11,0.06,0.0,0.0,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.36,1653.96,1076.6,713.4,0.05,0.0,0.0,0.24262655999999996,0.453,24.1,7.11,0.36,0.96,1.24,0.56,6,264,2650,37098,6728,0,0,1,15.4,6731.2,1.0,1650.0,4.61,2.61,0.10239999999999999,default,ceph
0.07,0.0,0.07,3.66,0.11,0.1,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.25,1646.63,1067.4,712.8,0.05,0.0,0.0,0.2469888,0.468,24.99,7.18,0.34,0.97,1.2,0.56,6,264,2596,37276,7076,0,0,0,14.8,7071.0,1.0,1650.0,4.56,2.63,0.10239999999999999,default,ceph
0.06,0.0,0.06,3.79,0.09,0.05,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.91,1692.39,1095.0,725.4,0.06,0.0,0.0,0.2157704533333333,0.456,23.18,6.82,0.36,0.93,1.26,0.58,6,264,2654,37064,6609,0,0,0,9.8,6605.4,1.0,1650.0,4.6,2.67,0.10239999999999999,default,ceph
0.07,0.0,0.08,3.74,0.12,0.08,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.46,1687.24,1087.6,726.2,0.06,0.0,0.0,0.25263445333333334,0.459,25.17,7.32,0.35,0.97,1.22,0.56,5,264,2621,37277,7041,0,0,0,17.2,7034.6,4.0,1654.0,4.55,2.7,0.10239999999999999,default,ceph
0.06,0.0,0.07,3.71,0.1,0.08,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.68,1692.41,1114.2,742.4,0.06,0.0,0.0,0.24632661333333336,0.465,24.84,7.26,0.36,0.97,1.2,0.56,6,264,2811,37232,6758,0,0,0,14.4,6766.2,1.0,1650.0,4.59,2.73,0.10239999999999999,default,ceph
0.06,0.0,0.08,3.65,0.1,0.08,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.4,1626.67,1059.6,708.0,0.05,0.0,0.0,0.2192520533333333,0.45,23.15,6.77,0.35,0.95,1.3,0.58,5,264,2657,37410,7008,0,0,0,10.2,7007.8,1.0,1650.0,4.54,2.76,0.10239999999999999,default,ceph
0.07,0.0,0.05,3.75,0.11,0.07,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.25,1656.24,1060.6,702.6,0.05,0.0,0.0,0.2423125333333333,0.466,25.2,7.31,0.33,0.97,1.2,0.56,6,264,2499,37155,6536,0,0,0,15.4,6532.8,1.0,1650.0,4.58,2.79,0.10239999999999999,default,ceph
0.07,0.0,0.08,3.56,0.11,0.07,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.93,1648.16,1052.8,701.4,0.05,0.0,0.0,0.24275626666666666,0.465,24.82,7.14,0.34,0.97,1.21,0.56,5,264,2541,37424,7087,0,0,0,14.8,7089.4,1.0,1650.0,4.61,2.83,0.10239999999999999,default,ceph
0.07,0.0,0.06,3.72,0.09,0.08,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885.52,1601.39,1039.6,688.6,0.05,0.0,0.0,0.20666368,0.441,22.93,6.8,0.37,0.92,1.33,0.59,4,264,2463,37029,6368,0,0,0,9.8,6361.0,1.0,1650.0,4.64,2.87,0.10239999999999999,default,ceph
0.06,0.0,0.07,3.66,0.12,0.07,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.57,1666.27,1070.6,714.0,0.05,0.0,0.0,0.24027818666666664,0.459,24.45,7.06,0.34,0.97,1.23,0.56,6,264,2609,37429,7061,0,0,0,15.8,7071.6,1.0,1650.0,4.67,2.9,0.10239999999999999,default,ceph
0.06,0.0,0.07,3.66,0.1,0.08,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.65,1633.34,1048.6,702.0,0.05,0.0,0.0,0.24558250666666664,0.471,25.37,7.32,0.34,0.98,1.19,0.56,4,264,2577,37154,6598,0,0,1,14.4,6589.8,2.0,1650.0,4.7,2.94,0.10239999999999999,default,ceph
0.06,0.0,0.06,3.66,0.11,0.06,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.08,1695.47,1096.0,728.8,0.06,0.0,0.0,0.21710848,0.452,23.15,6.77,0.36,0.95,1.28,0.58,4,264,2605,37220,6908,0,0,0,10.2,6913.8,1.0,1650.0,4.8,2.99,0.10239999999999999,default,ceph
0.07,0.0,0.07,3.72,0.1,0.08,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.39,1666.37,1075.4,709.4,0.05,0.0,0.0,0.23431168,0.452,24.54,7.2,0.35,0.97,1.25,0.57,6,264,2587,37134,6594,0,0,0,15.4,6599.6,1.0,1650.0,4.82,3.02,0.10239999999999999,default,ceph
0.07,0.0,0.07,3.78,0.11,0.08,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.07,1707.98,1089.8,713.6,0.06,0.0,0.0,0.24767146666666667,0.468,24.84,7.11,0.34,0.97,1.2,0.56,5,264,2616,37393,6990,0,0,0,14.8,6983.6,1.0,1652.0,4.91,3.07,0.10239999999999999,default,ceph
0.06,0.0,0.06,3.59,0.1,0.06,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.49,1660.18,1077.6,719.2,0.05,0.0,0.0,0.22222848,0.446,23.15,6.91,0.36,0.95,1.31,0.58,5,264,2598,37289,6683,0,0,0,9.8,6680.6,1.0,1650.0,5.08,3.14,0.10453333333333333,default,ceph
0.2,0.0,0.09,3.6,0.1,0.08,0.0,0.0,0.47000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.47,1588.6,1027.6,683.6,0.05,0.0,0.0,0.28750506666666664,0.42,28.69,7.79,0.31,1.02,1.47,0.62,6,264,5660,37373,7102,0,0,0,16.6,7091.4,1.0,1652.0,5.07,3.17,0.10453333333333333,default,ceph
0.07,0.0,0.06,3.81,0.11,0.07,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.48,1662.02,1073.0,706.0,0.05,0.0,0.0,0.24161621333333333,0.458,25.19,7.36,0.35,0.96,1.24,0.57,6,264,2567,37146,6554,0,0,0,15.2,6562.4,1.0,1650.0,4.99,3.18,0.10453333333333333,default,ceph
0.06,0.0,0.07,3.27,0.1,0.08,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.32,1693.7,1068.8,708.2,0.06,0.0,0.0,0.22015317333333334,0.446,24.02,6.96,0.34,0.92,1.32,0.59,3,264,2424,37372,6980,0,0,0,10.2,6978.6,1.0,1652.0,5.07,3.23,0.10453333333333333,default,ceph
0.06,0.0,0.07,2.92,0.11,0.06,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.61,1654.37,1068.2,717.8,0.05,0.0,0.0,0.24309077333333337,0.449,24.67,7.28,0.35,0.96,1.26,0.56,5,264,2596,37244,6699,0,0,0,15.4,6702.2,1.0,1650.0,5.06,3.26,0.10453333333333333,default,ceph
0.07,0.0,0.08,2.93,0.11,0.07,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.27,1686.24,1090.4,736.6,0.06,0.0,0.0,0.24591018666666664,0.472,24.69,7.03,0.34,0.96,1.18,0.56,5,264,2669,37415,6976,0,0,0,14.4,6970.0,1.0,1650.0,5.14,3.31,0.10239999999999999,default,ceph
0.05,0.0,0.07,3.14,0.1,0.08,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.23,1621.78,1048.6,703.0,0.05,0.0,0.0,0.20996778666666666,0.436,22.7,6.79,0.37,0.92,1.35,0.59,5,264,2557,37114,6490,0,0,1,10.2,6492.6,1.0,1650.0,4.97,3.3,0.10239999999999999,default,ceph
0.06,0.0,0.07,3.85,0.11,0.07,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.72,1744.28,1099.4,729.0,0.06,0.0,0.0,0.2437802666666667,0.469,24.99,7.17,0.34,0.96,1.19,0.56,6,264,2507,37417,7031,0,0,0,15.4,7027.2,1.0,1650.0,5.05,3.35,0.10239999999999999,default,ceph
0.07,0.0,0.08,3.61,0.12,0.08,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.75,1667.51,1060.6,704.6,0.05,0.0,0.0,0.24554837333333335,0.457,24.83,7.28,0.34,0.95,1.23,0.56,5,264,2503,37218,6686,0,0,0,14.8,6698.8,1.0,1650.0,4.97,3.36,0.10026666666666667,default,ceph
0.05,0.0,0.06,3.53,0.1,0.05,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.53,1697.56,1089.8,727.4,0.06,0.0,0.0,0.21675349333333335,0.454,22.78,6.65,0.36,0.93,1.28,0.58,5,264,2607,37456,6991,0,0,0,9.8,6954.6,1.0,1650.0,4.97,3.36,0.10026666666666667,default,ceph
0.06,0.0,0.08,3.7,0.1,0.09,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.04,1638.66,1066.8,712.4,0.05,0.0,0.0,0.23873535999999998,0.452,24.83,7.31,0.36,0.96,1.26,0.57,6,264,2622,37176,6594,0,0,0,15.8,6617.8,1.0,1650.0,4.97,3.38,0.10026666666666667,default,ceph
0.07,0.0,0.07,3.6,0.11,0.07,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.02,1709.08,1113.0,744.4,0.06,0.0,0.0,0.25554261333333333,0.479,25.16,7.18,0.34,0.98,1.15,0.55,5,264,2766,37547,7177,0,0,0,14.4,7147.4,1.0,1650.0,4.97,3.41,0.10026666666666667,default,ceph
0.05,0.0,0.06,3.73,0.11,0.07,0.0,0.0,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.75,1702.21,1102.0,738.8,0.06,0.0,0.0,0.2136064,0.441,22.75,6.84,0.37,0.93,1.33,0.59,5,264,2639,37311,6739,0,0,0,10.2,6768.6,1.0,1650.0,4.89,3.42,0.10026666666666667,default,ceph
0.06,0.0,0.09,3.68,0.09,0.08,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.42,1674.24,1077.6,718.6,0.05,0.0,0.0,0.24924160000000004,0.463,25.06,7.22,0.33,0.96,1.21,0.56,6,264,2519,37357,6934,0,0,0,16.2,6929.2,1.0,1650.0,4.9,3.45,0.10026666666666667,default,ceph
0.06,0.0,0.08,3.49,0.12,0.05,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.17,1620.91,1039.2,693.4,0.05,0.0,0.0,0.24210090666666664,0.466,25.42,7.37,0.34,0.96,1.2,0.56,5,264,2528,37193,6682,0,0,0,15.6,6691.2,1.0,1650.0,4.91,3.47,0.10026666666666667,default,ceph
0.06,0.0,0.06,3.58,0.09,0.08,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.57,1710.19,1094.8,722.8,0.06,0.0,0.0,0.22182570666666665,0.451,23.26,6.86,0.36,0.95,1.29,0.58,6,264,2586,37442,7037,0,0,0,9.8,7034.0,1.0,1650.0,4.92,3.5,0.10026666666666667,default,ceph
0.06,0.0,0.08,3.62,0.12,0.07,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.23,1631.47,1054.0,708.2,0.05,0.0,0.0,0.23945216,0.454,24.97,7.32,0.35,0.95,1.24,0.56,5,264,2535,37181,6640,0,0,0,15.8,6637.4,1.0,1650.0,5.0,3.54,0.10026666666666667,default,ceph
0.07,0.0,0.07,3.54,0.1,0.07,0.0,0.0,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.35,1734.54,1113.8,738.6,0.06,0.0,0.0,0.2503202133333333,0.469,25.02,7.21,0.35,0.98,1.19,0.56,4,264,2686,37535,7109,0,0,0,14.4,7104.4,1.0,1651.0,5.0,3.56,0.10239999999999999,default,ceph
0.05,0.0,0.05,3.66,0.11,0.08,0.0,0.0,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.41,1725.52,1099.6,731.0,0.06,0.0,0.0,0.21276672,0.445,23.34,7.04,0.37,0.95,1.31,0.58,5,264,2610,37264,6690,0,0,0,10.2,6700.8,2.0,1649.0,4.92,3.57,0.10239999999999999,default,ceph
0.05,0.0,0.08,3.6,0.11,0.07,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.04,1648.8,1053.0,707.6,0.05,0.0,0.0,0.25424554666666666,0.461,24.9,7.17,0.33,0.96,1.23,0.56,6,264,2486,37399,7035,0,0,0,15.4,7022.4,1.0,1649.0,5.17,3.65,0.10239999999999999,default,ceph
0.07,0.0,0.07,3.45,0.1,0.09,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.63,1684.95,1060.6,702.0,0.06,0.0,0.0,0.2407287466666667,0.46,24.78,7.26,0.34,0.95,1.23,0.56,4,264,2414,37195,6663,0,0,0,14.8,6671.4,1.0,1650.0,5.48,3.74,0.10239999999999999,default,ceph
0.05,0.0,0.06,3.34,0.1,0.05,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.28,1611.12,1019.8,686.0,0.05,0.0,0.0,0.20598101333333335,0.441,22.48,6.56,0.35,0.92,1.33,0.59,4,264,2411,37245,6807,0,0,0,9.8,6807.4,1.0,1649.0,5.36,3.74,0.10239999999999999,default,ceph
0.06,0.0,0.07,3.53,0.11,0.08,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.88,1628.12,1044.0,697.0,0.05,0.0,0.0,0.24129536000000001,0.46,25.12,7.32,0.34,0.96,1.23,0.56,6,264,2509,37094,6517,0,0,0,15.8,6518.6,1.0,1649.0,5.41,3.78,0.10239999999999999,default,ceph
0.06,0.0,0.08,3.59,0.11,0.07,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.49,1668.36,1079.4,728.4,0.05,0.0,0.0,0.25210197333333334,0.47,24.45,6.99,0.34,0.97,1.19,0.56,5,264,2641,37371,6896,0,0,0,14.4,6884.2,1.0,1650.0,5.46,3.81,0.10239999999999999,default,ceph
0.05,0.0,0.07,3.46,0.1,0.07,0.0,0.0,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.83,1708.08,1077.0,714.0,0.06,0.0,0.0,0.21242538666666663,0.432,22.01,6.78,0.37,0.92,1.37,0.59,5,264,2513,37399,7003,0,0,0,10.2,6994.0,1.0,1649.0,5.42,3.83,0.10239999999999999,default,ceph
