cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.1,0.0,0.1,0.79,0.09,0.08,0.0,0.0,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2717.98,204.25,787.6,386.6,0.09,0.0,0.0,0.3064968533333333,0.501,34.88,9.26,0.42,1.2,1.1,0.55,1,264,7629,35707,4139,0,0,1,16.6,4135.0,2.0,1648.0,1.5,3.27,0.0896,default,ceph
0.1,0.0,0.08,0.79,0.09,0.07,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2914.87,219.03,850.0,414.8,0.1,0.0,0.0,0.31126869333333335,0.503,34.52,9.47,0.44,1.21,1.09,0.55,2,264,8154,35446,4012,0,0,0,15.8,4008.8,1.0,1648.0,1.45,3.23,0.10239999999999999,default,ceph
0.1,0.0,0.07,0.79,0.09,0.06,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2606.66,195.88,758.8,370.8,0.09,0.0,0.0,0.2702336,0.495,33.57,8.94,0.45,1.21,1.15,0.57,1,264,7263,35381,3925,0,0,0,8.8,3913.4,1.0,1648.0,1.42,3.19,0.10239999999999999,default,ceph
0.13,0.0,0.08,0.77,0.1,0.08,0.0,0.0,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2863.84,215.06,826.6,404.8,0.09,0.0,0.0,0.32120149333333337,0.523,36.58,9.44,0.42,1.29,1.05,0.55,1,264,10632,35415,3970,0,0,0,15.8,3975.2,1.0,1648.0,1.47,3.17,0.10453333333333333,default,ceph
0.11,0.0,0.07,0.83,0.08,0.08,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2811.61,211.52,816.6,402.4,0.09,0.0,0.0,0.3087633066666666,0.516,35.22,9.2,0.42,1.16,1.04,0.54,1,264,8610,35214,4145,0,0,0,15.6,4140.4,2.0,1649.0,1.43,3.14,0.10453333333333333,default,ceph
0.19,0.0,0.05,0.8,0.1,0.07,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2643.75,198.97,768.0,380.8,0.09,0.0,0.0,0.27906048,0.426,32.76,8.87,0.44,1.1,1.48,0.63,1,264,7469,35327,3996,0,0,1,9.2,3993.4,1.0,1649.0,1.39,3.1,0.10666666666666667,default,ceph
0.1,0.0,0.08,0.79,0.09,0.07,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2908.96,218.1,839.2,405.8,0.1,0.0,0.0,0.3006395733333333,0.5,34.61,9.29,0.44,1.2,1.1,0.55,3,264,8070,35481,4156,0,0,0,15.4,4160.6,1.0,1649.0,1.36,3.07,0.10666666666666667,default,ceph
0.08,0.0,0.07,0.8,0.08,0.08,0.0,0.0,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2719.79,204.33,788.8,386.0,0.09,0.0,0.0,0.31275008,0.488,34.82,9.57,0.43,1.17,1.15,0.56,1,264,7761,35546,4030,0,0,0,17.4,3994.0,1.0,1649.0,1.36,3.07,0.10666666666666667,default,ceph
0.1,0.0,0.07,0.8,0.09,0.08,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2754.03,207.86,807.8,406.4,0.09,0.0,0.0,0.27859626666666665,0.504,34.13,9.07,0.44,1.2,1.12,0.56,1,264,7846,35417,3987,0,0,1,8.8,3974.4,1.0,1649.0,1.33,3.03,0.10666666666666667,default,ceph
0.12,0.04,0.07,0.79,0.09,0.07,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2720.17,204.96,794.6,395.8,0.09,0.0,0.0,0.3542698666666667,0.534,32.18,8.73,0.53,1.59,0.96,0.51,1,264,7651,35393,4028,0,0,0,16.2,4018.4,1.0,1649.0,1.31,3.0,0.10666666666666667,default,ceph
