CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.09,0.0,0.15,0.76,0.08,0.06,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16214.13,91.33,572.4,263.6,0.53,0.0,0.0,0.2956424533333333,0.53,36.13,8.08,0.22,0.75,1.04,0.55,1,264,33079,34889,3365,0,0,6,14.2,3362.8,5.0,1656.0,1.4,2.42,0.0832,default,ceph
0.08,0.0,0.08,0.79,0.1,0.07,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14008.73,78.66,493.0,218.4,0.46,0.0,0.0,0.28922538666666664,0.5379999999999999,36.61,7.68,0.22,0.71,1.04,0.56,1,264,33648,34380,3524,0,0,1,12.2,3523.6,2.0,1651.0,1.37,2.4,0.09386666666666668,default,ceph
0.15,0.0,0.11,0.76,0.09,0.08,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13196.81,75.17,474.6,222.2,0.43,0.0,0.0,0.41139541333333335,0.643,41.95,7.67,0.26,1.08,0.8,0.51,1,264,44240,34514,3217,0,0,3,15.4,3216.4,3.0,1651.0,1.34,2.38,0.09386666666666668,default,ceph
0.08,0.0,0.09,0.74,0.1,0.07,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15183.66,85.96,544.8,243.8,0.5,0.0,0.0,0.2902971733333333,0.532,35.68,7.72,0.21,0.76,1.03,0.55,2,264,30998,34464,3581,0,0,4,12.0,3576.6,2.0,1653.0,1.31,2.35,0.09386666666666668,default,ceph
0.07,0.0,0.08,0.78,0.09,0.07,0.0,0.0,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14679.73,83.08,519.2,238.0,0.48,0.0,0.0,0.28317696000000003,0.513,35.32,7.9,0.23,0.73,1.11,0.57,1,264,30453,34259,3273,0,0,1,12.6,3273.8,1.0,1651.0,1.29,2.33,0.09386666666666668,default,ceph
0.1,0.0,0.11,0.74,0.1,0.08,0.0,0.0,0.3900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15143.85,84.99,534.6,238.8,0.5,0.0,0.0,0.3156992,0.539,37.83,8.2,0.2,0.78,1.0,0.54,2,264,33226,34418,3580,0,0,1,15.8,3581.2,1.0,1651.0,1.26,2.31,0.09386666666666668,default,ceph
0.09,0.0,0.07,0.75,0.1,0.06,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14331.13,80.67,506.6,228.8,0.47,0.0,0.0,0.29505536,0.532,35.84,7.94,0.21,0.75,1.04,0.55,2,264,29491,34302,3279,0,0,2,11.2,3278.8,1.0,1651.0,1.24,2.29,0.09386666666666668,default,ceph
0.08,0.0,0.08,0.75,0.08,0.08,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15195.57,86.13,537.0,251.0,0.5,0.0,0.0,0.2724044800000001,0.519,35.61,7.83,0.21,0.73,1.08,0.56,2,264,31874,34753,3510,0,0,2,14.8,3509.2,1.0,1651.0,1.22,2.27,0.09386666666666668,default,ceph
0.08,0.0,0.09,0.78,0.11,0.06,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14666.45,81.69,521.2,223.8,0.48,0.0,0.0,0.29589503999999994,0.526,36.52,8.0,0.21,0.76,1.04,0.55,2,264,30219,34603,3303,0,0,2,15.4,3301.4,1.0,1651.0,1.2,2.24,0.09173333333333332,default,ceph
0.06,0.0,0.09,0.74,0.08,0.09,0.0,0.0,0.31999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13350.66,74.61,469.0,206.4,0.44,0.0,0.0,0.3170030933333333,0.537,37.36,8.16,0.2,0.76,1.0,0.54,1,264,31496,34699,3448,0,0,2,11.6,3446.8,1.0,1651.0,1.19,2.22,0.09173333333333332,default,ceph
