cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.12,0.0,0.21,0.03,0.08,0.16,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1781.02,773859.49,14146.0,15660.2,25.36,0.0,0.0,1.2029952,0.583,36.48,17.23,0.48,0.92,0.96,0.56,0,264,48,53224,3380,0,0,0,14.2,3375.4,2.0,1645.0,0.6,4.82,0.096,default,ceph
0.13,0.0,0.2,0.03,0.08,0.15,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1781.44,775178.48,14127.8,15698.6,25.4,0.0,0.0,1.2314077866666668,0.594,36.66,16.67,0.45,0.92,0.93,0.55,0,264,81,53079,3682,0,0,3,15.8,3678.8,1.0,1644.0,0.56,4.74,0.10453333333333333,default,ceph
0.13,0.0,0.2,0.03,0.09,0.16,0.0,0.0,0.5800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1796.36,776481.45,14300.2,15797.2,25.44,0.0,0.0,1.2197614933333332,0.588,36.77,17.03,0.47,0.92,0.95,0.56,1,264,45,53152,3309,0,0,1,11.2,3305.2,1.0,1644.0,0.51,4.66,0.10453333333333333,default,ceph
0.12,0.0,0.21,0.03,0.08,0.15,0.0,0.0,0.5599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1798.41,779122.64,14176.8,15746.6,25.53,0.0,0.0,1.2062788266666666,0.583,37.15,17.48,0.47,0.93,0.96,0.56,1,264,56,53057,3609,0,0,1,13.4,3610.2,1.0,1644.0,0.47,4.58,0.10453333333333333,default,ceph
0.11,0.0,0.21,0.04,0.08,0.15,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797.51,783657.71,14161.8,15825.4,25.68,0.0,0.0,1.2454434133333332,0.586,37.62,17.31,0.46,0.94,0.94,0.55,0,264,50,53011,3528,0,0,1,15.4,3526.4,2.0,1644.0,0.43,4.5,0.10453333333333333,default,ceph
0.13,0.0,0.2,0.03,0.08,0.16,0.0,0.0,0.5700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1798.66,778752.75,14173.2,15774.4,25.52,0.0,0.0,1.2290184533333335,0.594,38.02,17.36,0.46,0.93,0.93,0.55,0,264,56,52962,3327,0,0,1,11.6,3327.2,1.0,1644.0,0.48,4.45,0.10666666666666667,default,ceph
0.13,0.0,0.2,0.04,0.09,0.16,0.0,0.0,0.5800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1818.55,780314.91,14413.0,15866.6,25.57,0.0,0.0,1.2065041066666666,0.575,38.18,18.17,0.48,0.93,0.98,0.57,0,264,53,53280,3524,0,0,4,13.0,3523.8,2.0,1644.0,0.44,4.37,0.10666666666666667,default,ceph
0.11,0.0,0.22,0.04,0.08,0.16,0.0,0.0,0.5700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789.8,778224.46,14170.8,15764.0,25.5,0.0,0.0,1.2406306133333334,0.583,38.87,17.69,0.46,0.94,0.94,0.55,1,264,64,52979,3363,0,0,2,17.4,3364.2,1.0,1644.0,0.4,4.3,0.10666666666666667,default,ceph
0.14,0.0,0.2,0.04,0.08,0.15,0.0,0.0,0.5700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1817.62,782621.12,14256.6,15862.4,25.64,0.0,0.0,1.2299400533333333,0.595,38.36,17.76,0.47,0.95,0.93,0.56,1,264,54,53127,3564,0,0,2,11.2,3563.6,1.0,1644.0,0.37,4.23,0.10666666666666667,default,ceph
0.12,0.0,0.21,0.03,0.08,0.16,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1803.03,774109.58,14140.0,15728.0,25.37,0.0,0.0,1.1926254933333331,0.58,39.01,18.28,0.48,0.95,0.97,0.56,0,264,63,52826,3215,0,0,2,13.4,3211.4,1.0,1644.0,0.34,4.16,0.10666666666666667,default,ceph
0.12,0.0,0.21,0.02,0.08,0.15,0.0,0.0,0.5599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1803.75,776340.65,14055.6,15719.2,25.44,0.0,0.0,1.2301243733333334,0.584,39.59,18.28,0.47,0.95,0.96,0.56,0,264,54,52832,3489,0,0,2,15.4,3489.4,2.0,1644.0,0.31,4.09,0.10666666666666667,default,ceph
0.11,0.0,0.21,0.03,0.09,0.15,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1812.46,778827.33,14168.2,15757.6,25.52,0.0,0.0,1.2277418666666666,0.598,39.8,18.02,0.46,0.95,0.92,0.55,1,264,66,52829,3252,0,0,1,11.6,3253.8,1.0,1644.0,0.29,4.02,0.10666666666666667,default,ceph
0.13,0.0,0.21,0.04,0.07,0.15,0.0,0.0,0.5599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1826.89,779194.34,14335.0,15830.2,25.53,0.0,0.0,1.2092279466666667,0.572,39.72,18.93,0.49,0.95,0.99,0.57,0,264,50,53261,3638,0,0,1,13.0,3635.8,1.0,1644.0,0.27,3.95,0.10666666666666667,default,ceph
0.14,0.0,0.21,0.03,0.09,0.16,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1815.21,773909.47,14163.2,15729.8,25.36,0.0,0.0,1.23465728,0.581,40.26,18.37,0.47,0.96,0.96,0.56,1,264,61,52889,3378,0,0,0,15.8,3378.2,1.0,1644.0,0.24,3.89,0.10666666666666667,default,ceph
0.22,0.0,0.22,0.03,0.08,0.15,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1806.78,771162.96,14105.8,15701.8,25.27,0.0,0.0,1.2285952,0.5,40.02,18.22,0.46,0.93,1.24,0.62,0,264,58,52948,3644,0,0,1,11.2,3637.6,1.0,1644.0,0.3,3.84,0.10666666666666667,default,ceph
0.12,0.0,0.22,0.04,0.09,0.15,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.8,774188.66,13834.8,15628.6,25.37,0.0,0.0,1.2142455466666666,0.576,40.02,18.72,0.48,0.96,0.97,0.56,1,264,69,52492,3362,0,0,0,13.4,3368.8,1.0,1644.0,0.36,3.79,0.10666666666666667,default,ceph
0.13,0.0,0.22,0.03,0.08,0.16,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1822.69,774146.92,14206.8,15759.8,25.37,0.0,0.0,1.2538402133333333,0.569,40.18,18.54,0.47,0.96,1.0,0.57,0,264,57,53121,3707,0,0,1,15.4,3705.2,1.0,1644.0,0.33,3.73,0.10666666666666667,default,ceph
0.14,0.0,0.2,0.04,0.09,0.16,0.0,0.0,0.5900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.75,771665.95,13979.4,15597.2,25.29,0.0,0.0,1.2340906666666667,0.578,40.57,18.61,0.48,0.96,0.97,0.56,0,264,63,52556,3283,0,0,0,11.6,3284.2,2.0,1644.0,0.3,3.67,0.10666666666666667,default,ceph
0.13,0.0,0.21,0.02,0.08,0.15,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1812.05,770076.78,14107.6,15672.8,25.23,0.0,0.0,1.21044992,0.568,40.17,19.07,0.49,0.96,1.01,0.57,1,264,58,52850,3461,0,0,1,13.0,3460.2,1.0,1644.0,0.28,3.6,0.10666666666666667,default,ceph
0.15,0.0,0.22,0.04,0.1,0.16,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1809.79,773711.53,13997.0,15686.6,25.35,0.0,0.0,1.2652885333333335,0.578,40.61,18.58,0.46,0.97,0.97,0.56,0,264,61,52645,3406,0,0,1,17.4,3402.8,1.0,1644.0,0.34,3.56,0.10666666666666667,default,ceph
