cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.08,0.0,0.12,0.7,0.08,0.08,0.0,0.0,0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33460.84,75.42,884.8,293.2,1.1,0.0,0.0,0.32487424,0.508,34.9,8.75,0.2,0.77,1.09,0.56,1,264,40457,35359,3440,0,0,0,16.6,3435.2,2.0,1644.0,1.31,0.77,0.09386666666666667,default,ceph
0.08,0.0,0.09,0.74,0.1,0.07,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37649.77,75.45,995.4,330.8,1.23,0.0,0.0,0.31908522666666667,0.525,34.68,8.45,0.19,0.76,1.1,0.58,1,264,44963,35441,3862,0,0,0,8.8,3859.8,1.0,1644.0,1.29,0.77,0.10666666666666667,default,ceph
0.06,0.0,0.09,0.76,0.09,0.08,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36649.96,65.41,931.4,296.4,1.2,0.0,0.0,0.3244987733333333,0.498,34.71,8.81,0.18,0.74,1.13,0.56,1,264,45179,35242,3539,0,0,3,15.8,3538.0,2.0,1644.0,1.34,0.79,0.10666666666666667,default,ceph
0.08,0.0,0.09,0.68,0.09,0.06,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30480.85,66.08,804.8,268.8,1.0,0.0,0.0,0.3134464,0.517,35.08,8.37,0.18,0.77,1.07,0.55,2,264,36494,35081,3626,0,0,0,17.0,3623.2,1.0,1644.0,1.32,0.8,0.1088,default,ceph
0.06,0.0,0.07,0.65,0.09,0.08,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31964.64,70.73,833.4,283.8,1.05,0.0,0.0,0.28684288,0.49,33.77,8.42,0.2,0.71,1.2,0.59,1,264,38794,34964,3288,0,0,1,9.2,3287.6,1.0,1644.0,1.29,0.8,0.1088,default,ceph
0.09,0.0,0.08,0.76,0.09,0.08,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38515.42,76.24,1002.0,325.0,1.26,0.0,0.0,0.33773568,0.51,35.03,8.65,0.18,0.77,1.1,0.56,2,264,46289,35436,3858,0,0,1,15.4,3859.0,1.0,1644.0,1.35,0.82,0.1088,default,ceph
0.09,0.0,0.1,0.76,0.1,0.07,0.0,0.0,0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31410.74,99.87,929.4,357.2,1.03,0.0,0.0,0.34285568,0.511,34.53,8.74,0.23,0.82,1.08,0.55,2,264,42423,35258,3563,0,0,1,15.8,3557.4,1.0,1644.0,1.32,0.82,0.1088,default,ceph
0.13,0.0,0.09,0.73,0.08,0.07,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21529.55,287.96,1400.2,686.0,0.71,0.0,0.0,0.39380309333333335,0.568,31.38,8.16,0.45,1.15,0.94,0.53,2,264,33562,35913,4173,0,0,2,8.8,4178.0,1.0,1644.0,1.37,0.84,0.1088,default,ceph
0.09,0.0,0.08,0.74,0.1,0.08,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29992.05,103.22,919.0,336.8,0.98,0.0,0.0,0.33624064,0.517,34.42,8.67,0.24,0.82,1.07,0.56,2,264,37590,35072,3382,0,0,2,15.8,3381.6,1.0,1644.0,1.42,0.86,0.1088,default,ceph
0.09,0.0,0.09,0.69,0.08,0.08,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27715.02,97.05,841.0,329.8,0.91,0.0,0.0,0.30680405333333327,0.522,34.56,8.26,0.22,0.82,1.05,0.55,1,264,35246,35105,3560,0,0,2,15.4,3560.6,1.0,1644.0,1.39,0.86,0.1088,default,ceph
