cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
1.03,0.0,0.55,2.3,0.17,0.29,0.0,0.0,2.04,0.0,18218.6,0.0,71.17,0.0,0.0,0.0,4.0,0.0,0.17,0.0,100.24,3.47,14453.95,158132.45,48983.0,25843.0,5.18,0.0,0.0,1.6769979733333333,0.544,24.06,7.47,2.02,2.36,0.77,0.42,5,0,42,88943,65734,0,2,3,14.0,65710.4,3.0,1587.0,3.6,2.32,0.04053333333333333,default,ceph
1.1,0.0,0.53,2.3,0.16,0.27,0.0,0.0,2.06,0.0,18022.4,0.0,70.41,0.0,0.0,0.0,4.0,0.0,0.17,0.0,100.4,3.52,14258.71,156024.08,48429.8,26221.2,5.11,0.0,0.0,1.72642304,0.531,26.54,8.31,2.02,2.41,0.8,0.43,3,0,59,87446,63121,0,2,3,10.4,63114.4,5.0,1588.0,3.79,2.38,0.051199999999999996,default,ceph
1.15,0.0,0.51,2.25,0.2,0.3,0.0,0.0,2.1599999999999997,67.86999999999999,17868.8,0.0,69.82,0.0,0.0,0.0,4.0,0.0,0.17,0.0,100.16,3.39,14177.52,155062.52,48064.8,25799.2,5.08,0.0,0.0,1.7331336533333332,0.516,26.81,8.2,1.99,2.4,0.85,0.44,5,0,46,86471,62061,0,2,2,15.4,62055.6,4.0,1586.0,3.97,2.44,0.05333333333333334,default,ceph
1.1,0.0,0.52,2.19,0.17,0.26,0.0,0.0,2.05,36.473333333333336,17445.0,0.0,68.16,0.0,0.0,0.0,4.0,0.0,0.17,0.0,100.32,3.37,13860.88,151744.13,46979.4,25747.6,4.97,0.0,0.0,1.6108885333333334,0.519,28.97,8.85,1.99,2.38,0.86,0.45,3,0,59,85983,60932,0,2,1,14.2,60927.6,5.0,1587.0,4.05,2.49,0.05333333333333334,default,ceph
1.19,0.0,0.5,2.2,0.19,0.27,0.0,0.0,2.15,52.910000000000004,17378.4,0.0,67.91,0.0,0.0,0.0,4.0,0.0,0.17,0.0,100.48,3.41,13750.29,150663.59,46479.0,25719.0,4.94,0.0,0.0,1.6047650133333333,0.481,29.8,9.22,2.02,2.43,1.0,0.48,2,0,47,84222,58235,0,2,6,10.4,58228.2,5.0,1586.0,4.21,2.54,0.05333333333333334,default,ceph
1.25,0.0,0.51,2.11,0.17,0.26,0.0,0.0,2.19,36.625,17328.4,0.0,67.7,0.0,0.0,0.0,4.0,0.0,0.17,0.0,100.56,3.29,13707.74,150196.81,46371.4,25908.0,4.92,0.0,0.0,1.6049698133333332,0.481,29.25,8.93,1.99,2.41,1.0,0.48,3,0,54,83755,57281,0,2,4,15.4,57274.2,4.0,1586.0,4.35,2.6,0.05333333333333334,default,ceph
1.07,0.0,0.53,2.22,0.16,0.27,0.0,0.0,2.0300000000000002,37.88,17901.6,0.0,69.95,0.0,0.0,0.0,4.0,0.0,0.17,0.0,100.24,3.4,14137.96,154735.57,47897.0,25991.2,5.07,0.0,0.0,1.6084718933333333,0.529,25.53,7.84,2.01,2.39,0.82,0.43,6,0,46,86835,62314,0,2,1,16.2,62312.0,6.0,1587.0,4.48,2.66,0.05333333333333334,default,ceph
1.03,0.0,0.5,2.26,0.2,0.29,0.0,0.0,2.02,71.86,18293.6,0.0,71.47,0.0,0.0,0.0,4.0,0.0,0.17,0.0,100.4,3.46,14389.57,157423.82,48815.8,25870.0,5.16,0.0,0.0,1.5878963199999998,0.541,23.36,7.21,2.04,2.38,0.79,0.43,7,0,59,88730,65467,0,2,1,10.0,65459.6,2.0,1586.0,4.6,2.71,0.05333333333333334,default,ceph
1.02,0.0,0.53,2.22,0.18,0.28,0.0,0.0,2.01,0.0,18203.4,0.0,71.12,0.0,0.0,0.0,4.0,0.0,0.17,0.0,100.16,3.39,14379.44,157326.13,48784.0,25727.6,5.16,0.0,0.0,1.628521813333333,0.547,23.68,7.24,2.02,2.35,0.76,0.42,5,0,54,89132,66359,0,2,4,15.8,66350.8,2.0,1586.0,4.48,2.72,0.05333333333333334,default,ceph
1.14,0.0,0.51,2.19,0.18,0.28,0.0,0.0,2.11,0.0,17422.2,0.0,68.08,0.0,0.0,0.0,4.0,0.0,0.17,0.0,100.32,3.36,13829.25,151377.08,46833.8,25296.6,4.96,0.0,0.0,1.53622528,0.49,27.06,8.17,1.99,2.32,0.97,0.48,5,0,60,87349,63519,0,2,5,14.2,63511.6,6.0,1587.0,4.44,2.74,0.05333333333333334,default,ceph
1.18,0.0,0.53,2.26,0.19,0.29,0.0,0.0,2.19,37.876666666666665,17843.0,0.0,69.71,0.0,0.0,0.0,4.0,0.0,0.17,0.0,100.32,3.43,14114.09,154437.13,47879.2,25827.6,5.06,0.0,0.0,1.511936,0.486,24.31,7.51,2.05,2.35,0.97,0.47,4,0,46,88098,64842,0,2,5,10.4,64839.6,6.0,1586.0,4.4,2.76,0.05333333333333334,default,ceph
