CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.16,0.0,0.54,2.55,0.2,0.23,0.0,0.0,2.13,0.0,5748.2,6944.0,22.46,68.21,0.0,93.42,4.0,10.06,0.49,1.42,100.4,13.36,26434.85,51529.33,26238.6,17399.0,1.69,0.0,0.0,1.5095534933333332,0.546,23.1,6.04,1.36,2.08,0.75,0.41,5,0,69897,91352,67665,0,2,2,15.2,67645.0,4.0,1590.0,5.68,3.73,0.04906666666666667,default,ceph
1.1,0.0,0.44,2.75,0.19,0.22,0.0,0.0,1.95,0.0,5823.4,6857.6,22.75,59.92,0.0,92.2,4.0,8.95,0.52,1.47,100.4,13.52,26898.24,51736.58,26461.8,17462.8,1.7,0.0,0.0,1.4296132266666666,0.514,22.62,6.31,1.43,2.09,0.82,0.42,5,0,61418,90889,66330,0,2,1,9.2,66325.6,2.0,1590.0,5.63,3.75,0.0576,default,ceph
1.15,0.0,0.46,2.74,0.2,0.2,0.0,0.0,2.01,0.0,5887.2,6914.0,23.0,57.93,0.0,91.7,4.0,8.58,0.51,1.53,100.32,13.87,27298.94,52727.25,26660.4,17531.8,1.73,0.0,0.0,1.41918208,0.499,26.52,7.5,1.46,2.11,0.86,0.43,4,0,59374,90226,65494,0,2,4,15.4,65500.0,3.0,1590.0,5.66,3.79,0.0576,default,ceph
1.17,0.0,0.47,2.71,0.2,0.23,0.0,0.0,2.07,46.31,6056.4,7213.2,23.66,62.79,0.0,92.17,4.0,8.91,0.5,1.42,100.24,13.77,28151.7,54103.73,27344.2,17926.0,1.77,0.0,0.0,1.5213704533333334,0.504,27.03,7.54,1.44,2.1,0.85,0.43,7,0,64374,91523,66835,0,2,0,15.8,66834.0,4.0,1590.0,5.69,3.83,0.0576,default,ceph
1.1,0.0,0.46,2.7,0.21,0.21,0.0,0.0,1.98,38.68,5860.8,7054.4,22.9,60.91,0.0,92.14,4.0,8.84,0.52,1.45,100.16,13.72,27101.07,52495.17,26648.6,17732.4,1.72,0.0,0.0,1.4587426133333332,0.512,26.45,7.34,1.43,2.1,0.83,0.43,4,0,62454,91317,66708,0,2,0,8.8,66696.0,3.0,1590.0,5.79,3.88,0.0576,default,ceph
1.15,0.0,0.46,2.77,0.2,0.21,0.0,0.0,2.02,0.0,5919.6,7097.0,23.13,58.96,0.0,91.64,4.0,8.51,0.52,1.57,100.4,14.94,27639.82,53113.7,26765.0,17590.8,1.74,0.0,0.0,1.44232448,0.502,26.8,7.59,1.47,2.11,0.86,0.43,4,0,60394,90223,65285,0,2,5,15.8,65280.4,5.0,1590.0,5.57,3.86,0.0576,default,ceph
1.2,0.0,0.49,2.66,0.21,0.21,0.0,0.0,2.11,34.6,5945.8,7291.4,23.23,71.02,0.0,93.35,4.0,9.97,0.5,1.39,100.48,13.46,27605.77,53054.12,26682.6,17570.4,1.74,0.0,0.0,1.5524317866666668,0.542,27.99,7.13,1.37,2.09,0.78,0.42,5,0,72812,90773,66468,0,2,0,15.4,66461.4,4.0,1590.0,5.52,3.88,0.0576,default,ceph
1.09,0.0,0.47,2.6,0.21,0.21,0.0,0.0,1.98,0.0,5699.6,6771.2,22.27,56.29,0.0,91.65,4.0,8.51,0.52,1.47,100.24,13.16,26428.93,50957.42,26041.0,17434.2,1.67,0.0,0.0,1.4288554666666669,0.503,26.61,7.57,1.45,2.12,0.84,0.42,1,0,57698,90251,65282,0,2,4,9.2,65273.0,6.0,1590.0,5.64,3.93,0.0576,default,ceph
1.12,0.0,0.47,2.75,0.2,0.2,0.0,0.0,1.99,48.10000000000001,5847.0,6942.2,22.84,60.2,0.0,92.17,4.0,8.88,0.51,1.5,100.4,14.04,26796.74,51468.39,26190.0,17332.6,1.69,0.0,0.0,1.4523118933333332,0.49700000000000005,25.93,7.39,1.44,2.12,0.85,0.43,4,0,61749,89990,65367,0,2,4,15.4,65363.0,5.0,1590.0,5.59,3.95,0.0576,default,ceph
1.2,0.0,0.5,2.64,0.22,0.2,0.0,0.0,2.12,32.0,6124.4,7158.4,23.93,62.3,0.0,92.17,4.0,8.91,0.49,1.39,100.32,12.97,28013.9,54292.75,27284.6,17876.4,1.78,0.0,0.0,1.5318971733333335,0.501,26.76,7.52,1.44,2.15,0.86,0.43,6,0,63866,90709,65697,0,2,3,15.8,65688.8,6.0,1590.0,5.46,3.95,0.0576,default,ceph
