CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.68,0.04,0.3,0.5,0.13,0.12,0.0,0.0,1.27,36.27,0.0,4764.0,0.0,136.94,0.0,96.95,0.0,29.43,0.0,6.07,100.0,28.74,66372.93,1515.45,10487.4,5291.6,2.17,0.0,0.0,0.9998267733333334,0.583,29.76,6.32,0.88,1.69,0.88,0.51,0,0,140341,56900,31194,0,2,3,1.2,31180.0,2.0,1581.0,2.13,3.79,0.171875,default,ceph
0.7,0.0,0.25,0.56,0.14,0.11,0.0,0.0,1.2,31.14,0.0,4449.5,0.0,136.63,0.0,97.32,0.0,31.44,0.0,6.6,99.96,29.96,60605.41,1389.93,9597.8,4888.2,1.99,0.0,0.0,0.9410833066666666,0.593,30.75,6.08,0.82,1.61,0.88,0.52,2,0,145035,54740,28651,0,1,1,1.2,28652.6,4.0,1581.0,2.04,3.74,0.1875,default,ceph
0.66,0.0,0.25,0.54,0.15,0.12,0.0,0.0,1.1800000000000002,0.0,0.0,4722.85,0.0,135.45,0.0,96.94,0.0,29.37,0.0,6.32,100.04,30.31,65552.58,1496.83,10396.4,5263.8,2.15,0.0,0.0,0.9389533866666668,0.563,29.01,6.43,0.89,1.6,0.93,0.52,0,0,138918,56945,31791,0,1,1,1.2,31750.2,2.0,1581.0,1.95,3.7,0.1875,default,ceph
0.72,0.0,0.28,0.5,0.13,0.1,0.0,0.0,1.23,0.0,0.4,4739.0,0.0,144.8,0.0,97.3,4.0,31.29,18.0,6.05,100.0,28.97,64850.21,1482.57,10225.0,5192.8,2.13,0.0,0.0,0.9791146666666668,0.61,30.75,6.13,0.83,1.65,0.83,0.51,1,0,148498,56958,32069,0,2,0,1.2,32033.2,2.0,1581.0,1.88,3.65,0.1875,default,ceph
0.54,0.0,0.25,0.55,0.12,0.11,0.0,0.0,1.02,31.14,0.0,4853.0,0.0,138.99,0.0,96.93,0.0,29.33,0.0,6.48,100.0,31.61,67312.48,1561.42,10811.0,5731.2,2.21,0.0,0.0,0.94859264,0.635,30.09,6.66,0.89,1.6,0.76,0.48,1,0,142262,59485,35823,0,1,0,1.2,35828.2,1.0,1581.0,1.97,3.64,0.1875,default,ceph
0.55,0.0,0.26,0.54,0.15,0.13,0.0,0.0,1.09,0.0,0.0,4752.29,0.0,137.78,0.0,97.01,0.0,29.69,0.0,6.24,99.88,29.92,65882.94,1531.67,10646.6,5693.8,2.16,0.0,0.0,0.9548117333333334,0.6409999999999999,30.34,6.58,0.87,1.6,0.76,0.49,8,0,141218,57999,33005,0,2,0,1.2,33005.6,1.0,1581.0,1.89,3.6,0.1875,default,ceph
0.57,0.0,0.29,0.53,0.14,0.11,0.0,0.0,1.11,0.0,0.0,4982.9,0.0,150.05,0.0,97.23,0.0,30.84,0.0,5.88,100.12,29.3,68094.08,1583.6,11020.4,5877.0,2.23,0.0,0.0,1.0413192533333333,0.679,31.76,6.37,0.84,1.64,0.7,0.47,1,0,153843,59737,35694,0,2,1,1.2,35640.6,3.0,1581.0,1.9,3.57,0.1875,default,ceph
0.55,0.0,0.26,0.53,0.12,0.12,0.0,0.0,1.05,32.47000000000001,0.0,4904.37,0.0,142.48,0.0,97.01,0.0,29.75,0.0,6.13,99.8,29.77,68141.11,1585.21,10902.8,5899.2,2.23,0.0,0.0,0.9643349333333332,0.655,29.85,6.58,0.89,1.59,0.72,0.47,1,0,146680,59939,36293,0,2,2,1.2,36277.4,1.0,1581.0,2.15,3.59,0.1875,default,ceph
0.59,0.0,0.27,0.52,0.15,0.12,0.0,0.0,1.13,30.2,0.0,4936.62,0.0,143.05,0.0,97.0,0.0,29.67,0.0,6.31,100.12,31.19,68314.37,1595.05,11044.6,5928.6,2.24,0.0,0.0,1.0249011200000002,0.675,30.65,6.21,0.86,1.68,0.72,0.48,1,0,146050,58946,34450,0,2,4,1.2,34396.6,3.0,1581.0,2.06,3.55,0.1875,default,ceph
0.54,0.0,0.27,0.53,0.15,0.1,0.0,0.0,1.06,0.0,0.2,4787.0,0.0,144.68,0.0,97.24,4.0,30.95,1.0,6.55,100.0,30.99,65725.51,1521.18,10642.0,5624.2,2.15,0.0,0.0,0.97370112,0.635,30.29,6.59,0.86,1.55,0.76,0.48,1,0,148234,58711,34698,0,2,1,1.2,34659.8,4.0,1581.0,2.05,3.52,0.1875,default,ceph
0.5,0.0,0.24,0.57,0.14,0.13,0.0,0.0,1.01,0.0,0.0,4805.0,0.0,139.03,0.0,97.0,0.0,29.63,0.0,6.4,100.0,31.21,66493.29,1546.87,10711.4,5745.6,2.18,0.0,0.0,0.9732642133333332,0.649,29.68,6.49,0.87,1.59,0.74,0.48,0,0,142483,58918,34871,0,1,2,1.2,34868.0,6.0,1581.0,1.97,3.48,0.1875,default,ceph
0.54,0.0,0.28,0.53,0.14,0.11,0.0,0.0,1.07,0.0,0.0,4713.94,0.0,142.1,0.0,97.23,0.0,30.87,0.0,6.51,100.0,31.25,64506.26,1498.75,10431.4,5543.6,2.11,0.0,0.0,0.9902148266666668,0.6859999999999999,29.55,5.91,0.85,1.64,0.68,0.47,1,0,145860,58508,34462,0,2,1,1.2,34531.4,4.0,1581.0,2.29,3.52,0.1875,default,ceph
0.47,0.0,0.25,0.55,0.15,0.12,0.0,0.0,0.99,0.0,0.0,4681.73,0.0,136.19,0.0,97.02,0.0,29.79,0.0,6.6,100.0,31.14,64912.93,1517.02,10504.6,5717.4,2.13,0.0,0.0,0.9359223466666668,0.654,28.39,6.19,0.86,1.58,0.73,0.48,1,0,138946,58495,34268,0,1,1,1.6,34286.0,1.0,1582.0,2.19,3.48,0.1875,default,ceph
0.51,0.0,0.24,0.55,0.12,0.11,0.0,0.0,0.98,30.2,0.0,4730.0,0.0,135.1,0.0,96.92,0.0,29.25,0.0,6.6,100.0,31.19,65318.82,1522.26,10562.2,5685.4,2.14,0.0,0.0,0.9359018666666666,0.6509999999999999,27.51,6.06,0.88,1.58,0.73,0.48,0,0,138673,58600,34367,0,0,2,1.2,34270.4,1.0,1582.0,2.25,3.47,0.1875,default,ceph
0.56,0.0,0.25,0.53,0.15,0.12,0.0,0.0,1.08,30.46,0.0,4775.6,0.0,145.61,0.0,97.29,0.0,31.22,0.0,5.97,100.0,28.8,65429.51,1524.52,10603.6,5688.8,2.14,0.0,0.0,1.0183953066666669,0.6920000000000001,29.1,5.8,0.84,1.64,0.68,0.47,1,0,149138,58083,33393,0,2,1,1.2,33449.2,3.0,1582.0,2.31,3.46,0.1875,default,ceph
