cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.09,0.0,0.31,0.04,0.1,0.18,0.0,0.0,0.6799999999999999,31.479999999999997,25.54,0.0,1.58,0.0,1.53,0.0,63.5,0.0,1.62,0.0,92.28,0.95,814.71,875200.96,8305.0,13882.8,28.68,0.0,0.0,1.3065079466666665,0.584,48.03,17.34,0.44,0.8,1.03,0.6,0,0,34,48231,5008,0,1,0,1.0,4994.8,1.0,1830.0,0.93,0.6,0.2421875,default,ceph
0.07,0.0,0.25,0.1,0.12,0.18,0.0,0.0,0.62,31.87,36.57,0.0,2.22,0.0,0.0,0.0,62.23,0.0,1.65,0.0,95.43,1.06,835.66,881670.84,8536.8,13984.8,28.89,0.0,0.0,1.28714752,0.584,48.41,17.31,0.44,0.8,1.04,0.6,0,0,75,48057,5203,0,1,2,1.2,5206.6,4.0,1829.0,0.85,0.59,0.26171875,default,ceph
0.08,0.0,0.27,0.02,0.1,0.18,0.0,0.0,0.6300000000000001,33.00000000000001,13.6,0.0,0.8,0.0,0.0,0.0,60.24,0.0,1.66,0.0,80.32,0.83,823.69,873797.75,8320.8,13851.4,28.63,0.0,0.0,1.2981589333333332,0.568,48.12,17.67,0.4,0.75,1.06,0.6,1,0,45,47923,4993,0,1,2,2.0,4987.4,3.0,1829.0,0.78,0.58,0.26171875,default,ceph
0.08,0.0,0.26,0.02,0.1,0.18,0.0,0.0,0.6200000000000001,31.07,32.6,0.0,2.0,0.0,0.61,0.0,62.82,0.0,1.6,0.0,97.68,1.04,810.84,867430.25,8244.8,13753.0,28.42,0.0,0.0,1.2878165333333333,0.585,48.53,17.24,0.43,0.8,1.03,0.6,1,0,62,47949,5167,0,1,2,2.8,5166.0,3.0,1829.0,0.72,0.57,0.26171875,default,ceph
0.09,0.0,0.36,0.03,0.22,0.17,0.0,0.0,0.84,33.0,19.2,0.0,1.2,0.0,2.04,0.0,64.0,0.0,1.6,0.0,69.2,0.71,821.18,874074.76,8316.0,13856.4,28.64,0.0,0.0,1.4824106666666665,0.619,47.83,16.44,0.38,0.82,0.85,0.53,0,0,50,48760,5488,0,1,1,7.0,5485.4,2.0,1834.0,0.66,0.56,0.2578125,default,ceph
0.15,0.0,0.35,0.06,0.3,0.15,0.0,0.0,0.9500000000000001,31.799999999999997,29.2,0.0,1.8,0.0,2.01,0.0,63.12,0.0,1.5,0.0,58.08,0.63,819.87,873744.2,8325.8,13838.4,28.63,0.0,0.0,1.5748437333333334,0.848,46.36,11.34,0.26,0.62,0.56,0.48,5,0,74,49651,5895,0,1,1,7.0,5894.2,2.0,1835.0,0.61,0.55,0.28125,default,ceph
0.13,0.0,0.37,0.02,0.29,0.17,0.0,0.0,0.9600000000000001,32.6,29.8,0.0,1.8,0.0,0.0,0.0,61.85,0.0,1.63,0.0,76.0,0.79,817.05,887559.41,8215.0,14093.8,29.08,0.0,0.0,1.37842688,0.82,47.08,11.56,0.24,0.62,0.58,0.47,0,0,54,49616,5575,0,1,3,6.4,5560.0,2.0,1835.0,0.64,0.56,0.28515625,default,ceph
0.17,0.0,0.35,0.03,0.29,0.15,0.0,0.0,0.9600000000000001,32.53,36.6,0.0,2.2,0.0,0.54,0.0,61.55,0.0,1.66,0.0,86.0,0.92,816.09,858099.55,8279.8,13616.8,28.12,0.0,0.0,1.3401088,0.821,48.24,11.79,0.26,0.61,0.56,0.46,0,0,85,49352,5739,0,1,1,9.2,5744.0,3.0,1834.0,0.75,0.58,0.28515625,default,ceph
0.15,0.0,0.35,0.02,0.28,0.15,0.0,0.0,0.93,32.2,20.0,0.0,1.2,0.0,0.0,0.0,61.44,0.0,1.66,0.0,94.4,0.99,822.89,873286.1,8273.2,13849.0,28.62,0.0,0.0,1.3557486933333331,0.84,47.05,10.84,0.25,0.58,0.57,0.48,0,0,58,49547,5451,0,1,1,6.4,5445.6,4.0,1855.0,0.85,0.6,0.28515625,default,ceph
0.16,0.0,0.27,0.06,0.29,0.17,0.0,0.0,0.89,31.4,16.6,0.0,1.0,0.0,0.0,0.0,61.69,0.0,1.61,0.0,72.8,0.75,819.03,856738.76,8247.0,13590.2,28.07,0.0,0.0,1.3260526933333332,0.825,51.69,11.04,0.28,0.63,0.54,0.44,0,0,72,48841,6259,0,1,3,27.2,6173.0,3.0,1923.0,0.78,0.59,0.28515625,default,ceph
0.35,0.0,1.02,0.06,0.1,0.17,0.0,0.0,1.6400000000000001,34.2,13.4,0.0,0.8,0.0,1.47,0.0,61.13,0.0,1.64,0.0,87.12,0.88,827.4,873458.28,8329.2,13856.4,28.62,0.0,0.0,0.0,0.49,52.42,18.09,0.43,1.33,0.78,0.38,0,0,220,49903,8709,0,1,3,90.6,8790.6,5.0,1834.0,0.96,0.63,0.265625,default,ceph
0.18,0.0,0.31,0.04,0.14,0.19,0.0,0.0,0.8200000000000001,32.0,29.2,0.0,1.8,0.0,1.35,0.0,63.12,0.0,1.61,0.0,98.88,1.0,815.44,865260.86,8287.4,13735.2,28.35,0.0,0.0,0.0,0.655,48.12,13.24,0.34,1.14,0.82,0.54,0,0,134,52238,5680,0,1,1,3.8,5647.0,2.0,1830.0,0.96,0.64,0.265625,default,ceph
0.07,0.0,0.27,0.02,0.1,0.18,0.0,0.0,0.6200000000000001,32.60000000000001,16.8,0.0,1.0,0.0,1.18,0.0,60.95,0.0,1.62,0.0,83.12,0.88,833.4,874333.74,8502.2,13868.0,28.65,0.0,0.0,0.0,0.582,49.12,17.56,0.44,0.8,1.04,0.61,0,0,57,47939,5119,0,1,0,1.2,5129.8,1.0,1830.0,0.89,0.63,0.265625,default,ceph
0.1,0.0,0.28,0.05,0.11,0.17,0.0,0.0,0.66,31.4,23.0,0.0,1.4,0.0,0.0,0.0,62.33,0.0,1.65,0.0,95.6,0.99,833.85,869703.34,8477.6,13789.0,28.5,0.0,0.0,0.0,0.615,48.43,15.13,0.6,1.18,0.89,0.55,0,0,66,48034,5127,0,1,1,15.0,5127.0,3.0,1849.0,0.81,0.62,0.265625,default,ceph
0.23,0.0,0.37,0.03,0.13,0.19,0.0,0.0,0.9199999999999999,32.800000000000004,43.2,0.0,2.6,0.0,0.0,0.0,61.63,0.0,1.56,0.0,91.92,0.94,825.14,868319.49,8317.8,13766.2,28.45,0.0,0.0,0.0,0.668,47.62,13.56,0.52,1.17,0.78,0.52,0,0,62,48598,6350,0,1,0,30.6,6358.2,3.0,1847.0,0.75,0.61,0.265625,default,ceph
0.09,0.0,0.28,0.03,0.1,0.17,0.0,0.0,0.64,32.8,37.6,0.0,2.2,0.0,0.0,0.0,59.87,0.0,1.63,0.0,94.48,1.0,829.15,880066.46,8360.0,13958.8,28.84,0.0,0.0,0.0,0.594,49.68,16.76,0.41,0.83,0.97,0.58,0,0,86,47995,5095,0,1,0,10.6,5107.6,3.0,1852.0,0.69,0.6,0.265625,default,ceph
0.11,0.0,0.38,0.04,0.21,0.17,0.0,0.0,0.87,33.13,13.4,0.0,0.8,0.0,1.47,0.0,61.13,0.0,1.66,0.0,33.52,0.36,821.53,867540.68,8243.8,13751.0,28.43,0.0,0.0,1.4087577599999999,0.624,48.91,15.96,0.34,0.84,0.82,0.51,0,0,51,48833,5902,0,1,2,19.4,5894.8,1.0,1852.0,0.95,0.65,0.265625,default,ceph
