CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.09,0.0,0.24,0.02,0.09,0.15,0.0,0.0,0.57,0.0,13.6,0.0,0.8,0.0,0.0,0.0,60.24,0.0,1.44,0.0,78.48,0.79,705.34,808682.73,6996.4,12871.0,26.5,0.0,0.0,1.1130333866666666,0.578,44.3,15.49,0.42,0.79,0.99,0.57,0,0,61,45381,2747,0,1,1,0.2,2730.4,2.0,1709.0,0.94,0.78,0.1796875,default,ceph
0.05,0.0,0.22,0.05,0.1,0.16,0.0,0.0,0.53,0.0,20.6,0.0,1.2,0.0,0.0,0.0,59.61,0.0,1.45,0.0,76.08,1.06,695.52,803008.79,6913.4,12774.2,26.31,0.0,0.0,1.1084731733333333,0.616,44.38,15.61,0.43,0.78,0.99,0.61,0,0,62,45097,2924,0,0,1,1.2,2925.8,2.0,1709.0,1.1,0.82,0.19921875,default,ceph
0.06,0.0,0.22,0.03,0.08,0.16,0.0,0.0,0.52,0.0,29.8,0.0,1.8,0.0,2.61,0.0,61.85,0.0,1.18,0.0,97.68,1.13,707.57,818324.27,6993.6,13024.8,26.81,0.0,0.0,1.1147400533333334,0.621,44.46,15.39,0.45,0.81,0.98,0.61,0,0,46,45183,2763,0,0,0,1.2,2761.6,2.0,1709.0,1.18,0.84,0.19921875,default,ceph
0.09,0.0,0.21,0.03,0.11,0.17,0.0,0.0,0.58,0.0,26.2,0.0,1.6,0.0,0.76,0.0,62.53,0.0,1.37,0.0,89.84,0.91,693.63,800983.58,6931.6,12750.6,26.25,0.0,0.0,1.11812608,0.611,44.9,15.4,0.43,0.8,1.0,0.61,0,0,58,45231,3170,0,0,1,1.2,3169.6,3.0,1709.0,1.08,0.82,0.19921875,default,ceph
0.05,0.0,0.22,0.03,0.08,0.16,0.0,0.0,0.51,0.0,12.0,0.0,0.71,0.0,3.23,0.0,60.8,0.0,1.32,0.0,97.52,0.99,720.82,810963.75,7251.6,12860.6,26.57,0.0,0.0,1.1084936533333332,0.613,44.78,15.61,0.45,0.81,0.99,0.61,0,0,55,45356,2684,0,0,1,1.2,2683.8,3.0,1707.0,1.07,0.83,0.19921875,default,ceph
0.07,0.0,0.21,0.03,0.1,0.16,0.0,0.0,0.54,0.0,26.4,0.0,1.6,0.0,0.75,0.0,62.06,0.0,1.53,0.0,105.12,1.29,695.35,813031.84,6924.0,12938.2,26.64,0.0,0.0,1.1042952533333334,0.619,44.77,15.87,0.4,0.75,0.99,0.61,0,0,58,45244,2963,0,0,0,1.2,2963.4,2.0,1707.0,0.99,0.81,0.19921875,default,ceph
0.08,0.0,0.22,0.04,0.08,0.17,0.0,0.0,0.55,0.0,29.6,0.0,1.8,0.0,1.33,0.0,62.27,0.0,1.6,0.0,101.36,1.23,709.68,805242.95,6979.8,12814.0,26.39,0.0,0.0,1.1140232533333334,0.626,45.37,15.72,0.45,0.82,0.97,0.61,3,0,47,45051,2684,0,0,3,1.2,2682.6,4.0,1707.0,0.99,0.82,0.19921875,default,ceph
0.07,0.0,0.36,0.03,0.12,0.15,0.0,0.0,0.7000000000000001,0.0,32.8,0.0,2.0,0.0,1.8,0.0,62.44,0.0,1.71,0.0,83.84,0.9,724.56,808183.43,7242.0,12827.4,26.48,0.0,0.0,1.3411601066666667,0.606,44.74,14.96,0.32,0.85,0.92,0.56,0,0,59,46254,3263,0,1,2,6.6,3260.4,2.0,1733.0,1.07,0.84,0.19921875,default,ceph
0.12,0.0,0.21,0.04,0.32,0.11,0.0,0.0,0.7599999999999999,0.0,16.0,0.0,1.0,0.0,1.23,0.0,64.0,0.0,1.56,0.0,90.4,0.93,698.7,797612.35,6982.6,12679.8,26.14,0.0,0.0,1.3117303466666668,0.856,45.47,10.5,0.23,0.57,0.58,0.49,0,0,66,46206,3326,0,1,4,1.2,3323.8,4.0,1709.0,1.06,0.84,0.21875000000000006,default,ceph
0.08,0.0,0.38,0.02,0.33,0.13,0.0,0.0,0.92,0.0,18.2,0.0,1.1,0.0,0.0,0.0,61.89,0.0,1.49,0.0,77.12,0.78,714.29,811696.61,7125.6,12893.6,26.6,0.0,0.0,1.4248891733333335,0.655,43.71,13.04,0.3,0.89,0.81,0.53,0,0,68,46414,3773,0,1,1,6.4,3775.0,2.0,1712.0,1.06,0.84,0.19921875,default,ceph
