cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.23,0.0,0.29,0.7,0.14,0.13,0.0,0.0,0.79,0.0,0.0,3172.4,0.0,186.28,0.0,95.56,0.0,60.13,0.0,11.83,100.0,37.6,160401.36,613.37,15159.4,6670.6,5.26,0.0,0.0,0.9194359466666666,0.543,31.15,8.25,0.33,0.81,0.94,0.51,1,0,190617,59314,28754,0,1,3,15.4,28738.4,2.0,1555.0,1.81,0.93,0.03626666666666667,default,ceph
0.16,0.0,0.21,0.5,0.13,0.12,0.0,0.0,0.62,0.0,0.2,2425.2,0.0,143.28,0.0,95.8,4.0,60.5,10.0,10.02,100.0,24.59,122501.61,490.97,11896.2,5306.4,4.01,0.0,0.0,0.7213806933333334,0.541,30.76,7.58,0.31,0.79,0.95,0.51,2,0,147080,53291,22251,0,0,2,15.8,22256.2,3.0,1556.0,1.66,0.91,0.04906666666666667,default,ceph
0.26,0.0,0.29,0.64,0.12,0.16,0.0,0.0,0.8300000000000001,0.0,0.2,3730.6,0.0,224.42,0.0,96.4,4.0,61.6,3.0,8.31,100.16,31.27,184149.41,706.47,17317.4,7660.2,6.03,0.0,0.0,1.04001536,0.608,31.04,7.46,0.36,0.98,0.83,0.5,1,0,229662,62531,31246,0,1,1,9.0,31241.4,5.0,1556.0,1.61,0.91,0.04906666666666667,default,ceph
0.24,0.0,0.31,0.65,0.15,0.15,0.0,0.0,0.8500000000000001,0.0,0.0,3826.4,0.0,224.79,0.0,95.63,0.0,60.16,0.0,8.4,100.56,32.31,193377.39,748.31,18287.8,8121.0,6.34,0.0,0.0,1.05609216,0.564,30.04,8.03,0.35,0.83,0.89,0.5,2,0,230002,63921,32593,0,1,0,15.8,32586.2,2.0,1556.0,1.56,0.92,0.04906666666666667,default,ceph
0.24,0.0,0.32,0.66,0.14,0.16,0.0,0.0,0.8600000000000001,0.0,0.0,3912.2,0.0,230.39,0.0,95.66,0.0,60.3,0.0,8.28,100.16,32.62,198951.34,761.88,18746.0,8306.2,6.52,0.0,0.0,1.0996326399999998,0.558,30.01,8.07,0.35,0.83,0.9,0.5,2,0,236364,64404,33097,0,1,4,15.4,33096.2,4.0,1557.0,1.6,0.93,0.04906666666666667,default,ceph
0.22,0.0,0.31,0.69,0.15,0.13,0.0,0.0,0.81,0.0,0.0,3810.6,0.0,224.36,0.0,95.63,0.0,60.29,0.0,8.62,100.24,33.29,193105.62,747.7,18433.8,8250.2,6.33,0.0,0.0,1.0506581333333331,0.558,29.39,8.02,0.34,0.81,0.92,0.51,6,0,229791,64145,32864,0,1,1,9.2,32858.8,2.0,1556.0,1.63,0.95,0.04906666666666667,default,ceph
0.24,0.0,0.32,0.68,0.13,0.15,0.0,0.0,0.8400000000000001,0.0,0.0,3801.4,0.0,224.39,0.0,95.59,0.0,60.45,0.0,9.2,100.24,35.21,191806.52,737.46,18113.6,8097.6,6.29,0.0,0.0,1.0598468266666665,0.559,29.96,8.08,0.35,0.83,0.9,0.5,8,0,230585,62974,30800,0,1,1,15.4,30636.4,2.0,1556.0,1.66,0.97,0.04906666666666667,default,ceph
0.28,0.0,0.34,0.71,0.15,0.16,0.0,0.0,0.9300000000000002,0.0,0.2,3819.6,0.0,230.57,0.0,96.28,4.0,61.81,6.0,9.05,100.0,34.71,192357.76,727.11,18110.2,8023.2,6.3,0.0,0.0,1.1095517866666669,0.606,31.85,7.65,0.35,0.97,0.81,0.49,0,0,237370,63222,31453,0,1,1,15.8,31307.4,3.0,1557.0,1.69,0.99,0.04906666666666667,default,ceph
0.24,0.0,0.32,0.66,0.14,0.14,0.0,0.0,0.8400000000000001,0.0,0.0,3911.8,0.0,231.5,0.0,95.5,0.0,60.6,0.0,8.87,100.16,34.78,200506.09,769.07,19223.4,8551.8,6.57,0.0,0.0,1.0936456533333332,0.552,29.25,8.18,0.35,0.81,0.92,0.51,0,0,237596,65010,33619,0,1,4,8.8,33621.6,2.0,1556.0,1.63,0.99,0.04906666666666667,default,ceph
0.24,0.0,0.31,0.67,0.13,0.15,0.0,0.0,0.8300000000000001,0.0,0.0,3704.0,0.0,219.71,0.0,95.49,0.0,60.74,0.0,10.4,100.08,38.62,190852.09,722.26,17833.6,7982.2,6.25,0.0,0.0,1.0507195733333332,0.551,29.65,7.98,0.33,0.81,0.91,0.5,1,0,224385,62408,30722,0,1,0,15.8,30752.4,3.0,1556.0,1.58,0.99,0.04906666666666667,default,ceph
