CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.08,0.0,0.38,0.0,8.01,0.08,0.0,0.0,8.55,0.0,0.0,9.2,0.0,0.59,0.0,4.17,0.0,66.0,0.0,2.54,0.0,0.0,6.12,0.17,30.4,1.8,0.0,0.0,0.4,0.0,0.1615795222452329,6.740788524417707,27.917241435236072,-33696900.0,-72250100.0,1.0,0.1615795222452329,0.0,0.0,607.0,2137.0,265.0,0.0,8.0,0.0,0.4,242.2,0.0,221.0,0.08,0.1,2.0469737016526324e-14,default,default
0.05,0.0,0.65,0.0,8.09,0.08,0.0,0.0,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.76,31.8,4.6,0.0,0.0,0.6,0.0,0.13999108849164024,5.9018389717392115,24.698571588400327,-37235300.0,-86530400.0,1.0,0.13999108849164024,0.0,0.0,0.0,2141.0,312.0,0.0,9.0,0.0,5.2,302.0,0.0,221.0,0.07,0.1,2.0122792321330962e-14,default,default
0.03,0.0,0.38,0.0,7.96,0.05,0.0,0.0,8.42,0.0,0.0,13.8,0.0,0.9,0.0,0.0,0.0,66.72,0.0,3.28,0.08,0.05,4.83,0.08,23.2,0.8,0.0,0.0,0.6,0.0,0.14829226629940453,6.2541010921326174,33.760093588219306,-34630300.0,-87400000.0,1.0,0.14829226629940453,0.0,0.0,921.0,2136.0,277.0,0.0,8.0,0.0,2.4,271.4,0.0,221.0,0.07,0.09,2.0122792321330962e-14,default,default
0.05,0.0,0.4,0.0,7.91,0.03,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19,0.0,24.6,0.0,0.0,0.0,0.6,0.0,0.17369786039067356,6.460085759034538,28.4027650599661,-32989900.0,-68419900.0,1.0,0.17369786039067356,0.0,0.0,0.0,2102.0,230.0,0.0,8.0,0.0,0.4,217.4,0.0,218.0,0.13,0.11,1.97758476261356e-14,default,default
0.05,0.0,0.2,0.03,8.06,0.08,0.0,0.0,8.39,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.08,0.0,5.16,0.1,25.8,1.2,0.0,0.0,0.6,0.0,0.16923521659059473,6.297371729543548,27.435100627556476,-32586500.0,-72503100.0,1.0,0.16923521659059473,0.0,0.0,1.0,2106.0,234.0,0.0,8.0,0.0,0.2,227.2,0.0,218.0,0.12,0.1,1.97758476261356e-14,default,default
0.08,0.0,0.23,0.0,7.93,0.05,0.0,0.0,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,0.11,35.4,1.2,0.0,0.0,0.6,0.0,0.17169053664627323,6.9696965281676295,29.589924448006684,-33455900.0,-72541500.0,1.0,0.17169053664627323,0.0,0.0,0.0,2125.0,282.0,0.0,8.0,0.0,0.4,274.45,0.0,217.0,0.11,0.1,2.0816681711721685e-14,default,default
0.08,0.0,0.25,0.0,7.93,0.05,0.0,0.0,8.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13,0.05,24.4,0.6,0.0,0.0,0.6,0.0,0.13800295338241023,7.1177571467947285,36.62767530074404,-33505900.0,-70212400.0,1.0,0.13800295338241023,0.0,0.0,0.0,2110.0,227.0,0.0,8.0,1.0,0.2,234.4,0.0,217.0,0.1,0.1,1.942890293094024e-14,default,default
0.03,0.0,0.18,0.0,7.93,0.05,0.0,0.0,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,0.0,27.4,0.0,0.0,0.0,0.6,0.0,0.1612961553077927,6.693079244841813,31.35098087784838,-33247400.0,-72301800.0,1.0,0.1612961553077927,0.0,0.0,0.0,2105.0,253.0,0.0,8.0,1.0,1.2,260.8,1.0,218.0,0.09,0.1,1.97758476261356e-14,default,default
0.03,0.0,0.23,0.0,7.88,0.05,0.0,0.0,8.19,0.0,0.0,10.2,0.0,0.57,0.0,0.0,0.0,57.33,0.0,2.43,0.0,0.0,6.83,0.0,35.2,0.0,0.0,0.0,0.4,0.0,0.17746070289159604,7.067452387066518,28.325742870448792,-33200500.0,-70772400.0,1.0,0.17746070289159604,0.0,0.0,585.0,2114.0,248.0,0.0,8.0,0.0,0.2,239.6,1.0,219.0,0.15,0.11,2.0469737016526324e-14,default,default
0.15,0.0,0.38,0.0,7.92,0.05,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,0.67,23.4,4.2,0.0,0.0,0.4,0.0,0.22863158418560892,5.0561650313112505,18.48900211996138,-33482600.0,-82692000.0,1.0,0.22863158418560892,0.0,0.0,0.0,2109.0,264.0,0.0,8.0,0.0,0.6,255.6,0.0,219.0,0.14,0.11,1.97758476261356e-14,default,default
