CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
83.24,0,15.91,0,0.59,0.07,0,0,99.81,99.81,0,1.33,0,0.02,0,73.33,0,15,0,0,0,0,1.21,1.71,10,14.33,0,0,0,46.77,1.42691784,0.791809128,2.958619733,0.304898412,0.535196693,1,1.42691784,0,0,7,30077,16183728,0,100,118,10.33,16193272.33,119,2506,107.12,71.32,9.37E-14,default,encryption_AES
83.17,0,15.75,0,0.57,0.07,0,0,99.56,99.55,0,23,0,1.58,0,10.39,0,70.43,0,0.23,0,0,1.76,1.67,13,13.67,0,0,0,47.46,1.453788863,0.791901357,2.960072746,0.305021802,0.53727371,1,1.453788863,0,0,1620,33955,16329154,0,99,115,10,16347385,110,2506,108.39,72.17,9.37E-14,default,encryption_AES
81.93,0,16.35,0,0.57,0.05,0,0,98.9,98.89,0,1.33,0,0.02,0,77.78,0,18,0,0,0,0,1.31,2.09,11.67,17,0,0,0,47.33,1.450993311,0.792408885,2.962241401,0.305615741,0.53507423,1,1.450993311,0,0,24,41832,16511424,0,99,128,12,16513192.67,117,2506,109.08,72.92,9.58E-14,default,encryption_AES
82.53,0,16.24,0,0.56,0.08,0,0,99.41,99.42,0,32,0,0.3,0,0,0,9.5,0,0.4,0,0,1.67,1.73,10.33,13.67,0,0,0,47.68,1.461008191,0.792305415,2.960120744,0.304869812,0.534425572,1,1.461008191,0,0,304,35552,16387657,0,100,118,15,16378056,117,2507,110.28,73.77,9.78E-14,default,encryption_AES
80.56,0,16.58,0,0.57,0.07,0,0,97.78,97.79,0,3.33,0,0.14,0,90.99,0,44.4,0,0.2,0,0,1.44,1.75,10.67,14.33,0,0,0,48.54,1.50181271,0.79318359,2.963224089,0.305074093,0.536972862,1,1.50181271,0,0,148,56581,16836110,0,98,112,10,16845559.33,118,2507,110.28,73.77,9.78E-14,default,encryption_AES
81.52,0,16.42,0,0.59,0.07,0,0,98.6,98.59,0,0.67,0,0.01,0,80,0,20,0,0,0,0,1.55,2.15,13,17.67,0,0,0,47.61,1.465034454,0.795382736,2.960701639,0.305042092,0.536376161,1,1.465034454,0,0,13,46229,16580674,0,99,114,12.33,16585301.33,112,2506,110.42,74.4,9.78E-14,default,encryption_AES
83.95,0,15.31,0,0.58,0.05,0,0,99.89,99.88,0,1.33,0,0.02,0,73.33,0,15,0,0,0,0,1.13,2.03,9.67,16.67,0,0,0,45.68,1.388635677,0.79192476,2.96064928,0.304986808,0.533864293,1,1.388635677,0,0,20,29008,15937560,0,100,107,12,15900003.33,110,2506,109.82,74.88,9.78E-14,default,encryption_AES
83.26,0,15.78,0,0.59,0.03,0,0,99.66,99.65,0,43.33,0,3.89,0,5.8,0,91.97,0,0.28,0,0,1.26,1.78,10.33,14.67,0,0,0,47.36,1.442282119,0.791273457,2.955656959,0.305019471,0.534082619,1,1.442282119,0,0,3985,32298,16378620,0,99,116,9.67,16398155.33,118,2505,110.24,75.54,9.99E-14,default,encryption_AES
82.72,0,16.08,0,0.58,0.08,0,0,99.46,99.46,0,37,0,0.32,0,5.93,0,8.72,0,0.36,0,0,1.66,2.01,12.33,16.67,0,0,0,47.45,1.450443061,0.791878973,2.958230203,0.306132062,0.53504431,1,1.450443061,0,0,323,35165,16377166,0,100,114,12,16365198.67,119,2505,110.24,75.54,9.99E-14,default,encryption_AES
81.26,0,16.35,0,0.57,0.05,0,0,98.23,98.22,0,0.67,0,0.01,0,71.43,0,14,0,0,0,0,1.41,2.02,12,16.67,0,0,0,47.99,1.485113578,0.792429743,2.961826241,0.305109061,0.537736986,1,1.485113578,0,0,9,49833,16629830,0,98,106,12,16635565.67,114,2505,110.22,76.12,9.99E-14,default,encryption_AES
83.47,0,15.42,0,0.58,0.06,0,0,99.53,99.54,0,0.67,0,0.01,0,80,0,20,0,0,0,0,1.23,1.7,9,14,0,0,0,47.15,1.440870001,0.791895422,2.955597208,0.304956187,0.535440347,1,1.440870001,0,0,13,33800,16317707,0,100,112,9.67,16303095.67,125,2505,110.92,76.83,1.02E-13,default,encryption_AES
82.54,0,16.04,0,0.58,0.05,0,0,99.21,99.21,0,4,0,0.15,0,89.38,0,37.67,0,0.17,0,0,1.78,2.04,13.67,16.67,0,0,0,47.48,1.453587791,0.792013596,2.956634336,0.305060942,0.535350989,1,1.453587791,0,0,151,37768,16369907,0,100,109,12,16369013.33,118,2505,111.81,77.58,9.99E-14,default,encryption_AES
83.56,0,15.43,0,0.59,0.07,0,0,99.65,99.64,0,21.33,0,1.52,0,12.33,0,72.75,0,0.23,0,0,0.98,2.06,11.33,17,0,0,0,47.16,1.435709671,0.792831322,2.958547142,0.305081071,0.535228184,1,1.435709671,0,0,1552,32444,16260061,0,99,111,12,16244487,113,2505,112.06,78.2,9.99E-14,default,encryption_AES
84.04,0,15.32,0,0.55,0.06,0,0,99.97,99.96,0,32.67,0,0.28,0,6.67,0,8.73,0,0.38,0,0,0.9,1.69,8.33,14,0,0,0,46.21,1.406844268,0.792087399,2.960396173,0.304805808,0.533969364,1,1.406844268,0,0,285,28064,15964570,0,100,114,10.33,15976581.67,116,2505,112.06,78.2,9.99E-14,default,encryption_AES
83.09,0,15.69,0,0.58,0.04,0,0,99.4,99.4,0,0,0,0,0,0,0,0,0,0,0,0,2,2.04,17.33,16.67,0,0,0,47.47,1.447343982,0.791857384,2.958422629,0.305358869,0.53451801,1,1.447343982,0,0,0,35664,16393770,0,99,113,11.33,16389957.67,118,2505,112.86,78.93,9.99E-14,default,encryption_AES
82.79,0,15.9,0,0.59,0.06,0,0,99.34,99.34,0,1.33,0,0.03,0,82.61,0,23,0,0,0.13,0,2.07,2.13,18.67,17,0,0,0,47.25,1.442903934,0.79200412,2.957733116,0.306081831,0.535056745,1,1.442903934,0,0,31,36482,16393148,0,100,117,12,16390512.33,112,2506,112.47,79.41,1.02E-13,default,encryption_AES
82.22,0,16.11,0,0.58,0.06,0,0,98.97,98.96,0,1.33,0,0.02,0,73.33,0,15,0,0.25,0,0,1.49,1.69,11.67,13.67,0,0,0,47.54,1.464967922,0.792003207,2.959038256,0.305653975,0.535285678,1,1.464967922,0,0,20,41020,16520344,0,99,117,10,16518414.67,108,2506,112.91,80.05,1.02E-13,default,encryption_AES
82.2,0,16.29,0,0.59,0.08,0,0,99.16,99.14,0,3.33,0,0.14,0,90.74,0,43.2,0,0.2,0,0,2.63,2.02,22,16.67,0,0,0,47.37,1.442821848,0.792085291,2.949428517,0.304993894,0.536611301,1,1.442821848,0,0,144,38165,16400513,0,99,118,10,16413522.67,104,2506,113,80.61,1.02E-13,default,encryption_AES
82.05,0,16.49,0,0.59,0.05,0,0,99.18,99.18,0,39.67,0,3.8,0,2.46,0,98.18,0,0.24,0,0,1.38,2.08,11,17,0,0,0,47.74,1.467407217,0.792345591,2.959849576,0.305368128,0.535474628,1,1.467407217,0,0,3895,38852,16504032,0,99,105,12.33,16507765.33,109,2505,113,80.61,1.02E-13,default,encryption_AES
83,0,15.78,0,0.56,0.04,0,0,99.38,99.37,0,0,0,0,0,0,0,0,0,0,0,0,1.53,1.71,14,14,0,0,0,46.75,1.421123832,0.792479348,2.955884335,0.304999358,0.535279754,1,1.421123832,0,0,0,35706,16277187,0,99,119,10,16275777.33,119,2508,112.92,81.14,1.02E-13,default,encryption_AES
84.29,0,14.98,0,0.56,0.06,0,0,99.89,99.89,0,0.67,0,0.01,0,80,0,20,0,0,0,0,1.24,2.06,12,17,0,0,0,46.18,1.409843491,0.791454188,2.958917726,0.305491532,0.533221325,1,1.409843491,0,0,13,28931,15869698,0,100,126,11,15853327,115,2505,111.81,81.43,1.04E-13,default,encryption_AES
82.79,0,16.09,0,0.57,0.06,0,0,99.51,99.51,0,4.33,0,0.03,0,50,0,8,0,0.23,0,0,1.46,2.04,11.33,16.67,0,0,0,47.71,1.459561527,0.793155632,2.960591351,0.30547036,0.535880176,1,1.459561527,0,0,35,34140,16465728,0,100,116,12,16463375,105,2505,112.46,82.07,1.04E-13,default,encryption_AES
80.89,0,16.64,0,0.58,0.09,0,0,98.2,98.2,0,3.67,0,0.14,0,89.91,0,39.64,0,0.18,0,0,1.08,1.75,10.67,14.33,0,0,0,48.15,1.485956397,0.796844037,2.960539106,0.305042379,0.536401781,1,1.485956397,0,0,145,50533,16707278,0,98,105,10.33,16689583.33,119,2505,112.75,82.64,1.06E-13,default,encryption_AES
83.7,0,15.28,0,0.58,0.03,0,0,99.59,99.57,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.83,11.33,15.33,0,0,0,46.87,1.424808496,0.791624624,2.956214416,0.304885703,0.535321228,1,1.424808496,0,0,0,33186,16196802,0,100,117,10,16177106.67,118,2505,112.75,82.64,1.06E-13,default,encryption_AES
82.51,0,16.3,0,0.6,0.05,0,0,99.46,99.45,0,0.67,0,0.01,0,60,0,10,0,0,0,0,1.37,2.01,11.67,16.67,0,0,0,47.32,1.445484026,0.794436589,2.956050807,0.305081446,0.533801852,1,1.445484026,0,0,7,34730,16407528,0,100,116,12.33,16420598,117,2505,113.41,83.27,1.06E-13,default,encryption_AES
83.55,0,15.23,0,0.57,0.07,0,0,99.42,99.42,0,21,0,1.73,0,62.72,0,84.19,0,0.25,0.13,0,1.51,1.82,11,14.67,0,0,0,46.75,1.431356955,0.794042251,2.966251926,0.305578723,0.538690268,1,1.431356955,0,0,1768,35118,16256599,0,100,112,12.33,16248092,101,2505,112.65,83.62,1.06E-13,default,encryption_AES
83.86,0,15.45,0,0.57,0.05,0,0,99.93,99.92,0,2.33,0,0.03,0,66.67,0,12,0,0.14,0,0,1.33,1.74,11.33,14,0,0,0,46.56,1.418440609,0.791723297,2.959322014,0.304986039,0.533020336,1,1.418440609,0,0,28,28657,16007198,0,100,115,9.67,16020127.67,116,2503,112.92,84.16,1.08E-13,default,encryption_AES
83.35,0,15.55,0,0.57,0.07,0,0,99.54,99.54,0,1.33,0,0.03,0,81.82,0,22,0,0,0,0,1.24,2.01,11.63,16.61,0,0,0,47.39,1.447676428,0.791935954,2.944347459,0.30516809,0.534415056,1,1.447676428,0,0,29,33774,16334912,0,99,113,12.33,16328039.67,113,2503,113.33,84.72,1.08E-13,default,encryption_AES
82.27,0,16.1,0,0.58,0.03,0,0,98.98,98.99,0,0,0,0,0,0,0,0,0,0,0,0,0.98,2.01,9.67,16.67,0,0,0,47.6,1.463521369,0.792793787,2.942587503,0.305078485,0.536520282,1,1.463521369,0,0,0,41258,16536734,0,99,107,12,16503000.67,122,2503,113.33,84.72,1.08E-13,default,encryption_AES
83.45,0,15.67,0,0.57,0.07,0,0,99.76,99.75,0,35.33,0,0.42,0,46.73,0,12.08,0,0.34,0,0,1.28,1.69,10.67,14,0,0,0,46.28,1.402910249,0.791576055,2.953824836,0.30590392,0.53414105,1,1.402910249,0,0,427,30967,16053489,0,99,120,9,16050116.33,102,2503,113.14,85.15,1.08E-13,default,encryption_AES
82.99,0,16.14,0,0.59,0.05,0,0,99.77,99.77,0,0.67,0,0.14,0,98.15,0,216,0,0,0,0,1.46,2.04,14.33,17,0,0,0,47.52,1.448530117,0.791448946,2.949672895,0.304931447,0.532594492,1,1.448530117,0,0,144,30825,16426808,0,100,110,12.33,16397203.33,117,2503,113.53,85.7,1.08E-13,default,encryption_AES
82.77,0,15.98,0,0.56,0.05,0,0,99.36,99.36,0,33.67,0,2.82,0,11.4,0,85.62,0,0.24,0,0,1.42,2.04,12,16.67,0,0,0,47.6,1.454669766,0.791642511,2.959814178,0.30500836,0.53403338,1,1.454669766,0,0,2883,35916,16389827,0,100,124,12.33,16386564,106,2503,113.65,86.19,1.08E-13,default,encryption_AES
