CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
77.99,0,21.35,0,0.61,0.05,0,0,100,100,0,3.67,0,0.13,0,89.32,0,37.45,0,0.09,0,0,0.82,0.99,9.67,8.33,0,0,0,53.99,1.782578348,0.560027184,2.034528156,0.342257278,0.617976827,1,1.782578348,0,0,137,27974,12936871,0,100,108,6,12936255.67,109,2500,104.78,69.27,1.29E-13,default,encryption_MD5
77.99,0,21.36,0,0.6,0.05,0,0,100,100,0,63,0,0.49,0,0,0,8.04,0,0.32,0.13,0,1.2,0.75,8,6.33,0,0,0,54.15,1.777881796,0.560245042,2.032092264,0.34223441,0.618070309,1,1.777881796,0,0,507,27988,12942461,0,100,105,4,12940587.67,109,2500,105.04,69.91,1.29E-13,default,encryption_MD5
77.6,0,21.72,0,0.63,0.05,0,0,100,100,0,14.33,0,1.26,0,72.61,0,89.95,0,0.21,0,0,1.48,1.01,10.33,8.33,0,0,0,54,1.782705866,0.563317249,2.032177228,0.342594066,0.617884878,1,1.782705866,0,0,1289,27935,12936601,0,100,110,6.33,12936153.33,112,2500,105.12,70.51,1.29E-13,default,encryption_MD5
77.75,0,21.59,0,0.61,0.05,0,0,100,100,0,0.67,0,0.01,0,80,0,20,0,0,0,0,1.21,1.05,9.33,8.67,0,0,0,54.01,1.782939008,0.561013754,2.038061986,0.344878551,0.61784614,1,1.782939008,0,0,13,27894,12940686,0,100,109,6.33,12938806.33,107,2500,105.19,71.1,1.29E-13,default,encryption_MD5
77.65,0,21.7,0,0.61,0.03,0,0,99.99,100,0,1.33,0,0.02,0,73.33,0,15,0,0,0,0,1.66,0.67,9,5.67,0,0,0,54,1.782767167,0.562586295,2.031433483,0.342329984,0.618068591,1,1.782767167,0,0,20,27951,12940609,0,100,111,4,12938648.67,101,2500,105.19,71.1,1.31E-13,default,encryption_MD5
77.66,0,21.66,0,0.62,0.06,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,1.39,1.01,8.67,8.33,0,0,0,54,1.783149739,0.56465161,2.037718009,0.342209241,0.617913869,1,1.783149739,0,0,0,27934,12940433,0,100,113,6.33,12938012.67,108,2500,105.73,71.78,1.33E-13,default,encryption_MD5
77.71,0,21.59,0,0.63,0.07,0,0,100,100,0,0.67,0,0.01,0,60,0,10,0,0.5,0,0,0.97,1.01,8,8.33,0,0,0,54,1.782768477,0.56095144,2.03757286,0.342562293,0.617920764,1,1.782768477,0,0,7,27944,12937617,0,100,105,6,12936732,108,2500,105.51,72.3,1.31E-13,default,encryption_MD5
77.96,0,21.41,0,0.59,0.03,0,0,99.99,100,0,0.67,0,0.01,0,80,0,20,0,0,0,0,1.32,0.65,10.33,5.33,0,0,0,54,1.782667135,0.560512675,2.036233359,0.342536168,0.618846196,1,1.782667135,0,0,13,27908,12938503,0,100,109,5.67,12936852.67,109,2500,105.79,72.91,1.29E-13,default,encryption_MD5
77.78,0,21.57,0,0.61,0.04,0,0,100,100,0,1.33,0,0.02,0,73.33,0,15,0,0,0,0,1.11,1,8.67,8.33,0,0,0,54,1.782257921,0.560365944,2.035550972,0.342471071,0.618031043,1,1.782257921,0,0,29,27883,12940718,0,100,111,5,12938701,112,2500,106.37,73.58,1.29E-13,default,encryption_MD5
77.88,0,21.47,0,0.62,0.03,0,0,100,100,0,50,0,1.65,0,57.02,0,33.81,0,0.29,0.13,0,1.11,1,8.67,8.33,0,0,0,54,1.782656453,0.561846751,2.037593427,0.342252742,0.6181515,1,1.782656453,0,0,1691,27981,12938466,0,100,114,6.33,12937342,111,2500,106.37,73.58,1.29E-13,default,encryption_MD5
