CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.13,0.0,0.17,0.49,0.1,0.08,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,2.02,8.0,10.2,0.0,0.0,0.0,0.19266218666666665,0.722,23.94,2.47,0.38,1.51,0.65,0.47,1,0,25,35697,6976,0,0,0,38.2,6954.4,2.0,2689.0,2.52,67.39,1.6896000000000002,default,hadoop_hdd
0.25,0.0,0.11,0.05,0.09,0.06,0.0,0.0,0.51,0.0,1.6,0.0,0.01,0.0,0.0,0.0,4.0,0.0,12.25,0.0,2.0,0.02,3.77,4.65,35.0,37.0,0.0,0.0,0.0,0.30408704,0.7879999999999999,32.11,3.78,0.2,1.87,0.55,0.43,0,0,7,34752,5567,0,0,0,29.6,5603.2,2.0,2688.0,2.32,66.27,1.8176,default,hadoop_hdd
0.15,0.0,0.06,0.03,0.09,0.1,0.0,0.0,0.4,0.0,1.2,2.59,0.02,0.11,79.31,91.1,20.0,44.92,11.17,17.46,2.71,0.06,36.18,38.58,315.4,317.4,0.0,0.0,0.0,0.18211498666666665,0.6,20.53,2.87,0.27,1.13,0.89,0.53,0,0,181,36001,7111,0,0,0,99.4,7090.6,2.0,2688.0,2.29,65.2,1.7919999999999998,default,hadoop_hdd
0.08,0.0,0.05,0.02,0.08,0.08,0.0,0.0,0.29000000000000004,0.0,0.0,0.4,0.0,0.03,0.0,95.24,0.0,84.0,0.0,26.0,1.04,0.01,25.64,28.83,238.6,237.6,0.0,0.0,0.0,0.09349119999999997,0.452,21.0,3.14,0.14,0.66,1.34,0.61,0,0,48,35575,6525,0,0,0,73.0,6505.4,2.0,2687.0,2.11,64.12,1.7408,default,hadoop_hdd
0.02,0.0,0.04,0.01,0.1,0.05,0.0,0.0,0.21,0.0,0.0,0.4,0.0,0.02,0.0,91.67,0.0,48.0,0.0,0.5,0.0,0.0,6.16,7.28,57.8,59.6,0.0,0.0,0.0,0.056572586666666674,0.415,19.98,2.77,0.08,0.68,1.56,0.65,0,0,26,34665,5195,0,0,0,29.0,5191.0,2.0,2686.0,1.94,63.05,1.7408,default,hadoop_hdd
0.03,0.0,0.03,0.01,0.08,0.08,0.0,0.0,0.22000000000000006,0.0,0.0,0.4,0.0,0.01,0.0,89.47,0.0,38.0,0.0,4.5,0.16,0.0,7.06,8.07,67.4,66.2,0.0,0.0,0.0,0.06598656,0.426,18.91,2.64,0.11,0.62,1.46,0.62,0,0,19,34686,5245,0,0,0,31.4,5244.4,3.0,2686.0,1.79,62.01,1.7664,default,hadoop_hdd
0.04,0.0,0.05,0.05,0.08,0.07,0.0,0.0,0.24,0.0,0.0,15.06,0.0,0.83,0.0,92.87,0.0,56.16,0.0,16.13,4.18,0.23,4.11,4.89,39.2,40.6,0.0,0.0,0.0,0.08190634666666666,0.415,20.43,2.81,0.12,0.66,1.27,0.53,0,0,876,34649,5213,0,0,0,28.0,5204.4,2.0,2686.0,1.64,60.98,1.7664,default,hadoop_hdd
0.01,0.0,0.02,0.0,0.1,0.07,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,5.76,46.0,47.2,0.0,0.0,0.0,0.04429824,0.369,18.19,2.52,0.07,0.48,1.84,0.68,0,0,15,34570,5071,0,0,0,21.2,5066.0,2.0,2683.0,1.51,59.96,1.7664,default,hadoop_hdd
0.11,0.0,0.12,0.16,0.09,0.07,0.0,0.0,0.39,0.0,137.8,44.8,0.56,10.23,4.31,48.27,4.19,233.89,0.64,24.46,15.36,1.17,10444.43,16.75,285.6,195.0,0.34,0.0,0.0,0.26373461333333337,0.56,27.26,4.31,0.25,0.8,0.82,0.46,2,0,10615,35909,7366,0,0,0,71.4,7481.0,4.0,2803.0,1.39,58.97,1.7408,default,hadoop_hdd
1.3,0.0,0.15,0.37,0.11,0.08,0.0,0.0,1.64,57.0,110.4,4.4,0.43,0.87,0.0,97.7,4.0,201.64,1.2,37.64,9.04,0.29,0.7,1.21,4.0,6.4,0.0,0.0,0.0,1.09811712,1.114,18.51,1.4,0.32,1.41,0.29,0.32,0,0,908,41702,23446,0,1,1,20.4,23419.4,3.0,2820.0,1.36,58.01,1.7152,default,hadoop_hdd
