cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.11,0.0,0.12,0.42,0.11,0.08,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,1.25,4.6,6.6,0.0,0.0,0.0,0.14738090666666667,0.637,23.27,2.65,0.4,1.68,0.81,0.52,1,21248,37,35440,6425,0,0,0,23.8,6358.4,3.0,2695.0,2.85,28.05,1.3823999999999999,default,hadoop_hdd
0.44,0.0,0.18,1.03,0.08,0.08,0.0,0.0,0.7799999999999999,0.0,56.4,0.0,11.34,0.0,0.0,0.0,205.82,0.0,159.02,0.0,18.72,8.97,99.23,4281.4,122.4,344.0,0.14,0.0,0.0,0.5594180266666667,0.799,28.49,3.39,0.32,1.58,0.45,0.36,0,21248,35,37897,11268,0,0,5,70.4,11279.8,5.0,2829.0,2.78,27.62,1.4848,default,hadoop_hdd
2.47,0.0,0.18,0.19,0.09,0.07,0.0,0.0,2.81,36.970000000000006,0.0,0.4,0.0,0.04,0.0,95.92,0.0,98.0,0.0,16.0,0.64,0.01,1.07,2.27,9.0,13.4,0.0,0.0,0.0,1.37725952,1.134,16.35,1.34,0.26,1.68,0.3,0.34,0,21248,75,43101,25411,0,2,2,34.8,25374.0,4.0,2895.0,3.28,27.31,1.4848,default,hadoop_hdd
40.97,0.0,4.85,0.04,0.37,0.13,0.0,0.0,46.32,46.326406250000005,19.6,0.4,0.08,0.02,0.0,90.48,4.0,42.0,5.2,0.5,0.64,0.1,5.61,4.53,11.2,11.6,0.0,0.0,0.0,28.216046933333335,1.002,42.35,3.35,0.46,1.38,0.27,0.27,0,21248,152,140313,273189,0,45,351,3024.2,279762.8,455.0,14320.0,33.37,33.15,1.4848,default,hadoop_hdd
78.53,0.0,4.97,6.39,0.45,0.12,0.0,0.0,84.07000000000001,84.06906250000003,276.4,4.6,66.8,0.6,0.14,96.54,247.49,134.43,251.64,692.0,69.6,101.82,54.84,29.15,118.0,174.6,0.0,0.0,0.0,40.24782848,1.363,42.68,1.94,0.25,0.92,0.22,0.3,62,21248,722,89474,744488,0,85,186,347.2,742396.4,71.0,15180.0,84.91,43.84,2.176,default,hadoop_hdd
7.75,0.0,1.24,38.82,0.17,0.1,0.0,0.0,9.26,0.0,324.6,3.4,74.96,0.21,0.0,89.1,236.47,62.59,768.38,351.06,100.08,253.38,26.57,12.26,35.4,53.4,0.0,0.0,0.0,3.34456832,1.02,20.71,1.83,0.49,1.93,0.25,0.26,102,21248,166,70710,78021,0,10,30,38.0,74498.4,22.0,15286.0,86.28,44.8,2.432,default,hadoop_hdd
4.74,0.0,0.67,41.19,0.14,0.09,0.0,0.0,5.64,0.0,299.2,2.4,73.66,0.08,0.0,87.88,252.11,32.33,840.95,530.33,100.16,253.04,1.87,7.19,21.4,32.4,0.0,0.0,0.0,2.5145344,1.034,23.27,2.19,0.5,1.7,0.25,0.26,101,21248,250,53006,41401,0,6,2,16.2,40508.6,1.0,15227.0,88.58,45.97,2.4576000000000002,default,hadoop_hdd
2.56,0.0,0.51,41.78,0.12,0.1,0.0,0.0,3.2900000000000005,0.0,302.4,4.2,74.75,0.18,0.0,90.91,253.14,44.38,828.47,466.86,100.0,252.49,1.55,6.68,16.4,23.2,0.0,0.0,0.0,1.9491566933333333,0.909,26.7,2.87,0.59,1.65,0.31,0.28,101,21248,268,45995,27569,0,4,2,21.0,27545.0,2.0,15190.0,89.57,46.88,2.5088,default,hadoop_hdd
1.32,0.0,0.54,43.57,0.13,0.1,0.0,0.0,2.0900000000000003,0.0,293.0,8.0,72.9,0.16,0.0,80.86,254.78,20.7,865.99,63.12,100.0,252.53,1.15,5.87,9.4,9.2,0.0,0.0,0.0,1.6491588266666666,0.807,30.58,4.09,0.76,1.72,0.4,0.32,97,21248,255,41983,19668,0,2,8,9.2,19962.0,8.0,15189.0,90.17,47.71,2.5343999999999998,default,hadoop_hdd
3.65,0.0,0.51,42.03,0.14,0.09,0.0,0.0,4.39,0.0,301.4,3.4,75.16,0.1,0.0,81.11,255.34,30.59,820.1,233.53,100.08,252.84,1.02,5.58,8.2,7.4,0.0,0.0,0.0,2.7253282133333334,0.89,19.3,2.48,0.42,2.03,0.35,0.31,98,21248,216,45616,26789,0,5,0,21.0,26478.0,0.0,15189.0,92.0,48.8,2.5343999999999998,default,hadoop_hdd
3.39,0.0,0.48,39.48,0.14,0.09,0.0,0.0,4.1,0.0,315.6,6.6,78.75,0.17,0.0,85.27,255.52,26.06,820.81,66.15,100.0,252.64,1.05,5.71,8.6,8.2,0.0,0.0,0.0,3.5422685866666663,0.916,20.25,2.59,0.43,2.04,0.35,0.32,99,21248,482,45350,26224,0,4,23,15.8,26766.8,17.0,15189.0,92.72,49.66,2.6112,default,hadoop_hdd
2.74,0.0,0.46,40.01,0.13,0.1,0.0,0.0,3.43,0.0,311.6,9.4,77.76,0.12,0.0,67.13,255.53,12.94,786.93,46.77,100.0,252.72,1.04,5.75,8.4,8.0,0.0,0.0,0.0,1.5048226133333333,0.832,27.61,3.11,0.42,1.38,0.39,0.32,99,21248,134,44170,23867,0,4,1,14.2,23293.0,0.0,15188.0,93.14,50.47,2.6112,default,hadoop_hdd
1.23,0.0,0.52,42.35,0.12,0.09,0.0,0.0,1.9600000000000002,0.0,304.8,5.0,76.2,0.11,0.0,82.76,256.0,23.2,851.49,94.72,100.08,252.73,1.11,5.74,9.6,9.0,0.0,0.0,0.0,1.68163328,0.809,32.27,4.03,0.66,1.49,0.42,0.34,98,21248,129,40959,17591,0,2,3,17.4,17789.0,5.0,15188.0,93.61,51.27,2.6112,default,hadoop_hdd
0.98,0.0,0.42,44.82,0.12,0.09,0.0,0.0,1.61,0.0,289.6,4.2,72.38,0.12,0.0,86.09,255.94,28.76,847.31,146.76,100.08,252.88,1.08,5.72,9.0,8.4,0.0,0.0,0.0,1.0792482133333332,0.749,37.88,3.93,0.51,0.9,0.45,0.33,99,21248,131,40551,16867,0,2,0,21.0,16723.8,1.0,15189.0,94.04,52.07,2.6112,default,hadoop_hdd
0.81,0.0,0.37,43.2,0.13,0.09,0.0,0.0,1.4000000000000001,0.0,293.2,4.8,73.29,0.12,0.0,86.29,255.95,26.0,864.44,120.04,100.24,253.25,1.15,5.94,9.4,9.4,0.0,0.0,0.0,1.1280520533333334,0.657,38.29,4.39,0.63,1.1,0.47,0.31,100,21248,200,39783,15350,0,2,1,9.2,15336.0,1.0,15186.0,94.44,52.85,2.6112,default,hadoop_hdd
1.06,0.0,0.53,43.41,0.11,0.09,0.0,0.0,1.7900000000000003,0.0,307.4,1.8,76.76,0.17,0.0,96.1,255.7,97.78,841.73,556.67,100.0,252.65,1.02,5.58,8.2,7.4,0.0,0.0,0.0,1.4101094400000003,0.706,38.36,4.22,0.61,1.02,0.44,0.31,100,21248,217,39051,13945,0,2,2,21.0,13913.2,2.0,15183.0,95.29,53.71,2.6112,default,hadoop_hdd
2.65,0.0,0.43,43.1,0.12,0.09,0.0,0.0,3.29,0.0,304.4,2.6,75.94,0.15,0.0,92.57,255.46,57.23,803.68,386.54,100.0,252.53,1.05,5.78,8.6,8.4,0.0,0.0,0.0,1.47677184,1.461,39.2,1.47,0.19,0.37,0.25,0.36,97,21248,150,39704,17707,0,4,4,15.8,17714.6,3.0,15089.0,95.66,54.48,2.6368,default,hadoop_hdd
4.55,0.0,0.51,42.36,0.13,0.1,0.0,0.0,5.289999999999999,0.0,303.8,10.6,75.6,0.14,0.0,67.48,254.83,13.74,841.13,36.25,100.0,252.61,1.11,5.68,8.6,7.8,0.0,0.0,0.0,1.7712128,1.55,45.08,1.05,0.08,0.18,0.24,0.37,99,21248,189,40500,23122,0,6,0,14.2,23103.8,0.0,15086.0,96.33,55.3,2.6624,default,hadoop_hdd
6.4,0.0,0.55,43.76,0.13,0.09,0.0,0.0,7.17,0.0,305.2,7.8,75.98,0.14,0.0,64.55,254.93,18.97,821.28,105.64,100.0,252.57,1.08,5.58,8.4,7.4,0.0,0.0,0.0,2.8928,1.638,45.77,0.83,0.06,0.14,0.23,0.38,99,21248,247,41806,25386,0,7,4,15.8,25801.8,4.0,15086.0,102.07,57.17,2.688,default,hadoop_hdd
9.9,0.0,0.8,39.04,0.14,0.09,0.0,0.0,10.930000000000001,0.0,315.4,1.2,78.57,0.13,0.0,68.42,255.08,114.0,802.32,715.33,100.0,252.74,1.04,5.68,8.4,7.8,0.0,0.0,0.0,2.5058030933333333,1.466,37.09,0.96,0.09,0.24,0.25,0.37,99,21248,195,44870,56109,0,11,2,21.0,55684.0,2.0,15087.0,101.9,57.88,2.688,default,hadoop_hdd
9.51,0.0,0.79,39.43,0.14,0.1,0.0,0.0,10.540000000000001,0.0,299.8,1.6,74.76,0.2,0.0,66.67,255.35,125.5,832.88,550.38,100.08,252.85,1.21,5.94,9.6,9.4,0.0,0.0,0.0,2.965333333333333,1.671,42.27,0.8,0.06,0.15,0.23,0.38,99,21248,239,43896,64939,0,11,3,9.2,64931.4,2.0,15087.0,101.83,58.6,2.688,default,hadoop_hdd
5.15,0.0,0.6,43.93,0.13,0.1,0.0,0.0,5.9799999999999995,0.0,305.4,1.2,76.25,0.19,0.0,50.0,255.68,160.67,828.82,722.83,100.0,252.72,1.02,5.58,8.2,7.4,0.0,0.0,0.0,2.1643264,1.444,42.4,1.2,0.12,0.25,0.27,0.39,100,21248,245,41244,33667,0,6,0,21.0,33665.4,0.0,15087.0,102.17,59.39,2.7136,default,hadoop_hdd
1.54,0.0,0.3,51.2,0.11,0.07,0.0,0.0,2.02,0.0,301.4,1.6,74.7,0.2,0.13,68.0,253.78,126.5,823.83,733.38,100.0,252.65,1.12,5.71,8.8,8.2,0.0,0.0,0.0,1.17635072,1.232,41.58,1.55,0.18,0.35,0.26,0.32,99,21248,213,38853,15355,0,3,1,15.8,15361.6,1.0,15087.0,101.91,60.05,2.7136,default,hadoop_hdd
3.78,0.0,0.54,49.65,0.14,0.12,0.0,0.0,4.58,0.0,309.4,1.2,77.11,0.13,0.0,68.42,255.2,114.0,825.59,845.33,100.0,252.81,1.13,5.84,9.8,9.4,0.0,0.0,0.0,1.59750144,1.156,41.05,1.49,0.17,0.33,0.28,0.32,100,21248,162,39992,18011,0,5,0,16.4,18000.2,0.0,15085.0,101.84,60.73,2.7136,default,hadoop_hdd
0.92,0.02,0.36,51.64,0.1,0.07,0.0,0.0,1.4700000000000002,0.0,303.0,1.0,75.57,0.1,0.0,70.59,255.4,105.6,830.25,665.8,100.0,252.7,1.02,5.58,8.2,7.4,0.0,0.0,0.0,1.1094289066666665,0.67,38.83,3.8,0.54,0.95,0.43,0.29,101,21248,105,38820,13511,0,2,3,17.6,13519.4,2.0,15086.0,102.01,61.44,2.7136,default,hadoop_hdd
1.75,0.01,0.48,49.78,0.13,0.12,0.0,0.0,2.49,0.0,307.4,0.6,76.79,0.04,0.0,62.5,255.78,61.33,830.59,493.67,100.0,252.78,1.12,5.7,8.8,8.0,0.0,0.0,0.0,1.4296541866666668,0.948,36.26,2.29,0.36,0.83,0.32,0.31,101,21248,110,39026,14152,0,3,1,20.4,14149.0,1.0,15088.0,101.93,62.1,2.7392,default,hadoop_hdd
1.11,0.0,0.47,49.57,0.12,0.07,0.0,0.0,1.7700000000000002,0.0,300.8,1.0,75.06,0.16,0.0,58.33,255.52,160.8,838.63,883.2,100.0,252.64,1.17,5.9,9.8,9.6,0.0,0.0,0.0,1.24837888,0.653,38.58,4.07,0.58,1.04,0.44,0.29,101,21248,282,39184,14159,0,2,0,16.8,14153.2,0.0,15089.0,101.94,62.76,2.7647999999999997,default,hadoop_hdd
1.0,0.0,0.45,51.23,0.11,0.11,0.0,0.0,1.6700000000000002,0.0,302.0,1.4,75.45,0.17,0.0,68.18,255.83,121.14,826.53,711.43,100.0,252.62,1.02,5.58,8.2,7.4,0.0,0.0,0.0,1.2884650666666668,0.638,38.39,4.19,0.67,1.09,0.43,0.28,101,21248,258,38552,12921,0,2,4,21.0,12937.8,5.0,15089.0,102.02,63.43,2.7904,default,hadoop_hdd
0.65,0.0,0.32,50.92,0.13,0.07,0.0,0.0,1.1700000000000002,0.0,300.8,1.0,75.1,0.1,0.0,68.75,255.66,104.0,829.79,877.6,100.24,253.25,1.05,5.71,8.6,8.2,0.0,0.0,0.0,0.8668842666666666,0.603,40.61,4.3,0.55,0.92,0.46,0.28,101,21248,142,38428,12465,0,2,1,12.0,12446.6,0.0,15086.0,102.1,64.09,2.7904,default,hadoop_hdd
