CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.12,0.0,0.12,0.38,0.11,0.06,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,1.34,4.8,6.8,0.0,0.0,0.0,0.16267946666666666,0.6579999999999999,26.4,2.92,0.39,1.63,0.75,0.49,1,0,17,35324,6220,0,0,0,27.8,6134.0,2.0,2689.0,5.17,10.17,1.2031999999999998,default,hadoop_hdd
0.2,0.0,0.09,0.16,0.08,0.08,0.0,0.0,0.4500000000000001,0.0,1.4,0.0,0.01,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.88,0.01,2.09,2.62,13.4,15.2,0.0,0.0,0.0,0.2292394666666667,0.823,23.35,2.11,0.22,1.71,0.53,0.43,0,0,8,34663,5433,0,0,1,21.6,5444.6,3.0,2687.0,4.84,10.02,1.3568,default,hadoop_hdd
0.53,0.0,0.17,0.32,0.1,0.09,0.0,0.0,0.89,0.0,0.8,45.8,0.0,11.14,0.0,16.12,4.0,248.98,0.0,18.09,6.48,0.83,11498.38,11.85,259.4,160.0,0.38,0.0,0.0,0.5595272533333334,0.8079999999999999,24.5,2.8,0.43,1.4,0.4,0.32,0,0,11446,39566,14506,0,1,6,66.6,14452.2,3.0,2808.0,4.69,9.9,1.3824,default,hadoop_hdd
2.28,0.0,0.1,0.14,0.1,0.07,0.0,0.0,2.55,33.13,0.0,0.4,0.0,0.09,0.0,0.0,0.0,222.0,0.0,19.0,0.4,0.01,1.11,2.41,8.2,12.4,0.0,0.0,0.0,1.28845824,1.1059999999999999,16.44,1.4,0.24,1.76,0.32,0.35,0,0,118,41242,21046,0,2,1,26.4,21016.8,2.0,2872.0,4.79,9.83,1.3568,default,hadoop_hdd
45.61,0.0,3.51,0.1,0.34,0.11,0.0,0.0,49.57,49.56945312499996,12.4,45.4,0.05,11.15,0.0,9.92,4.0,251.4,1.18,37.8,6.08,1.71,4.32,4.61,14.2,16.8,0.0,0.0,0.0,26.57187157333333,1.2830000000000001,38.85,2.11,0.31,1.01,0.21,0.26,0,0,11418,160366,442425,0,49,366,1672.2,450348.0,261.0,9047.0,16.5,12.18,1.3312,default,hadoop_hdd
44.15,0.0,3.09,16.07,0.35,0.14,0.0,0.0,47.73,47.87653543307087,427.4,3.4,99.45,0.35,0.0,94.5,238.26,106.35,411.19,453.41,98.16,198.76,120.56,60.11,219.0,289.4,0.0,0.0,0.0,24.80346453333333,0.992,33.99,2.96,0.37,1.6,0.37,0.37,55,0,421,117312,338769,0,48,7,123.0,331051.4,11.0,9335.0,25.19,14.05,1.8432,default,hadoop_hdd
4.98,0.0,0.29,28.63,0.12,0.09,0.0,0.0,5.48,0.0,393.0,2.6,96.71,0.08,0.0,87.5,251.99,32.0,645.59,625.54,100.08,253.06,2.09,4.73,11.2,11.0,0.0,0.0,0.0,1.8870749866666667,1.386,36.01,1.06,0.29,0.57,0.23,0.31,55,0,130,43487,23565,0,6,6,14.0,23464.6,8.0,9326.0,27.74,14.76,1.8688,default,hadoop_hdd
9.92,0.0,0.8,25.48,0.15,0.09,0.0,0.0,10.96,31.1,390.0,2.4,96.87,0.04,0.0,88.68,254.34,16.0,642.44,548.42,100.0,252.81,1.67,5.25,18.2,27.4,0.0,0.0,0.0,3.800999253333333,1.505,35.76,0.99,0.25,0.49,0.2,0.31,55,0,97,47947,46277,0,11,7,16.2,46210.6,8.0,9277.0,30.56,15.56,1.8688,default,hadoop_hdd
14.29,0.0,1.0,26.94,0.16,0.1,0.0,0.0,15.55,36.215,368.2,1.8,91.85,0.13,0.0,86.57,255.45,72.44,665.4,564.56,100.0,252.93,1.03,3.91,8.4,7.8,0.0,0.0,0.0,4.370827946666667,1.46,36.91,0.78,0.19,0.34,0.21,0.31,54,0,93,46991,52063,0,15,5,20.6,52155.0,10.0,9276.0,33.0,16.32,1.92,default,hadoop_hdd
7.79,0.0,0.51,28.33,0.1,0.08,0.0,0.0,8.48,39.50000000000001,373.8,0.4,93.24,0.0,0.0,60.0,255.43,10.0,668.7,0.0,100.16,253.13,1.15,4.18,9.4,9.2,0.0,0.0,0.0,3.183807146666667,1.2409999999999999,36.21,0.92,0.28,0.43,0.21,0.26,54,0,82,41018,20343,0,9,16,9.6,20406.8,13.0,9277.0,35.0,17.01,1.9712,default,hadoop_hdd
6.49,0.0,0.45,31.81,0.14,0.09,0.0,0.0,7.17,44.48,384.86,2.99,95.96,0.09,0.0,86.73,255.32,29.87,668.05,136.87,100.08,253.06,1.04,3.99,8.4,7.8,0.0,0.0,0.0,2.55082496,1.2,34.78,1.05,0.36,0.59,0.23,0.27,55,0,162,40755,19207,0,7,93,20.6,19376.0,19.0,9277.0,37.16,17.76,1.9968,default,hadoop_hdd
11.38,0.0,0.89,27.71,0.14,0.1,0.0,0.0,12.510000000000002,37.005,407.83,2.41,101.54,0.06,0.0,88.57,254.95,25.0,601.01,356.58,99.92,252.64,1.03,3.91,8.4,7.8,0.0,0.0,0.0,5.06875904,1.167,28.41,1.29,0.31,0.9,0.25,0.29,54,0,330,43671,32811,0,13,6,16.2,32481.8,7.0,9276.0,39.31,18.53,1.9968,default,hadoop_hdd
7.54,0.0,0.72,25.23,0.1,0.08,0.0,0.0,8.44,36.9425,374.8,2.2,93.49,0.19,0.0,95.93,255.43,86.55,695.93,490.73,100.08,252.96,1.04,3.99,8.4,7.8,0.0,0.0,0.0,3.0906845866666663,1.285,42.54,1.07,0.31,0.4,0.2,0.26,55,0,238,41277,25986,0,9,8,13.8,25968.8,7.0,9276.0,41.29,19.28,1.9712,default,hadoop_hdd
6.7,0.0,0.55,26.88,0.12,0.09,0.0,0.0,7.46,38.44750000000001,382.4,7.2,95.49,0.25,0.0,85.83,255.69,35.22,647.56,117.36,100.0,252.83,1.04,3.99,8.4,7.8,0.0,0.0,0.0,2.760328533333333,1.228,44.5,1.27,0.43,0.51,0.22,0.28,56,0,244,39419,19678,0,8,8,16.2,19690.4,12.0,9276.0,42.87,19.97,1.9712,default,hadoop_hdd
5.21,0.0,0.49,30.91,0.1,0.1,0.0,0.0,5.9,0.0,362.0,4.6,90.39,0.34,0.0,63.49,255.68,76.7,692.87,170.04,100.0,252.81,1.02,3.89,8.2,7.4,0.0,0.0,0.0,2.3410551466666667,1.172,45.39,1.38,0.48,0.57,0.22,0.26,56,0,423,39749,17082,0,6,2,20.6,17084.2,4.0,9275.0,44.24,20.64,1.92,default,hadoop_hdd
5.28,0.0,0.25,30.16,0.12,0.08,0.0,0.0,5.73,35.14,384.4,1.8,95.86,0.28,0.0,47.06,255.36,160.44,668.85,506.22,100.0,252.76,1.15,4.18,9.4,9.2,0.0,0.0,0.0,2.427480746666667,1.242,49.31,1.22,0.4,0.47,0.21,0.26,55,0,262,38402,16038,0,5,12,9.6,16489.8,15.0,9276.0,45.5,21.29,1.8688,default,hadoop_hdd
7.71,0.0,0.44,27.79,0.11,0.09,0.0,0.0,8.35,35.06,399.6,4.0,98.64,0.48,0.0,52.38,252.76,122.4,615.43,228.05,100.0,252.87,1.04,3.99,8.4,7.8,0.0,0.0,0.0,2.48471552,1.4040000000000001,50.53,1.16,0.44,0.49,0.2,0.28,54,0,509,39800,29884,0,9,7,22.2,29424.2,7.0,9267.0,46.98,22.0,1.8432,default,hadoop_hdd
6.24,0.0,0.46,28.33,0.12,0.09,0.0,0.0,6.91,35.18,398.6,4.2,97.65,0.3,0.0,44.74,250.86,72.38,650.48,197.0,100.08,253.06,1.03,3.91,8.4,7.8,0.0,0.0,0.0,2.624395946666666,1.329,48.3,1.31,0.48,0.57,0.22,0.29,53,0,357,39409,19402,0,7,7,16.2,19404.2,8.0,9225.0,47.95,22.62,1.8944,default,hadoop_hdd
6.07,0.0,0.43,28.9,0.13,0.11,0.0,0.0,6.74,33.050000000000004,403.8,4.8,98.72,0.3,0.0,79.83,250.34,64.17,623.34,235.33,100.0,252.92,1.04,3.99,8.4,7.8,0.0,0.0,0.0,2.4084957866666667,1.262,48.45,1.34,0.49,0.57,0.21,0.27,53,0,313,38974,18396,0,7,5,13.8,18412.6,5.0,9225.0,48.83,23.22,1.9456,default,hadoop_hdd
4.89,0.0,0.43,27.94,0.12,0.07,0.0,0.0,5.51,0.0,400.6,0.4,98.77,0.01,0.0,87.5,252.47,32.0,626.62,7.5,100.0,252.73,1.04,3.99,8.4,7.8,0.0,0.0,0.0,2.034189653333333,1.288,46.98,1.35,0.46,0.56,0.23,0.3,54,0,38,38946,19794,0,6,7,16.2,19793.8,7.0,9225.0,50.05,23.9,1.9456,default,hadoop_hdd
5.45,0.0,0.45,29.5,0.11,0.1,0.0,0.0,6.11,33.71333333333333,402.6,0.4,100.49,0.0,0.0,66.67,255.59,12.0,619.14,727.5,100.0,252.71,1.02,3.89,8.2,7.4,0.0,0.0,0.0,2.34223616,1.286,48.18,1.4,0.47,0.57,0.22,0.29,54,0,44,39429,17341,0,6,11,20.6,17343.8,7.0,9225.0,50.76,24.48,1.9968,default,hadoop_hdd
