CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.29,0.0,0.19,0.4,0.1,0.08,0.0,0.0,0.6599999999999999,34.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,1.36,5.0,7.2,0.0,0.0,0.0,0.27123712,0.875,28.3,2.49,0.35,1.91,0.48,0.42,0,0,48,35690,7083,0,0,0,32.6,7024.8,2.0,2683.0,3.05,22.94,1.2031999999999998,default,hadoop_hdd
0.04,0.0,0.05,0.01,0.09,0.07,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.54,1.4,2.8,0.0,0.0,0.0,0.11464021333333335,0.509,27.75,3.79,0.21,1.14,1.08,0.55,0,0,30,34417,4927,0,0,0,15.8,4924.6,2.0,2683.0,2.89,22.57,1.3312,default,hadoop_hdd
0.03,0.0,0.03,0.0,0.08,0.07,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.44,1.2,2.4,0.0,0.0,0.0,0.05595818666666666,0.408,23.37,2.97,0.21,0.99,1.59,0.65,0,0,28,34411,4912,0,0,0,16.6,4915.8,2.0,2683.0,2.66,22.2,1.3056,default,hadoop_hdd
0.06,0.0,0.09,0.02,0.1,0.07,0.0,0.0,0.32,0.0,2.4,0.0,0.01,0.0,0.0,0.0,4.0,0.0,0.08,0.0,0.0,0.0,3523.66,6.82,94.2,80.4,0.12,0.0,0.0,0.19821909333333332,0.5660000000000001,31.62,4.65,0.15,0.89,0.92,0.52,0,0,3,34816,5439,0,0,1,33.8,5447.2,3.0,2690.0,2.45,21.83,1.3312,default,hadoop_hdd
1.4,0.0,0.13,0.33,0.1,0.07,0.0,0.0,1.7,55.91,0.0,14.4,0.0,3.36,0.0,37.93,0.0,238.83,0.0,22.58,3.76,0.32,0.59,1.33,4.2,7.0,0.0,0.0,0.0,1.10127104,1.103,18.28,1.38,0.3,1.26,0.3,0.33,0,0,3477,41926,21604,0,1,1,47.2,21636.2,3.0,2821.0,2.57,21.53,1.3568,default,hadoop_hdd
16.33,0.0,4.47,0.18,0.22,0.14,0.0,0.0,21.16,35.11,36.63,17.43,0.17,3.55,14.75,31.78,4.69,208.73,2.86,10.09,4.28,0.27,9.5,12.0,13.0,16.2,0.0,0.0,0.0,14.128462506666665,0.8809999999999999,35.07,3.53,0.45,1.47,0.34,0.3,0,0,3717,148632,246695,0,21,126,2720.8,248662.0,143.0,10209.0,2.36,21.18,1.3568,default,hadoop_hdd
90.9,0.0,5.2,0.02,0.57,0.11,0.0,0.0,96.78,96.78390624999994,34.34,70.1,7.55,3.68,0.0,90.92,225.06,53.74,9.32,15.68,9.29,1.38,12.6,16.81,43.8,57.4,0.0,0.0,0.0,48.34920448,1.137,45.63,2.76,0.38,1.22,0.25,0.28,1,0,4028,83295,542385,0,97,601,2951.2,542551.0,675.0,23956.0,47.5,30.22,1.9456,default,hadoop_hdd
93.39,0.0,5.61,0.02,0.6,0.11,0.0,0.0,99.71,99.71007812500002,315.8,43.0,73.98,3.73,0.0,86.35,239.89,88.82,32.04,16.64,55.28,12.69,77.71,37.05,125.8,188.8,0.0,0.0,0.0,53.91707477333333,1.0979999999999999,51.99,3.26,0.33,1.28,0.31,0.34,14,0,3982,47467,597575,0,99,476,356.4,596462.4,426.0,24697.0,97.91,40.96,3.8144,default,hadoop_hdd
90.55,0.0,7.07,0.46,0.6,0.16,0.0,0.0,98.38,98.36937499999998,475.2,1.2,109.15,0.26,0.0,97.82,235.2,224.67,308.07,1010.17,93.2,166.39,121.6,51.87,184.83,285.83,0.0,0.0,0.0,55.23547477333332,1.159,51.43,2.82,0.26,1.07,0.33,0.39,135,0,392,56234,658545,0,99,256,230.14,656476.25,253.0,25137.0,116.09,45.67,4.2496,default,hadoop_hdd
68.46,0.0,7.92,12.35,0.51,0.14,0.0,0.0,77.03,77.03054687499998,407.4,1.2,91.96,0.11,0.0,14.29,231.14,93.33,618.37,647.83,100.32,254.73,108.7,34.71,82.8,144.6,0.0,0.0,0.0,41.73396650666667,1.186,46.12,2.35,0.22,0.97,0.33,0.4,276,0,78,71638,453680,0,78,21,114.8,453810.8,100.0,25321.0,145.39,52.92,4.352,default,hadoop_hdd
31.76,0.0,3.13,33.8,0.25,0.11,0.0,0.0,35.25,35.461290322580645,367.0,0.2,83.96,0.05,0.0,99.1,234.26,256.0,683.04,1454.0,100.08,253.07,12.33,15.56,27.0,40.8,0.0,0.0,0.0,15.08327424,1.246,34.16,1.42,0.21,0.68,0.28,0.35,205,0,186,80535,141770,0,36,19,18.4,141565.2,7.0,25217.0,154.65,56.37,4.4032,default,hadoop_hdd
33.41,0.0,3.0,32.65,0.24,0.13,0.0,0.0,36.78,36.84952755905513,356.0,2.0,84.57,0.17,0.0,76.19,243.25,87.6,719.1,547.7,100.0,252.8,15.93,17.17,37.0,58.2,0.0,0.0,0.0,14.469782186666668,1.396,33.11,1.1,0.14,0.56,0.25,0.34,183,0,366,75402,171101,0,36,35,34.2,171044.8,74.0,25139.0,162.93,59.72,4.4288,default,hadoop_hdd
20.02,0.0,1.78,41.15,0.19,0.1,0.0,0.0,22.090000000000003,33.641999999999996,337.6,2.6,80.81,0.27,0.0,45.83,245.11,107.38,741.84,316.54,100.0,252.77,1.34,11.82,12.0,14.2,0.0,0.0,0.0,9.621940906666666,1.229,31.16,1.31,0.16,0.66,0.25,0.31,180,0,560,59412,71383,0,22,11,12.4,71272.0,9.0,25125.0,165.9,62.05,4.48,default,hadoop_hdd
9.19,0.0,1.25,48.27,0.17,0.1,0.0,0.0,10.71,33.20000000000001,347.2,1.2,85.37,0.11,0.0,64.71,251.78,98.0,732.51,483.67,100.08,252.87,1.62,12.73,14.4,16.8,0.0,0.0,0.0,6.771787093333334,0.8759999999999999,25.56,2.08,0.32,1.33,0.31,0.28,177,0,1310,50661,39341,0,11,6,17.6,39312.6,6.0,25110.0,167.83,64.17,4.5056,default,hadoop_hdd
16.4,0.0,1.52,44.4,0.18,0.1,0.0,0.0,18.2,32.0,347.0,2.0,86.12,0.22,0.0,52.38,254.14,112.4,721.34,438.3,100.0,252.72,1.4,12.23,11.2,10.4,0.0,0.0,0.0,8.6552576,1.099,34.07,1.42,0.15,0.55,0.4,0.44,179,0,951,55363,53048,0,18,2,16.2,53047.4,2.0,25110.0,168.96,66.13,4.5056,default,hadoop_hdd
18.96,0.0,1.39,40.25,0.18,0.1,0.0,0.0,20.630000000000006,36.375,346.6,1.6,86.17,0.17,0.0,52.94,254.59,106.0,725.56,543.25,100.0,252.9,1.42,12.34,11.4,10.8,0.0,0.0,0.0,9.51605248,1.1159999999999999,40.23,1.74,0.18,0.58,0.36,0.4,179,0,194,58730,65473,0,21,4,13.8,65490.4,6.0,25110.0,178.02,69.71,4.5056,default,hadoop_hdd
11.38,0.0,1.11,47.15,0.17,0.11,0.0,0.0,12.77,0.0,342.8,1.8,85.21,0.17,0.0,47.06,254.54,94.22,732.82,482.22,100.16,253.16,1.42,12.34,11.4,10.8,0.0,0.0,0.0,6.881867093333334,0.998,40.38,1.97,0.24,0.65,0.42,0.42,178,0,187,53108,45582,0,12,5,16.2,45624.6,9.0,25109.0,178.41,71.6,4.5056,default,hadoop_hdd
12.52,0.0,1.03,47.1,0.16,0.1,0.0,0.0,13.81,0.0,352.2,0.8,87.73,0.11,0.0,42.86,255.08,137.0,719.73,1031.0,100.24,253.34,1.51,12.42,12.2,11.8,0.0,0.0,0.0,7.0303197866666665,1.015,40.51,1.86,0.23,0.6,0.45,0.46,180,0,151,52662,44308,0,13,16,18.8,44596.6,17.0,25107.0,179.02,73.5,4.5312,default,hadoop_hdd
16.25,0.0,1.1,42.93,0.19,0.11,0.0,0.0,17.650000000000006,33.7,343.6,1.6,85.55,0.16,0.0,52.94,254.95,104.5,732.7,715.62,100.08,253.19,1.42,12.34,11.4,10.8,0.0,0.0,0.0,10.300177066666668,0.937,43.64,2.44,0.28,0.71,0.5,0.47,180,0,186,58603,60931,0,17,15,11.4,60615.0,12.0,25075.0,185.83,76.66,4.5312,default,hadoop_hdd
11.92,0.0,1.01,43.84,0.17,0.1,0.0,0.0,13.2,33.67,346.0,1.2,86.12,0.06,0.0,53.85,254.87,54.0,721.64,654.67,100.08,253.07,1.42,12.37,11.4,11.2,0.0,0.0,0.0,9.020142933333334,0.8640000000000001,43.64,2.99,0.39,0.9,0.52,0.45,179,0,111,55549,50162,0,13,6,20.6,50294.0,9.0,25012.0,185.84,78.47,4.5312,default,hadoop_hdd
10.43,0.0,1.2,38.68,0.18,0.11,0.0,0.0,11.919999999999998,30.74,356.2,1.4,88.78,0.11,0.0,41.67,255.23,81.14,713.66,688.71,100.08,253.0,1.19,11.44,9.8,9.4,0.0,0.0,0.0,8.497486506666666,0.899,42.54,2.93,0.41,0.93,0.51,0.45,179,0,236,54653,51720,0,11,10,9.4,51596.6,91.0,24925.0,185.53,80.19,4.5312,default,hadoop_hdd
