cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.13,0.0,0.13,0.53,0.09,0.07,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,1.35,4.8,7.0,0.0,0.0,0.0,0.16443391999999998,0.704,24.66,2.43,0.42,1.56,0.69,0.48,1,0,18,35505,6681,0,0,0,25.0,6588.4,2.0,2686.0,2.8,25.92,1.1520000000000001,default,hadoop_hdd
0.19,0.0,0.09,0.06,0.09,0.08,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.54,1.4,2.8,0.0,0.0,0.0,0.18209450666666668,0.764,29.26,2.9,0.18,1.82,0.63,0.48,0,0,10,34623,5350,0,0,0,21.6,5348.4,2.0,2686.0,2.65,25.5,1.3056,default,hadoop_hdd
0.03,0.0,0.05,0.03,0.09,0.06,0.0,0.0,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.44,1.2,2.4,0.0,0.0,0.0,0.0842752,0.464,24.61,3.3,0.21,1.01,1.26,0.58,0,0,34,34404,4940,0,0,0,21.4,4943.4,2.0,2686.0,2.44,25.08,1.28,default,hadoop_hdd
0.1,0.0,0.09,0.12,0.09,0.07,0.0,0.0,0.35000000000000003,0.0,2.6,0.0,0.01,0.0,0.0,0.0,4.0,0.0,1.15,0.0,0.24,0.0,3526.48,6.91,92.0,81.6,0.12,0.0,0.0,0.24223061333333334,0.615,28.93,3.98,0.32,1.13,0.78,0.48,1,0,48,35593,7037,0,0,0,53.6,7072.6,2.0,2808.0,2.24,24.66,1.28,default,hadoop_hdd
1.84,0.0,0.15,0.3,0.11,0.07,0.0,0.0,2.17,40.910000000000004,0.2,29.8,0.0,6.8,0.0,23.98,4.0,233.83,0.0,36.45,6.16,1.07,0.59,1.32,4.2,6.8,0.0,0.0,0.0,1.3784064,1.121,18.77,1.5,0.3,1.63,0.3,0.33,0,0,7007,42676,27350,0,2,6,27.4,27449.8,10.0,2824.0,2.22,24.29,1.2544,default,hadoop_hdd
21.5,0.0,5.64,0.12,0.27,0.15,0.0,0.0,27.56,34.86,43.6,5.0,0.17,0.18,0.0,69.51,4.0,36.16,0.67,7.32,2.24,0.06,9.5,13.28,14.4,18.0,0.0,0.0,0.0,18.632239786666666,0.884,37.8,3.62,0.48,1.43,0.33,0.29,0,0,214,158675,267055,0,27,205,3329.8,268530.6,201.0,13235.0,3.41,24.17,1.2544,default,hadoop_hdd
92.48,0.0,5.09,0.01,0.56,0.09,0.0,0.0,98.22000000000001,98.22015624999999,105.56,43.45,24.28,3.73,0.0,94.06,235.5,87.8,12.44,12.37,18.97,1.82,24.98,19.16,50.4,72.2,0.0,0.0,0.0,48.55756117333333,1.199,48.4,2.77,0.35,1.18,0.24,0.28,0,0,4064,64912,586572,0,98,745,2358.2,589900.4,542.0,23980.0,41.41,31.7,2.2528,default,hadoop_hdd
93.52,0.0,5.46,0.0,0.58,0.12,0.0,0.0,99.67999999999999,99.66906249999994,247.18,51.01,57.99,1.97,0.0,84.64,240.26,39.53,37.05,51.82,50.32,11.78,71.95,36.87,130.4,192.6,0.0,0.0,0.0,54.068633600000005,1.123,54.0,3.39,0.33,1.26,0.3,0.33,1,0,2191,45974,651978,0,100,808,358.0,649673.6,479.0,24755.0,97.84,43.56,3.6608,default,hadoop_hdd
90.08,0.0,7.67,0.42,0.63,0.15,0.0,0.0,98.53,98.533125,430.2,4.8,100.69,0.67,0.0,91.58,239.66,143.5,378.91,415.42,92.8,191.09,154.44,57.37,195.2,315.0,0.01,0.0,0.0,60.4063744,1.031,56.47,3.75,0.29,1.23,0.4,0.41,138,0,786,53589,497964,0,99,279,234.33,493582.63,290.0,25202.0,136.93,52.57,4.0447999999999995,default,hadoop_hdd
82.43,0.0,8.33,4.61,0.52,0.13,0.0,0.0,91.41,91.40757812499997,382.6,0.8,85.38,0.15,0.0,96.95,228.51,195.0,665.09,1088.5,99.92,253.74,70.45,25.4,56.2,93.6,0.0,0.0,0.0,45.27654911999999,1.391,46.18,1.94,0.22,0.78,0.24,0.33,271,0,296,68392,821416,0,91,14,80.6,821547.2,10.0,25331.0,157.19,58.17,4.096,default,hadoop_hdd
22.5,0.0,3.08,40.1,0.25,0.12,0.0,0.0,25.95,33.37559999999999,348.6,2.4,78.9,0.25,0.0,90.32,231.77,105.33,726.6,441.25,100.0,253.01,27.84,18.46,38.2,60.6,0.0,0.0,0.0,15.921022293333333,1.059,32.96,2.18,0.36,1.11,0.24,0.25,213,0,600,99731,148982,0,26,7,42.8,149258.0,25.0,25239.0,170.87,62.65,4.1472,default,hadoop_hdd
31.35,0.0,2.68,36.51,0.22,0.12,0.0,0.0,34.37,35.86895238095239,328.8,1.2,76.91,0.11,0.0,68.42,239.51,97.33,773.33,730.83,100.0,252.69,2.24,13.89,23.6,34.6,0.0,0.0,0.0,12.745045333333332,1.61,37.75,0.97,0.12,0.37,0.19,0.31,181,0,82,70101,152956,0,35,21,15.8,152565.0,89.0,25148.0,175.61,65.43,4.1984,default,hadoop_hdd
14.71,0.0,1.67,46.11,0.17,0.12,0.0,0.0,16.670000000000005,34.065,330.8,3.2,79.57,0.32,0.0,40.74,246.31,103.0,752.5,204.25,100.0,252.67,1.76,13.01,16.6,21.2,0.0,0.0,0.0,9.671905279999999,1.077,31.59,1.76,0.25,0.91,0.24,0.26,180,0,1347,58617,64821,0,16,23,14.4,65183.2,17.0,25121.0,177.0,67.54,4.2496,default,hadoop_hdd
10.76,0.0,1.27,46.42,0.18,0.09,0.0,0.0,12.299999999999999,35.265,326.6,1.8,79.14,0.17,0.0,60.87,248.12,95.56,774.7,483.56,100.0,252.65,1.43,12.36,11.6,11.2,0.0,0.0,0.0,8.093484373333332,1.004,28.36,1.95,0.29,1.17,0.26,0.26,180,0,1034,53268,43694,0,13,7,15.8,43090.4,88.0,25119.0,177.8,69.53,4.2752,default,hadoop_hdd
