CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.12,0.0,0.16,0.49,0.11,0.07,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,1.96,7.8,10.0,0.0,0.0,0.0,0.14967466666666668,0.6659999999999999,23.1,2.51,0.39,1.65,0.74,0.5,1,0,30,35774,7112,0,0,0,35.2,6961.6,2.0,2694.0,12.25,57.43,1.0496,default,hadoop_hdd
0.2,0.0,0.1,0.17,0.08,0.07,0.0,0.0,0.4500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.53,1.4,2.8,0.0,0.0,0.0,0.2661307733333333,0.8440000000000001,28.23,2.75,0.2,1.77,0.51,0.43,0,0,34,34611,5318,0,0,0,26.4,5300.4,2.0,2694.0,11.35,56.49,1.1776,default,hadoop_hdd
0.07,0.0,0.06,0.0,0.09,0.07,0.0,0.0,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.53,1.4,2.8,0.0,0.0,0.0,0.11812181333333333,0.451,25.31,4.05,0.23,1.18,1.31,0.59,0,0,22,34491,5042,0,0,0,15.4,5042.8,2.0,2694.0,10.44,55.55,1.1776,default,hadoop_hdd
0.02,0.0,0.05,0.0,0.08,0.07,0.0,0.0,0.22000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.43,1.2,2.4,0.0,0.0,0.0,0.064,0.452,20.5,2.71,0.09,0.77,1.39,0.63,0,0,9,34376,4859,0,0,0,20.6,4854.0,2.0,2694.0,9.6,54.63,1.152,default,hadoop_hdd
0.02,0.0,0.03,0.0,0.1,0.07,0.0,0.0,0.22000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.53,1.4,2.8,0.0,0.0,0.0,0.056367786666666676,0.409,19.76,2.65,0.08,0.64,1.6,0.65,0,0,3,34434,4868,0,0,0,16.2,4864.4,2.0,2691.0,8.83,53.72,1.1776,default,hadoop_hdd
0.02,0.0,0.03,0.01,0.09,0.06,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.53,1.4,2.8,0.0,0.0,0.0,0.05623808,0.43,19.63,2.63,0.07,0.73,1.49,0.64,0,0,5,34384,4769,0,0,0,13.8,4763.8,2.0,2691.0,8.13,52.83,1.1776,default,hadoop_hdd
0.08,0.0,0.22,0.03,0.08,0.09,0.0,0.0,0.47,0.0,1.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,1.2,0.01,187118.36,147.35,4096.6,2142.8,6.13,0.0,0.0,0.43563690666666666,0.6920000000000001,15.44,3.9,0.14,0.68,0.74,0.51,0,0,50,41828,8549,0,0,0,20.6,8545.8,2.0,2691.0,7.48,51.95,1.1776,default,hadoop_hdd
0.23,0.0,0.1,0.39,0.11,0.08,0.0,0.0,0.52,0.0,0.6,74.0,0.0,18.41,0.0,4.39,4.0,254.82,112.67,14.35,11.04,1.12,28.47,1.61,8.8,11.8,0.0,0.0,0.0,0.3838293333333333,0.7909999999999999,21.38,2.37,0.4,1.33,0.46,0.37,1,0,18869,37426,10848,0,0,2,59.0,11024.6,3.0,2810.0,6.88,51.09,1.2031999999999998,default,hadoop_hdd
2.45,0.0,0.13,0.51,0.08,0.07,0.0,0.0,2.73,38.47,1.0,348.2,0.0,86.73,0.0,1.86,4.0,255.06,44.4,83.43,49.52,29.24,1.06,2.26,7.6,11.6,0.0,0.0,0.0,1.3280802133333331,1.189,20.02,1.5,0.23,1.64,0.29,0.34,1,0,88738,43163,29594,0,2,0,25.4,29447.8,2.0,2876.0,6.49,50.27,1.2288,default,hadoop_hdd
46.28,0.0,4.72,0.31,0.39,0.14,0.0,0.0,51.53,51.52343750000002,19.8,313.8,0.08,77.9,1.0,29.23,4.04,254.21,2.37,69.83,44.64,21.6,5.44,4.39,9.78,9.78,0.0,0.0,0.0,31.038737066666666,1.0270000000000001,44.21,3.33,0.46,1.37,0.26,0.26,0,0,79884,136794,304891,0,51,275,3090.8,306924.8,302.0,14451.0,11.97,50.68,1.2288,default,hadoop_hdd
