"cpu.all.%usr","cpu.all.%nice","cpu.all.%sys","cpu.all.%iowait","cpu.all.%irq","cpu.all.%soft","cpu.all.%steal","cpu.all.%guest","cpu.all.%util","cpu.all.%cutil","io.all-max.r/s","io.all-max.w/s","io.all-max.rMB/s","io.all-max.wMB/s","io.all-max.%rrqm","io.all-max.%wrqm","io.all-max.rareq-sz","io.all-max.wareq-sz","io.all-max.r_await","io.all-max.w_await","io.all-max.%util","io.all-max.blk_sat","sar-network.all-max.rxkB/s","sar-network.all-max.txkB/s","sar-network.all-max.rxpck/s","sar-network.all-max.txpck/s","sar-network.all-max.%ifutil","sar-net_err.all-max.err/s","sar-net_err.all-max.net_sat","perf-memBW.MEM_BW_Util","perf-cpu.IPC","perf-cpu.LLC","perf-cpu.MPKI","perf-cpu.ITLB","perf-cpu.DTLB","perf-cpu.StallBackend/Insts","perf-cpu.StallBackend/cycles","vmstat.b","vmstat.swpd","vmstat.bo","vmstat.in","vmstat.cs","vmstat.mem_sat","vmstat.cpu_util","vmstat.cpu_sat","sar-task.proc/s","sar-task.cswch/s","sar-load.runq-sz","sar-load.plist-sz","sar-load.ldavg-1","sar-load.ldavg-5","sysctl.file-util","workload.type","workload.appname"
0.2,0.0,0.28,0.0,0.08,0.05,0.0,0.0,0.6100000000000001,0.0,0.0,0.8,0.0,0.01,0.0,75.0,0.0,15.0,0.0,4.75,0.16,0.0,1.2,2.95,6.0,3.4,0.0,0.0,0.0,0.054315501670644396,0.8700343758244575,0.7418607506662168,2.654113498406525,0.07879492639977989,0.5576050443486466,0.5650059056786249,0.49157456048423465,0,1307660,35,40262,15745,0,0,0.0546875,66.6,15787.4,2.0,2736.0,35.64,22.13,8.604228440844963e-14,"default","hpc"
0.01,0.0,0.04,0.0,0.08,0.07,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.01,0.0,66.67,0.0,11.0,0.0,4.75,0.08,0.0,1.11,3.3,7.6,4.6,0.0,0.0,0.0,0.023616030548926012,0.4661226339439591,1.2558240051926688,4.9713664816891585,0.0450239135684941,0.6073682289569844,1.3201035866181607,0.6153301608733244,0,1307660,10,39200,14119,0,0,0.03125,21.6,14131.8,0.0,2736.0,32.78,21.77,8.604228440844963e-14,"default","hpc"
0.01,0.0,0.04,0.0,0.09,0.05,0.0,0.0,0.19,0.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,5.33,0.08,0.0,1.44,3.05,7.6,4.2,0.0,0.0,0.0,0.02626355758608933,0.46362057123366407,1.2194424025406636,5.067112666603511,0.04600734855935419,0.6023465433054981,1.2628642575338904,0.5854898484684393,0,1307660,3,39172,14101,0,0,0.0078125,23.2,14107.4,0.0,2736.0,30.16,21.4,8.604228440844963e-14,"default","hpc"
3.47,0.0,0.89,0.0,0.13,0.07,0.0,0.0,4.5600000000000005,0.0,0.0,0.8,0.0,0.0,0.0,42.86,0.0,6.0,0.0,4.0,0.08,0.0,6.65,9.55,40.2,37.4,0.0,0.0,0.0,0.8970203690419367,0.7304298771894263,1.6316034537285165,7.189702017614899,0.40380774760094146,1.5920343768901244,0.4415835598227914,0.32254582537023124,0,1307660,14,63624,63074,0,4,0.015625,337.8,63048.6,0.0,3776.0,28.7,21.25,9.159339953157541e-14,"default","hpc"
0.04,0.0,0.04,0.0,0.07,0.05,0.0,0.0,0.2,0.0,0.0,1.2,0.0,0.01,0.0,50.0,0.0,6.67,0.0,5.17,0.24,0.0,1.43,9.78,9.2,7.8,0.0,0.0,0.0,0.032958485646096145,0.4948257390199654,1.266582916149515,5.35472353154861,0.1326027271032208,0.7094278030238906,1.081715850964752,0.5352608453632441,0,1307660,8,39609,15092,0,0,0.0,24.6,15106.0,1.0,3744.0,26.4,20.89,9.159339953157541e-14,"default","hpc"
0.02,0.0,0.04,0.0,0.09,0.05,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,5.0,0.08,0.0,1.28,9.43,7.6,5.8,0.0,0.0,0.0,0.028418112240027278,0.5007911884409029,1.2731220793814666,5.28037305756631,0.0774018129127897,0.6580621227021083,1.1130093309103821,0.5573852655724244,0,1307660,6,39498,14706,0,0,0.0234375,23.2,14703.2,0.0,3744.0,24.29,20.55,9.43689570931383e-14,"default","hpc"
0.16,0.0,0.19,0.0,0.07,0.07,0.0,0.0,0.49,0.0,0.0,4.2,0.0,0.2,0.0,56.25,0.0,49.71,0.0,2.62,0.08,0.0,0.97,9.54,8.2,6.2,0.0,0.0,0.0,0.0390227442209342,0.9159048442593279,0.6565452188886346,2.401567333073554,0.05322116289092157,0.36833745090838726,0.558504534377898,0.5115370085775173,0,1307660,211,40132,15955,0,0,0.0,25.0,15956.4,0.0,3744.0,22.34,20.21,8.881784197001252e-14,"default","hpc"
0.02,0.0,0.03,0.0,0.08,0.04,0.0,0.0,0.17,0.0,0.0,1.6,0.0,0.01,0.0,42.86,0.0,6.0,0.0,4.0,0.24,0.0,1.23,9.88,8.0,7.4,0.0,0.0,0.0,0.02763522182066144,0.5258814608430701,1.273623638505923,5.3525987404695385,0.09339443042393275,0.6641394421563934,1.0847398126299366,0.5704445573004692,0,1307660,10,39479,14682,0,0,0.0,22.2,14680.4,0.0,3744.0,20.55,19.87,9.159339953157541e-14,"default","hpc"
0.02,0.0,0.03,0.0,0.08,0.05,0.0,0.0,0.18,0.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,5.0,0.08,0.0,1.86,9.64,9.8,7.2,0.0,0.0,0.0,0.02732714899420389,0.4766116151089236,1.2153096441485407,5.063517395731818,0.062423368827072855,0.6084526910210394,1.2044002577395887,0.5740311520788692,0,1307660,3,39336,14408,0,0,0.0,23.8,14407.6,0.0,3744.0,18.91,19.54,9.159339953157541e-14,"default","hpc"
4.36,0.0,0.75,0.01,0.15,0.16,0.0,0.0,5.420000000000001,0.0,0.0,1.0,0.0,0.01,0.0,73.68,0.0,15.2,0.0,3.2,0.08,0.0,110864.85,316.94,75043.4,4547.8,9.08,0.0,0.0,1.2748536755540405,0.6711513282125712,1.8063563063459371,7.9624623461248,0.4438716364583144,1.6691624073943028,0.6201830409268283,0.4162366716529522,0,1307660,29,91496,71723,0,5,0.046875,53.4,71062.4,7.0,3880.0,17.39,19.22,9.43689570931383e-14,"default","hpc"
32.01,0.0,2.37,0.02,0.45,0.44,0.0,0.0,35.269999999999996,51.897424242424265,0.0,1.2,0.0,0.01,0.0,50.0,0.0,6.67,0.0,5.17,0.16,0.0,381342.97,1804.91,263181.0,16846.0,31.24,0.0,0.0,7.085290685577906,0.8057285140083807,1.5244851633306127,6.209901164682128,0.2804125193226293,1.5053707358308799,0.5741507743619502,0.46260965024341516,0,1307660,48,308999,411534,0,35,0.3828125,28.6,410164.8,53.0,3908.0,19.36,19.59,9.43689570931383e-14,"default","hpc"
30.14,0.0,3.05,0.01,0.58,0.82,0.0,0.0,34.589999999999996,40.23097560975611,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,4.0,0.0,0.0,874656.49,3944.37,604860.0,33195.2,71.65,0.0,0.0,7.177803866075691,0.9401921015290721,0.993019151046516,3.699634562819045,0.19800094503669044,0.9392179605792391,0.4275397473093166,0.4019694935099548,0,1307660,6,474606,656934,0,34,0.40625,23.0,656745.2,40.0,3908.0,20.7,19.87,9.43689570931383e-14,"default","hpc"
30.49,0.0,3.08,0.02,0.55,0.85,0.0,0.0,34.97,40.96012499999999,0.0,0.8,0.0,0.0,0.0,33.33,0.0,5.0,0.0,3.5,0.16,0.0,956366.53,4335.68,661146.0,36367.0,78.35,0.0,0.0,7.000152818820321,0.9471366286847988,0.9521073453562071,3.515713878251462,0.18335868910636552,0.8632898726122815,0.41528649417961006,0.39333305003560515,0,1307660,27,474823,654194,0,35,0.3359375,25.0,654113.0,41.0,3908.0,22.24,20.2,9.159339953157541e-14,"default","hpc"
27.51,0.0,3.05,0.01,0.54,0.78,0.0,0.0,31.880000000000003,38.93111111111111,0.0,8.4,0.0,0.22,0.0,33.33,0.0,26.57,0.0,2.38,0.16,0.02,887281.87,3893.08,614308.4,32221.4,72.69,0.0,0.0,6.63375758881691,0.8796074998035498,0.8912226457359782,3.2566869659650504,0.17409203618633295,0.7873740538150034,0.43002547232551086,0.3782536305640832,0,1307660,223,457565,641155,0,32,0.28125,22.0,641084.6,42.0,3908.0,23.67,20.53,9.43689570931383e-14,"default","hpc"
26.93,0.0,3.2,0.01,0.54,0.75,0.0,0.0,31.419999999999998,39.55015384615383,0.0,2.2,0.0,0.01,0.0,45.0,0.0,6.55,0.0,3.18,0.24,0.0,867551.25,3841.68,600843.6,31528.8,71.07,0.0,0.0,6.691682542107057,0.8531615330586098,0.9039673048907642,3.3152610702167555,0.17637910729685846,0.8197758884084095,0.4416805588759337,0.37682486273277516,0,1307660,14,456205,636707,0,31,0.3515625,24.0,636571.8,36.0,3910.0,25.13,20.89,9.43689570931383e-14,"default","hpc"
27.43,0.0,2.99,0.0,0.55,0.79,0.0,0.0,31.76,38.72972972972974,0.0,0.8,0.0,0.0,0.0,33.33,0.0,5.0,0.0,3.5,0.08,0.0,909511.95,3985.99,629741.4,33054.0,74.51,0.0,0.0,6.428025829116946,0.9185826198284915,0.8545039259363393,3.1076557800251043,0.1676681568157293,0.78550594420127,0.4229178652932412,0.3884850006733386,0,1307660,11,468827,646028,0,31,0.3125,24.2,646024.6,40.0,3900.0,26.64,21.27,9.43689570931383e-14,"default","hpc"
