CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.08,0.0,0.2,0.48,0.08,0.04,0.0,0.0,0.4,0.0,40.6,0.6,1.13,0.01,21.92,72.73,28.59,13.33,11.85,5.0,9.6,0.43,0.87,0.01,4.6,0.2,0.0,0.0,0.0,0.025497425434708492,0.8289183517340257,1.3812693350238003,5.007731528839454,0.1986215758104478,0.7839775131813739,0.5325075994993939,0.44140532166288027,0,776,0,33869,2774,0,0,0.0,56.2,2573.0,3.0,2633.0,2.83,0.67,1.3600232051658168e-13,default,hpc
0.25,0.0,0.22,0.0,0.08,0.04,0.0,0.0,0.59,0.0,0.0,0.8,0.0,0.01,0.0,71.43,0.0,13.0,0.0,4.0,0.24,0.0,0.93,0.03,4.4,0.4,0.0,0.0,0.0,0.018710606205250595,0.7991518182915934,0.8752735096172286,3.2020534428239404,0.06404534647557074,0.2326588011597159,0.8140191307948615,0.6505248684988559,0,776,15,33681,2885,0,0,0.0,22.16,2862.87,2.0,2632.0,2.6,0.65,1.3600232051658168e-13,default,hpc
0.06,0.0,0.04,0.03,0.07,0.03,0.0,0.0,0.2,0.0,18.0,5.0,0.07,0.02,0.0,24.24,4.27,4.96,4.46,2.72,4.08,0.05,0.85,0.02,5.2,0.4,0.0,0.0,0.0,0.010321975860893284,0.5561223362620196,1.4843739418472537,6.184838915664747,0.06966553086631577,0.3298432750436107,1.1059664519588386,0.6150526470907658,0,776,24,32921,1335,0,0,0.0,23.2,1333.0,2.0,2632.0,2.39,0.64,1.3600232051658168e-13,default,hpc
0.49,0.0,0.11,0.48,0.08,0.05,0.0,0.0,0.73,0.0,532.0,0.6,7.13,0.01,0.0,84.21,13.73,24.0,1.65,5.33,64.0,0.53,0.95,0.01,4.2,0.2,0.0,0.0,0.0,0.11397018752130925,0.8649219797773957,2.0104446425751368,8.798131765298589,0.4114022449962246,1.305579396296157,0.4074734368831484,0.3524327317356725,1,776,5,37801,10492,0,0,0.0,72.2,11514.4,5.0,2749.0,2.28,0.65,1.3877787807814457e-13,default,hpc
1.55,0.0,0.39,0.24,0.07,0.06,0.0,0.0,2.07,31.73,448.8,1.6,6.63,0.07,0.0,50.0,15.12,42.5,0.77,4.88,32.8,0.2,2.21,1.72,6.4,3.6,0.0,0.0,0.0,0.2419645316058643,1.0271419300877858,1.7635329639284256,7.3427486711032275,0.32956488648241483,1.3896590930977604,0.3919224076543224,0.40255993824271263,0,776,78,40809,16372,0,3,0.0078125,55.8,15531.2,2.0,2906.0,2.18,0.66,1.3877787807814457e-13,default,hpc
1.01,0.0,0.36,0.22,0.09,0.07,0.0,0.0,1.5300000000000002,33.34,186.8,1.2,2.09,0.01,0.0,53.85,11.44,7.33,1.29,3.5,20.72,0.17,6.04,3.81,36.2,28.4,0.0,0.0,0.0,0.3367071203545857,0.9068265910843968,1.9110738000038665,8.066415138201561,0.3513643721883273,1.2528140816493778,0.3965602018881849,0.3596113360380029,1,776,30,46474,19311,0,2,0.0234375,111.4,19840.4,5.0,2926.0,2.08,0.66,1.3600232051658168e-13,default,hpc
0.85,0.0,0.65,0.17,0.12,0.11,0.0,0.0,1.7300000000000002,0.0,0.8,6.8,0.0,0.23,0.0,49.25,4.0,34.94,6.5,13.56,1.12,0.09,0.63,0.01,3.4,0.2,0.0,0.0,0.0,0.4869829782475281,0.9956630550919942,1.4342065896496732,5.549616012731061,0.197871276412654,0.5970353745130861,0.3840592782313816,0.3823936343002837,0,776,234,51194,14229,0,2,0.0234375,235.2,13930.6,3.0,2926.0,2.0,0.67,1.3600232051658168e-13,default,hpc
0.8,0.0,0.81,0.18,0.12,0.12,0.0,0.0,1.85,0.0,0.0,1.2,0.0,0.01,0.0,40.0,0.0,5.33,0.0,6.0,0.72,0.01,0.87,0.03,3.4,0.4,0.0,0.0,0.0,0.4691910044323218,1.0197376695918547,1.19346332296648,4.455624800538205,0.16887611251691734,0.4406586083664017,0.4163592589710581,0.4245772204561384,0,776,14,50912,13545,0,2,0.03125,236.4,13543.6,2.0,2926.0,2.08,0.71,1.4432899320127035e-13,default,hpc
0.59,0.0,0.66,0.19,0.12,0.12,0.0,0.0,1.4900000000000002,0.0,1.2,1.4,0.01,0.01,0.0,30.0,10.0,5.14,5.17,1.86,0.88,0.01,1.02,0.14,6.6,1.6,0.0,0.0,0.0,0.4383493673371974,1.0109279274739986,1.3435229396575448,5.099744942637444,0.18258224319664385,0.5075821420253989,0.358020074540315,0.3619324919491271,0,776,7,49339,10376,0,2,0.0078125,239.6,10335.8,3.0,2926.0,1.99,0.71,1.4710455076283324e-13,default,hpc
0.59,0.0,0.67,0.17,0.11,0.11,0.0,0.0,1.4800000000000002,0.0,0.0,1.4,0.0,0.01,0.0,50.0,0.0,6.86,0.0,4.57,0.64,0.0,0.83,0.13,5.2,1.4,0.0,0.0,0.0,0.4360914700306853,1.016503295543847,1.3303189519421534,5.0335986248564835,0.18308922841330355,0.4949577732710676,0.367462323040326,0.3735266623586891,0,776,7,49230,10200,0,2,0.015625,239.6,10147.6,2.0,2926.0,1.91,0.72,1.4710455076283324e-13,default,hpc
