CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.37,0.0,5.93,0.0,0.85,4.01,0.0,0.0,12.16,39.99,0.0,3.2,0.0,0.01,0.0,5.88,0.0,4.25,0.0,4.75,0.88,0.01,57925.0,1198455.07,637607.0,636710.0,98.18,0.0,0.0,4.54,0.5688193152107794,2.751120854338858,11.305265202989087,0.21066812237685545,1.3966667254627692,1.0,0.5688193152107794,0.0,0.0,13.0,1140082.0,121466.0,0.0,12.0,12.0,1.4,121731.4,11.0,1635.0,9.51,10.06,0.0859375,default,default
1.39,0.0,5.94,0.0,0.84,4.02,0.0,0.0,12.19,38.79,0.0,0.2,0.0,0.03,0.0,0.0,0.0,152.0,0.0,1.0,0.0,0.0,57920.53,1198452.95,637546.0,636682.6,98.18,0.0,0.0,4.51,0.568952162647627,2.786588737420476,11.436445638747136,0.21016585152053283,1.3942476649959157,1.0,0.568952162647627,0.0,0.0,30.0,1140713.0,122313.0,0.0,12.0,10.0,0.0,122341.4,10.0,1635.0,9.47,10.04,0.0859375,default,default
1.34,0.0,6.04,0.0,0.85,4.06,0.0,0.0,12.29,39.99,0.0,0.6,0.0,0.0,0.0,50.0,0.0,6.67,0.0,6.67,0.32,0.0,57921.1,1198457.08,637546.2,636696.8,98.18,0.0,0.0,4.59,0.5663532784110465,2.8479525425088306,11.667184599454355,0.21005507101650975,1.3974032000669214,1.0,0.5663532784110465,0.0,0.0,4.0,1135614.0,120985.0,0.0,12.0,12.0,0.0,121086.4,15.0,1635.0,9.27,9.99,0.09375,default,default
1.36,0.0,6.06,0.0,0.84,4.0,0.0,0.0,12.26,40.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57920.91,1198453.38,637547.6,636693.4,98.18,0.0,0.0,4.52,0.5652563034984956,2.7767618095569553,11.412672203306228,0.2113557232979043,1.3931987511971162,1.0,0.5652563034984956,0.0,0.0,0.0,1137216.0,119871.0,0.0,12.0,10.0,1.6,119860.8,9.0,1635.0,9.41,10.01,0.09375,default,default
1.36,0.0,6.04,0.0,0.85,3.99,0.0,0.0,12.24,40.94,0.0,0.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.32,0.0,57920.44,1198454.44,637538.8,636708.6,98.18,0.0,0.0,4.5,0.5646501715118247,2.734041946106905,11.249077891464335,0.21158877428482187,1.4050646492166337,1.0,0.5646501715118247,0.0,0.0,0.0,1134463.0,118699.0,0.0,12.0,15.0,0.2,118664.6,12.0,1639.0,9.46,10.01,0.0859375,default,default
1.36,0.0,6.12,0.0,0.83,4.1,0.0,0.0,12.41,41.11,0.0,0.8,0.0,0.01,0.0,42.86,0.0,9.0,0.0,5.25,0.4,0.0,57919.96,1198445.49,637527.0,636683.2,98.18,0.0,0.0,4.54,0.5625428057496547,2.78827174687914,11.425094520433602,0.21053412871614088,1.3938604740409204,1.0,0.5625428057496547,0.0,0.0,3.0,1126819.0,119099.0,0.0,12.0,9.0,0.0,119171.6,13.0,1634.0,9.85,10.07,0.078125,default,default
1.33,0.0,6.12,0.0,0.83,4.2,0.0,0.0,12.48,41.08,0.0,24.4,0.0,2.02,0.0,8.96,0.0,84.82,0.0,11.23,1.2,0.23,57916.77,1198460.55,637473.4,636697.2,98.18,0.0,0.0,4.7,0.5611393900031324,2.875442633826828,11.739264819739237,0.2090470718857596,1.3874508898012499,1.0,0.5611393900031324,0.0,0.0,2069.0,1119965.0,116396.0,0.0,12.0,9.0,0.0,116395.8,11.0,1640.0,9.86,10.07,0.0859375,default,default
1.36,0.0,6.07,0.0,0.85,4.08,0.0,0.0,12.36,39.29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,7.2,0.72,0.01,57927.01,1198539.98,637629.6,636737.4,98.18,0.0,0.0,4.55,0.565969232425505,2.768345457369502,11.352847675643089,0.2099779890100652,1.3906279902272867,1.0,0.565969232425505,0.0,0.0,2.0,1133784.0,119203.0,0.0,12.0,10.0,0.0,119279.6,9.0,1634.0,9.79,10.05,0.0859375,default,default
1.29,0.0,5.91,0.0,0.83,3.78,0.0,0.0,11.81,41.98,0.0,0.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.32,0.0,57918.67,1198436.99,637509.0,636676.0,98.18,0.0,0.0,4.41,0.5799702486472458,2.7106464415027722,11.178631627477687,0.21332700449265204,1.4179068225247922,1.0,0.5799702486472458,0.0,0.0,0.0,1145836.0,118611.0,0.0,12.0,8.0,1.8,118585.4,9.0,1635.0,9.65,10.02,0.08203125,default,default
1.34,0.0,6.05,0.0,0.85,3.99,0.0,0.0,12.23,42.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,57919.57,1198433.94,637532.4,636691.2,98.18,0.0,0.0,4.5,0.5626965066060294,2.7514828962142626,11.314893119804928,0.21197985136857198,1.4077411678014888,1.0,0.5626965066060294,0.0,0.0,1.0,1131513.0,118466.0,0.0,12.0,11.0,0.0,118444.8,11.0,1637.0,9.92,10.07,0.08203125,default,default
