CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
4.4,0,10.3,0,0.56,5.64,0,0,20.9,41.62,0,1,0,0.02,0,64.29,0,19.2,0,3.4,0.32,0,184897.32,1183454.43,1325311.2,1324702.2,96.95,0,0,11.1,0.677727302,2.460056866,9.835546381,0.000109586,0.979060549,1,0.677727302,0,0,19,951949,1585720,0,21,15,1.8,1585561.8,23,1343,17.86,19.29,0.027817353,default,nginx_http_long
4.39,0,10.17,0,0.58,5.63,0,0,20.77,41.51,0,1.4,0,0.01,0,41.67,0,6.86,0,4.71,0.56,0.01,185014.58,1183972.71,1326487.2,1325724.8,96.99,0,0,11.11,0.680046333,2.447533374,9.785022209,4.33E-05,0.979128943,1,0.680046333,0,0,10,953739,1589014,0,20,22,0.2,1588849,23,1343,17.87,19.27,0.027817353,default,nginx_http_long
4.41,0.01,10.14,0,0.56,5.63,0,0,20.75,41.28,0,0.4,0,0,0,0,0,6,0,0.5,0,0,185004.83,1184119.26,1326102.6,1325473.8,97,0,0,11.1,0.679186507,2.464304815,9.854780562,4.18E-05,0.978474584,1,0.679186507,0,0,2,957244,1594614,0,20,20,0,1594434.6,22,1343,18.29,19.33,0.027817353,default,nginx_http_long
4.38,0,10.14,0,0.58,5.63,0,0,20.73,41.49,0,0.4,0,0.01,0,75,0,16,0,9,0.32,0,185044.06,1184079.11,1326797.4,1325978.6,97,0,0,11.11,0.678093925,2.458162605,9.830230468,4.49E-05,0.978692592,1,0.678093925,0,0,6,954797,1588078,0,20,23,0.2,1587972.8,15,1343,18.26,19.31,0.027817353,default,nginx_http_long
4.42,0,10.19,0,0.56,5.62,0,0,20.79,41.56,0,0.4,0,0,0,0,0,4,0,7,0.24,0,185006.18,1184080.71,1326180.8,1325519.6,97,0,0,11.1,0.678631525,2.454641913,9.815158644,4.18E-05,0.980559413,1,0.678631525,0,0,1,953875,1587946,0,20,18,0.2,1587772.8,22,1343,18.72,19.39,0.027817353,default,nginx_http_long
4.44,0.01,10.18,0,0.56,5.63,0,0,20.82,41.41,0,0.4,0,0.01,0,81.82,0,22,0,8.5,0.32,0,185001.85,1184124.61,1326058.8,1325450,97,0,0,11.1,0.679127829,2.43831377,9.749702568,4.21E-05,0.976376965,1,0.679127829,0,0,9,949103,1581932,0,20,18,0.2,1581569.8,21,1345,18.58,19.35,0.027817353,default,nginx_http_long
4.5,0,10.13,0,0.58,5.62,0,0,20.83,41.67,0,3.59,0,0.02,0,5.26,0,4.67,0,2.33,0.24,0,184989.12,1184020.67,1325990.2,1325363.8,96.99,0,0,11.11,0.678454598,2.434861625,9.737337781,4.32E-05,0.980608557,1,0.678454598,0,0,17,956543,1587965,0,21,21,0.2,1587800.6,18,1343,18.7,19.36,0.027817353,default,nginx_http_long
4.42,0,10.22,0,0.56,5.64,0,0,20.84,41.5,0,1,0,0.01,0,50,0,8,0,3.8,0.32,0,184990.1,1184040.03,1325983.8,1325368,97,0,0,11.08,0.676667752,2.443146608,9.772316125,4.27E-05,0.980472097,1,0.676667752,0,0,8,951286,1584267,0,20,21,0.2,1584099,23,1342,19.2,19.45,0.028776572,default,nginx_http_long
4.37,0,10.23,0,0.55,5.65,0,0,20.8,41.42,0,0.4,0,0,0,50,0,8,0,8,0.32,0,184975.57,1183918.8,1325895.2,1325251,96.99,0,0,11.09,0.677025739,2.437213439,9.747266706,4.53E-05,0.980187268,1,0.677025739,0,0,3,951142,1582991,0,20,22,0,1582852,21,1342,19.27,19.46,0.028776572,default,nginx_http_long
4.39,0,10.29,0,0.56,5.66,0,0,20.9,41.77,0,0.2,0,0,0,0,0,12,0,1,0,0,185016.34,1184064.97,1326357,1325634.8,97,0,0,11.09,0.67684805,2.447311053,9.78793741,4.33E-05,0.979306876,1,0.67684805,0,0,2,950254,1580964,0,20,20,0,1580785.8,15,1342,19.49,19.51,0.028776572,default,nginx_http_long
