CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
2.42,0.01,11.01,0,0.39,11.5,0,0,25.33,50.53,0,0.4,0,0,0,50,0,8,0,9,0.32,0,221153.8,599681.25,2761721.8,2209408.6,49.13,0,0,12.82,0.734830963,1.911391967,7.839776669,3.94E-05,0.648725391,1,0.734830963,0,0,3,654345,1212098,0,25,35,0,1211519.6,31,1333,30.7,23.16,0.025898915,default,nginx_http_short
2.49,0,11.43,0,0.38,11.57,0,0,25.87,51.61,0,0.6,0,0.01,0,62.5,0,14.67,0,6.67,0.32,0,221616.44,600927.14,2767501.4,2213950.2,49.23,0,0,12.84,0.752148837,1.847161177,7.569698738,3.63E-05,0.629491545,1,0.752148837,0,0,9,643201,1191774,0,25,35,0,1191616.6,35,1331,30.56,23.26,0.025898915,default,nginx_http_short
2.52,0,10.48,0,0.39,11.59,0,0,24.98,50.11,0,2.4,0,0.01,0,7.69,0,4.33,0,2.33,0,0,221165.06,599712.89,2761862.2,2209481.4,49.13,0,0,12.84,0.690058284,2.0785647,8.548054839,4.37E-05,0.700311629,1,0.690058284,0,0,10,666739,1239654,0,25,33,0.2,1239479.4,27,1331,31,23.47,0.025898915,default,nginx_http_short
2.44,0,11.08,0,0.37,11.65,0,0,25.54,50.96,0,0.6,0,0,0,25,0,5.33,0,3,0.16,0,221783.04,601394.42,2769564.4,2215681.6,49.27,0,0,12.85,0.726733769,1.938240872,7.954219612,4.01E-05,0.656705538,1,0.726733769,0,0,3,650797,1209406,0,25,39,0,1209258.6,31,1331,31.64,23.73,0.025898915,default,nginx_http_short
2.52,0.01,10.98,0,0.38,11.59,0,0,25.48,50.81,0,0.8,0,0.01,0,33.33,0,8,0,5,0.32,0,221278.41,600021.41,2763273,2210639,49.15,0,0,12.84,0.71637094,1.974266298,8.10680461,4.20E-05,0.668383335,1,0.71637094,0,0,6,657566,1218441,0,26,33,0,1218347.4,29,1331,31.19,23.77,0.025898915,default,nginx_http_short
2.48,0,11.08,0.01,0.38,11.6,0,0,25.54,50.95,0,1.4,0,0.01,0,41.67,0,6.86,0,9.29,0.64,0.01,221455.05,600485.97,2765494,2212380.6,49.19,0,0,12.84,0.737608092,1.898770818,7.782388455,3.83E-05,0.645144121,1,0.737608092,0,0,10,649854,1204490,0,25,29,0.4,1204096,40,1333,30.92,23.96,0.025898915,default,nginx_http_short
2.48,0,11.62,0,0.38,11.56,0,0,26.04,51.98,0,0,0,0,0,0,0,0,0,0,0,0,221642.55,601001.72,2767827.6,2214256.2,49.23,0,0,12.83,0.755208185,1.835656919,7.521842021,3.64E-05,0.625471659,1,0.755208185,0,0,0,641412,1187868,0,26,34,0.2,1187784.2,40,1331,30.61,24.01,0.025898915,default,nginx_http_short
2.54,0,11.65,0,0.38,11.61,0,0,26.18,52.22,0,0.4,0,0,0,33.33,0,6,0,7,0.32,0,221836.34,601528.7,2770246.6,2216198,49.28,0,0,12.84,0.747710965,1.86599281,7.648504761,3.89E-05,0.634489208,1,0.747710965,0,0,2,639803,1185862,0,27,34,0.2,1185799.4,33,1331,30.4,24.07,0.025898915,default,nginx_http_short
2.49,0,11.08,0,0.38,11.55,0,0,25.5,50.9,0,0.6,0,0,0,40,0,8,0,5.33,0.24,0,220898.38,598984.77,2758530.8,2206824.2,49.07,0,0,12.82,0.720504331,1.961039369,8.049930475,3.96E-05,0.663920429,1,0.720504331,0,0,5,658215,1218226,0,25,31,0,1218101.6,31,1331,30.45,24.19,0.025898915,default,nginx_http_short
2.56,0,11.14,0,0.38,11.55,0,0,25.63,51.14,0,0.4,0,0.01,0,71.43,0,14,0,7,0.24,0,221375.96,600283.24,2764494.4,2211624.8,49.18,0,0,12.83,0.725334494,1.950040295,8.003329546,4.12E-05,0.659345239,1,0.725334494,0,0,6,654733,1214236,0,26,39,0.2,1214123,33,1331,30.57,24.32,0.025898915,default,nginx_http_short
2.48,0.01,11.06,0,0.38,11.56,0,0,25.49,50.84,0,0,0,0,0,0,0,0,0,0,0,0,221285.53,600039.45,2763367.6,2210685.6,49.16,0,0,12.84,0.715337717,1.982302172,8.140826658,4.01E-05,0.67071392,1,0.715337717,0,0,0,658470,1223909,0,25,26,0,1223767.6,37,1331,30.93,24.5,0.024939696,default,nginx_http_short
2.47,0,11.35,0,0.39,11.61,0,0,25.82,51.5,0,0.6,0,0,0,40,0,6.67,0,4.67,0.24,0,221543.58,600738.42,2766581.6,2213289.2,49.21,0,0,12.83,0.751755,1.851853696,7.589818954,3.92E-05,0.63084158,1,0.751755,0,0,4,643890,1193215,0,25,35,0,1193081,38,1336,30.93,24.6,0.024939696,default,nginx_http_short
2.52,0,10.99,0,0.4,11.63,0,0,25.54,50.94,0,0.4,0,0,0,33.33,0,6,0,10,0.32,0,221610.72,600902.13,2767442.2,2213929,49.23,0,0,12.85,0.716661304,1.976087573,8.113900321,4.26E-05,0.668379283,1,0.716661304,0,0,2,656367,1219077,0,26,33,0,1218926.2,29,1331,31.18,24.76,0.024939696,default,nginx_http_short
2.56,0,10.94,0,0.39,11.46,0,0,25.35,50.55,0,0.4,0,0,0,50,0,8,0,8,0.32,0,220641.82,598293.36,2755315.4,2204255,49.01,0,0,12.79,0.723293392,1.951658551,8.010966811,5.36E-05,0.661263145,1,0.723293392,0,0,3,658148,1216012,0,26,32,0.4,1215892.4,31,1332,32.05,25.05,0.024939696,default,nginx_http_short
2.44,0,11.21,0,0.38,11.58,0,0,25.61,51.08,0,0.6,0,0.01,0,66.67,0,13.33,0,5,0.24,0,221215.4,599826.2,2762491.4,2209942.2,49.14,0,0,12.82,0.731116016,1.921734772,7.884171076,3.80E-05,0.652837503,1,0.731116016,0,0,8,652429,1210306,0,25,56,0,1210093.4,35,1332,31.88,25.13,0.024939696,default,nginx_http_short
2.54,0,11.17,0,0.38,11.65,0,0,25.74,51.32,0,0,0,0,0,0,0,0,0,0,0,0,221728.5,601238.75,2768895.4,2215114.8,49.25,0,0,12.85,0.732587956,1.914370636,7.859292181,3.67E-05,0.650227559,1,0.732587956,0,0,0,651067,1209346,0,26,60,0.2,1209216.8,60,1332,32.29,25.33,0.024939696,default,nginx_http_short
2.5,0,11.17,0,0.38,11.57,0,0,25.62,51.12,0,0.4,0,0,0,33.33,0,6,0,9.5,0.4,0,221211.76,599840.24,2762443,2209980,49.14,0,0,12.83,0.724768725,1.943323315,7.97562404,4.00E-05,0.660856272,1,0.724768725,0,0,2,654480,1214946,0,25,28,0.4,1214704.8,28,1334,32.11,25.51,0.024939696,default,nginx_http_short
2.48,0,10.99,0,0.4,11.49,0,0,25.36,50.58,0,0.4,0,0,0,50,0,8,0,7.5,0.24,0,221017.91,599322.2,2760034,2208019.8,49.1,0,0,12.82,0.726117488,1.938460961,7.955328751,4.10E-05,0.658338564,1,0.726117488,0,0,3,653342,1211412,0,25,25,0.2,1211275.4,36,1332,31.78,25.56,0.024939696,default,nginx_http_short
2.49,0,10.9,0,0.4,11.62,0,0,25.41,50.67,0,0.2,0,0,0,0,0,8,0,1,0,0,221336.95,600177.14,2764010.8,2211239.2,49.17,0,0,12.85,0.70450337,2.019192151,8.29685885,4.40E-05,0.683340714,1,0.70450337,0,0,2,663077,1232444,0,25,29,0.6,1232301.2,30,1333,31.47,25.6,0.024939696,default,nginx_http_short
2.49,0,11.32,0,0.38,11.65,0,0,25.84,51.54,0,1,0,0.01,0,50,0,9.6,0,3.4,0.32,0,221809.45,601457.24,2769891.8,2215885.6,49.27,0,0,12.86,0.736634314,1.904991382,7.813395498,3.78E-05,0.647141017,1,0.736634314,0,0,10,649084,1204734,0,25,38,0,1204592.4,32,1333,31.28,25.65,0.024939696,default,nginx_http_short
