CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
85.39,0,7.75,0,0.27,5.45,0,0,98.86,98.86,0,0.4,0,0,0,50,0,8,0,5,0.16,0,74535.52,224917.46,592488.4,483529.8,18.43,0,0,7.72,2.231195451,0.456302908,0.747570262,0.011823093,0.103032562,1,2.231195451,0,0,3,105998,83711,0,98,144,0,83744,136,1438,29.68,31.03,0.048920172,default,nginx_https_short
85.62,0,7.74,0,0.26,5.4,0,0,99.02,99.02,0,0.4,0,0,0,50,0,8,0,6,0.24,0,74789.49,225426.35,594752.3,485072.06,18.47,0,0,7.75,2.230946499,0.456086797,0.747347659,0.011842298,0.103135291,1,2.230946499,0,0,3,108362,85279,0,99,144,0,84988.42,149,1433,46.79,34.66,0.048920172,default,nginx_https_short
85.09,0.01,8.13,0,0.25,5.55,0,0,99.03,99.04,0,0,0,0,0,0,0,0,0,0,0,0,74368.33,224337.86,591104.59,482242.51,18.38,0,0,7.71,2.230752572,0.455262242,0.745800783,0.011807495,0.103133267,1,2.230752572,0,0,0,104848,82999,0,99,143,0.2,82962.6,147,1431,54.34,36.42,0.048920172,default,nginx_https_short
85.37,0,7.87,0,0.24,5.53,0,0,99.01,99.01,0,0.6,0,0,0,40,0,6.67,0,2.67,0.08,0,74390.55,224513.98,591534.2,482554.8,18.39,0,0,7.7,2.231393465,0.455670921,0.746728344,0.011810842,0.103287569,1,2.231393465,0,0,4,105389,82991,0,99,143,2,82846,140,1431,61.52,38.21,0.048920172,default,nginx_https_short
85.4,0.01,7.86,0,0.25,5.38,0,0,98.9,98.9,0,0.8,0,0.01,0,66.67,0,14,0,3.75,0.32,0,74515.15,224951.7,591986.2,482771.4,18.43,0,0,7.7,2.231351389,0.455997696,0.746980749,0.011810027,0.103395679,1,2.231351389,0,0,11,106350,84487,0,99,138,0,84496.6,140,1428,68.12,39.96,0.048920172,default,nginx_https_short
85.7,0.01,7.78,0,0.26,5.3,0,0,99.05,99.04,0,0.4,0,0.01,0,80,0,20,0,6,0.24,0,74690.78,225607.24,593492.8,484459.4,18.48,0,0,7.71,2.231019167,0.456316126,0.747446384,0.011854706,0.103626538,1,2.231019167,0,0,8,108091,84965,0,99,147,0,84970.6,141,1434,73.88,41.62,0.047960953,default,nginx_https_short
85.49,0.01,7.88,0,0.26,5.22,0,0,98.86,98.86,0,0,0,0,0,0,0,0,0,0,0,0,74588.32,225348.21,592643.6,483851.8,18.46,0,0,7.7,2.231232978,0.455616481,0.746561716,0.011840702,0.103480617,1,2.231232978,0,0,0,109560,88190,0,99,148,0,88176.6,145,1435,79.41,43.31,0.045083296,default,nginx_https_short
85.36,0,7.87,0,0.26,5.32,0,0,98.81,98.81,0,0,0,0,0,0,0,0,0,0,0,0,74479.56,224966.75,591848.4,482771,18.43,0,0,7.71,2.230966828,0.457104339,0.748695371,0.011849729,0.103453452,1,2.230966828,0,0,0,107844,84643,0,98,136,0,84882.63,138,1434,84.19,44.9,0.046042515,default,nginx_https_short
85.29,0,7.91,0,0.25,5.39,0,0,98.84,98.85,0,0,0,0,0,0,0,0,0,0,0,0,74258.42,224364.62,590061.48,481862.87,18.38,0,0,7.67,2.230876257,0.456672043,0.748063288,0.011828245,0.10337547,1,2.230876257,0,0,0,108559,85772,0,99,143,0.2,85669.2,145,1431,89.22,46.59,0.046042515,default,nginx_https_short
85.48,0,7.92,0,0.27,5.35,0,0,99.02,99.02,0,3.4,0,0.02,0,19.05,0,5.65,0,1.71,0.24,0,74597.72,225121.12,593046.11,483606.99,18.44,0,0,7.71,2.23093623,0.456066132,0.747516794,0.011844322,0.10344011,1,2.23093623,0,0,19,108588,86000,0,100,149,0.2,85920,141,1438,97.15,49.69,0.046042515,default,nginx_https_short
85.67,0.01,7.86,0,0.24,5.36,0,0,99.14,99.14,0,0.6,0,0.01,0,66.67,0,13.33,0,2.33,0.08,0,74651.02,225410.22,593575,484111,18.47,0,0,7.7,2.231044998,0.456096391,0.747246186,0.011837542,0.103356712,1,2.231044998,0,0,8,105871,82613,0,99,139,0.2,82595,148,1431,100.74,51.22,0.046042515,default,nginx_https_short
85.62,0.01,7.73,0,0.26,5.42,0,0,99.04,99.04,0,0.6,0,0.01,0,62.5,0,10.67,0,6,0.4,0,74590.13,225113.11,592770.6,483219.2,18.44,0,0,7.69,2.23147567,0.456551636,0.74778167,0.011808046,0.103385879,1,2.23147567,0,0,6,105598,80837,0,99,145,0,80769.6,147,1434,103.16,52.54,0.044124077,default,nginx_https_short
85.71,0,7.71,0,0.26,5.29,0,0,98.97,98.97,0,0,0,0,0,0,0,0,0,0,0,0,74597.99,225552.66,592466.8,483561.8,18.48,0,0,7.68,2.231507508,0.455921467,0.746838541,0.011839535,0.103530668,1,2.231507508,0,0,0,106698,83360,0,99,145,0.6,83347,144,1435,106.11,54,0.044124077,default,nginx_https_short
85.53,0.01,7.75,0,0.25,5.3,0,0,98.84,98.84,0,0.4,0,0,0,33.33,0,6,0,8,0.32,0,74647.6,225242.25,593398.2,484197.01,18.45,0,0,7.71,2.231206687,0.455837876,0.746908971,0.011847259,0.103430645,1,2.231206687,0,0,2,109749,86874,0,99,142,0.2,86803,124,1428,108.59,55.37,0.046042515,default,nginx_https_short
85.6,0,7.8,0,0.26,5.36,0,0,99.02,99.02,0,0.6,0,0.01,0,75,0,16,0,5,0.24,0,74606.04,225339.29,592911,483555,18.46,0,0,7.73,2.231019677,0.456168755,0.747461174,0.011851345,0.1034729,1,2.231019677,0,0,10,107323,84533,0,99,153,4.19,84371.66,154,1433,110.54,56.66,0.046042515,default,nginx_https_short
85.42,0,7.96,0,0.24,5.36,0,0,98.98,98.98,0,3.6,0,0.02,0,41.94,0,6.89,0,2.72,0.16,0,74723.23,225618.59,593833,484100,18.48,0,0,7.71,2.231060834,0.455904016,0.747034775,0.011847613,0.103304126,1,2.231060834,0,0,25,106947,84601,0,99,137,0.4,84417.37,141,1430,112.58,57.98,0.046042515,default,nginx_https_short
