CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
70.71,0,2.9,0,0.32,2.9,0,0,76.83,98.49,0,0.6,0,0.01,0,62.5,0,12,0,7.67,0.4,0,61760.24,185271.73,492525.6,413033.6,15.18,0,0,6,2.234384676,0.438171642,0.718063017,0.011138331,0.102458628,1,2.234384676,0,0,7,168646,97298,0,77,107,0.2,97350.4,100,1401,89.29,95.78,0.018225162,default,nginx_https_short
70.72,0,2.89,0,0.3,2.94,0,0,76.85,98.45,0,3.6,0,0.33,0,0,0,93.56,0,1.17,0,0,61698.51,185176.2,491991.4,412653.8,15.17,0,0,6,2.234656447,0.437064415,0.716238062,0.011136705,0.102457435,1,2.234656447,0,0,337,169620,99154,0,77,103,0.8,99227.2,99,1401,89.67,95.75,0.018225162,default,nginx_https_short
70.64,0.01,2.88,0.01,0.32,2.88,0,0,76.73,98.35,0,0.4,0,0,0,50,0,8,0,27,1.04,0.01,61666.95,185132.57,491533.4,412397.4,15.17,0,0,6,2.234946132,0.437155492,0.716465253,0.011126916,0.102584411,1,2.234946132,0,0,3,168817,97813,0,77,96,0.8,97845.4,96,1401,88.97,95.51,0.018225162,default,nginx_https_short
70.74,0,2.87,0,0.32,2.92,0,0,76.85,98.46,0,0.4,0,0,0,33.33,0,6,0,7,0.24,0,61740.54,185267.64,492297.4,412732.2,15.18,0,0,6,2.234806741,0.437107866,0.716334221,0.011129173,0.102507052,1,2.234806741,0,0,2,169081,98183,0,77,98,0.8,98214.6,111,1401,89.86,95.58,0.019184381,default,nginx_https_short
70.73,0,2.84,0,0.29,2.92,0,0,76.78,98.37,0,1.4,0,0.01,0,22.22,0,5.14,0,2.86,0.24,0,61661.18,185161.91,491360.4,412310.8,15.17,0,0,6.01,2.234616207,0.437735037,0.717436968,0.011134488,0.102480813,1,2.234616207,0,0,7,168717,97722,0,77,100,0.4,97659.2,99,1401,90.19,95.56,0.021102819,default,nginx_https_short
70.58,0.01,2.88,0,0.3,2.92,0,0,76.69,98.29,0,0.2,0,0,0,0,0,12,0,0,0,0,61573.52,184722.65,491096.2,411514.2,15.13,0,0,5.99,2.234657084,0.437063311,0.71627915,0.011117697,0.102561194,1,2.234657084,0,0,2,168515,97237,0,77,99,0.8,97263.6,103,1401,90.65,95.56,0.021102819,default,nginx_https_short
70.72,0,2.9,0,0.31,2.93,0,0,76.86,98.46,0,0.4,0,0.01,0,71.43,0,14,0,7.5,0.24,0,61663.71,185017.86,491971.8,412327.8,15.16,0,0,5.99,2.234330092,0.437883856,0.717635717,0.011114491,0.102501338,1,2.234330092,0,0,0,168603,97391,0,77,101,0.2,97292.2,99,1401,90.92,95.54,0.0201436,default,nginx_https_short
70.66,0,2.86,0,0.31,2.94,0,0,76.77,98.35,0,0.6,0,0,0,40,0,6.67,0,6.67,0.32,0,61600.81,185059.15,491077.4,412427.8,15.16,0,0,6,2.234243177,0.437961846,0.717746278,0.011117595,0.1024794,1,2.234243177,0,0,4,168664,97784,0,77,107,0.8,97933.8,108,1401,91.41,95.56,0.021102819,default,nginx_https_short
70.68,0.01,2.94,0,0.3,2.93,0,0,76.86,98.45,0,0.2,0,0,0,0,0,4,0,18,0.32,0,61625.02,185043.69,491254.2,412261.6,15.16,0,0,5.97,2.234786212,0.436681606,0.715596973,0.011112439,0.102537296,1,2.234786212,0,0,0,168623,97419,0,77,107,0,97367,99,1404,90.69,95.28,0.021102819,default,nginx_https_short
70.81,0,2.84,0,0.33,2.96,0,0,76.94,98.55,0,0.4,0,0,0,50,0,8,0,6.5,0.24,0,61730.44,185302.97,492071.4,412776.2,15.18,0,0,6.02,2.234194402,0.438582914,0.718821977,0.011122743,0.102571819,1,2.234194402,0,0,3,168218,96517,0,77,95,0.4,96470.6,105,1401,90.72,95.21,0.021102819,default,nginx_https_short
