cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.01,0,0.03,0,0.06,0.03,0,0,0.13,0,1,0.4,0.03,0.01,0,0,0,20,8,9.5,0.8,0.01,0.23,0.41,3.6,3,0,0,0,0.0062464,0.503,11.13,0.41,0.05,0.24,1.11,0.56,0,0,8,818,464,0,0,1,3.2,457.8,1,231,0.01,0.02,0.7936,default,default
0,0,0.01,0,0.07,0.02,0,0,0.1,0,0,0.4,0,0,0,0,0,6,0,7.5,0.24,0,0.12,0.24,2.2,1.6,0,0,0,0.004389547,0.485,8.29,0.3,0.04,0.16,1.17,0.57,2,0,4,400,176,0,0,0,1.2,178.8,2,231,0,0.02,0.9216,default,default
0,0,0.01,0.01,0.07,0.03,0,0,0.11,0,0,0.4,0,0,0,0,0,6,0,2,0.08,0,0.31,0.37,3.4,3.4,0,0,0.2,0.00526336,0.505,10.59,0.38,0.05,0.24,1.11,0.56,3,0,2,465,181,0,0,2,1.2,176.6,2,231,0,0.02,0.9216,default,default
0,0,0,0.02,0.07,0.04,0,0,0.11,0,0,0.4,0,0,0,0,0,6,0,5.5,0.24,0,0.06,0.21,1,1.8,0,0,0,0.00526336,0.508,10.29,0.38,0.05,0.24,1.12,0.57,7,0,3,505,119,0,0,0,1.2,114.8,1,231,0,0.02,0.9216,default,default
0,0,0.01,0,0.07,0.03,0,0,0.11,0,0,0.4,0,0,0,0,0,8,0,9,0.4,0,1.42,2.33,9.8,7.8,0,0,0,0.0049152,0.483,8.4,0.32,0.04,0.16,1.17,0.56,0,0,3,501,149,0,0,0,1.2,148.1,1,231,0,0.02,0.9216,default,default
0,0,0.01,0,0.07,0.02,0,0,0.1,0,0,0.4,0,0,0,0,0,6,0,2,0.08,0,0.07,0.31,1.4,2.4,0,0,0,0.00518144,0.511,10.57,0.38,0.05,0.24,1.09,0.56,0,0,2,447,171,0,0,1,1.2,170.6,2,231,0,0.01,0.9216,default,default
0,0,0,0.02,0.06,0.04,0,0,0.1,0,0,23,0,0.15,0,0,0,6.47,0,17.03,4,0.39,0.65,0.21,4.8,2,0,0,0,0.00436224,0.492,9.18,0.33,0.04,0.19,1.15,0.56,0,0,149,460,188,0,0,1,1.2,188.8,1,231,0,0.01,0.9216,default,default
0,0,0.01,0.02,0.07,0.02,0,0,0.1,0,0,0.6,0,0,0,0,0,5.33,0,0.67,0,0,0.44,0.27,3.4,2.2,0,0,0,0.00534528,0.499,9.52,0.36,0.04,0.21,1.13,0.56,8,0,3,475,115,0,0,0,1.2,114.4,1,231,0,0.01,0.9216,default,default
0,0,0.01,0.02,0.07,0.04,0,0,0.12,0,0,0.4,0,0,0,0,0,8,0,11.5,0.48,0,0.29,0.36,3.2,3.2,0,0,0.2,0.0053248,0.525,10.79,0.37,0.05,0.24,1.06,0.56,0,0,3,469,190,0,0,0,1.2,186,1,231,0,0.01,0.9216,default,default
0,0,0.01,0,0.07,0.03,0,0,0.11,0,0,0.4,0,0,0,0,0,6,0,9,0.4,0,0.4,0.52,3.2,2.2,0,0,0,0.004266667,0.499,8.32,0.3,0.04,0.15,1.14,0.57,0,0,2,450,180,0,0,0,1.2,180.4,1,231,0,0.01,0.9216,default,default
0,0,0.01,0.01,0.07,0.02,0,0,0.1,0,0,0.8,0,0,0,0,0,6,0,2.5,0.16,0,0.2,0.38,2.8,3.6,0,0,0,0.005270187,0.504,10.67,0.38,0.05,0.24,1.11,0.56,0,0,5,440,179,0,0,0,1.2,178.8,1,231,0,0.01,0.896,default,default
0,0,0.01,0.02,0.07,0.03,0,0,0.11,0,0,0.4,0,0,0,0,0,6,0,8,0.32,0,0.26,0.29,3.8,3,0,0,0,0.005311147,0.508,10.35,0.39,0.04,0.24,1.1,0.56,0,0,3,477,116,0,0,1,1.2,116,1,231,0,0.01,0.896,default,default
0,0,0.01,0.01,0.06,0.04,0,0,0.11,0,0,0.8,0,0.01,0,0,0,7,0,10.75,0.8,0.01,0.17,0.16,2.6,1.4,0,0,0,0.007509333,0.481,12.99,0.51,0.04,0.21,1.14,0.55,0,0,3,448,109,0,0,0,2.8,111.1,1,231,0,0.01,0.896,default,default
0,0,0.01,0.01,0.07,0.03,0,0,0.11,0,0,18.6,0,0.39,0,0,0,21.59,0,15.92,2.24,0.29,0.16,0.46,2.6,3.6,0,0,0,0.005632,0.505,10.66,0.39,0.05,0.24,1.11,0.56,0,0,403,501,111,0,0,0,1.2,110.1,1,229,0,0.01,0.896,default,default
0,0,0.01,0.01,0.07,0.02,0,0,0.1,0,0,0.8,0,0.01,0,0,0,12,0,1.75,0.08,0,0.27,0.39,3,3.2,0,0,0.2,0.00530432,0.503,10.57,0.38,0.05,0.24,1.11,0.56,0,0,10,441,188,0,0,0,1.2,181.1,1,229,0,0.01,0.896,default,default
0,0,0,0,0.06,0.03,0,0,0.09,0,0,0.4,0,0,0,0,0,6,0,6.5,0.32,0,0.07,0.12,1,1.2,0,0,0,0.004314453,0.49,8,0.3,0.04,0.16,1.15,0.56,0,0,3,465,115,0,0,0,1.2,119.6,1,229,0,0.01,0.896,default,default
0,0,0.01,0.01,0.08,0.03,0,0,0.12,0,0,0.4,0,0,0,0,0,8,0,0.5,0,0,1.45,2.4,10.2,8.6,0,0,0,0.006055253,0.502,10.95,0.41,0.05,0.25,1.11,0.56,0,0,2,457,101,0,0,0,1.2,196.8,1,229,0,0.01,0.896,default,default
0,0,0.01,0.02,0.06,0.04,0,0,0.11,0,0,0.4,0,0,0,0,0,6,0,4.5,0.16,0,0.09,0.31,1.6,2.4,0,0,0,0.00526336,0.498,10.64,0.39,0.05,0.24,1.14,0.57,0,0,2,449,186,0,0,0,1.2,186.8,1,227,0.08,0.03,0.896,default,default
0,0,0,0.01,0.08,0.03,0,0,0.11,0,0,0.4,0,0,0,0,0,6,0,10,0.4,0,0.1,0.21,1.4,2,0,0,0,0.004246187,0.484,8.2,0.3,0.04,0.15,1.17,0.57,0,0,2,401,165,0,0,0,1.2,165.6,1,227,0.07,0.03,0.896,default,default
0,0,0.01,0.02,0.07,0.03,0,0,0.11,0,0,0.4,0,0,0,0,0,6,0,2.5,0.16,0,0.14,0.33,2.2,2.8,0,0,0,0.005249707,0.512,10.27,0.38,0.05,0.24,1.09,0.56,0,0,3,470,116,0,0,0,1.2,115.6,1,227,0.07,0.02,0.896,default,default
0,0,0.01,0.01,0.06,0.03,0,0,0.1,0,0,0.4,0,0,0,0,0,8,0,9,0.4,0,0.29,0.31,3.4,2.6,0,0,0.2,0.005215573,0.504,10.58,0.38,0.05,0.24,1.12,0.56,0,0,2,440,181,0,0,0,1.2,181.1,1,227,0.06,0.02,0.896,default,default
0,0,0,0,0.08,0.03,0,0,0.11,0,0,0.4,0,0,0,0,0,6,0,6,0.24,0,0.14,0.22,2,1.8,0,0,0,0.004205227,0.49,8.15,0.3,0.04,0.16,1.15,0.56,0,0,2,440,164,0,0,0,1.2,168.8,1,227,0.06,0.02,0.896,default,default
0,0,0.01,0,0.06,0.03,0,0,0.1,0,0,0.4,0,0,0,0,0,6,0,0.5,0,0,0.17,0.23,2.6,2.2,0,0,0,0.005195093,0.505,10.51,0.38,0.05,0.24,1.1,0.56,0,0,2,459,168,0,0,0,1.2,167.1,1,227,0.05,0.02,0.896,default,default
0,0,0.01,0,0.06,0.02,0,0,0.09,0,0,0.4,0,0,0,0,0,6,0,0.5,0.08,0,0.46,0.74,3.8,4.6,0,0,0,0.005434027,0.538,10.38,0.36,0.04,0.23,1.03,0.55,0,0,3,484,146,0,0,0,1.2,146.8,1,227,0.05,0.02,0.896,default,default
0,0,0.01,0.01,0.09,0.03,0,0,0.13,0,0,1.6,0,0.02,0,0,0,10,0,7.88,1.28,0.01,0.04,0.16,0.8,1.2,0,0,0,0.005782187,0.511,9.15,0.34,0.04,0.24,1.05,0.54,0,0,14,451,110,0,0,0,5.4,118.8,1,227,0.04,0.02,0.896,default,default
0,0,0.01,0,0.06,0.04,0,0,0.11,0,0,0.2,0,0,0,0,0,4,0,0,0,0,0.19,0.32,2.6,2.6,0,0,0,0.005277013,0.508,10.66,0.38,0.05,0.24,1.11,0.56,0,0,2,457,198,0,0,0,1.2,198,1,227,0.04,0.02,0.896,default,default
0.01,0,0.01,0,0.06,0.03,0,0,0.11,0,0,0.8,0,0.01,0,0,0,15,0,6.5,0.56,0.01,0.19,0.35,1.8,2.8,0,0,0.2,0.005249707,0.507,10.61,0.38,0.05,0.24,1.1,0.56,0,0,12,409,186,0,0,0,1.4,181.6,1,228,0.04,0.02,0.896,default,default
0,0,0,0,0.08,0.03,0,0,0.11,0,0,0.6,0,0,0,0,0,6.67,0,4.67,0.32,0,0.13,0.19,1.8,1.8,0,0,0,0.004232533,0.487,8.11,0.3,0.04,0.16,1.17,0.57,0,0,5,457,118,0,0,0,1.2,111.1,1,228,0.03,0.02,0.896,default,default
0,0,0.01,0.02,0.06,0.03,0,0,0.1,0,0,0.4,0,0,0,0,0,8,0,0.5,0,0,1.62,2.4,11.4,8.6,0,0,0,0.0059392,0.498,10.71,0.4,0.05,0.24,1.13,0.56,0,0,2,495,157,0,0,0,1.2,151,1,228,0.03,0.02,0.896,default,default
0,0,0.01,0,0.06,0.03,0,0,0.1,0,0,0.8,0,0.01,0,0,0,8,0,9.75,0.72,0.01,0.18,0.18,1.6,1.6,0,0,0,0.005065387,0.51,10.59,0.38,0.05,0.24,1.09,0.56,0,0,6,401,165,0,0,0,1.2,166.8,1,228,0.03,0.02,0.896,default,default
0,0,0.01,0,0.08,0.02,0,0,0.11,0,0,0.4,0,0,0,0,0,6,0,0.5,0,0,0.18,0.34,2.8,3,0,0,0,0.004246187,0.487,8.21,0.3,0.04,0.16,1.15,0.56,0,0,2,451,180,0,0,0,1.2,178.8,1,228,0.02,0.02,0.896,default,default
0,0,0.01,0.01,0.06,0.03,0,0,0.1,0,0,0.4,0,0,0,0,0,6,0,3,0.16,0,0.13,0.34,2.4,2.6,0,0,0,0.005249707,0.509,10.24,0.38,0.05,0.24,1.09,0.56,0,0,3,489,111,0,0,0,1.2,110.6,1,228,0.02,0.02,0.896,default,default
0,0,0,0.02,0.07,0.04,0,0,0.11,0,0,0.4,0,0,0,0,0,8,0,7,0.32,0,0.19,0.2,1.4,1.8,0,0,0.2,0.004253013,0.505,10.54,0.38,0.05,0.24,1.12,0.56,0,0,2,444,171,0,0,0,1.2,170.8,1,228,0.02,0.02,0.896,default,default
0,0,0.01,0.01,0.07,0.03,0,0,0.11,0,0,0.4,0,0,0,0,0,6,0,11,0.48,0,0.15,0.34,2.4,3,0,0,0,0.005188267,0.487,8.26,0.3,0.03,0.16,1.16,0.57,0,0,2,406,171,0,0,0,1.2,176,1,228,0.02,0.02,0.896,default,default
0,0,0,0.02,0.06,0.03,0,0,0.09,0,0,0.4,0,0,0,0,0,6,0,2,0.08,0,0.25,0.35,3.8,3.2,0,0,0,0.0052224,0.499,10.5,0.38,0.05,0.24,1.13,0.56,0,0,2,455,185,0,0,0,1.2,181,1,228,0.02,0.02,0.896,default,default
0,0,0,0,0.08,0.03,0,0,0.11,0,0,0.4,0,0,0,0,0,6,0,9.5,0.4,0,0.19,0.24,2.4,2.6,0,0,0,0.00425984,0.509,10.28,0.38,0.05,0.24,1.1,0.56,0,0,3,459,118,0,0,0,1.2,111,1,228,0.02,0.02,0.896,default,default
0,0,0,0,0.06,0.03,0,0,0.09,0,0,0.4,0,0,0,0,0,8,0,0,0,0,0.35,0.87,3.6,4.4,0,0,0,0.00528384,0.483,8.34,0.31,0.04,0.16,1.17,0.57,0,0,2,468,114,0,0,0,1.2,111.1,1,228,0.01,0.02,0.896,default,default
0,0,0.01,0.02,0.07,0.03,0,0,0.11,0,0,4.6,0,0.03,0,0,0,6.43,0,23.3,3.12,0.1,0.2,0.43,2.6,3.4,0,0,0,0.00526336,0.507,10.64,0.38,0.05,0.24,1.11,0.56,0,0,30,445,187,0,0,0,1.2,186.4,1,228,0.01,0.02,0.896,default,default
