"cpu.all.%usr","cpu.all.%nice","cpu.all.%sys","cpu.all.%iowait","cpu.all.%irq","cpu.all.%soft","cpu.all.%steal","cpu.all.%guest","cpu.all.%util","cpu.all.%cutil","io.all-max.r/s","io.all-max.w/s","io.all-max.rMB/s","io.all-max.wMB/s","io.all-max.%rrqm","io.all-max.%wrqm","io.all-max.rareq-sz","io.all-max.wareq-sz","io.all-max.r_await","io.all-max.w_await","io.all-max.%util","io.all-max.blk_sat","sar-network.all-max.rxkB/s","sar-network.all-max.txkB/s","sar-network.all-max.rxpck/s","sar-network.all-max.txpck/s","sar-network.all-max.%ifutil","sar-net_err.all-max.err/s","sar-net_err.all-max.net_sat","perf-memBW.MEM_BW_Util","perf-cpu.IPC","perf-cpu.LLC","perf-cpu.MPKI","perf-cpu.ITLB","perf-cpu.DTLB","perf-cpu.StallBackend/Insts","perf-cpu.StallBackend/cycles","vmstat.b","vmstat.swpd","vmstat.bo","vmstat.in","vmstat.cs","vmstat.mem_sat","vmstat.cpu_util","vmstat.cpu_sat","sar-task.proc/s","sar-task.cswch/s","sar-load.runq-sz","sar-load.plist-sz","sar-load.ldavg-1","sar-load.ldavg-5","sysctl.file-util","workload.type","workload.appname"
0.05,0.0,0.13,0.01,0.01,0.01,0.0,0.0,0.2,0.0,1.2,0.4,0.13,0.03,0.0,94.44,108.0,72.0,8.17,27.0,1.52,0.02,2.48,0.04,7.6,0.4,0.0,0.0,0.0,0.493133824,1.1921420465344106,0.955558412129027,3.4866806975189375,0.010828356803282233,0.4340288481053727,0.26019045473302865,0.31018398119415175,0,0,29,2007,721,0,0,0.0,58.4,697.4,9.0,1149.0,1.58,0.37,6.106226635438361e-14,"default","default"
0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.4,0.0,0.01,0.0,75.0,0.0,16.0,0.0,7.0,0.32,0.0,1.9,0.0,6.6,0.0,0.0,0.0,0.2,0.12521198933333333,0.7614719179243601,1.5911646137041817,6.587898382113117,0.029841692860994574,0.3226248607304082,0.5416390999570796,0.41244296426714167,0,0,6,742,315,0,0,0.0,15.6,346.2,7.0,1152.0,1.45,0.36,6.106226635438361e-14,"default","default"
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.4,0.0,0.01,0.0,75.0,0.0,16.0,0.0,2.0,0.16,0.0,2.68,0.0,8.2,0.0,0.0,0.0,0.0,0.15481787733333335,1.0081963469177788,1.2539476969180723,5.4973045232439315,0.022283813742811864,0.2547621842431784,0.386124561247036,0.38928937210449177,0,0,6,678,312,0,0,0.0,17.37,306.99,2.0,1150.0,1.33,0.35,6.106226635438361e-14,"default","default"
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.4,0.0,0.01,0.0,75.0,0.0,16.0,0.0,4.0,0.16,0.0,3.12,0.0,10.0,0.0,0.0,0.0,0.0,0.14694536533333333,0.9650261777282382,1.1727587679594584,5.394574332614481,0.020842364895869908,0.1747903063055475,0.4185681212295917,0.40392919414908274,0,0,6,759,329,0,0,0.0,18.2,327.8,2.0,1149.0,1.23,0.35,6.106226635438361e-14,"default","default"
0.01,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,8.18,0.0,0.49,0.0,12.77,0.0,61.66,0.0,61.17,2.32,0.49,2.49,0.0,7.8,0.0,0.0,0.0,0.0,0.1570624853333333,0.9837234332509712,1.262824250809313,5.526182221856706,0.020765774070981062,0.25474973692129865,0.41365863505801653,0.40692569267318257,0,0,506,770,367,0,0,0.1328125,17.6,315.4,2.0,1150.0,1.13,0.34,6.106226635438361e-14,"default","default"
0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,3.61,0.0,0.02,0.0,48.57,0.0,6.44,0.0,12.78,0.24,0.04,2.54,0.0,7.6,0.0,0.0,0.0,0.0,0.14457787733333335,0.8723748590645707,1.2611017054839442,5.793989254698414,0.023628820067956198,0.1753780779163892,0.5159312033089223,0.45008541077363545,0,0,30,727,299,0,0,0.0,18.2,389.2,1.0,1150.0,1.04,0.33,6.106226635438361e-14,"default","default"
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,2.2,0.0,0.2,0.0,74.42,0.0,92.36,0.0,12.45,1.2,0.02,2.84,0.0,9.0,0.0,0.0,0.0,0.0,0.15330508799999998,0.9404491970522272,1.3085362288943176,5.723406775616494,0.02033139142134603,0.2528331501404905,0.46074944748948077,0.4333114479337395,0,0,208,741,335,0,0,0.0,18.2,334.6,1.0,1150.0,0.95,0.33,6.106226635438361e-14,"default","default"
0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.4,0.0,0.01,0.0,75.0,0.0,28.0,0.0,4.5,0.16,0.0,3.29,0.01,10.4,0.2,0.0,0.0,0.2,0.14650845866666667,0.9157466348579509,1.2580509455481192,5.773951722156701,0.02137554482532375,0.17421825233352262,0.47286610388913436,0.433025543374865,1,0,6,785,338,0,0,0.0,18.2,339.8,1.0,1150.0,0.88,0.32,6.106226635438361e-14,"default","default"
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.4,0.0,0.01,0.0,75.0,0.0,16.0,0.0,8.0,0.32,0.0,1.45,0.0,5.0,0.0,0.0,0.0,0.0,0.14226773333333334,0.9864752712855318,1.3132624703490883,5.73044664903462,0.018934284763387117,0.2516855150423396,0.4170085380994375,0.4113686107500256,1,0,6,764,423,0,0,0.0,18.2,371.4,1.0,1150.0,0.81,0.32,6.661338147750939e-14,"default","default"
0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.4,0.0,0.01,0.0,75.0,0.0,16.0,0.0,31.5,1.2,0.01,2.35,0.0,7.2,0.0,0.0,0.0,0.0,0.14668322133333334,0.9709599099877192,1.1694723773336893,5.3736678826685695,0.019039004965764945,0.1730777551815153,0.41327946264292437,0.40127778984754686,1,0,6,745,323,0,0,0.0,18.2,374.4,1.0,1150.0,0.74,0.31,6.661338147750939e-14,"default","default"
