CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.17,0,0.12,0,0.19,0,0,0,0.48,0,0,1.4,0,0.04,0,86.79,0,30.29,0,3.14,0.48,0,7.39,3,62.8,28.8,0,0,0,0.26,0.778104541,1.176325706,4.660848472,0.010372429,0.274216428,1,0.778104541,0,0,42,11659,7071,0,0,1,6.4,7184.8,2,7108,0.91,0.56,8.44E-13,default,default
0.16,0,0.09,0.02,0.18,0,0,0,0.43,0,0,19,0,0.51,0,22.13,0,27.75,0,5.97,2,0.07,7.84,3.27,67.2,30.8,0,0,0,0.16,0.750120575,0.948562247,4.245664081,0.011593923,0.155711261,1,0.750120575,0,0,566,11712,7444,0,0,2,4.8,7542.2,2,7110,0.84,0.55,8.47E-13,default,default
0.15,0,0.09,0.02,0.17,0.01,0,0,0.42,0,0,7.4,0,0.15,0,43.94,0,20.54,0,3.78,2.4,0.02,7.76,3.21,62.2,31,0,0,0,0.26,0.754137996,1.181981044,4.824245473,0.020624704,0.234483554,1,0.754137996,0,0,203,14171,8308,0,0,0,30.6,8288.8,0,7105,0.77,0.54,8.41E-13,default,default
0.3,0,0.11,0,0.17,0.01,0,0,0.59,0,0,2.2,0,0.02,0,52.17,0,9.82,0,3.27,0.72,0,7.23,3.2,59.8,29.4,0,0,0,0.44,0.901852618,1.260482633,5.132335956,0.010025944,0.394552104,1,0.901852618,0,0,22,11980,7635,0,0,1,9.4,7644.6,4,7107,0.81,0.56,8.41E-13,default,default
0.46,0,0.15,0.02,0.19,0.01,0,0,0.81,0,0,10.2,0,0.28,0,53.21,0,28.55,0,4.08,3.12,0.02,6.72,3.27,60,31.6,0,0,0,0.52,0.94465653,1.170360707,4.752971095,0.012185586,0.446571656,1,0.94465653,0,0,330,15009,9451,0,0,0,14.4,9439.6,2,7106,0.82,0.57,8.44E-13,default,default
0.13,0,0.11,0.01,0.18,0,0,0,0.42,0,0,5.4,0,0.35,0,40,0,65.63,0,3.78,1.84,0.01,8.57,5.31,80.4,46.8,0,0,0,0.24,0.753957275,1.111257446,4.406340853,0.110617828,0.325974575,1,0.753957275,0,0,602,11912,7250,0,0,0,7.2,7240.4,1,7105,0.76,0.56,8.41E-13,default,default
0.13,0,0.08,0.01,0.17,0.01,0,0,0.39,0,0,1.6,0,0.01,0,20,0,4,0,4.38,0.72,0,7.33,3.53,62.8,32.4,0,0,0,0.19,0.746206744,1.082694436,4.19801431,0.021426515,0.233067252,1,0.746206744,0,0,46,11712,6666,0,0,0,4.8,6833.4,2,7107,0.7,0.55,8.38E-13,default,default
0.41,0,0.18,0.06,0.19,0.01,0,0,0.79,0,0,18.4,0,0.91,0,35.21,0,50.74,0,7.8,5.76,0.12,7.68,3.35,68.2,32.4,0,0,0,0.58,0.837500203,1.261183725,5.281462984,0.0612815,0.261508977,1,0.837500203,0,0,934,19786,18974,0,0,1,77.4,18982.6,3,7105,0.8,0.57,8.41E-13,default,default
0.69,0,0.2,0.02,0.18,0.02,0,0,1.09,0,0,13.4,0,0.45,0,57.59,0,34.15,0,4.43,2.24,0.04,7.78,3.32,62.4,31,0,0,0,0.8,1.051035419,1.218887451,4.976740016,0.010554501,0.486573268,1,1.051035419,0,0,505,15714,10637,0,1,3,20.8,10639.6,3,7105,0.9,0.6,8.41E-13,default,default
0.12,0,0.09,0.01,0.19,0,0,0,0.4,0,0,3,0,0.03,0,68.09,0,11.2,0,6.2,1.36,0.01,7.47,3.56,63.4,35.6,0,0,0,0.22,0.726100869,1.130342837,4.431754637,0.012101815,0.216565115,1,0.726100869,0,0,34,11650,6630,0,0,0,4.6,6643,3,7104,0.83,0.58,8.44E-13,default,default
0.11,0,0.09,0.02,0.18,0.01,0,0,0.39,0,0,6.8,0,0.06,0,40.35,0,9.18,0,4.26,2.8,0.02,7.11,3.17,62.4,29.4,0,0,0,0.18,0.737121858,1.073837899,4.186989352,0.024444117,0.199430646,1,0.737121858,0,0,101,11727,6877,0,0,0,4.8,6871.4,0,7101,0.76,0.58,8.44E-13,default,default
0.15,0,0.08,0.01,0.17,0,0,0,0.4,0,0,2.8,0,0.01,0,26.32,0,4.57,0,3.57,0.96,0.01,6.72,3.27,61.4,32.4,0,0,0,0.18,0.809456788,1.012776914,4.024019585,0.014204081,0.172770111,1,0.809456788,0,0,51,11715,7265,0,0,1,5.2,7267.2,1,7102,0.86,0.6,8.44E-13,default,default
