CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
58.28,0.0,11.93,0.49,0.86,2.0,0,0,73.07,73.09458333,42.0,335.8,6.59,19.6,0,29.81,160.61,59.76,2.49,1.53,33.6,0.18,0,0,0,0,0,0,0,0,0.615714475,2.4699665,10.54470889,0.40784218200000005,0.738731516,0.32813761399999997,0.20203907899999998,0,0,29238,114180,132914,0,73,0.25,62.8,132882.2,79,655,43.68,14.97,2.86e-14,default,mariadb_kvm
57.25,0.0,11.6,0.48,0.82,2.07,0,0,71.74,71.74333333,24.2,322.6,2.35,18.95,0,30.5,99.44,60.15,1.64,1.55,30.48,0.15,0,0,0,0,0,0,0,0,0.612355729,2.50083938,10.62781184,0.412508066,0.7444749890000001,0.330190689,0.20219416,1,0,28839,115109,135450,0,71,4.875,17.8,135449.6,24,655,46.03,15.93,2.81e-14,default,mariadb_kvm
57.61,0.0,11.95,0.57,0.85,1.97,0,0,72.38,72.4125,15.0,364.8,1.77,20.91,0,31.09,120.96,58.7,2.19,1.39,33.44,0.11,0,0,0,0,0,0,0,0,0.605128949,2.5407706009999997,10.80049993,0.424700165,0.756893734,0.334216926,0.202244337,1,0,30419,116754,136436,0,73,2.833333333,17.6,136401.0,44,656,42.75,15.75,2.86e-14,default,mariadb_kvm
57.59,0.26,11.72,0.52,0.86,2.09,0,0,72.52,72.56,16.8,378.4,2.25,21.1,0,30.77,137.14,57.09,2.0,1.26,34.72,0.09,0,0,0,0,0,0,0,0,0.602059068,2.5667097819999998,10.91038542,0.421312601,0.7567632190000001,0.33738189,0.203123826,1,0,30267,117203,137519,0,73,6.916666667,18.4,137561.6,13,658,39.4,15.51,2.91e-14,default,mariadb_kvm
57.55,0.0,11.92,0.49,0.83,2.09,0,0,72.39,72.41083333,18.6,347.4,3.35,19.18,0,30.74,184.43,56.54,2.52,1.31,31.52,0.11,0,0,0,0,0,0,0,0,0.59935945,2.588174439,11.01009999,0.42659382100000004,0.759580444,0.33660338700000003,0.201746421,1,0,29262,117712,137779,0,73,2.25,18.2,137742.8,10,658,53.38,18.8,2.91e-14,default,mariadb_kvm
57.79,0.0,11.56,0.51,0.88,2.02,0,0,72.25,72.29291667,17.4,357.2,2.43,19.34,0,30.72,143.08,55.43,1.86,1.29,34.08,0.09,0,0,0,0,0,0,0,0,0.595492713,2.6019570030000003,11.06051239,0.42683792,0.767936229,0.341029098,0.203080343,0,0,28826,116720,136676,0,72,1.333333333,18.2,136698.6,144,658,58.56,20.45,2.91e-14,default,mariadb_kvm
58.01,0.0,11.67,0.35,0.84,2.06,0,0,72.58,72.60625,15.0,255.0,1.38,13.85,0,29.95,93.87,55.62,1.45,1.27,23.12,0.07,0,0,0,0,0,0,0,0,0.592903545,2.62440065,11.15388728,0.42889085299999996,0.77585676,0.343626475,0.203737355,0,0,22947,117702,137389,0,73,0.041666667000000004,18.2,137351.2,141,658,55.23,20.39,2.97e-14,default,mariadb_kvm
57.21,0.0,11.69,0.38,0.83,2.09,0,0,71.82,71.8425,10.4,288.2,2.39,15.14,0,31.02,235.38,53.78,3.46,1.22,27.84,0.07,0,0,0,0,0,0,0,0,0.586531038,2.6657284430000003,11.33322211,0.435646298,0.78354918,0.347627735,0.203894456,1,0,24481,117281,138349,0,72,3.333333333,18.0,138324.8,26,658,51.61,20.22,2.97e-14,default,mariadb_kvm
56.69,0.0,11.9,0.47,0.82,2.07,0,0,71.48,71.53666667,6.2,322.2,0.48,16.59,0,30.14,78.97,52.72,2.32,1.29,29.84,0.1,0,0,0,0,0,0,0,0,0.582700842,2.68614355,11.41335815,0.437603914,0.7884874829999999,0.34980463100000003,0.203831453,0,0,24768,117718,139615,0,72,2.291666667,17.8,139597.6,155,658,58.85,22.24,2.97e-14,default,mariadb_kvm
57.65,0.0,11.27,0.46,0.87,2.04,0,0,71.83,71.84,9.6,299.6,0.86,15.6,0,30.49,91.33,53.33,1.73,1.28,29.36,0.08,0,0,0,0,0,0,0,0,0.578680902,2.711464471,11.53153567,0.441334977,0.7924555440000001,0.35277525200000004,0.20414430100000003,0,0,24593,117503,138383,0,72,4.083333333,18.2,138372.6,57,658,62.22,23.55,2.91e-14,default,mariadb_kvm
