CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
27.79,0.0,5.13,0.0,0.51,1.3,0.0,0.0,34.73,34.841063829787245,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.0,0.0,18262.95,48494.82,125110.6,122058.0,3.97,0.0,0.0,3.335456072018004,0.4438696110808992,2.360023674229633,9.811648201744767,0.2270348896269035,0.5297181108709718,1.1780173640312541,0.5228861092190987,0,0,7821,369663,269791,0,35,2.1354166666666665,104.39,268695.81,175.0,1300.0,65.48,24.61,7.28583859910259e-14,default,mariadb
70.88,0.0,14.45,0.0,1.85,5.38,0.0,0.0,92.56,92.5578125,0.0,1.2,0.0,0.02,0.0,73.91,0.0,14.0,0.0,0.17,0.0,0.0,81575.09,187182.03,559279.6,546423.2,15.33,0.0,0.0,8.680968987846963,0.5136539356477146,2.727085151517092,11.700301066811845,0.27066041142839997,0.6103248774820248,0.7240933482727229,0.37193339811661535,0,0,34696,1329006,739879,0,93,1.71875,17.6,739646.0,195.0,1298.0,75.69,27.41,7.28583859910259e-14,default,mariadb
69.9,0.0,14.6,0.0,1.85,5.43,0.0,0.0,91.78,91.76,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,0.0,0.0,0.0,83553.31,181542.37,572715.2,558940.8,14.87,0.0,0.0,8.534067007951986,0.5040991252775862,2.8061414597799312,12.110918774969313,0.2762437263029618,0.6235530239679988,0.7269732342145158,0.3664665714677551,0,0,28434,1318887,777722,0,92,2.0,18.0,777537.2,189.0,1298.0,85.0,30.14,7.28583859910259e-14,default,mariadb
69.41,0.0,14.56,0.0,1.83,5.42,0.0,0.0,91.22,91.21364583333332,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,0.0,0.0,0.0,83545.67,167527.51,572570.6,558645.0,13.72,0.0,0.0,8.44596767111778,0.4900417345736148,2.89192733613104,12.505961423189595,0.28212946401026456,0.6408279716492992,0.7574329048489991,0.3711737345153352,0,0,30202,1312634,785229,0,91,1.75,17.4,784825.6,181.0,1299.0,93.17,32.75,7.494005416219808e-14,default,mariadb
68.58,0.0,14.33,0.0,1.84,5.46,0.0,0.0,90.21,90.18843750000002,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,0.33,0.0,0.0,84657.76,156389.98,579990.0,565305.8,12.81,0.0,0.0,8.5309327843961,0.4848477772386924,2.9764767401277674,12.867995612128274,0.2891235105959837,0.6581713783078564,0.7609322334093482,0.3689363019977963,0,0,30846,1316547,808936,0,91,2.0625,18.2,808874.4,183.0,1298.0,92.44,33.6,7.494005416219808e-14,default,mariadb
69.26,0.0,14.49,0.0,1.87,5.63,0.0,0.0,91.25,91.24197916666664,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,0.0,0.0,0.0,85944.48,142045.15,588779.4,573843.0,11.64,0.0,0.0,8.781694329182296,0.4677972050578871,3.094007226158173,13.381612686584726,0.29990836713275204,0.681794183321252,0.8064068014198541,0.3772348478438783,0,0,27068,1376751,786099,0,91,2.1875,18.0,786195.6,195.0,1298.0,100.57,36.26,7.494005416219808e-14,default,mariadb
71.87,0.0,14.97,0.0,1.98,5.94,0.0,0.0,94.76,94.75395833333334,0.0,6.99,0.0,0.45,0.0,47.76,0.0,66.17,0.0,1.29,0.0,0.0,88887.86,129149.95,607729.2,593368.0,10.58,0.0,0.0,8.95680831567892,0.4501584836791914,3.230090764272752,13.977756946019046,0.3135274768764225,0.7121964530355899,0.8569328577295471,0.3857555958504093,0,0,33042,1454409,789156,0,95,2.1875,17.8,788979.2,217.0,1298.0,109.01,39.08,7.494005416219808e-14,default,mariadb
71.47,0.0,14.94,0.0,1.99,5.82,0.0,0.0,94.22,94.21875,0.0,3.8,0.0,0.02,0.0,13.64,0.0,4.42,0.0,0.26,0.0,0.0,89225.85,111025.01,603415.4,602192.0,9.1,0.0,0.0,8.620967657914479,0.4319564341408252,3.385536868293862,14.673074235530446,0.3284014103001028,0.7436013541338246,0.9136871914122144,0.3946730611225658,0,0,32260,1473496,784330,0,94,2.208333333333333,18.2,784293.4,187.0,1298.0,117.26,41.95,7.28583859910259e-14,default,mariadb
67.24,0.0,13.43,0.0,1.74,5.27,0.0,0.0,87.67999999999998,87.69000000000004,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,0.0,0.0,0.0,78828.6,94127.62,542600.0,542687.82,7.71,0.0,0.0,7.041125401350339,0.3851815303137149,3.5317871039236994,15.354217834258248,0.3416825153671715,0.7677432903724193,1.1780289937861783,0.45375501058048606,0,0,5033,1342676,791993,0,87,1.8645833333333333,18.16,791224.35,171.0,1298.0,123.33,44.46,7.28583859910259e-14,default,mariadb
69.89,0.0,13.92,0.0,1.79,5.3,0.0,0.0,90.9,90.88729166666671,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,0.33,0.0,0.0,80492.01,96710.09,555728.6,555773.6,7.92,0.0,0.0,6.887969723630907,0.3747132450116051,3.5471149199251824,15.431639933529205,0.34536265274235195,0.768640118730361,1.2529304813536926,0.4694896464419946,0,0,37,1350417,770227,0,91,2.09375,18.2,769660.2,189.0,1298.0,129.39,47.02,7.28583859910259e-14,default,mariadb
