"cpu.all.%usr","cpu.all.%nice","cpu.all.%sys","cpu.all.%iowait","cpu.all.%irq","cpu.all.%soft","cpu.all.%steal","cpu.all.%guest","cpu.all.%util","cpu.all.%cutil","io.all-max.r/s","io.all-max.w/s","io.all-max.rMB/s","io.all-max.wMB/s","io.all-max.%rrqm","io.all-max.%wrqm","io.all-max.rareq-sz","io.all-max.wareq-sz","io.all-max.r_await","io.all-max.w_await","io.all-max.%util","io.all-max.blk_sat","sar-network.all-max.rxkB/s","sar-network.all-max.txkB/s","sar-network.all-max.rxpck/s","sar-network.all-max.txpck/s","sar-network.all-max.%ifutil","sar-net_err.all-max.err/s","sar-net_err.all-max.net_sat","perf-memBW.MEM_BW_Util","perf-cpu.IPC","perf-cpu.LLC","perf-cpu.MPKI","perf-cpu.ITLB","perf-cpu.DTLB","perf-cpu.StallBackend/Insts","perf-cpu.StallBackend/cycles","vmstat.b","vmstat.swpd","vmstat.bo","vmstat.in","vmstat.cs","vmstat.mem_sat","vmstat.cpu_util","vmstat.cpu_sat","sar-task.proc/s","sar-task.cswch/s","sar-load.runq-sz","sar-load.plist-sz","sar-load.ldavg-1","sar-load.ldavg-5","sysctl.file-util","workload.type","workload.appname"
60.92,0.0,14.68,0.01,1.9,5.99,0.0,0.0,83.49,83.48833333333334,0.8,287.6,0.05,15.14,0.0,33.3,64.0,53.89,0.25,0.19,3.92,0.0,75483.14,90762.43,521152.0,521238.4,7.44,0.0,0.0,7.722829164891222,0.7328660762025905,2.2831206286524095,8.818280908019574,0.24684454840111048,0.5134767280376413,0.44907215450330473,0.32910974780268043,0,798720,16054,1276914,814322,0,84,2.2395833333333335,62.6,814196.6,213.0,1629.0,124.02,42.8,5.620504062164855e-14,"default","mariadb"
61.07,0.0,15.02,0.0,1.93,6.13,0.0,0.0,84.15,83.93791666666667,0.8,302.0,0.05,20.71,0.0,30.29,64.0,70.24,0.5,0.25,6.08,0.0,76402.72,91768.61,527512.2,527617.2,7.52,0.0,0.0,7.745850651462866,0.7246918315545303,2.302265693167669,8.897677606936126,0.24913394367306493,0.5176154616698805,0.4583524938036122,0.3321643082321262,0,798720,20668,1286673,812858,0,84,2.1041666666666665,17.6,812537.8,210.0,1628.0,130.1,45.41,5.620504062164855e-14,"default","mariadb"
58.09,0.0,14.48,0.0,1.86,5.89,0.0,0.0,80.32000000000001,80.18374999999999,1.0,249.4,0.06,12.95,0.0,30.8,64.0,53.16,0.2,0.29,5.28,0.02,73205.02,87967.73,505425.8,505481.8,7.21,0.0,0.0,7.653577880870217,0.7205199368172738,2.328290549534437,9.013930972929483,0.25071171854955704,0.5217328951125888,0.45736451352961033,0.32954025039081797,0,798720,13262,1226141,781447,0,80,2.1979166666666665,17.4,781328.6,215.0,1628.0,136.98,48.24,5.620504062164855e-14,"default","mariadb"
50.52,0.0,12.72,0.02,1.6,5.17,0.0,0.0,70.01,69.99802083333336,1.2,350.0,0.07,23.41,0.0,30.39,64.0,68.5,0.33,0.24,6.88,0.0,63618.25,76467.65,439199.0,439283.8,6.26,0.0,0.0,7.096278824906227,0.713615200288873,2.3735929752859057,9.20784222210997,0.25227126467982974,0.525675507735959,0.45856455902833443,0.32723863963638367,0,798720,23978,1077715,695098,0,70,2.1041666666666665,17.4,695108.0,212.0,1627.0,142.35,50.83,5.620504062164855e-14,"default","mariadb"
55.64,0.0,13.7,0.01,1.82,5.69,0.0,0.0,76.85,76.83208333333336,0.2,277.6,0.01,20.05,0.0,29.72,64.0,73.95,0.0,0.25,4.32,0.0,69474.59,83552.4,479607.6,479650.6,6.84,0.0,0.0,7.828041976894224,0.6995042525669815,2.395511356424928,9.318831070024737,0.25421863101718795,0.5295294736545931,0.474243804123964,0.33173555773825536,0,798720,21411,1161805,742403,0,77,2.0833333333333335,17.8,742184.2,202.0,1629.0,147.29,53.37,5.620504062164855e-14,"default","mariadb"
53.86,0.0,13.21,0.01,1.74,5.53,0.0,0.0,74.33999999999999,74.31260416666667,0.4,317.0,0.03,23.21,0.0,30.6,64.0,74.97,0.5,0.26,6.56,0.0,68172.24,81915.76,470674.4,470768.8,6.71,0.0,0.0,7.35584784516129,0.7039678117931737,2.4030651027120884,9.357137785405191,0.2567535486116262,0.5335733197226996,0.46343136137830987,0.3262407613858203,0,798720,22888,1143360,733987,0,74,1.125,18.2,734353.8,94.0,1629.0,151.35,55.77,5.620504062164855e-14,"default","mariadb"
54.86,0.0,13.41,0.0,1.75,5.57,0.0,0.0,75.59,75.61364583333331,0.2,331.4,0.01,23.63,0.0,30.87,64.0,73.01,0.0,0.26,6.4,0.0,69141.77,83180.97,477296.2,477370.6,6.81,0.0,0.0,7.451728660165041,0.6918849299473016,2.4129954251372894,9.410947621920139,0.25989786982092344,0.5397195546473188,0.48096083983529414,0.3327695569768378,0,798720,24373,1162950,755400,0,76,2.2291666666666665,18.4,754685.2,193.0,1630.0,145.71,56.19,5.620504062164855e-14,"default","mariadb"
59.98,0.0,14.79,0.0,1.91,6.08,0.0,0.0,82.75999999999999,82.69697916666668,0.4,245.6,0.03,13.01,0.0,30.97,64.0,54.23,0.5,0.18,3.2,0.0,77067.31,92668.06,532086.6,532213.8,7.59,0.0,0.0,7.572592002400599,0.6935353967798616,2.41452879789824,9.428490949676036,0.26384515336430187,0.5452929235818468,0.477532305223664,0.3311855567784958,0,798720,13330,1286863,822375,0,83,2.1666666666666665,18.2,822412.2,210.0,1630.0,150.86,58.75,5.620504062164855e-14,"default","mariadb"
59.31,0.0,14.68,0.0,1.9,6.08,0.0,0.0,81.97000000000001,81.79802083333333,0.4,295.2,0.03,16.1,0.0,30.67,64.0,55.85,0.5,0.2,4.72,0.0,76657.27,92125.01,529222.0,529325.4,7.55,0.0,0.0,7.525523339234809,0.687057207547253,2.4368163428847125,9.533405078231677,0.26629110906328335,0.5513480020291968,0.4823767298852822,0.33142040902075753,0,798720,16490,1283656,829189,0,82,2.1666666666666665,19.2,829045.0,210.0,1633.0,155.04,61.14,5.620504062164855e-14,"default","mariadb"
57.87,0.0,14.77,0.0,1.86,5.96,0.0,0.0,80.46,80.36770833333331,0.4,243.2,0.03,14.32,0.0,31.49,64.0,60.31,0.0,0.22,4.16,0.0,75278.57,90448.07,519778.4,519811.4,7.41,0.0,0.0,7.536680560540136,0.6799188334182771,2.4644989348812167,9.664744444350209,0.2689451068828356,0.5589904670407646,0.48825446422908003,0.331973405729902,0,798720,14670,1258772,800741,0,81,2.1666666666666665,18.2,800577.6,205.0,1633.0,159.6,63.65,5.620504062164855e-14,"default","mariadb"
57.78,0.0,14.67,0.01,1.9,6.1,0.0,0.0,80.45,80.35895833333333,0.0,306.6,0.0,22.75,0.0,30.0,0.0,75.99,0.0,0.27,5.92,0.0,73958.61,88975.04,510560.2,510715.0,7.29,0.0,0.0,8.12383954868717,0.658102794563751,2.490010325902064,9.79735597889522,0.2653114597044844,0.5579630650718189,0.52055414258575,0.3425781359574193,0,798720,23302,1219033,862577,0,81,2.1979166666666665,18.2,862307.2,205.0,1633.0,163.39,66.03,5.620504062164855e-14,"default","mariadb"
60.19,0.0,14.75,0.01,2.02,6.4,0.0,0.0,83.36,83.36489583333334,0.0,263.4,0.0,15.4,0.0,30.46,0.0,59.86,0.0,0.21,3.76,0.0,76871.97,92309.45,530842.6,530893.2,7.56,0.0,0.0,8.588308433908477,0.6469665553837131,2.5278010614944697,9.975717075478663,0.2664083798609828,0.5646835754996405,0.5283389681674341,0.34181764231027006,0,798720,15770,1248948,928507,0,83,2.1354166666666665,18.2,928766.6,210.0,1633.0,166.81,68.35,5.620504062164855e-14,"default","mariadb"
57.22,0.0,14.26,0.01,1.91,6.19,0.0,0.0,79.58,79.63562500000002,0.6,268.2,0.04,15.37,0.0,30.48,64.0,58.68,0.33,0.22,4.72,0.0,73976.71,88961.46,510691.2,510737.4,7.29,0.0,0.0,8.25962640420105,0.6445105458879927,2.568084729545129,10.16590010336661,0.2721682697499808,0.5733493604545212,0.519684074203177,0.33494186635398576,0,798720,15740,1206515,876556,0,79,2.2083333333333335,18.2,876693.4,213.0,1633.0,170.83,70.82,5.620504062164855e-14,"default","mariadb"
45.27,0.0,12.13,0.0,1.54,5.1,0.0,0.0,64.04,63.969375000000014,0.2,278.0,0.01,16.94,0.0,30.05,64.0,62.39,1.0,0.21,4.16,0.0,61210.47,73562.16,422613.4,422605.0,6.03,0.0,0.0,6.945048236459114,0.6448521423341337,2.6269602670948564,10.438833807110772,0.280574458804946,0.5872996084613167,0.502714774662078,0.3241766994238623,0,798720,17514,1034033,711608,0,64,2.1666666666666665,18.2,711069.2,214.0,1633.0,172.84,72.9,5.620504062164855e-14,"default","mariadb"
63.28,0.0,15.96,0.01,2.13,6.62,0.0,0.0,87.99000000000001,87.92406250000003,0.0,286.63,0.0,16.43,0.0,29.54,0.0,58.69,0.0,0.3,3.59,0.01,82182.42,98901.16,567318.4,567345.8,8.1,0.0,0.0,8.346912072018005,0.6138694615592549,2.665294651444225,10.642859112869141,0.29007085597768545,0.6003051289057029,0.5659489294904891,0.3474187646163633,0,798720,17466,1347108,842606,0,88,2.0729166666666665,18.2,842378.6,221.0,1633.0,175.74,75.16,5.620504062164855e-14,"default","mariadb"
60.64,0.0,15.7,0.0,2.04,6.46,0.0,0.0,84.84,84.71406250000003,0.0,231.4,0.0,13.34,0.0,30.64,0.0,59.04,0.0,0.22,3.12,0.0,81211.3,97567.53,560727.0,560747.4,7.99,0.0,0.0,7.9287694691672925,0.6150065693563025,2.6893698835819384,10.767957307028068,0.29539601080047706,0.6084242202241507,0.5536390660900022,0.34049166269763953,0,798720,13148,1340110,852091,0,85,2.0833333333333335,18.2,852083.8,213.0,1633.0,177.76,77.25,5.620504062164855e-14,"default","mariadb"
60.73,0.0,15.28,0.0,2.01,6.4,0.0,0.0,84.42,84.32864583333334,0.0,268.0,0.0,14.91,0.0,30.64,0.0,56.99,0.0,0.21,3.2,0.0,80909.84,97194.74,558658.6,558673.0,7.96,0.0,0.0,7.853485726631658,0.6041984993600509,2.7333451582573973,10.9848921591747,0.3002990188862416,0.6178076457416993,0.5664191398010906,0.34222959427662974,0,798720,15332,1336175,848631,0,85,2.1145833333333335,18.2,848500.0,195.0,1633.0,180.18,79.42,5.620504062164855e-14,"default","mariadb"
60.65,0.0,15.13,0.01,1.97,6.35,0.0,0.0,84.1,84.10864583333337,0.2,284.2,0.01,20.77,0.0,29.44,64.0,74.85,0.0,0.28,5.2,0.0,81166.1,97608.37,560384.2,560505.2,8.0,0.0,0.0,7.7675763516879215,0.5933124404488256,2.7890892323233714,11.255182434338677,0.3058489185475419,0.6282585551627808,0.5770391174613705,0.3423644870154422,0,798720,21130,1330007,853813,0,84,2.125,18.2,853619.0,207.0,1633.0,181.77,81.42,5.412337245047638e-14,"default","mariadb"
54.97,0.0,14.05,0.01,1.84,5.92,0.0,0.0,76.78,76.77552083333335,0.0,272.6,0.0,17.03,0.0,30.03,0.0,63.95,0.0,0.23,5.28,0.0,74230.27,89194.96,512523.2,512634.4,7.31,0.0,0.0,7.368760231657914,0.5854244675925113,2.8522052942412905,11.555539778827535,0.30871173828176685,0.6352621514822633,0.5776249814075645,0.33815579720865774,0,798720,17822,1226591,792817,0,77,0.9791666666666666,18.2,793626.8,77.0,1633.0,183.71,83.49,5.412337245047638e-14,"default","mariadb"
