"cpu.all.%usr","cpu.all.%nice","cpu.all.%sys","cpu.all.%iowait","cpu.all.%irq","cpu.all.%soft","cpu.all.%steal","cpu.all.%guest","cpu.all.%util","cpu.all.%cutil","io.all-max.r/s","io.all-max.w/s","io.all-max.rMB/s","io.all-max.wMB/s","io.all-max.%rrqm","io.all-max.%wrqm","io.all-max.rareq-sz","io.all-max.wareq-sz","io.all-max.r_await","io.all-max.w_await","io.all-max.%util","io.all-max.blk_sat","sar-network.all-max.rxkB/s","sar-network.all-max.txkB/s","sar-network.all-max.rxpck/s","sar-network.all-max.txpck/s","sar-network.all-max.%ifutil","sar-net_err.all-max.err/s","sar-net_err.all-max.net_sat","perf-memBW.MEM_BW_Util","perf-cpu.IPC","perf-cpu.LLC","perf-cpu.MPKI","perf-cpu.ITLB","perf-cpu.DTLB","perf-cpu.StallBackend/Insts","perf-cpu.StallBackend/cycles","vmstat.b","vmstat.swpd","vmstat.bo","vmstat.in","vmstat.cs","vmstat.mem_sat","vmstat.cpu_util","vmstat.cpu_sat","sar-task.proc/s","sar-task.cswch/s","sar-load.runq-sz","sar-load.plist-sz","sar-load.ldavg-1","sar-load.ldavg-5","sysctl.file-util","workload.type","workload.appname"
54.78,0.0,12.68,0.0,1.51,4.43,0.0,0.0,73.4,73.22968749999998,2.2,35.0,0.83,36.11,0.0,20.81,385.82,1056.57,2.27,40.01,7.92,1.34,58621.04,129066.93,396882.4,371308.4,10.57,0.0,0.0,6.974682320180045,0.5463662298395067,2.6207614977502613,10.551241489565387,0.28428650105041636,0.6453833602810748,0.658191902072462,0.3596138280462249,0,806912,36988,1036875,708269,0,74,2.3854166666666665,69.0,707774.6,138.0,1651.0,138.37,140.88,3.7470027081099033e-14,"default","mariadb"
53.22,0.0,12.43,0.01,1.49,4.38,0.0,0.0,71.52,71.44572916666665,0.0,32.2,0.0,36.16,0.0,4.73,0.0,1150.04,0.0,45.04,7.84,1.39,58625.61,111069.17,396443.6,371235.0,9.1,0.0,0.0,6.953688246061516,0.5397034439662247,2.730511275481035,10.950913990364597,0.2943733481750212,0.6651621884425357,0.6600908631631649,0.35625331217979805,0,806912,37035,1027856,690589,0,71,2.125,17.8,690898.0,160.0,1651.0,141.15,141.41,3.7470027081099033e-14,"default","mariadb"
55.49,0.0,13.33,0.34,1.55,4.46,0.0,0.0,74.83,74.70020833333332,0.0,35.4,0.0,40.26,0.0,6.35,0.0,1164.45,0.0,42.07,8.4,1.42,58937.78,93621.49,392800.6,378346.2,7.67,0.0,0.0,7.102909551387848,0.5069921891994851,2.859719988044418,11.33239413265615,0.30102420692259596,0.6855071374263161,0.7505776378388014,0.38053699977207217,1,806912,46451,1059268,762021,0,74,2.2916666666666665,17.4,761441.0,166.0,1651.0,143.22,141.84,3.7470027081099033e-14,"default","mariadb"
56.39,0.0,13.45,0.01,1.58,4.61,0.0,0.0,76.03,75.86427083333335,0.0,42.6,0.0,41.56,0.0,4.05,0.0,998.97,0.0,39.4,8.8,1.6,60956.18,79422.84,399319.0,398209.0,6.51,0.0,0.0,7.21443536564141,0.5190527041855904,2.8963227222085814,11.42162705904239,0.30497820259617053,0.688802490117752,0.7191193127338857,0.37326082390660664,0,806912,37334,1084979,760813,0,76,2.15625,18.2,760946.0,205.0,1650.0,149.05,143.07,3.7470027081099033e-14,"default","mariadb"
53.84,0.0,12.4,0.0,1.52,4.82,0.0,0.0,72.58000000000001,78.33114942528734,0.0,23.0,0.0,24.32,0.0,8.0,0.0,1082.61,0.0,30.86,5.04,0.67,64100.96,74834.1,431029.8,431353.2,6.13,0.0,0.0,7.005463160990248,0.6474147951134379,2.5159480906457588,9.825150844555482,0.27290251306032265,0.6081421978246088,0.5268731673675051,0.3411054837020014,0,806912,24904,1080638,626415,0,73,1.71875,17.6,627204.2,159.0,1651.0,154.41,144.28,3.7470027081099033e-14,"default","mariadb"
60.24,0.0,11.39,0.0,1.44,4.45,0.0,0.0,77.52,77.52916666666665,0.0,155.2,0.0,10.03,0.0,26.17,0.0,66.19,0.0,0.37,3.12,0.03,57210.34,68682.4,394526.8,395219.8,5.63,0.0,0.0,6.169620126631658,0.6114385906478058,2.355732747055955,8.984772757160421,0.24686483852181434,0.554156864262596,0.7059252926003247,0.4316299660101824,0,806912,10276,1006403,604975,0,77,1.7916666666666667,21.0,604252.8,144.0,1651.0,159.66,145.54,3.7470027081099033e-14,"default","mariadb"
67.31,0.0,11.59,0.02,1.54,4.46,0.0,0.0,84.9,84.89447916666667,0.0,269.4,0.0,12.81,0.0,27.03,0.0,48.69,0.0,0.17,3.52,0.0,56563.51,68065.59,390483.6,391503.2,5.58,0.0,0.0,6.22988848012003,0.5565863788403783,2.4053832802375665,9.12367544278549,0.24443211618241714,0.5547238643758093,0.8537890462274997,0.4752073535333445,0,806912,13294,1003538,632314,0,85,2.3020833333333335,18.4,632334.4,211.0,1652.0,163.13,146.49,3.7470027081099033e-14,"default","mariadb"
67.23,0.0,11.71,0.01,1.53,4.49,0.0,0.0,84.96,84.95489583333337,0.0,230.2,0.0,11.95,0.0,27.88,0.0,53.16,0.0,0.18,3.84,0.0,56833.38,68325.44,392411.2,393589.8,5.6,0.0,0.0,6.180600049212302,0.5507158584139119,2.4278520796127903,9.22501398251464,0.24637594841168775,0.558390661944694,0.8640837409329564,0.47586461912939726,0,806912,12610,1008141,648934,0,85,1.96875,18.2,648761.6,218.0,1652.0,165.76,147.31,3.7470027081099033e-14,"default","mariadb"
66.82,0.0,11.4,0.0,1.52,4.47,0.0,0.0,84.21,84.19927083333337,0.0,247.6,0.0,14.57,0.0,30.1,0.0,60.26,0.0,0.19,4.24,0.0,56223.45,67668.43,388137.6,389570.8,5.54,0.0,0.0,6.110766168342086,0.5440415218904161,2.4552287622223603,9.341437053681034,0.24847158720326057,0.5638697226160133,0.87770959189057,0.4775104621499617,0,806912,14566,1000416,653295,0,84,1.65625,20.8,653256.0,173.0,1652.0,163.78,147.21,3.7470027081099033e-14,"default","mariadb"
63.8,0.0,11.54,0.01,1.52,4.4,0.0,0.0,81.26,81.21218750000003,0.0,244.4,0.0,15.69,0.0,30.61,0.0,65.74,0.0,0.21,4.0,0.0,55248.0,66508.73,381391.4,382540.2,5.45,0.0,0.0,6.121436970442611,0.5461534585933729,2.496185308025031,9.527948220807215,0.25190882094383743,0.5721407601513916,0.8586907461013413,0.4689769208453714,0,806912,16071,984358,640408,0,81,2.0208333333333335,20.6,640322.0,210.0,1651.0,164.2,147.57,3.5388358909926865e-14,"default","mariadb"
