CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
12.64,0.0,3.42,0.0,0.43,1.57,0.0,0.0,18.06,53.7562962962963,0.0,0.2,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,25583.63,30813.59,176707.4,176704.0,2.52,0.0,0.0,1.4880869401350338,0.6042424825608863,3.3270885105432413,14.073354243713567,0.3573453444125409,0.7122399404963332,0.3191833366837518,0.1928641317498574,0,978944,14,512861,366925,0,18,0.17708333333333334,63.0,366890.8,21.0,1489.0,18.25,9.8,6.661338147750938e-14,default,mariadb_docker
13.37,0.0,3.1,0.0,0.47,1.58,0.0,0.0,18.52,52.64080000000002,0.0,0.6,0.0,0.01,0.0,81.25,0.0,20.0,0.0,0.0,0.0,0.0,25674.64,30907.55,177355.0,177352.2,2.53,0.0,0.0,1.4847062805701423,0.5912521620154348,3.2048331636583223,13.50802198123302,0.3347584373322271,0.6990290414314024,0.3790532041959665,0.22411602649974327,0,978944,16,529976,367233,0,18,0.2395833333333333,18.0,367191.8,17.0,1490.0,17.91,9.87,6.661338147750938e-14,default,mariadb_docker
13.55,0.0,3.09,0.0,0.45,1.58,0.0,0.0,18.67,58.427200000000006,0.0,0.8,0.0,0.0,0.0,20.0,0.0,4.0,0.0,0.25,0.0,0.0,25671.85,30891.09,177321.6,177320.8,2.53,0.0,0.0,1.5016341605401349,0.5887401718942619,3.1660723840468488,13.33657429193001,0.3282320226034588,0.6938947236298121,0.3870992060816311,0.22790085312863176,0,978944,99,534076,366803,0,19,0.16666666666666666,17.8,366762.2,10.0,1489.0,17.83,9.99,6.661338147750938e-14,default,mariadb_docker
13.63,0.0,3.0,0.0,0.47,1.58,0.0,0.0,18.68,59.26041666666668,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,25655.94,30810.66,177240.2,177234.4,2.52,0.0,0.0,1.516454736084021,0.5887296375014216,3.164186640024278,13.333939617615087,0.3281201692882357,0.6941615810483701,0.3886467545363375,0.228807862914282,0,978944,16,534094,366579,0,19,0.22916666666666666,17.4,366536.0,18.0,1490.0,17.61,10.07,6.661338147750938e-14,default,mariadb_docker
13.58,0.0,3.08,0.0,0.47,1.59,0.0,0.0,18.72,63.58181818181819,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,25374.82,30486.27,175305.2,175302.2,2.5,0.0,0.0,1.4644776330082518,0.5796557524955255,3.186124425510075,13.440847372832494,0.332084671889049,0.6961006918645751,0.3998850481925181,0.2317956685217436,0,978944,6,524942,362774,0,19,0.19791666666666666,18.2,362741.4,17.0,1490.0,17.16,10.1,6.661338147750938e-14,default,mariadb_docker
13.4,0.0,3.11,0.0,0.48,1.6,0.0,0.0,18.590000000000003,56.45791666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25384.44,30549.87,175333.4,175329.0,2.5,0.0,0.0,1.4781615915978994,0.5835863849980403,3.1945833046695538,13.478224773680363,0.3342708162829463,0.6981581297165463,0.39040012697041904,0.2278321988014428,0,978944,4,524548,362846,0,18,0.19791666666666666,18.0,362800.4,12.0,1490.0,16.98,10.18,6.661338147750938e-14,default,mariadb_docker
13.51,0.0,3.1,0.0,0.46,1.61,0.0,0.0,18.68,53.969615384615395,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,25336.81,30437.21,175050.6,175048.4,2.49,0.0,0.0,1.4468758949737437,0.5801239755307489,3.1827630921053576,13.43214291267302,0.33247457736654834,0.6938579149908259,0.4013333438044192,0.2328230949208685,0,978944,201,523218,362800,0,19,0.15625,17.8,362672.2,20.0,1490.0,17.15,10.33,6.661338147750938e-14,default,mariadb_docker
13.66,0.0,3.02,0.0,0.48,1.64,0.0,0.0,18.8,53.84777777777778,0.0,10.0,0.0,0.09,0.0,46.24,0.0,8.88,0.0,0.12,0.0,0.0,25041.76,30161.61,172963.8,172961.4,2.47,0.0,0.0,1.466486608852213,0.5723904234818356,3.1675747816013957,13.374683440481968,0.3300767967252133,0.6962424493860351,0.42013160741496414,0.2404793086863556,0,978944,72,521244,357996,0,19,0.17708333333333334,18.2,358070.8,19.0,1490.0,16.89,10.39,6.661338147750938e-14,default,mariadb_docker
13.59,0.0,3.09,0.0,0.48,1.6,0.0,0.0,18.76,60.27608695652174,0.0,2.4,0.0,0.01,0.0,25.0,0.0,5.67,0.0,0.25,0.0,0.0,25601.03,30811.62,176827.4,176823.2,2.52,0.0,0.0,1.4929683396849214,0.5866125818151792,3.165000746276524,13.34976120077457,0.32950144775645857,0.6916644632986577,0.3960835803578119,0.232347611688296,0,978944,18,532245,365851,0,19,0.19791666666666666,18.2,365776.4,17.0,1490.0,16.82,10.48,6.661338147750938e-14,default,mariadb_docker
13.67,0.0,3.03,0.0,0.47,1.64,0.0,0.0,18.81,55.54720000000001,0.0,0.6,0.0,0.0,0.0,57.14,0.0,8.0,0.0,0.0,0.0,0.0,25021.02,30102.44,172812.6,172812.0,2.47,0.0,0.0,1.4285766385596397,0.5699246967528875,3.1519827406204968,13.301478553125571,0.3280696946002995,0.6920800733337945,0.4268312003083731,0.2432616424004205,0,978944,9,521157,357485,0,19,0.16666666666666666,18.2,357463.8,13.0,1490.0,16.92,10.61,6.661338147750938e-14,default,mariadb_docker
13.57,0.0,3.06,0.0,0.5,1.64,0.0,0.0,18.77,60.80124999999999,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,25078.39,30151.91,173228.4,173223.6,2.47,0.0,0.0,1.438594784696174,0.5728245639620424,3.1544825095270568,13.309144147825403,0.32843707594364296,0.6882981554649248,0.42116644509404577,0.2412544852664403,0,978944,11,523074,358280,0,19,0.21875,18.2,358228.6,12.0,1490.0,17.16,10.77,6.661338147750938e-14,default,mariadb_docker
13.43,0.0,3.14,0.0,0.46,1.62,0.0,0.0,18.65,55.47576923076925,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.33,0.0,0.0,25486.28,30651.71,176054.6,176052.2,2.51,0.0,0.0,1.4951902583645913,0.5842481618821742,3.1884087805296417,13.45509567992663,0.33317787038562346,0.6946422212728147,0.3937717686925618,0.2300604320597219,0,978944,6,526571,364336,0,18,0.15625,18.2,364314.6,21.0,1490.0,16.75,10.79,6.661338147750938e-14,default,mariadb_docker
13.79,0.0,3.02,0.0,0.48,1.63,0.0,0.0,18.92,54.39038461538462,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,25317.03,30474.57,174855.4,174853.6,2.5,0.0,0.0,1.4931994118529632,0.5757799487000537,3.1618042404998064,13.338537915019927,0.32796777736043115,0.6931585977031769,0.4132667726415668,0.237950721150998,0,978944,6,525657,361823,0,19,0.22916666666666666,18.2,361764.6,15.0,1490.0,16.45,10.82,6.661338147750938e-14,default,mariadb_docker
13.58,0.0,2.97,0.0,0.46,1.61,0.0,0.0,18.62,57.704615384615366,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,25456.42,30626.03,175838.8,175835.4,2.51,0.0,0.0,1.4572901209302325,0.5839540401070155,3.1713703368817425,13.374626990480902,0.3294171455384791,0.6945957573707915,0.3986871640027096,0.2328149801581905,0,978944,173,527689,363786,0,19,0.20833333333333331,18.2,363717.0,17.0,1490.0,16.41,10.91,6.661338147750938e-14,default,mariadb_docker
13.52,0.0,3.0,0.0,0.49,1.62,0.0,0.0,18.63,57.98583333333334,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25024.0,30118.58,172855.0,172847.6,2.47,0.0,0.0,1.4518212081020254,0.5746464664437261,3.154675714096005,13.310057649271846,0.3275097032190613,0.6906241804752477,0.4208847770621408,0.24185994991871465,0,978944,5,521068,357480,0,19,0.14583333333333334,18.2,357471.6,16.0,1490.0,16.22,10.96,6.661338147750938e-14,default,mariadb_docker
13.72,0.0,3.04,0.0,0.46,1.61,0.0,0.0,18.83,64.73260869565216,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.33,0.0,0.0,25309.0,30434.76,174852.8,174850.4,2.49,0.0,0.0,1.4554522982745686,0.5778038293755814,3.15582293689108,13.30689988423604,0.3277303919539653,0.6903501618401968,0.41122429114773545,0.2376069701574205,0,978944,6,526218,361734,0,19,0.14583333333333334,18.2,361678.0,19.0,1490.0,16.36,11.08,6.661338147750938e-14,default,mariadb_docker
13.71,0.0,3.06,0.0,0.48,1.63,0.0,0.0,18.88,58.64000000000001,0.0,1.2,0.0,0.0,0.0,14.29,0.0,4.0,0.0,0.0,0.0,0.0,25266.62,30417.83,174506.2,174504.4,2.49,0.0,0.0,1.4499999783945987,0.5738357734700179,3.157046062023749,13.319456317609305,0.3281899558875561,0.6902943864745977,0.4205575581747305,0.2413309716838585,0,978944,9,526643,360854,0,19,0.15625,18.2,360946.4,22.0,1490.0,16.49,11.19,6.661338147750938e-14,default,mariadb_docker
13.77,0.0,2.98,0.0,0.49,1.64,0.0,0.0,18.88,58.72769230769231,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.33,0.0,0.0,25061.68,30206.12,173080.2,173076.6,2.47,0.0,0.0,1.4213504096024008,0.5680889953979645,3.1675104120198285,13.36913557387493,0.33052127384997426,0.6936193047794849,0.4231304987358887,0.2403757799491107,0,978944,10,519793,358162,0,19,0.14583333333333334,18.2,358017.6,18.0,1490.0,16.37,11.26,6.869504964868156e-14,default,mariadb_docker
13.77,0.0,3.06,0.0,0.5,1.68,0.0,0.0,19.01,54.186206896551724,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,24916.06,29970.87,172115.8,172111.8,2.46,0.0,0.0,1.4482580261065263,0.5632502850736043,3.1435586063740915,13.259941240216506,0.3262308365673595,0.6940097941323896,0.4403671416119024,0.24803691804995234,0,978944,6,520042,356614,0,19,0.20833333333333331,18.2,356590.0,16.0,1490.0,16.1,11.29,6.869504964868156e-14,default,mariadb_docker
13.64,0.0,3.03,0.0,0.49,1.65,0.0,0.0,18.81,55.982000000000006,0.0,7.2,0.0,0.05,0.0,20.0,0.0,7.56,0.0,0.06,0.16,0.0,25308.28,30451.3,174848.2,174845.4,2.49,0.0,0.0,1.4569711675918977,0.5764634885977526,3.1705312602678197,13.377879641098176,0.3301686031987285,0.6954823733115798,0.4126673963744932,0.2378876869445919,0,978944,58,525945,361892,0,19,0.20833333333333331,18.2,361839.8,18.0,1490.0,16.26,11.4,6.869504964868156e-14,default,mariadb_docker
13.73,0.0,3.13,0.0,0.49,1.64,0.0,0.0,18.99,62.919130434782616,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.33,0.0,0.0,25124.85,30216.59,173571.4,173569.0,2.48,0.0,0.0,1.4250610844711178,0.5695861393307357,3.1460600212752827,13.268758020397206,0.3262848066634186,0.6921242940633495,0.4310509366261857,0.2455206388478067,0,978944,172,523935,359016,0,19,0.17708333333333334,18.2,359004.6,18.0,1490.0,16.56,11.54,6.869504964868156e-14,default,mariadb_docker
13.61,0.0,2.99,0.0,0.48,1.64,0.0,0.0,18.72,52.60958333333334,0.0,0.2,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,25028.58,30128.38,172884.4,172881.4,2.47,0.0,0.0,1.4196327321830458,0.5708021748539741,3.1538227268117907,13.309445306556348,0.3281826504397717,0.6916498098422947,0.42555472468939853,0.2429075623720929,0,978944,10,520386,357683,0,19,0.22916666666666666,18.2,357600.0,21.0,1490.0,16.67,11.65,6.869504964868156e-14,default,mariadb_docker
13.49,0.0,3.17,0.0,0.48,1.64,0.0,0.0,18.78,55.93384615384617,0.0,0.6,0.0,0.0,0.0,57.14,0.0,8.0,0.0,0.0,0.0,0.0,25185.23,30322.96,173967.6,173967.2,2.48,0.0,0.0,1.4238258316579149,0.5754403814028143,3.151029223926247,13.288152099698587,0.32703303857793553,0.6915299859386935,0.4205102927827573,0.241978603262719,0,978944,4,524829,359824,0,18,0.11458333333333333,18.2,359779.4,14.0,1490.0,16.62,11.72,6.869504964868156e-14,default,mariadb_docker
13.69,0.0,3.02,0.0,0.5,1.64,0.0,0.0,18.85,57.63833333333334,0.0,1.4,0.0,0.01,0.0,22.22,0.0,4.57,0.0,0.14,0.0,0.0,25375.92,30560.35,175264.8,175261.2,2.5,0.0,0.0,1.4496773377344336,0.5771439796282144,3.158718904853317,13.326683456441204,0.32818821833709005,0.6904080382285143,0.4174957056267423,0.2409551330231076,0,978944,10,528426,362449,0,19,0.15625,18.2,362429.2,15.0,1490.0,16.25,11.73,6.869504964868156e-14,default,mariadb_docker
13.57,0.0,3.09,0.0,0.48,1.64,0.0,0.0,18.78,57.2344,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,25295.81,30398.86,174744.0,174740.4,2.49,0.0,0.0,1.4273527549887473,0.5772000641079591,3.173225570354804,13.386581585274492,0.32974358779995105,0.6910353485160456,0.41495332085464187,0.2395110833991098,0,978944,10,524494,361580,0,19,0.11458333333333333,18.2,361520.2,19.0,1489.0,16.63,11.88,6.869504964868156e-14,default,mariadb_docker
