"cpu.all.%usr","cpu.all.%nice","cpu.all.%sys","cpu.all.%iowait","cpu.all.%irq","cpu.all.%soft","cpu.all.%steal","cpu.all.%guest","cpu.all.%util","cpu.all.%cutil","io.all-max.r/s","io.all-max.w/s","io.all-max.rMB/s","io.all-max.wMB/s","io.all-max.%rrqm","io.all-max.%wrqm","io.all-max.rareq-sz","io.all-max.wareq-sz","io.all-max.r_await","io.all-max.w_await","io.all-max.%util","io.all-max.blk_sat","sar-network.all-max.rxkB/s","sar-network.all-max.txkB/s","sar-network.all-max.rxpck/s","sar-network.all-max.txpck/s","sar-network.all-max.%ifutil","sar-net_err.all-max.err/s","sar-net_err.all-max.net_sat","perf-memBW.MEM_BW_Util","perf-cpu.IPC","perf-cpu.LLC","perf-cpu.MPKI","perf-cpu.ITLB","perf-cpu.DTLB","perf-cpu.StallBackend/Insts","perf-cpu.StallBackend/cycles","vmstat.b","vmstat.swpd","vmstat.bo","vmstat.in","vmstat.cs","vmstat.mem_sat","vmstat.cpu_util","vmstat.cpu_sat","sar-task.proc/s","sar-task.cswch/s","sar-load.runq-sz","sar-load.plist-sz","sar-load.ldavg-1","sar-load.ldavg-5","sysctl.file-util","workload.type","workload.appname"
13.01,0.0,3.35,0.0,0.46,1.61,0.0,0.0,18.43,53.351785714285704,0.0,225.6,0.0,13.29,0.0,30.41,0.0,60.32,0.0,0.19,3.76,0.0,24703.97,29700.12,170524.0,170522.4,2.43,0.0,0.0,1.5292362226556637,0.5905883692535148,3.199383987961589,13.479587147499355,0.33673602420196524,0.7059462339225627,0.3747630983056894,0.22133072708475174,0,978944,14343,507956,354875,0,18,0.052083333333333336,67.0,354922.4,17.0,1488.0,9.46,2.24,5.412337245047638e-14,"default","mariadb"
13.16,0.0,3.02,0.0,0.45,1.61,0.0,0.0,18.24,54.13576923076922,0.2,193.2,0.03,12.11,0.0,29.28,136.0,64.19,0.0,0.24,3.44,0.0,24737.06,29661.68,170806.0,170802.8,2.43,0.0,0.0,1.5033263339834957,0.5830252850948268,3.23138284769054,13.63419344546291,0.34141807735756746,0.705074916149353,0.37843232944672905,0.2206356167647786,0,978944,11667,508335,354762,0,18,0.23958333333333334,18.4,354668.2,13.0,1489.0,10.14,2.5,5.412337245047638e-14,"default","mariadb"
13.15,0.0,3.16,0.01,0.45,1.62,0.0,0.0,18.380000000000003,54.752800000000015,0.0,233.6,0.0,13.98,0.0,28.39,0.0,61.27,0.0,0.2,3.84,0.0,24612.46,29575.25,169911.6,169909.0,2.42,0.0,0.0,1.5523714016504127,0.5804193195142728,3.2225994122215247,13.607670948918935,0.34009549757104446,0.7022156592499563,0.3864981669397874,0.2243310030487052,0,978944,14314,505289,353195,0,18,0.1875,17.0,353144.4,19.0,1489.0,10.53,2.71,5.412337245047638e-14,"default","mariadb"
12.9,0.0,3.13,0.0,0.46,1.61,0.0,0.0,18.1,49.86035714285714,0.0,253.8,0.0,13.82,0.0,28.59,0.0,55.75,0.0,0.19,3.76,0.0,24457.48,29362.2,168871.8,168871.6,2.41,0.0,0.0,1.5167672366091522,0.57818582354616,3.2344923541598605,13.670987400892281,0.34346300112372646,0.7076679665282531,0.3790655924620603,0.21917035175568939,0,978944,14150,499150,351086,0,18,0.17708333333333334,18.2,351046.0,18.0,1489.0,10.89,2.91,5.412337245047638e-14,"default","mariadb"
12.89,0.0,3.07,0.01,0.46,1.59,0.0,0.0,18.01,52.042222222222215,0.0,285.2,0.0,13.65,0.0,26.61,0.0,49.01,0.0,0.17,3.76,0.0,24450.72,29420.01,168771.6,168769.4,2.41,0.0,0.0,1.4975209530382594,0.5806257754114816,3.222863711371935,13.611094795792246,0.34162126555316785,0.7046728883278328,0.3777957190177767,0.2193579323018348,0,978944,13978,500542,351356,0,18,0.20833333333333334,20.6,351306.4,17.0,1487.0,10.98,3.06,5.412337245047638e-14,"default","mariadb"
12.76,0.0,3.12,0.01,0.43,1.57,0.0,0.0,17.88,52.85814814814813,0.2,252.2,0.0,12.96,0.0,28.68,4.0,52.6,1.0,0.16,3.28,0.0,24695.04,29702.05,170448.2,170445.2,2.43,0.0,0.0,1.537241091072768,0.5932639336737418,3.2777811625878623,13.85388586668965,0.3497677717002734,0.7108037211558249,0.3419406472979719,0.20286105349894035,0,978944,13266,503798,354661,0,18,0.13541666666666666,18.4,354618.2,16.0,1489.0,11.06,3.21,5.412337245047638e-14,"default","mariadb"
12.95,0.0,3.12,0.01,0.45,1.6,0.0,0.0,18.12,50.74333333333333,0.0,120.8,0.0,5.79,0.0,29.11,0.0,49.07,0.0,0.16,2.08,0.0,24570.4,29495.7,169637.8,169639.0,2.42,0.0,0.0,1.4952403444861215,0.585330543418864,3.226556733264959,13.631496491178336,0.34237335782093825,0.7050342771431929,0.3744406518724524,0.21917155023861623,0,978944,5928,504042,352720,0,18,0.14583333333333334,18.2,352708.4,12.0,1489.0,11.38,3.41,5.412337245047638e-14,"default","mariadb"
12.73,0.0,3.2,0.0,0.44,1.6,0.0,0.0,17.970000000000002,51.07346153846153,0.0,63.8,0.0,2.82,0.0,31.1,0.0,45.25,0.0,0.17,0.8,0.0,24201.1,29094.39,167035.0,167033.4,2.38,0.0,0.0,1.5129013869467365,0.5771127062347957,3.2602585078114,13.78468405328803,0.34776756813685694,0.7107228788346003,0.37391410386872254,0.21579058038303695,0,978944,2887,491873,346598,0,18,0.22916666666666666,17.6,346571.0,14.0,1489.0,11.99,3.67,5.412337245047638e-14,"default","mariadb"
12.88,0.0,3.1,0.0,0.46,1.6,0.0,0.0,18.040000000000003,51.35206896551724,0.0,34.0,0.0,1.21,0.0,28.27,0.0,36.56,0.0,0.14,0.48,0.0,24090.39,28996.48,166262.0,166260.0,2.38,0.0,0.0,1.5125729080270067,0.5711415952252622,3.2356629765542233,13.671583115340116,0.3428650737349385,0.7068794779496194,0.38786169824148137,0.22152394906041897,0,978944,1243,492219,344644,0,18,0.19791666666666666,18.2,344578.0,11.0,1489.0,11.99,3.81,5.412337245047638e-14,"default","mariadb"
12.74,0.0,3.17,0.0,0.45,1.59,0.0,0.0,17.95,53.3625925925926,0.0,18.2,0.0,0.42,0.0,27.78,0.0,23.78,0.0,0.12,0.08,0.0,24308.6,29237.91,167757.4,167757.6,2.4,0.0,0.0,1.5022895819954987,0.5795078354777214,3.2577960857647357,13.767421058201457,0.34743245166091785,0.7090772758673526,0.37038395115074557,0.2146404018270547,0,978944,433,493481,347714,0,18,0.16666666666666666,18.2,347663.4,19.0,1489.0,12.63,4.07,5.412337245047638e-14,"default","mariadb"
