CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
70.1,0,12.71,0.02,1.66,4.9,0,0,89.37,89.3284375,0,0,0,0,0,0,0,0,0,0,0,0,61051.81,72216.12,417339.4,417823,5.92,0,0,7.074911409,0.720465729,1.932412778,7.187679251,0.202694545,0.459854031,0.581581031,0.419009202,0,806912,79136,1061801,621656,0,89,2.041666667,67.6,621720,187,1645,126.79,42.37,3.96E-14,default,mariadb_docker
71.01,0,11.86,0.03,1.58,4.59,0,0,89.04,89.03239583,0,0,0,0,0,0,0,0,0,0,0,0,56870.36,68358.94,392657.6,393434.2,5.6,0,0,6.315735478,0.679865971,1.932308769,7.149876796,0.202500128,0.454711778,0.669304516,0.455037364,0,806912,42221,1007477,602208,0,89,2.364583333,18,601985.4,170,1645,133.78,45.22,3.96E-14,default,mariadb_docker
71.34,0,11.89,0.01,1.58,4.61,0,0,89.42,89.41177083,0,0,0,0,0,0,0,0,0,0,0,0,57334.73,68948.38,395853.6,396600.6,5.65,0,0,6.262806124,0.66786157,1.961279093,7.270112797,0.206438927,0.459626668,0.684227345,0.456969149,0,806912,30898,1015364,607040,0,89,2.177083333,17.2,606969.2,225,1646,138.52,47.67,3.96E-14,default,mariadb_docker
70.82,0,11.88,0.01,1.6,4.59,0,0,88.89,88.88604167,0,0,0,0,0,0,0,0,0,0,0,0,57052.43,68664.66,393875.4,394779.4,5.63,0,0,6.341357755,0.657191044,2.007830968,7.455685099,0.20939789,0.466077582,0.698928038,0.459329247,0,806912,22490,1012318,611882,0,89,2.135416667,23,611652.6,204,1645,143.76,50.27,3.96E-14,default,mariadb_docker
71.35,0,11.66,0.03,1.56,4.57,0,0,89.14,89.13166667,0,0,0,0,0,0,0,0,0,0,0,0,56883.05,68458.71,392734.4,393644.6,5.61,0,0,6.319224913,0.643464257,2.048910671,7.614418657,0.211945693,0.471022908,0.722012372,0.464589154,0,806912,25555,1009792,614861,0,89,2.197916667,18,614800.6,192,1645,148.91,52.88,3.96E-14,default,mariadb_docker
70.15,0,11.61,0.01,1.57,4.53,0,0,87.86,87.8628125,0,0,0,0,0,0,0,0,0,0,0,0,56235.71,67667.1,388253.2,389371.2,5.54,0,0,6.336657649,0.638630159,2.083129332,7.751022146,0.213748865,0.475780299,0.726498853,0.463964078,0,806912,21884,1001613,621610,0,88,2.083333333,17.8,621771.2,228,1645,152.68,55.26,3.96E-14,default,mariadb_docker
70.44,0,11.74,0.01,1.57,4.55,0,0,88.3,88.30145833,0,0,0,0,0,0,0,0,0,0,0,0,56499.01,68013.28,390068.4,391087,5.57,0,0,6.334261505,0.62775404,2.113263377,7.870467994,0.216687555,0.480435478,0.74440659,0.467304244,0,806912,33471,1005092,613928,0,88,1.854166667,18.2,613910.4,163,1645,152.79,56.9,3.96E-14,default,mariadb_docker
70.91,0,11.96,0.02,1.61,4.64,0,0,89.12,89.10114583,0,0,0,0,0,0,0,0,0,0,0,0,57437.65,69112.59,396567.2,397496.2,5.66,0,0,6.368658994,0.622621458,2.134851714,7.970129902,0.219073278,0.486216476,0.750701507,0.467402867,0,806912,13434,1017022,618163,0,89,2.041666667,18.2,618127.6,209,1645,153.68,58.68,3.96E-14,default,mariadb_docker
70.99,0,11.92,0.01,1.56,4.62,0,0,89.09,89.07958333,0,0,0,0,0,0,0,0,0,0,0,0,57440.61,69109.76,396516,397439.6,5.66,0,0,6.363188852,0.617222014,2.157158607,8.063171489,0.221128919,0.490348973,0.757505489,0.467549064,0,806912,17470,1016337,621476,0,89,1.697916667,18.2,621537.4,149,1645,156.19,60.77,3.96E-14,default,mariadb_docker
70.59,0,11.92,0.01,1.63,4.66,0,0,88.8,88.7903125,0,0,0,0,0,0,0,0,0,0,0,0,57725.69,69450.32,398558.2,399578.8,5.69,0,0,6.400347837,0.614185147,2.178924594,8.15993617,0.223636091,0.495085162,0.758637744,0.465944034,1,806912,15846,1022018,625876,0,89,1.9375,18.2,625726,215,1645,157.7,62.67,3.96E-14,default,mariadb_docker
70.82,0,11.93,0.01,1.59,4.66,0,0,89,89.01302083,0,0,0,0,0,0,0,0,0,0,0,0,58034.45,69829.49,400701.2,401642.71,5.72,0,0,6.371102152,0.606982556,2.201178148,8.256805177,0.226070365,0.500912013,0.769613484,0.46714196,0,806912,14634,1026867,629289,0,89,1.791666667,18.4,629186,165,1646,159,64.52,3.96E-14,default,mariadb_docker
70.45,0,12.02,0.01,1.6,4.71,0,0,88.78,88.78375,0,0,0,0,0,0,0,0,0,0,0,0,58393.83,70251.94,403164.4,404103.6,5.76,0,0,6.401472163,0.603296856,2.218015333,8.329693066,0.228277939,0.504419254,0.771834918,0.46564558,0,806912,25656,1031374,632862,0,88,1.854166667,18.4,632710.2,171,1647,156.92,65.66,3.96E-14,default,mariadb_docker
70.03,0,11.82,0.01,1.61,4.66,0,0,88.12,88.13104167,0,0,0,0,0,0,0,0,0,0,0,0,57914.07,69745.06,399770.2,400878,5.71,0,0,6.27360506,0.59663369,2.237869974,8.417461789,0.230228076,0.510650833,0.782179762,0.466674798,0,806912,13905,1025109,637436,0,88,1.59375,20.6,637276.2,183,1646,160.21,67.85,3.96E-14,default,mariadb_docker
69.16,0,12.07,0.03,1.57,4.63,0,0,87.43,87.4190625,0,0,0,0,0,0,0,0,0,0,0,0,57383.17,69058.55,396190,397405.8,5.66,0,0,6.215509769,0.588149883,2.262214749,8.515160056,0.232482306,0.518158509,0.797440725,0.469014669,0,806912,33516,1016813,638361,0,87,1.927083333,23.2,638533.2,199,1645,160.35,69.42,3.96E-14,default,mariadb_docker
69.7,0,11.85,0.01,1.6,4.68,0,0,87.83,87.82677083,0,0,0,0,0,0,0,0,0,0,0,0,58049.52,69819.21,400788.2,401982.2,5.72,0,0,6.175670407,0.583194077,2.281463609,8.604423456,0.235536327,0.523877187,0.802709376,0.468135353,0,806912,16454,1028110,643702,0,88,1.822916667,18.16,642324.15,191,1645,159.85,70.82,3.96E-14,default,mariadb_docker
69.44,0,11.69,0.01,1.57,4.62,0,0,87.32,87.33104167,0,0,0,0,0,0,0,0,0,0,0,0,57392.7,69061.05,396266.8,397550.6,5.66,0,0,6.069114795,0.571433627,2.306441968,8.716481668,0.238416101,0.532335386,0.827255004,0.472721328,0,806912,15405,1018542,645258,0,87,1.614583333,18.2,644799,164,1645,160.26,72.39,3.96E-14,default,mariadb_docker
69,0,11.75,0.02,1.59,4.59,0,0,86.93,86.93739583,0,0,0,0,0,0,0,0,0,0,0,0,57243.44,68897.88,395228,396572.4,5.64,0,0,5.926324794,0.560574726,2.333478276,8.836250857,0.241565046,0.54036673,0.84984645,0.476402441,0,806912,18395,1017150,645621,0,87,1.875,18.2,645469,129,1645,158.08,73.39,3.96E-14,default,mariadb_docker
69.1,0,11.84,0.03,1.57,4.62,0,0,87.13,87.1446875,0,0,0,0,0,0,0,0,0,0,0,0,57416.78,69085.45,396417.4,397639.2,5.66,0,0,5.999654256,0.551215268,2.372940369,9.017987347,0.246167544,0.549638275,0.865436055,0.477041567,0,806912,30706,1015086,634817,0,87,1.666666667,18.2,634862.4,131,1645,158.39,74.86,3.96E-14,default,mariadb_docker
69.15,0,12.03,0.02,1.58,4.68,0,0,87.44,87.4546875,0,0,0,0,0,0,0,0,0,0,0,0,58422.06,70379.52,403348,404539.2,5.77,0,0,5.973007517,0.543332597,2.410369989,9.192224764,0.250696376,0.558478964,0.877868163,0.476974389,0,806912,17898,1029968,643356,0,87,1.822916667,18.2,643832.2,153,1645,160.84,76.76,3.96E-14,default,mariadb_docker
69.29,0,11.86,0.01,1.57,4.63,0,0,87.35,87.34875,0,0,0,0,0,0,0,0,0,0,0,0,58095.22,69936.08,401066,402307.2,5.73,0,0,5.931106329,0.530026994,2.449271563,9.366197094,0.254487093,0.569800129,0.909101639,0.481848409,0,806912,17962,1025515,647361,0,87,1.760416667,18.2,647233.2,144,1645,160.93,78.17,3.96E-14,default,mariadb_docker
69.49,0,11.78,0.02,1.59,4.69,0,0,87.55,87.55614583,0,0,0,0,0,0,0,0,0,0,0,0,58603.15,70469.47,404617.2,405800.2,5.77,0,0,5.920343036,0.52105536,2.492149478,9.560382433,0.259261929,0.578182929,0.925247545,0.482105193,1,806912,17890,1032797,645947,0,87,1.03125,18.2,646052,138,1645,164.38,80.26,3.96E-14,default,mariadb_docker
69.2,0,11.87,0.01,1.6,4.71,0,0,87.38,87.386875,0,0,0,0,0,0,0,0,0,0,0,0,58853.31,70828.82,406368.8,407579,5.8,0,0,5.948983694,0.511646935,2.538524619,9.773801439,0.264023832,0.587640447,0.943874118,0.4829303,0,806912,15010,1037440,651295,0,87,1.520833333,18.2,651058.2,200,1645,164.99,81.79,3.96E-14,default,mariadb_docker
68.11,0,11.88,0.01,1.55,4.6,0,0,86.14,86.11927083,0,0,0,0,0,0,0,0,0,0,0,0,57283.13,68952.61,395459.2,396768.6,5.65,0,0,5.826901385,0.495032294,2.588647046,9.975999363,0.267145554,0.597600425,0.993116769,0.491624873,0,806912,17942,1012153,649925,0,86,1.645833333,18.2,649616.8,167,1645,163.71,82.9,3.75E-14,default,mariadb_docker
68.22,0,11.71,0.01,1.57,4.64,0,0,86.14,86.13927083,0,0,0,0,0,0,0,0,0,0,0,0,57905.41,69643.68,399830,401272.2,5.71,0,0,5.864731463,0.489730497,2.638311035,10.21341769,0.272225686,0.608021354,0.997823175,0.48866444,0,806912,18555,1024052,654635,0,86,1.802083333,18.2,654352.4,195,1645,161.73,83.83,3.75E-14,default,mariadb_docker
68,0,12.06,0.02,1.6,4.69,0,0,86.35,86.36104167,0,0,0,0,0,0,0,0,0,0,0,0,58666.8,70593.45,405043.6,406375.8,5.78,0,0,5.945614096,0.481223646,2.696038402,10.47970135,0.277335555,0.618349499,1.01390195,0.487913593,0,806912,15670,1033163,661190,0,86,2.104166667,18.2,660849,170,1645,162.88,85.36,3.75E-14,default,mariadb_docker
65.51,0,11.58,0.02,1.52,4.52,0,0,83.13,83.13552083,0,0,0,0,0,0,0,0,0,0,0,0,56699.78,68306.19,391450.4,392791.2,5.6,0,0,5.771497223,0.473145321,2.740197614,10.68413982,0.280974988,0.627165971,1.034177747,0.489316362,0,806912,23418,999010,643190,0,84,1.729166667,18.2,643359.6,155,1645,161.85,86.44,3.75E-14,default,mariadb_docker
67.95,0,11.73,0,1.58,4.67,0,0,85.93,85.92520833,0,0,0,0,0,0,0,0,0,0,0,0,58510.31,70405.7,404018.2,405447.8,5.77,0,0,5.892647869,0.462348385,2.791073504,10.91119062,0.285746943,0.637252548,1.064297462,0.492076213,0,806912,17919,1033241,667273,0,86,1.427083333,18.2,667020.8,150,1645,161.54,87.63,3.75E-14,default,mariadb_docker
67.02,0,11.97,0.02,1.56,4.61,0,0,85.16,85.16625,0,0,0,0,0,0,0,0,0,0,0,0,57892.93,69672.56,399714,401230,5.71,0,0,5.845681529,0.451847425,2.838782505,11.11764719,0.28916706,0.648427044,1.098066223,0.496158395,0,806912,17147,1022816,669512,0,85,1.708333333,20.6,669658.4,175,1645,163.42,89.24,3.75E-14,default,mariadb_docker
66.67,0,11.99,0.02,1.56,4.64,0,0,84.86,84.85322917,0,0,0,0,0,0,0,0,0,0,0,0,58009.49,69845.65,400534.2,402075,5.72,0,0,5.851365843,0.444182529,2.893278134,11.37807161,0.294429721,0.659165925,1.115011258,0.49526852,0,806912,15066,1024996,672164,0,85,1.666666667,20.6,671906.4,160,1645,162.58,90.3,3.75E-14,default,mariadb_docker
66.73,0,11.91,0.02,1.57,4.61,0,0,84.82,84.81770833,0,0,0,0,0,0,0,0,0,0,0,0,57889.25,69731.24,399672.2,401258.4,5.71,0,0,5.830024853,0.433955292,2.942684351,11.60296561,0.298284131,0.670823263,1.150107989,0.499095448,0,806912,23971,1023253,674962,0,85,1.270833333,23.4,674901.8,147,1645,162.78,91.54,3.75E-14,default,mariadb_docker
66.23,0,11.82,0.02,1.55,4.63,0,0,84.23,84.2540625,0,0,0,0,0,0,0,0,0,0,0,0,58228.11,70130.35,402004.2,403607.8,5.75,0,0,5.810474059,0.42711821,3.000940945,11.89642637,0.304390754,0.682505512,1.164327027,0.497305276,0,806912,18088,1027283,677420,0,84,1.59375,18.2,677222.2,163,1645,161.91,92.55,3.75E-14,default,mariadb_docker
66.92,0,12.04,0.01,1.57,4.68,0,0,85.21,85.1978125,0,0,0,0,0,0,0,0,0,0,0,0,58742.96,70775.77,405548.6,407035.2,5.8,0,0,5.840977428,0.416411694,3.056960627,12.17146437,0.309657614,0.694099026,1.202164541,0.500595373,0,806912,15080,1034285,676166,0,85,1.614583333,18.2,676232.6,186,1645,160.48,93.4,3.75E-14,default,mariadb_docker
66.86,0,12.06,0.01,1.57,4.67,0,0,85.16,85.15916667,0,0,0,0,0,0,0,0,0,0,0,0,58550.34,70520.63,404199.4,405687.4,5.78,0,0,5.817109701,0.404873291,3.114047561,12.43133564,0.314422852,0.70543314,1.249673256,0.505959324,0,806912,18034,1033000,677416,0,85,1.760416667,18.2,677550.6,93,1645,157.24,93.84,3.75E-14,default,mariadb_docker
66.64,0,12.08,0.02,1.57,4.65,0,0,84.94,84.94802083,0,0,0,0,0,0,0,0,0,0,0,0,58651.49,70460.69,404165.6,405688,5.77,0,0,5.857400145,0.399716062,3.163861939,12.67480883,0.317749958,0.716050683,1.262381768,0.50459427,0,806912,28805,1032981,678278,0,85,2.125,23.8,677982,124,1647,156.74,94.79,3.54E-14,default,mariadb_docker
66.43,0,11.91,0.01,1.56,4.66,0,0,84.56,84.543125,0,0,0,0,0,0,0,0,0,0,0,0,58725.89,70613.57,405510,407034.2,5.78,0,0,5.814381391,0.390312574,3.226321963,12.9969749,0.32485391,0.729160678,1.29822095,0.506711961,1,806912,15869,1032727,681378,0,84,1.552083333,18.4,681189,135,1648,158.76,96.24,3.54E-14,default,mariadb_docker
66.49,0,12.01,0.01,1.58,4.66,0,0,84.74,84.73260417,0,0,0,0,0,0,0,0,0,0,0,0,58615.43,70516.35,404707.2,406255.8,5.78,0,0,5.780342801,0.379720732,3.291355612,13.31120114,0.330412052,0.741399285,1.343803395,0.510270009,0,806912,17643,1034232,678686,0,85,1.760416667,18.2,678171.6,184,1648,158.86,97.3,3.54E-14,default,mariadb_docker
66.12,0,11.88,0.02,1.55,4.6,0,0,84.15,84.16052083,0,0,0,0,0,0,0,0,0,0,0,0,58256.07,70080.4,402254.8,403851.2,5.74,0,0,5.683277741,0.371144957,3.352121744,13.61507447,0.335480854,0.75568256,1.381047108,0.512568669,0,806912,21951,1027049,679173,0,84,1.645833333,20.6,679412.4,189,1647,160.79,98.72,3.54E-14,default,mariadb_docker
65.92,0,12.01,0.01,1.56,4.7,0,0,84.19,84.1859375,0,0,0,0,0,0,0,0,0,0,0,0,59158.9,71267.16,408432,409999.8,5.84,0,0,5.688745117,0.364955511,3.419219339,13.96841568,0.341434901,0.768790276,1.400479866,0.511112846,1,806912,14632,1039685,688186,0,84,1.635416667,18.2,688059.2,173,1647,160.33,99.66,3.54E-14,default,mariadb_docker
66.14,0,11.98,0.01,1.56,4.64,0,0,84.32,84.3134375,0,0,0,0,0,0,0,0,0,0,0,0,58628.78,70594.89,404815.8,406437.4,5.78,0,0,5.681434387,0.35415158,3.478511596,14.25072408,0.346595389,0.780949239,1.458969931,0.516696506,0,806912,17781,1032212,685197,0,84,1.520833333,18.2,685048,144,1647,159.82,100.56,3.54E-14,default,mariadb_docker
65.6,0,11.77,0.02,1.56,4.64,0,0,83.57,83.56989583,0,0,0,0,0,0,0,0,0,0,0,0,58784.66,70846.68,405860.2,407520.4,5.8,0,0,5.594772184,0.347044226,3.53908971,14.59289973,0.354083462,0.794427736,1.486474211,0.515872292,0,806912,18138,1035723,690885,0,84,1.760416667,18.4,690441.8,105,1648,158.07,101.18,3.33E-14,default,mariadb_docker
64.88,0,11.83,0.01,1.57,4.64,0,0,82.92,82.910625,0,0,0,0,0,0,0,0,0,0,0,0,58649.91,70564.5,404957.6,406658.8,5.78,0,0,5.224166227,0.339442404,3.517627386,14.55938517,0.35960659,0.798036749,1.528352198,0.518787545,0,806912,14810,1036488,697697,0,83,1.53125,18.2,697238,167,1648,156.87,101.87,3.33E-14,default,mariadb_docker
64.54,0,12.07,0.01,1.56,4.66,0,0,82.83,82.8246875,0,0,0,0,0,0,0,0,0,0,0,0,59137.39,71119.86,408340.4,410021.4,5.83,0,0,5.257050992,0.342106495,3.518834491,14.57815193,0.360483837,0.798259587,1.504876694,0.514828091,0,806912,15014,1044213,704636,0,83,1.697916667,18.2,704936.6,136,1648,158.96,103.22,3.12E-14,default,mariadb_docker
64.33,0,11.95,0.01,1.55,4.66,0,0,82.49,82.49333333,0,0,0,0,0,0,0,0,0,0,0,0,59198.46,71256.41,408741.6,410457,5.84,0,0,5.242007948,0.342739818,3.520133269,14.58140995,0.360488011,0.797633978,1.499746816,0.51402295,0,806912,14730,1042413,705518,0,82,1.09375,18.2,705308.4,174,1648,160.16,104.4,3.12E-14,default,mariadb_docker
64.51,0,11.99,0.01,1.58,4.68,0,0,82.76,82.7609375,0,0,0,0,0,0,0,0,0,0,0,0,59290.06,71402.78,409358,411051.8,5.85,0,0,5.273464798,0.342930858,3.518335409,14.58396386,0.360770815,0.798623227,1.497640289,0.51358707,0,806912,14689,1045591,703891,0,83,1.708333333,18.2,704088.4,142,1648,161.67,105.64,3.12E-14,default,mariadb_docker
64.69,0,11.81,0.01,1.55,4.61,0,0,82.66,82.62770833,0,0,0,0,0,0,0,0,0,0,0,0,58458.99,70334.52,403625.6,405367.6,5.76,0,0,5.201405311,0.34038138,3.514716327,14.54185073,0.359522073,0.798255625,1.521415064,0.51786136,0,806912,14648,1032947,698830,0,83,1.5625,18.2,698842.4,116,1648,160.02,106.22,3.12E-14,default,mariadb_docker
64.67,0,11.88,0.01,1.55,4.65,0,0,82.75,82.73770833,0,0,0,0,0,0,0,0,0,0,0,0,58781.75,70744.61,405875.8,407563,5.8,0,0,5.22616537,0.340246965,3.52127584,14.58364579,0.360060592,0.798810441,1.521109416,0.517552862,0,806912,13166,1035267,695654,0,83,1.666666667,18.2,695764.6,111,1648,160.82,107.28,3.12E-14,default,mariadb_docker
64.28,0,12.07,0.02,1.55,4.6,0,0,82.5,82.50510417,0,0,0,0,0,0,0,0,0,0,0,0,58490.86,70513.38,403814.6,405588,5.78,0,0,5.218497277,0.341150721,3.515840362,14.56222041,0.359902586,0.799159724,1.513510693,0.516335264,0,806912,13178,1031355,695984,0,82,2.104166667,18.2,695713,138,1648,158.51,107.69,3.12E-14,default,mariadb_docker
64.87,0,11.86,0.01,1.57,4.65,0,0,82.95,82.9353125,0,0,0,0,0,0,0,0,0,0,0,0,58753.78,70765.1,405619.8,407336.8,5.8,0,0,5.204320754,0.339690093,3.514780616,14.54678316,0.359769551,0.79857464,1.526318612,0.518475312,0,806912,14586,1039979,699875,0,83,1.479166667,13.4,698821.8,141,1650,160.23,108.89,3.12E-14,default,mariadb_docker
65.22,0,11.79,0.01,1.55,4.65,0,0,83.21,83.21395833,0,0,0,0,0,0,0,0,0,0,0,0,59088.71,71157.9,407971.6,409628.6,5.83,0,0,5.213767365,0.338876226,3.516800952,14.5709407,0.360310384,0.800353772,1.532979214,0.51949021,0,806912,14653,1036793,692968,0,83,1.145833333,15.2,693540.6,180,1648,162.29,110.17,3.12E-14,default,mariadb_docker
