"cpu.all.%usr","cpu.all.%nice","cpu.all.%sys","cpu.all.%iowait","cpu.all.%irq","cpu.all.%soft","cpu.all.%steal","cpu.all.%guest","cpu.all.%util","cpu.all.%cutil","io.all-max.r/s","io.all-max.w/s","io.all-max.rMB/s","io.all-max.wMB/s","io.all-max.%rrqm","io.all-max.%wrqm","io.all-max.rareq-sz","io.all-max.wareq-sz","io.all-max.r_await","io.all-max.w_await","io.all-max.%util","io.all-max.blk_sat","sar-network.all-max.rxkB/s","sar-network.all-max.txkB/s","sar-network.all-max.rxpck/s","sar-network.all-max.txpck/s","sar-network.all-max.%ifutil","sar-net_err.all-max.err/s","sar-net_err.all-max.net_sat","perf-memBW.MEM_BW_Util","perf-cpu.IPC","perf-cpu.LLC","perf-cpu.MPKI","perf-cpu.ITLB","perf-cpu.DTLB","perf-cpu.StallBackend/Insts","perf-cpu.StallBackend/cycles","vmstat.b","vmstat.swpd","vmstat.bo","vmstat.in","vmstat.cs","vmstat.mem_sat","vmstat.cpu_util","vmstat.cpu_sat","sar-task.proc/s","sar-task.cswch/s","sar-load.runq-sz","sar-load.plist-sz","sar-load.ldavg-1","sar-load.ldavg-5","sysctl.file-util","workload.type","workload.appname"
30.69,0.0,8.17,0.01,1.01,3.55,0.0,0.0,43.419999999999995,61.60692307692307,0.0,284.4,0.0,14.62,0.0,29.64,0.0,52.62,0.0,0.26,4.0,0.01,48030.94,57693.16,331707.2,331706.6,4.73,0.0,0.0,3.252109385746437,0.48649995980220756,3.4327585315455407,14.641773894066217,0.36480493851596874,0.8235873359060033,0.6670877685410834,0.32453817257978146,0,806912,14985,901630,685795,0,44,0.5,61.4,685704.0,48.0,1470.0,23.4,25.25,3.3306690738754696e-14,"default","mariadb"
30.82,0.0,7.93,0.0,1.0,3.58,0.0,0.0,43.33,62.41707692307692,0.0,265.8,0.0,14.02,0.0,28.97,0.0,54.02,0.0,0.18,4.0,0.0,48128.44,57901.7,332362.0,332357.4,4.74,0.0,0.0,3.2275647279819957,0.4846315802654238,3.4285126000433945,14.60775108038905,0.3641185490329101,0.8253640418479523,0.6767706412906358,0.3279844253659251,0,806912,14363,902359,688345,0,44,0.40625,18.2,688222.0,50.0,1473.0,24.41,25.43,3.3306690738754696e-14,"default","mariadb"
30.5,0.0,7.74,0.0,0.98,3.52,0.0,0.0,42.74,61.93349206349205,0.0,234.8,0.0,12.66,0.0,29.02,0.0,55.21,0.0,0.19,3.68,0.0,47569.76,57193.97,328513.4,328511.4,4.69,0.0,0.0,3.285129660015004,0.48725309633920844,3.4496843848067638,14.71052209150373,0.36711757033432685,0.824907863801262,0.6607257935236333,0.3219406887255708,0,806912,12966,887511,675535,0,42,0.4166666666666667,18.0,675538.6,43.0,1470.0,25.82,25.71,3.3306690738754696e-14,"default","mariadb"
31.15,0.0,7.79,0.0,1.0,3.51,0.0,0.0,43.449999999999996,62.638253968253956,0.0,254.4,0.0,14.16,0.0,28.86,0.0,56.99,0.0,0.2,3.68,0.0,47620.88,57200.35,328893.8,328889.0,4.69,0.0,0.0,3.31760543975994,0.4860772666734711,3.4528110203797717,14.723731296958722,0.36648563952753677,0.8239595627086309,0.6658933890322685,0.3236756384367394,0,806912,14503,889080,676485,0,43,0.4583333333333333,17.76,674984.63,45.0,1470.0,27.68,26.09,3.3306690738754696e-14,"default","mariadb"
28.32,0.0,7.83,0.0,0.91,3.31,0.0,0.0,40.37,61.21725490196077,0.0,223.0,0.0,12.68,0.0,30.4,0.0,58.23,0.0,0.2,3.52,0.0,44917.12,54076.28,310167.6,310166.4,4.43,0.0,0.0,3.850146587846962,0.4972348933516157,3.55188946178482,15.169516125167963,0.36749884268068295,0.8202278234095988,0.617919684180047,0.30725122826312967,1,806912,13599,817661,603429,0,40,0.53125,17.6,603367.8,54.0,1472.0,29.3,26.46,3.3306690738754696e-14,"default","mariadb"
31.07,0.0,7.69,0.0,1.0,3.52,0.0,0.0,43.28,60.893692307692305,0.0,284.4,0.0,15.77,0.0,27.11,0.0,56.77,0.0,0.21,4.8,0.0,47786.28,57485.2,329985.4,329979.8,4.71,0.0,0.0,3.2516721308327083,0.48651602507602576,3.4362009493050043,14.643749385727034,0.3650296112517351,0.8252406710828214,0.6673800224813232,0.3246910757527621,0,806912,15539,894563,680574,0,43,0.4895833333333333,18.2,680498.8,44.0,1470.0,30.08,26.67,3.3306690738754696e-14,"default","mariadb"
31.47,0.0,7.79,0.0,1.01,3.57,0.0,0.0,43.839999999999996,63.4996923076923,0.0,238.6,0.0,13.98,0.0,28.48,0.0,59.99,0.0,0.2,3.92,0.0,48377.07,58100.55,334129.2,334128.2,4.76,0.0,0.0,3.1763733317329335,0.4846582565260068,3.417857042396573,14.558897695328135,0.3627761182553577,0.823561199327562,0.6779423747530032,0.32857036937289125,0,806912,14491,910067,692813,0,43,0.4166666666666667,18.2,692703.0,45.0,1470.0,31.12,26.94,3.3306690738754696e-14,"default","mariadb"
31.49,0.0,7.74,0.0,1.02,3.64,0.0,0.0,43.89,61.41597014925372,0.0,241.6,0.0,13.96,0.0,28.35,0.0,59.15,0.0,0.2,3.68,0.0,48860.68,58837.9,337333.4,337328.0,4.82,0.0,0.0,3.1828074010502627,0.48468415525478276,3.4030232060183927,14.487982572564997,0.36012397056785833,0.8204363293110544,0.6798776989160014,0.32952594817566766,0,806912,14313,920215,700186,0,43,0.5104166666666666,18.0,700272.8,43.0,1470.0,31.99,27.19,3.3306690738754696e-14,"default","mariadb"
31.5,0.0,7.51,0.0,1.0,3.56,0.0,0.0,43.57,61.291969696969694,0.0,231.4,0.0,13.5,0.0,28.27,0.0,59.73,0.0,0.2,3.76,0.0,48344.59,58102.66,333868.6,333868.2,4.76,0.0,0.0,3.201262446811703,0.486242013734547,3.4176165178017097,14.560758163560706,0.3627886924294965,0.821779891587477,0.6694645419682518,0.3255217870105189,0,806912,14238,909903,690755,0,44,0.4583333333333333,17.8,690478.6,37.0,1470.0,33.03,27.48,3.3306690738754696e-14,"default","mariadb"
32.32,0.0,7.56,0.0,1.02,3.55,0.0,0.0,44.45,64.7167692307692,0.0,215.8,0.0,12.94,0.0,29.15,0.0,61.39,0.0,0.2,3.6,0.0,48633.51,58534.46,335848.0,335845.4,4.8,0.0,0.0,3.1842433056264063,0.48514865772795385,3.4086375938965636,14.517987773570576,0.36128377389067723,0.8221768440751681,0.6764110584643783,0.3281599170863377,0,806912,12839,916017,696975,0,44,0.4479166666666667,18.2,696935.4,44.0,1471.0,33.91,27.76,3.3306690738754696e-14,"default","mariadb"
