CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
29.48,0,8.41,0,1.09,3.9,0,0,42.88,61.26578125,0,0,0,0,0,0,0,0,0,0,0,0,49082.01,59027,338739.8,338736.2,4.84,0,0,3.244745804,0.502342537,3.408164748,14.52929187,0.373604379,0.735684236,0.579528145,0.291121639,0,978944,14327,939219,695425,0,42,0.458333333,66,695477.4,48,1502,35.15,11.93,4.79E-14,default,mariadb_docker
27.05,0,7.95,0.01,0.99,3.67,0,0,39.66,60.84210526,0,0,0,0,0,0,0,0,0,0,0,0,46156.83,55449.23,318603,318600.4,4.54,0,0,3.14502956,0.503422879,3.446614357,14.71646444,0.378896713,0.737728497,0.558840732,0.28133321,0,978944,14522,866708,628270,0,40,0.5,18,627837.8,39,1501,36.18,12.52,4.79E-14,default,mariadb_docker
30.9,0,8.25,0,1.13,3.99,0,0,44.27,62.77939394,0,0,0,0,0,0,0,0,0,0,0,0,51009.14,61303.66,352073.2,352068.2,5.02,0,0,3.115920919,0.500287859,3.36970016,14.35322858,0.368750297,0.732501382,0.596478,0.298410702,0,978944,14175,986731,733403,0,44,0.520833333,17.4,733393.6,46,1501,36.25,12.93,4.79E-14,default,mariadb_docker
31.26,0,8.12,0,1.1,3.98,0,0,44.46,62.08432836,0,0,0,0,0,0,0,0,0,0,0,0,51105.69,61435.37,352719.6,352714,5.03,0,0,3.134652207,0.500065284,3.362777478,14.32759305,0.367981925,0.731338645,0.597690059,0.298884049,0,978944,12838,991147,735030,0,44,0.479166667,20.6,734960.8,43,1502,36.95,13.46,4.79E-14,default,mariadb_docker
29.58,0,8.06,0.01,1.09,3.89,0,0,42.62,59.73179104,0,0,0,0,0,0,0,0,0,0,0,0,49303.65,59240.76,340314,340310.8,4.85,0,0,3.167285313,0.501271483,3.397778752,14.48911778,0.371567438,0.73495282,0.586445793,0.293968552,0,978944,13118,948023,697704,0,43,0.510416667,18.6,697910.6,49,1503,37.84,14.04,4.79E-14,default,mariadb_docker
28.49,0,8.32,0,1.05,3.84,0,0,41.7,60.28269841,0,0,0,0,0,0,0,0,0,0,0,0,48333.27,58052.15,333633,333630.8,4.76,0,0,3.223566442,0.502130908,3.430027095,14.64729413,0.377874446,0.738281126,0.574724505,0.288586937,0,978944,14271,917675,674822,0,41,0.427083333,17.6,674403.6,40,1503,38.01,14.47,4.79E-14,default,mariadb_docker
30.64,0,8.29,0.01,1.12,4.02,0,0,44.07,59.65957746,0,0,0,0,0,0,0,0,0,0,0,0,50934.72,61232.73,351526.2,351523.2,5.02,0,0,3.138772175,0.499920206,3.378263408,14.39592691,0.370491789,0.732992999,0.597611265,0.298757946,0,978944,14374,988186,732718,0,44,0.489583333,18.2,732583.8,43,1503,38.33,14.93,4.79E-14,default,mariadb_docker
30.84,0,8.24,0,1.11,3.97,0,0,44.16,62.80969231,0,0,0,0,0,0,0,0,0,0,0,0,50927.21,61188.42,351481.6,351478.4,5.01,0,0,3.223581806,0.502172103,3.377668364,14.39379044,0.370641558,0.731505084,0.590181399,0.296372634,0,978944,14187,984744,732345,0,44,0.458333333,18.2,732323.6,43,1503,38.62,15.38,4.79E-14,default,mariadb_docker
30.89,0,8.12,0,1.12,4,0,0,44.13,62.34818182,0,0,0,0,0,0,0,0,0,0,0,0,50818.2,61074.23,350797.8,350795.6,5,0,0,3.11722869,0.499450632,3.366264347,14.34153196,0.368189033,0.732184497,0.601293485,0.300316411,0,978944,12996,989983,731450,0,44,0.302083333,18.2,731644.8,45,1503,38.89,15.82,4.79E-14,default,mariadb_docker
31.05,0,7.93,0,1.12,4,0,0,44.1,63.76875,0,0,0,0,0,0,0,0,0,0,0,0,51041.93,61373.1,352289.4,352286.2,5.03,0,0,3.115517465,0.50059997,3.365983314,14.34270872,0.36885203,0.730763111,0.594500134,0.297606749,0,978944,14019,989858,734521,0,44,0.458333333,18.2,734100.6,48,1503,39.06,16.24,4.79E-14,default,mariadb_docker
