CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.18,0.0,3.36,0.59,0.49,1.27,0.0,35.78,41.08,81.91708333333334,910.4,846.4,122.05,52.99,0.11,5.66,152.1,77.18,1.56,0.66,42.8,0.65,30175.68,130134.95,203905.0,189381.4,10.66,0.0,0.0,8.392554356189049,0.5914288476326541,2.011066485161668,8.626298291901081,0.3592300934237017,0.7244177271934584,0.5073169202793749,0.30004186154537776,1,147456,106550,480137,102045,0,41,0.5104166666666666,67.2,102043.8,55.0,1341.0,26.45,7.46,7.494005416219808e-14,throughput_performance,kvm
0.14,0.0,3.26,0.55,0.49,1.28,0.0,35.53,40.7,81.709375,948.8,816.2,142.82,57.73,0.18,6.36,154.14,72.43,1.57,0.52,46.96,0.4,30564.25,128322.73,206585.4,191978.4,10.51,0.0,0.0,8.331330064516129,0.5710403691444577,2.0353131188740394,8.759410036068385,0.3730900223692263,0.7400315917931991,0.533528725655137,0.3046664404472815,1,147456,103065,485561,101986,0,41,0.5208333333333334,17.6,102015.8,43.0,1339.0,28.1,8.12,7.494005416219808e-14,throughput_performance,kvm
0.11,0.0,3.63,0.34,0.48,1.25,0.0,36.3,41.77,83.38395833333334,656.2,733.8,101.62,57.72,0.09,4.13,158.57,85.96,1.32,0.61,37.84,0.26,30430.08,125450.46,205628.2,191122.8,10.28,0.0,0.0,8.308965535783946,0.5568250682674193,2.119443112241882,9.087505209437179,0.4072907744811862,0.7818951949733313,0.5702642190954195,0.3175374127282735,0,147456,112518,483644,96765,0,41,0.53125,17.6,96716.0,51.0,1339.0,28.49,8.53,7.494005416219808e-14,throughput_performance,kvm
0.09,0.0,3.22,0.22,0.48,1.27,0.0,35.72,40.78,81.94520833333333,376.8,915.2,59.43,71.7,0.13,4.71,161.52,80.22,1.12,0.39,31.2,0.08,30726.08,123936.91,207617.2,192744.2,10.15,0.0,0.0,8.346026807501877,0.5677312153996141,2.044842638218068,8.901908030802018,0.3738994129861568,0.7352093333021771,0.5400010568287046,0.3065754563104366,0,147456,128339,485123,98787,13,41,0.5520833333333334,18.2,98785.8,50.0,1340.0,30.29,9.24,7.494005416219808e-14,throughput_performance,kvm
0.11,0.0,3.68,0.13,0.48,1.25,0.0,35.69,41.21,82.61625000000002,163.0,921.4,22.11,75.95,0.0,5.26,139.35,84.41,0.8,0.41,25.52,0.08,30606.25,120220.51,206834.4,192159.2,9.85,0.0,0.0,8.239891243210803,0.5524424718976078,2.116769851880959,9.146949944051094,0.4083111068924817,0.7874835302883197,0.58830567446341,0.32500504103195554,0,147456,133990,481703,94002,0,41,0.4375,18.2,94075.0,33.0,1339.0,31.39,9.81,7.494005416219808e-14,throughput_performance,kvm
0.08,0.0,3.07,0.12,0.49,1.28,0.0,36.3,41.22,82.39895833333331,103.0,883.2,14.51,79.78,0.0,2.99,144.26,92.49,0.9,0.45,25.36,0.11,31217.48,119934.03,210896.0,195755.4,9.82,0.0,0.0,8.401839954388597,0.5692284537267014,1.9972701835690048,8.768146316214912,0.3667530693732087,0.7214994683441808,0.5411778947927405,0.3080538562439432,0,147456,128251,485231,93107,0,41,0.5625,18.0,92997.6,50.0,1339.0,33.12,10.53,7.494005416219808e-14,throughput_performance,kvm
0.09,0.0,3.05,0.09,0.48,1.28,0.0,36.24,41.14,82.32875,79.6,676.6,10.83,65.27,0.0,4.58,156.04,98.78,0.79,0.5,20.8,0.11,31623.59,118019.19,213597.8,198116.8,9.67,0.0,0.0,8.39729195018755,0.5726118359429218,1.9834714632743145,8.716282964849142,0.3679614635312155,0.7237278655683226,0.5388175773721955,0.3085333222174102,1,147456,111845,492929,94433,0,41,0.5208333333333334,17.8,94542.4,42.0,1338.0,33.91,11.07,7.494005416219808e-14,throughput_performance,kvm
0.1,0.0,3.05,0.1,0.49,1.28,0.0,36.15,41.07,82.05625000000003,83.6,776.6,11.6,76.2,0.0,3.87,142.13,100.48,1.28,0.51,21.84,0.14,31698.9,115375.22,214100.8,198761.8,9.45,0.0,0.0,8.401473373143286,0.5690548372661135,2.010526128515821,8.82412685443993,0.3705563344536996,0.7252193430191728,0.5417012023662611,0.3082576895593908,0,147456,123263,493547,95692,0,41,0.5208333333333334,18.2,95644.8,39.0,1338.0,35.12,11.7,7.494005416219808e-14,throughput_performance,kvm
0.08,0.0,3.23,0.1,0.49,1.3,0.0,35.81,40.91,82.094375,67.8,844.8,8.47,83.93,0.0,2.7,134.51,101.73,0.94,0.46,24.24,0.09,31665.48,112108.8,213806.0,198227.8,9.18,0.0,0.0,8.40895648552138,0.5719954069021344,2.0030264917503997,8.805639603910763,0.367099993711475,0.7160400252902902,0.5339777636114176,0.30543282817360456,0,147456,141280,494255,97964,0,41,0.5,18.2,97887.6,44.0,1338.0,34.39,11.94,7.494005416219808e-14,throughput_performance,kvm
0.12,0.0,3.22,0.1,0.49,1.28,0.0,35.71,40.82,81.734375,48.0,818.6,6.08,84.64,0.0,1.72,188.53,105.87,0.73,0.48,21.92,0.11,31679.87,108774.72,213890.8,198314.0,8.91,0.0,0.0,8.40954430607652,0.5725361953060469,1.9821139170958293,8.711708187259537,0.362456167427292,0.7178507913756458,0.5367442776606317,0.3073055265841105,0,147456,136018,493986,97435,0,41,0.5104166666666666,18.2,97472.6,30.0,1338.0,34.76,12.39,7.494005416219808e-14,throughput_performance,kvm
0.07,0.0,3.21,0.1,0.5,1.28,0.0,35.71,40.77,81.731875,48.8,742.4,5.49,78.37,0.0,1.55,158.02,108.1,0.91,0.48,20.48,0.12,31695.97,105883.16,214024.6,198344.4,8.67,0.0,0.0,8.419465660015003,0.5798613806365668,1.9299629915732452,8.517260639596469,0.3526833574292704,0.6971229300548947,0.5279325306640468,0.30612768611381075,0,147456,128609,492779,93739,0,41,0.3125,18.2,93674.8,31.0,1338.0,36.14,13.04,7.28583859910259e-14,throughput_performance,kvm
0.09,0.0,3.16,0.09,0.49,1.31,0.0,35.71,40.76000000000001,81.81999999999998,34.2,613.8,3.92,69.72,0.0,1.85,117.26,116.32,0.68,0.59,18.8,0.14,32124.88,103914.84,216889.0,200993.2,8.51,0.0,0.0,8.45249484531133,0.5726908959355289,1.9942025270778312,8.772802813820375,0.3630415493990346,0.7087895639850911,0.5422111656081661,0.3105193982183881,0,147456,120514,497515,91476,0,41,0.34375,18.2,91458.4,35.0,1338.0,37.73,13.76,7.28583859910259e-14,throughput_performance,kvm
0.08,0.0,3.33,0.08,0.49,1.32,0.0,35.9,41.12,82.33187499999998,37.6,631.6,7.19,63.62,0.0,1.52,195.94,109.6,0.94,0.57,16.8,0.13,32237.73,100222.22,217647.8,201745.2,8.21,0.0,0.0,8.434295146586647,0.5698775647840714,1.9892527316148092,8.747761953874484,0.3663314067667683,0.7162337257919603,0.5430882217767774,0.3094937932890616,0,147456,114602,501902,94562,0,41,0.19791666666666666,18.2,94656.8,47.0,1338.0,38.31,14.28,7.28583859910259e-14,throughput_performance,kvm
0.07,0.0,3.98,0.07,0.48,1.26,0.0,34.67,40.46,81.340625,26.6,611.6,2.51,56.79,0.0,1.39,96.51,105.08,0.47,0.51,15.36,0.1,31451.11,94526.3,212337.4,196817.2,7.74,0.0,0.0,8.268972228657164,0.5706628210495641,1.9342846336649249,8.511190303914889,0.3672769532806258,0.7132494452286896,0.5608435529119812,0.3200525640722117,0,147456,110010,488739,92256,0,41,0.5416666666666666,18.2,92226.4,36.0,1338.0,38.61,14.74,7.28583859910259e-14,throughput_performance,kvm
0.11,0.0,3.29,0.07,0.49,1.3,0.0,35.47,40.66,81.36062500000001,26.6,705.0,2.27,74.18,0.0,1.89,117.68,107.74,0.64,0.55,20.0,0.14,32128.95,92937.91,216864.0,200897.2,7.61,0.0,0.0,8.432392181245309,0.5824646792664382,1.9198447313787408,8.494928067690411,0.3463186144685557,0.6759069632931061,0.5253079694263193,0.305973337928005,0,147456,116869,497421,94380,0,41,0.5104166666666666,18.2,94308.8,43.0,1338.0,39.68,15.36,7.28583859910259e-14,throughput_performance,kvm
0.09,0.0,3.38,0.08,0.5,1.33,0.0,35.67,40.97,81.91666666666664,22.0,704.6,2.12,71.86,0.0,1.25,98.76,104.44,0.48,0.5,18.56,0.11,32652.81,90553.62,220421.6,204312.6,7.42,0.0,0.0,8.483309486571644,0.5794927332337015,1.9395743849242764,8.57436627894502,0.3540130936442049,0.6873853120175739,0.531538511199906,0.308022704674206,1,147456,113335,507882,95676,13,41,0.19791666666666666,18.2,95652.0,54.0,1338.0,39.15,15.65,7.077671781985373e-14,throughput_performance,kvm
0.07,0.0,3.22,0.08,0.49,1.32,0.0,35.48,40.58,81.27374999999998,22.8,613.6,2.91,63.16,0.0,1.32,130.77,105.61,0.62,0.54,15.84,0.12,32417.17,86917.61,218780.8,202528.6,7.12,0.0,0.0,8.456460252663168,0.5836352203969893,1.900699462671786,8.425939293581783,0.3428971233430314,0.6719043897985454,0.5216827953296637,0.3044724532295457,1,147456,114728,499016,94718,0,41,0.40625,18.2,94790.8,28.0,1338.0,39.3,16.07,7.077671781985373e-14,throughput_performance,kvm
0.06,0.0,3.24,0.06,0.5,1.34,0.0,35.31,40.45,81.53625000000002,25.4,588.6,3.74,51.6,0.0,1.69,150.68,110.86,0.65,0.68,14.16,0.16,33059.69,84850.58,223129.8,206614.2,6.95,0.0,0.0,8.496577699624908,0.5765943240526291,1.9772791467647701,8.719502579875142,0.3633452748418815,0.7014977852381427,0.5307284564392856,0.3060150155961051,0,147456,99460,509269,98328,0,40,0.4895833333333333,18.4,98243.6,27.0,1339.0,40.39,16.68,7.077671781985373e-14,throughput_performance,kvm
0.08,0.0,3.47,0.08,0.48,1.33,0.0,34.73,40.09,80.60708333333336,22.6,587.4,2.4,60.39,0.0,1.31,108.64,105.28,0.81,0.57,16.48,0.15,32576.57,79506.34,219864.8,203776.8,6.51,0.0,0.0,8.436401221905477,0.5924589324027694,1.8493043378079292,8.234054586904163,0.3330157394623815,0.6537906517123877,0.5115411075512709,0.30306709845995616,0,147456,100402,504296,97761,0,40,0.5208333333333334,18.2,97806.2,50.0,1339.0,40.68,17.14,7.077671781985373e-14,throughput_performance,kvm
0.08,0.0,3.32,0.07,0.5,1.34,0.0,35.15,40.39,81.21500000000002,17.4,586.0,1.24,59.86,0.0,1.39,72.83,104.6,0.49,0.58,15.28,0.14,32994.23,77009.63,222639.8,206026.8,6.31,0.0,0.0,8.498331942985747,0.5838652373366834,1.9033356658564355,8.444775270206804,0.3444089633705568,0.6703824524051396,0.5226946473074917,0.3051832343048026,1,147456,105694,508527,97286,0,40,0.40625,18.4,97248.2,51.0,1340.0,40.79,17.55,7.077671781985373e-14,throughput_performance,kvm
0.08,0.0,3.36,0.08,0.49,1.34,0.0,35.58,40.85,81.6372916666667,23.0,644.6,2.57,60.68,0.0,1.34,114.57,96.39,0.57,0.49,16.16,0.11,33219.04,73434.47,224151.6,207404.8,6.02,0.0,0.0,8.519328782595649,0.5880250516802276,1.8631137390945984,8.290279759049815,0.33831277173665736,0.6617637184064351,0.516070013500732,0.30346209635938365,0,147456,103682,512129,97728,0,41,0.5416666666666666,18.2,97743.6,35.0,1340.0,41.29,18.04,7.077671781985373e-14,throughput_performance,kvm
0.09,0.0,3.4,0.06,0.5,1.35,0.0,35.15,40.49,81.25395833333333,19.0,595.8,1.91,59.22,0.0,1.72,113.67,101.78,1.02,0.54,14.88,0.13,33366.04,69719.69,225142.2,208264.2,5.71,0.0,0.0,8.496127539084771,0.5790977241047294,1.9441691450163352,8.58853921690668,0.3502267392459175,0.6868988104159188,0.5297349448860362,0.3067683009622478,0,147456,102148,515031,97725,0,40,0.4270833333333333,18.2,97713.4,52.0,1340.0,41.82,18.54,7.077671781985373e-14,throughput_performance,kvm
