CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.06,0,2.49,0,0.09,0.02,0,4.74,7.4,95.52571429,0.6,0,0.04,0,0,0,64,0,0.33,0,0,0,0,0,0,0,0,0,0,1.487305842,0.889554531,0.612505919,3.003684943,0.082852894,0.151887457,0.212641721,0.189156407,0,0,12,118397,6068,0,8,0.0625,68.8,6092,8,1332,6.6,1.59,8.12E-14,throughput_performance,kvm
0.01,0,1.55,0,0.07,0.01,0,4.72,6.36,96.47666667,0.8,0,0.05,0,0,0,64,0,0.5,0,0,0,0,0,0,0,0,0,0,1.467891171,0.915232531,0.476433113,2.393850378,0.083881623,0.109537249,0.219631489,0.201013883,0,0,21,127794,3745,0,7,0.083333333,17.8,3748.2,6,1329,6.55,1.67,8.12E-14,throughput_performance,kvm
0.01,0,1.66,0,0.07,0.01,0,4.6,6.35,99.9,0.6,0.6,0.04,0,0,25,64,5.33,0.33,0.33,0.08,0,0,0,0,0,0,0,0,1.457591252,0.913877324,0.47355752,2.382740404,0.083985867,0.109653786,0.219148469,0.200274816,0,0,764,127178,3279,0,7,0.0625,17.4,3270,8,1330,6.51,1.74,8.12E-14,throughput_performance,kvm
0,0,1.7,0,0.07,0.01,0,4.58,6.36,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.453383403,0.909312033,0.486751873,2.446172084,0.083649604,0.109496919,0.227858357,0.207194346,0,0,25,127966,5523,0,7,0.114583333,18,5518.6,6,1326,6.47,1.81,8.12E-14,throughput_performance,kvm
0.01,0,1.72,0,0.07,0.01,0,4.58,6.39,99.90166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.456715206,0.913814122,0.485151534,2.438775386,0.08429082,0.109848604,0.221143994,0.202084504,0,0,3,128349,5495,0,7,0.114583333,17.8,5457.2,6,1323,6.43,1.88,8.12E-14,throughput_performance,kvm
0.01,0,1.77,0,0.08,0.01,0,4.64,6.51,96.22833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.419759023,0.922901471,0.450865487,2.278538382,0.082016399,0.107170184,0.215580543,0.1989596,0,0,3,126767,5193,0,7,0.114583333,18.2,5232.6,7,1323,6.47,1.96,8.12E-14,throughput_performance,kvm
0.01,0,2.56,0,0.09,0.01,0,4.62,7.29,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.222438755,0.943445611,0.350965582,1.801263623,0.079072321,0.101380711,0.200792375,0.189436685,0,0,184,123805,4071,0,8,0.104166667,18.2,4058,7,1323,6.52,2.05,8.12E-14,throughput_performance,kvm
0.01,0,2.5,0,0.09,0.01,0,4.67,7.28,99.03,0.2,6.8,0.01,0.05,0,0,64,6.82,0,0.03,0,0,0,0,0,0,0,0,0,1.206803282,0.942875598,0.3525996,1.809655722,0.079289727,0.101749162,0.201276905,0.189779082,0,0,63,123828,4230,0,8,0.072916667,18.6,4225.2,5,1325,6.56,2.13,8.12E-14,throughput_performance,kvm
0.04,0,2.51,0,0.09,0.01,0,4.68,7.33,99.23857143,0.2,2.8,0,0.01,0,6.67,4,3.71,0,0.07,0,0,0,0,0,0,0,0,0,1.203049281,0.935734826,0.357720414,1.834626977,0.079690951,0.10255324,0.210078174,0.196577464,0,0,14,124739,4236,0,8,0.072916667,18.2,4194.2,7,1325,6.51,2.2,8.12E-14,throughput_performance,kvm
0.01,0,2.54,0,0.09,0.01,0,4.63,7.28,99.08571429,0.2,0.4,0.01,0,0,33.33,64,6,0,0.5,0,0,0,0,0,0,0,0,0,1.192736149,0.943201616,0.351422601,1.803955567,0.079465834,0.101834432,0.200814243,0.189408319,0,0,6,124723,4037,0,8,0.072916667,18.2,4058.6,7,1325,6.47,2.26,8.12E-14,throughput_performance,kvm
