CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
58.33,0.0,12.09,0.52,0.85,1.99,0,0,73.26,73.28416667,44.4,382.2,7.35,20.39,0,30.74,169.59,54.64,2.95,1.54,37.2,0.22,0,0,0,0,0,0,0,0,0.6185104539999999,2.496518767,10.65146753,0.402218797,0.750073135,0.327126514,0.20233116899999998,1,0,30258,124180,144435,0,73,3.25,68.2,144275.6,59,657,31.77,14.11,2.76e-14,default,mariadb_kvm
57.57,0.0,11.38,0.57,0.86,2.09,0,0,71.9,71.92333333,27.6,354.8,2.96,19.22,0,31.27,109.8,55.47,1.67,1.29,33.52,0.08,0,0,0,0,0,0,0,0,0.614932762,2.532992812,10.76888036,0.40903116100000003,0.753302445,0.32816407,0.201798838,0,0,27731,124409,146470,0,72,1.4583333330000001,18.0,146455.6,3,658,34.75,15.03,2.76e-14,default,mariadb_kvm
56.93,0.0,11.58,0.48,0.82,1.99,0,0,71.32,71.35916667,20.0,344.4,2.12,18.84,0,30.87,108.32,56.02,2.28,1.34,30.64,0.11,0,0,0,0,0,0,0,0,0.6108886689999999,2.5494384780000003,10.83689384,0.411046874,0.763100619,0.33351114600000004,0.20373818,0,0,27831,124544,147987,0,71,6.916666667,18.2,148016.6,1,657,41.49,16.75,2.81e-14,default,mariadb_kvm
57.24,0.0,11.39,0.5,0.82,1.99,0,0,71.44,71.46375,21.0,363.8,2.31,21.14,0,31.07,112.61,59.51,3.22,1.5,33.76,0.2,0,0,0,0,0,0,0,0,0.607704927,2.5637227830000002,10.89990833,0.41061594799999995,0.762733966,0.33508634,0.20363362,1,0,31272,124353,147265,0,71,0.041666667000000004,17.8,147257.6,1,657,38.33,16.51,2.86e-14,default,mariadb_kvm
57.84,0.0,11.63,0.47,0.84,2.08,0,0,72.39,72.42458333,19.0,302.6,1.94,18.76,0,31.16,104.42,63.5,1.66,1.49,31.52,0.12,0,0,0,0,0,0,0,0,0.602617647,2.596222854,11.04852733,0.41670750799999995,0.7694604829999999,0.33660157799999996,0.20284205100000002,2,0,27554,124893,145972,0,73,0.208333333,17.8,145914.0,2,657,44.07,18.06,2.86e-14,default,mariadb_kvm
56.42,0.0,11.36,0.52,0.84,1.99,0,0,70.61,70.65833333,12.2,347.2,1.12,21.31,0,30.86,94.16,62.85,1.67,1.42,33.84,0.12,0,0,0,0,0,0,0,0,0.60062975,2.620665806,11.13486475,0.416627232,0.7763717729999999,0.341529969,0.20513306,0,0,29596,125833,149827,0,70,3.458333333,17.6,149830.6,51,657,56.16,21.0,2.81e-14,default,mariadb_kvm
57.28,0.0,11.33,0.54,0.83,2.03,0,0,71.47,71.5025,16.4,339.6,2.16,19.93,0,31.75,135.02,60.09,1.89,1.4,33.92,0.13,0,0,0,0,0,0,0,0,0.594925558,2.640550499,11.22747539,0.422496188,0.785810305,0.34461758600000003,0.20502180899999997,1,0,30841,124127,146724,0,71,6.875,18.2,146712.2,51,657,61.75,22.74,2.81e-14,default,mariadb_kvm
57.44,0.0,11.84,0.48,0.8,1.99,0,0,72.07,72.10833333,11.4,324.4,0.98,18.5,0,31.33,87.86,58.39,1.81,1.24,29.52,0.08,0,0,0,0,0,0,0,0,0.591339731,2.664468161,11.32834487,0.42803633700000004,0.791930823,0.34731365799999997,0.205380365,0,0,27073,126335,149288,0,72,8.291666667000001,18.2,149188.8,63,657,61.05,23.24,2.81e-14,default,mariadb_kvm
56.8,0.0,11.13,0.49,0.86,2.01,0,0,70.8,70.8375,15.0,318.4,1.53,18.16,0,30.99,104.32,58.4,1.65,1.31,30.0,0.09,0,0,0,0,0,0,0,0,0.585948902,2.69351803,11.45665105,0.42757875700000003,0.8004412790000001,0.35052296,0.205388543,0,0,27994,125715,149717,0,71,9.25,18.2,149762.8,10,657,56.24,22.87,2.86e-14,default,mariadb_kvm
56.62,0.0,11.69,0.49,0.85,2.03,0,0,71.19,71.22083333,9.58,299.8,2.48,17.77,0,31.6,265.0,60.71,3.54,1.3,28.9,0.09,0,0,0,0,0,0,0,0,0.582542444,2.718345177,11.55739148,0.431164796,0.803645046,0.353325825,0.205827289,0,0,26802,126487,149956,0,72,0.916666667,18.2,149936.6,58,657,54.62,23.09,2.81e-14,default,mariadb_kvm
