CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
70.65,0.0,19.88,2.01,1.47,5.98,0,0,97.98,97.985,2940.8,22.8,343.83,0.51,0.34,26.45,119.72,22.91,57.4,48.19,100.48,163.37,26290.13,44535.24,181124.8,181130.6,3.65,0,0,0,0.568760223,3.070295078,13.10693087,0.539652149,0.8711099170000001,0.28190772399999997,0.16033789999999998,44,0,3630,259430,194450,0,98,6.291666667,60.0,194460.6,160,660,84.06,20.68,2.76e-14,default,mariadb_kvm
72.27,0.0,19.99,0.49,1.35,5.78,0,0,99.39,99.39791667,1358.0,29.8,178.85,0.99,0.01,27.67,134.86,33.96,43.25,37.36,100.16,56.7,26194.73,44107.7,180365.4,179242.6,3.61,0,0,0,0.5560448720000001,3.048855901,12.88220622,0.518693109,0.861590447,0.324924422,0.18067255899999998,16,0,3976,209182,192199,0,99,8.625,17.4,192168.6,193,660,87.74,22.5,2.71e-14,default,mariadb_kvm
71.55,0.0,20.63,0.23,1.33,5.91,0,0,99.42,99.43125,440.0,43.6,64.08,1.36,0.0,28.52,149.13,31.85,41.99,27.35,99.76,18.57,26981.21,43048.9,185842.6,184756.6,3.53,0,0,0,0.5463243320000001,3.1416003939999997,13.40807709,0.53166353,0.8894230320000001,0.320327878,0.17500291399999998,9,0,4136,214765,200983,0,100,8.833333332999999,17.0,200899.2,204,660,96.81,25.46,2.71e-14,default,mariadb_kvm
72.19,0.0,20.11,0.12,1.34,5.95,0,0,99.59,99.58166667,295.4,33.8,45.22,0.79,0.0,26.52,156.74,23.95,39.36,35.46,99.68,12.04,27105.17,44572.57,186616.2,185176.6,3.65,0,0,0,0.5461947070000001,3.1275538380000003,13.38921389,0.5281726999999999,0.883320049,0.31767042,0.173509902,6,0,4198,214499,200636,0,99,8.791666667000001,18.2,200567.2,200,660,105.08,28.36,2.71e-14,default,mariadb_kvm
72.14,0.0,19.95,0.17,1.37,5.93,0,0,99.39,99.39041667,282.4,31.2,42.62,1.7,0.0,29.09,154.56,55.82,39.86,33.06,99.28,11.52,27060.58,44422.1,186287.4,184844.4,3.64,0,0,0,0.5451274970000001,3.130257137,13.40671737,0.527840106,0.884708085,0.31881294600000004,0.173793703,4,0,5214,215803,203246,0,99,8.666666667000001,18.2,203260.4,226,659,113.48,31.37,2.81e-14,default,mariadb_kvm
72.07,0.0,19.96,0.17,1.34,5.97,0,0,99.34,99.3425,180.0,35.0,28.51,2.3,0.0,31.91,162.19,67.22,35.52,30.06,96.96,6.93,27246.27,43388.2,187602.2,186352.4,3.55,0,0,0,0.543963595,3.159751579,13.52026009,0.531471582,0.889214121,0.317364065,0.172634498,5,0,5442,217659,206249,0,99,4.333333333,11.0,206316.0,130,661,119.53,33.99,2.86e-14,default,mariadb_kvm
72.41,0.0,19.6,0.06,1.34,5.96,0,0,99.31,99.29708333,107.2,53.8,16.39,3.2,0.0,29.95,156.51,60.98,33.71,18.96,93.28,4.32,27290.51,43925.93,187875.6,186388.2,3.6,0,0,0,0.5430471889999999,3.159065832,13.53390179,0.531709648,0.892742211,0.31693094,0.17210845600000002,4,0,6609,217185,204177,0,99,8.0,17.6,204013.0,91,659,122.13,35.95,2.97e-14,default,mariadb_kvm
72.21,0.0,20.05,0.03,1.34,5.93,0,0,99.53,99.53083333,71.4,36.6,9.74,2.13,0.0,28.79,139.7,59.61,34.76,29.49,94.56,3.31,27191.65,43309.31,187157.6,185523.2,3.55,0,0,0,0.541104035,3.15646321,13.52381166,0.531086716,0.888483499,0.322521513,0.174517692,2,0,5522,217588,206539,0,99,8.541666667000001,18.2,206578.0,141,659,125.96,38.18,3.07e-14,default,mariadb_kvm
72.25,0.0,19.83,0.08,1.37,6.0,0,0,99.45,99.44958333,45.6,31.6,4.38,1.96,0.0,30.09,98.46,63.49,26.31,30.37,90.56,1.99,27448.89,42714.98,188937.6,187685.6,3.5,0,0,0,0.54050258,3.18790357,13.63387238,0.534658112,0.896362399,0.321029308,0.173517169,2,0,5245,217709,202401,0,99,9.083333332999999,18.2,202545.2,220,659,127.25,39.9,3.02e-14,default,mariadb_kvm
71.91,0.0,20.29,0.08,1.33,5.91,0,0,99.44,99.43916667,42.6,34.8,4.69,1.82,0.0,30.95,112.75,53.59,33.83,30.52,89.12,2.33,26999.03,42512.56,185699.2,184024.0,3.48,0,0,0,0.539817301,3.155763678,13.50977092,0.526971214,0.893192999,0.33151582399999996,0.178957977,2,0,5656,215115,203415,0,100,9.0,18.2,203403.6,220,659,135.07,42.97,3.02e-14,default,mariadb_kvm
72.28,0.0,19.81,0.03,1.33,6.01,0,0,99.43,99.44041667,38.0,40.6,3.88,2.3,0.0,26.71,104.42,58.01,27.21,25.4,89.44,1.9,27292.61,41716.01,187840.8,186416.4,3.42,0,0,0,0.5388299639999999,3.198775698,13.70408586,0.5378084870000001,0.907183726,0.324496059,0.1748482,1,0,5993,224857,204595,0,99,4.333333333,18.2,204312.8,120,659,141.31,45.8,3.07e-14,default,mariadb_kvm
71.28,0.0,19.41,0.09,1.33,5.88,0,0,97.9,97.90541667,38.6,77.2,4.71,4.56,0.0,28.52,124.85,60.44,29.11,11.11,85.44,1.81,26789.17,40454.92,184369.6,183055.2,3.31,0,0,0,0.5348643820000001,3.212861231,13.76182724,0.536669246,0.908767267,0.331882703,0.177512237,2,0,7977,218977,199841,0,98,9.041666667000001,12.2,199978.2,215,659,143.37,47.81,3.02e-14,default,mariadb_kvm
72.45,0.0,19.88,0.03,1.34,5.98,0,0,99.65,99.65791667,34.2,31.4,2.22,1.94,0.0,30.53,66.34,63.34,26.8,31.45,88.4,1.75,27329.51,41206.09,188083.2,186436.4,3.38,0,0,0,0.534352745,3.2204733169999997,13.78221479,0.537137281,0.90626006,0.330291677,0.17649226399999998,3,0,5743,217749,202777,0,99,7.208333333,12.0,202794.4,169,659,149.67,50.7,3.07e-14,default,mariadb_kvm
71.69,0.0,20.2,0.05,1.33,5.93,0,0,99.15,99.15625,29.0,42.8,2.6,2.62,0.0,30.74,91.92,62.75,24.68,22.43,83.76,1.53,27185.36,40752.97,186988.4,185387.0,3.34,0,0,0,0.536528079,3.2060652910000003,13.70824857,0.533548024,0.90315836,0.331167665,0.17768075100000003,1,0,6704,214956,203420,0,99,9.0,18.2,203467.4,209,659,151.22,52.66,2.97e-14,default,mariadb_kvm
