"cpu.all.%usr","cpu.all.%nice","cpu.all.%sys","cpu.all.%iowait","cpu.all.%irq","cpu.all.%soft","cpu.all.%steal","cpu.all.%guest","cpu.all.%util","cpu.all.%cutil","io.all-max.r/s","io.all-max.w/s","io.all-max.rMB/s","io.all-max.wMB/s","io.all-max.%rrqm","io.all-max.%wrqm","io.all-max.rareq-sz","io.all-max.wareq-sz","io.all-max.r_await","io.all-max.w_await","io.all-max.%util","io.all-max.blk_sat","sar-network.all-max.rxkB/s","sar-network.all-max.txkB/s","sar-network.all-max.rxpck/s","sar-network.all-max.txpck/s","sar-network.all-max.%ifutil","sar-net_err.all-max.err/s","sar-net_err.all-max.net_sat","perf-memBW.MEM_BW_Util","perf-cpu.IPC","perf-cpu.LLC","perf-cpu.MPKI","perf-cpu.ITLB","perf-cpu.DTLB","perf-cpu.StallBackend/Insts","perf-cpu.StallBackend/cycles","vmstat.b","vmstat.swpd","vmstat.bo","vmstat.in","vmstat.cs","vmstat.mem_sat","vmstat.cpu_util","vmstat.cpu_sat","sar-task.proc/s","sar-task.cswch/s","sar-load.runq-sz","sar-load.plist-sz","sar-load.ldavg-1","sar-load.ldavg-5","sysctl.file-util","workload.type","workload.appname"
61.02,0.0,15.04,0.01,1.48,3.98,0.0,0.02,81.54,81.50572916666668,0.0,191.2,0.0,35.09,0.0,31.02,0.0,187.93,0.0,0.77,7.28,0.0,52872.86,173141.23,357460.0,332980.8,14.18,0.0,0.0,6.77868272828207,0.5556317918916981,2.2874646835250703,9.055678802596558,0.2457523130493263,0.5102334782509416,0.7024232876928942,0.3902887100072605,0,8192,73525,1034313,845732,0,82,1.40625,65.6,845521.0,134.0,1508.0,137.36,91.35,7.494005416219807e-14,"default","mariadb"
62.17,0.0,15.03,0.02,1.53,4.06,0.0,0.01,82.80000000000001,82.78489583333337,0.0,201.4,0.0,35.92,0.0,30.5,0.0,182.65,0.0,0.77,8.64,0.0,53656.14,159563.58,362870.8,338305.8,13.07,0.0,0.0,6.800893311327832,0.5418646525958427,2.345928470217912,9.265718462200436,0.24925147494414385,0.5211187583744535,0.7315168041317702,0.3963830989388828,0,8192,75102,1054212,874800,0,83,2.0,18.4,874632.0,150.0,1509.0,137.65,92.18,7.494005416219807e-14,"default","mariadb"
62.33,0.0,15.78,0.01,1.54,4.08,0.0,0.01,83.74000000000001,83.70489583333335,0.0,100.6,0.0,19.2,0.0,30.43,0.0,195.46,0.0,0.81,4.0,0.0,53742.69,143437.41,363531.4,339275.6,11.75,0.0,0.0,6.814060430307577,0.5234571185851442,2.4385445438968185,9.584901175759905,0.2556227304122844,0.5388183008792911,0.7741918390675537,0.40525622931043537,0,8192,53757,1066682,904122,0,83,1.5625,18.0,903935.8,122.0,1509.0,140.72,93.57,7.494005416219807e-14,"default","mariadb"
61.1,0.0,16.8,0.02,1.52,4.02,0.0,0.01,83.45,83.42895833333337,0.0,107.6,0.0,18.78,0.0,30.58,0.0,178.74,0.0,0.72,4.48,0.0,52852.67,127128.86,357515.0,333684.4,10.41,0.0,0.0,6.723148281470367,0.5079871188318273,2.5292163000313383,9.87816737393181,0.2614060561781698,0.5561906286641689,0.8105257757270572,0.41173665355051964,0,8192,51385,1062019,925353,0,83,1.2291666666666667,18.0,925235.2,138.0,1509.0,144.35,95.1,7.494005416219807e-14,"default","mariadb"
57.73,0.0,14.3,0.02,1.45,3.97,0.0,0.01,77.46000000000001,77.40312500000002,0.0,154.6,0.0,28.66,0.0,29.98,0.0,189.83,0.0,0.79,6.48,0.0,53179.55,114482.1,359514.8,334785.4,9.38,0.0,0.0,6.714640708177044,0.5205033382438556,2.578601891745154,10.081203855334609,0.26805343645333946,0.5693187873348083,0.7578096115754407,0.3944424325782965,2,8192,73186,1034626,844404,0,78,1.3854166666666667,18.2,844303.6,193.0,1510.0,150.0,97.09,7.494005416219807e-14,"default","mariadb"
57.71,0.0,16.23,0.26,1.44,3.85,0.0,0.01,79.24,79.23812500000001,0.0,203.0,0.0,37.17,0.0,30.1,0.0,187.5,0.0,0.8,8.24,0.0,51439.52,97045.88,347429.8,323575.8,7.95,0.0,0.0,6.7996768024006,0.4965202496011685,2.645482032166065,10.246587371910971,0.26877585880972216,0.5778947298317336,0.8314190708651676,0.41281640458914465,1,8192,67744,1022052,870136,0,80,1.4166666666666667,18.2,870213.6,90.0,1509.0,149.36,97.84,7.494005416219807e-14,"default","mariadb"
57.77,0.0,16.37,0.3,1.47,3.84,0.0,0.01,79.46000000000001,79.36125000000001,0.0,98.0,0.0,18.84,0.0,29.7,0.0,196.86,0.0,0.8,4.64,0.0,50745.01,82101.58,337089.4,323914.0,6.73,0.0,0.0,6.739864754988747,0.4814750115341008,2.761613334324007,10.634275847576278,0.2761881352309809,0.5998413591719312,0.8705132669015373,0.4191303852220055,0,8192,59847,1021273,887460,0,80,1.8958333333333333,17.6,887138.6,154.0,1509.0,149.01,98.62,7.494005416219807e-14,"default","mariadb"
58.0,0.0,16.71,0.26,1.43,3.8,0.0,0.01,79.95000000000002,79.84614583333334,0.0,64.0,0.0,10.87,0.0,30.43,0.0,173.89,0.0,0.67,2.08,0.0,50336.15,68205.01,326795.8,326279.0,5.59,0.0,0.0,6.715629524981244,0.47224881988495354,2.8467853283396733,10.873814701479041,0.28211293811528043,0.6150154628130948,0.896578491872444,0.4234081347209931,0,8192,43451,1019381,898086,0,80,1.8958333333333333,18.2,898037.4,201.0,1509.0,149.01,99.46,7.494005416219807e-14,"default","mariadb"
64.54,0.0,14.88,0.18,1.62,4.59,0.0,0.02,85.65,85.6190625,0.0,144.4,0.0,27.87,0.0,30.51,0.0,197.63,0.0,0.82,6.72,0.0,60470.96,69167.47,399479.6,399809.8,5.67,0.0,0.0,7.298410125731433,0.5614889949206585,2.5419790434770277,9.667399949494712,0.25872758609620505,0.5571437433131641,0.7221846505737749,0.4054987335977959,0,8192,65653,1115094,811719,0,86,1.2604166666666667,18.2,811684.4,204.0,1509.0,154.06,101.33,7.494005416219807e-14,"default","mariadb"
69.96,0.0,11.23,0.02,1.38,4.18,0.0,0.01,86.76,86.76135416666669,0.0,288.2,0.0,44.21,0.0,31.87,0.0,157.1,0.0,0.61,10.48,0.0,53939.98,64687.68,371650.6,373072.8,5.3,0.0,0.0,5.955285634208551,0.6341920589763269,2.0308141021153086,7.540071429771169,0.204512129582272,0.44594861182436046,0.7417819960062345,0.4704322513587633,0,8192,50710,968759,607982,0,87,1.40625,18.2,608446.8,121.0,1509.0,155.25,102.45,7.494005416219807e-14,"default","mariadb"
