"cpu.all.%usr","cpu.all.%nice","cpu.all.%sys","cpu.all.%iowait","cpu.all.%irq","cpu.all.%soft","cpu.all.%steal","cpu.all.%guest","cpu.all.%util","cpu.all.%cutil","io.all-max.r/s","io.all-max.w/s","io.all-max.rMB/s","io.all-max.wMB/s","io.all-max.%rrqm","io.all-max.%wrqm","io.all-max.rareq-sz","io.all-max.wareq-sz","io.all-max.r_await","io.all-max.w_await","io.all-max.%util","io.all-max.blk_sat","sar-network.all-max.rxkB/s","sar-network.all-max.txkB/s","sar-network.all-max.rxpck/s","sar-network.all-max.txpck/s","sar-network.all-max.%ifutil","sar-net_err.all-max.err/s","sar-net_err.all-max.net_sat","perf-memBW.MEM_BW_Util","perf-cpu.IPC","perf-cpu.LLC","perf-cpu.MPKI","perf-cpu.ITLB","perf-cpu.DTLB","perf-cpu.StallBackend/Insts","perf-cpu.StallBackend/cycles","vmstat.b","vmstat.swpd","vmstat.bo","vmstat.in","vmstat.cs","vmstat.mem_sat","vmstat.cpu_util","vmstat.cpu_sat","sar-task.proc/s","sar-task.cswch/s","sar-load.runq-sz","sar-load.plist-sz","sar-load.ldavg-1","sar-load.ldavg-5","sysctl.file-util","workload.type","workload.appname"
30.85,0.0,8.69,0.0,1.02,3.66,0.0,0.0,44.22,67.27999999999999,0.0,199.6,0.0,13.98,0.0,32.25,0.0,71.74,0.0,0.23,4.24,0.0,49059.06,58999.57,338840.4,338838.2,4.83,0.0,0.0,3.232880309677419,0.4934813413335861,3.485860580821931,14.82846371866004,0.35832040204953286,0.7751758303589764,0.6738265855743533,0.3325208472754623,0,8192,14362,931758,702944,0,44,0.5833333333333334,62.8,702833.4,51.0,1326.0,28.66,14.18,6.869504964868156e-14,"default","mariadb"
30.78,0.0,8.27,0.15,0.99,3.57,0.0,0.02,43.63,65.6874193548387,0.0,203.6,0.0,14.27,0.0,30.8,0.0,71.76,0.0,0.24,3.76,0.0,48431.27,58308.14,334452.6,334463.0,4.78,0.0,0.0,3.1753531726931734,0.4913600347905963,3.4976569097768384,14.894825237977527,0.3599527356309393,0.7786091947910675,0.679792127542766,0.334022683439787,0,8192,14654,919239,695882,0,44,0.4895833333333333,17.8,695823.8,41.0,1326.0,29.89,14.67,6.869504964868156e-14,"default","mariadb"
32.07,0.0,8.05,0.0,1.02,3.67,0.0,0.01,44.82000000000001,65.9540625,0.0,186.6,0.0,13.93,0.0,32.83,0.0,76.42,0.0,0.23,3.6,0.0,49321.31,59350.28,340619.8,340615.8,4.86,0.0,0.0,3.1638127771942988,0.48831669138214573,3.486616604489192,14.838853626568495,0.35763300447286744,0.7757559320375614,0.6986872459004151,0.34118064422899436,0,8192,14695,938095,707785,0,45,0.46875,17.6,707667.0,46.0,1326.0,30.54,15.06,6.869504964868156e-14,"default","mariadb"
32.25,0.0,7.93,0.0,1.02,3.64,0.0,0.01,44.85,66.42546875,0.0,167.4,0.0,12.47,0.0,32.66,0.0,76.3,0.0,0.24,2.8,0.0,49429.3,59507.15,341353.0,341351.8,4.87,0.0,0.0,3.1418483228807204,0.4899321330616183,3.4811701471197942,14.815221978370003,0.3571894969364074,0.7752697742756188,0.693609260205111,0.33982146436358107,0,8192,12809,939596,709607,0,45,0.59375,17.6,709485.0,45.0,1326.0,31.7,15.56,6.869504964868156e-14,"default","mariadb"
31.37,0.0,8.22,0.0,1.0,3.63,0.0,0.02,44.24000000000001,64.66843749999998,0.0,169.0,0.0,12.88,0.0,33.15,0.0,78.04,0.0,0.24,3.36,0.0,48871.78,58793.17,337556.0,337552.8,4.82,0.0,0.0,3.192848900225056,0.49033288390405644,3.495464578837827,14.877960052017952,0.3593661008743571,0.7787915808725899,0.6870818693468249,0.3368988344750187,0,8192,14241,927523,698775,0,44,0.5625,17.6,698764.8,47.0,1326.0,32.2,15.93,6.869504964868156e-14,"default","mariadb"
31.21,0.0,8.36,0.0,1.01,3.63,0.0,0.01,44.22,66.7975806451613,0.0,182.2,0.0,13.47,0.0,31.86,0.0,75.68,0.0,0.24,4.0,0.0,49108.45,59141.55,339122.2,339119.0,4.84,0.0,0.0,3.190425407951988,0.4910083332794186,3.498543938259404,14.903052102114295,0.36156707563339213,0.7789963796733738,0.6810863764101929,0.3344190865004876,0,8192,12814,930539,703307,0,44,0.4895833333333333,18.2,703140.2,42.0,1326.0,32.99,16.36,6.869504964868156e-14,"default","mariadb"
32.18,0.0,8.21,0.0,1.02,3.68,0.0,0.01,45.1,64.48742424242424,0.0,184.2,0.0,13.75,0.0,32.77,0.0,76.43,0.0,0.23,3.28,0.0,49708.37,59757.36,343317.4,343315.0,4.9,0.0,0.0,3.1340272060015004,0.48852851689215626,3.4641568002121015,14.7354170407374,0.3535299374768835,0.7723240625644516,0.7038848857281818,0.3438678392875935,0,8192,14295,944999,714134,0,45,0.4375,18.2,714030.0,45.0,1326.0,33.71,16.79,6.869504964868156e-14,"default","mariadb"
30.35,0.0,8.01,0.3,0.97,3.49,0.0,0.0,42.82,60.51106060606061,0.0,193.6,0.0,13.77,0.0,32.5,0.0,72.84,0.0,0.23,3.92,0.0,47245.82,56794.69,326282.0,326332.2,4.65,0.0,0.0,3.192547461665416,0.4905406627891018,3.4869435065475773,14.856939052225368,0.3579422573034007,0.7746977610685193,0.6887455039522647,0.3378576760017579,0,8192,14155,896452,676409,0,42,0.3958333333333333,18.2,676249.8,39.0,1326.0,34.69,17.27,6.869504964868156e-14,"default","mariadb"
32.91,0.0,7.75,0.0,1.01,3.66,0.0,0.01,45.339999999999996,66.19531249999999,0.0,196.6,0.0,13.83,0.0,31.78,0.0,72.05,0.0,0.23,3.52,0.0,49754.29,59859.83,343620.2,343616.6,4.9,0.0,0.0,3.1167026316579145,0.48941573947985273,3.452178057287831,14.681348700650952,0.3507696946584616,0.7723982943759664,0.7025311694538405,0.3438298118058971,0,8192,14204,944554,714214,0,45,0.40625,18.2,714191.0,23.0,1326.0,35.28,17.68,6.869504964868156e-14,"default","mariadb"
32.6,0.0,7.92,0.0,1.02,3.65,0.0,0.01,45.2,65.78061538461542,0.0,203.0,0.0,13.71,0.0,31.65,0.0,69.15,0.0,0.23,3.2,0.0,49594.16,59604.25,342537.8,342540.0,4.88,0.0,0.0,3.1293814877719432,0.4885949226486266,3.4588228955848987,14.714674282953835,0.352806988745845,0.7736547785015035,0.7047182789319077,0.3443217729838087,0,8192,14074,942883,712464,0,46,0.3958333333333333,18.2,712363.0,48.0,1326.0,35.18,17.96,6.869504964868156e-14,"default","mariadb"
32.24,0.0,8.1,0.0,1.03,3.69,0.0,0.01,45.07,63.96194029850747,0.0,228.6,0.0,13.76,0.0,30.01,0.0,61.63,0.0,0.23,4.24,0.0,49689.17,59687.3,343215.8,343212.8,4.89,0.0,0.0,3.118737111477869,0.48823158859982857,3.444303260452585,14.649174257949467,0.349936275227588,0.7696530487659305,0.7082422783964488,0.34578625269506025,0,8192,14126,946917,713592,0,45,0.4583333333333333,18.2,713498.4,43.0,1326.0,35.32,18.27,6.869504964868156e-14,"default","mariadb"
32.12,0.0,8.17,0.0,1.02,3.66,0.0,0.01,44.98,65.38430769230769,0.0,228.0,0.0,12.26,0.0,28.17,0.0,55.08,0.0,0.21,3.2,0.0,49654.34,59662.51,342965.6,342964.0,4.89,0.0,0.0,3.1521328780195046,0.4891952837336554,3.4634582906120706,14.735832979160591,0.3532076805595056,0.772650320274015,0.6994485476353159,0.34216693071755155,0,8192,12595,943044,711951,0,45,0.4791666666666667,18.2,712014.2,38.0,1326.0,35.94,18.68,6.869504964868156e-14,"default","mariadb"
31.26,0.0,8.1,0.0,1.0,3.59,0.0,0.01,43.96,63.913174603174596,0.0,228.0,0.0,12.24,0.0,28.75,0.0,54.96,0.0,0.2,3.44,0.0,48564.96,58483.37,335380.2,335368.6,4.79,0.0,0.0,3.1646461119279823,0.4908562725972191,3.49523429127745,14.879629367667961,0.3603415733211249,0.7793462279476302,0.6845059271769578,0.335994027984785,1,8192,13174,919537,694680,0,44,0.4583333333333333,18.2,694421.0,43.0,1326.0,36.02,18.99,7.077671781985373e-14,"default","mariadb"
31.98,0.0,8.13,0.01,1.04,3.67,0.0,0.0,44.82,65.17784615384613,0.0,228.6,0.0,12.24,0.0,29.01,0.0,54.84,0.0,0.19,2.8,0.0,49562.32,59552.51,342354.0,342354.0,4.88,0.0,0.0,3.1598313914478617,0.4897701843639384,3.483009131597453,14.825180375471877,0.3583481843450208,0.7760555731415795,0.6922342533941365,0.33903569790787946,0,8192,12612,939928,712860,0,45,0.46875,18.2,712841.6,44.0,1326.0,36.26,19.32,7.077671781985373e-14,"default","mariadb"
31.57,0.0,8.15,0.04,0.99,3.57,0.0,0.01,44.29,64.54777777777778,0.0,222.4,0.0,13.46,0.0,30.11,0.0,61.96,0.0,0.19,3.12,0.0,48559.94,58392.0,335387.4,335393.6,4.78,0.0,0.0,3.235388303075769,0.48961238624575637,3.4840321533655065,14.83711436894529,0.35817148602872767,0.7785928994923408,0.6920153391775484,0.338819281533386,0,8192,13826,922946,694197,0,45,0.4479166666666667,18.2,694675.6,45.0,1326.0,36.4,19.63,7.077671781985373e-14,"default","mariadb"
32.06,0.0,8.01,0.0,1.02,3.64,0.0,0.01,44.74,63.39590909090909,0.0,220.4,0.0,13.43,0.0,30.34,0.0,62.38,0.0,0.19,3.68,0.0,49117.51,59057.7,339265.8,339266.4,4.84,0.0,0.0,3.1472419528882223,0.48829099399310055,3.4767937607717925,14.797430876998225,0.3568259279295912,0.77672141518701,0.7018045054561128,0.34268481955800173,0,8192,13786,934207,706440,0,45,0.5,18.2,705923.4,46.0,1326.0,37.57,20.15,7.077671781985373e-14,"default","mariadb"
32.42,0.0,8.09,0.0,1.01,3.64,0.0,0.02,45.18000000000001,67.95901639344264,0.0,199.4,0.0,12.64,0.0,30.47,0.0,64.91,0.0,0.2,3.52,0.0,49258.6,59222.48,340215.8,340214.0,4.85,0.0,0.0,3.134611953788447,0.4859336479454127,3.4648713814307492,14.734130650615553,0.3544787338971294,0.7764606110629427,0.7150500392511748,0.34746687403683396,0,8192,12979,938113,707906,0,45,0.4166666666666667,18.2,707796.0,43.0,1326.0,38.17,20.56,7.077671781985373e-14,"default","mariadb"
31.75,0.0,7.99,0.0,1.03,3.63,0.0,0.0,44.400000000000006,63.27153846153847,0.0,159.4,0.0,10.64,0.0,32.0,0.0,68.36,0.0,0.2,3.04,0.0,48873.37,58789.49,337560.4,337586.2,4.82,0.0,0.0,3.13949888432108,0.48766859474084406,3.462753427601591,14.735030681412525,0.3537903053311227,0.7726415164951278,0.7055624493859337,0.3440806481939462,0,8192,10934,930377,701291,0,45,0.4479166666666667,18.2,701139.6,37.0,1326.0,38.07,20.84,7.077671781985373e-14,"default","mariadb"
31.68,0.0,8.19,0.0,1.01,3.64,0.0,0.01,44.529999999999994,65.3435384615385,0.0,128.8,0.0,7.71,0.0,31.12,0.0,61.3,0.0,0.21,2.08,0.0,49444.99,59436.97,341515.8,341512.4,4.87,0.0,0.0,3.1418937998499623,0.49117511777483625,3.486659129984646,14.844518351410034,0.35984812259611837,0.7782352073005574,0.6840975636093883,0.3360117013753198,0,8192,7932,936387,709649,0,45,0.4166666666666667,18.2,709656.4,42.0,1326.0,38.39,21.19,7.077671781985373e-14,"default","mariadb"
31.18,0.0,8.17,0.33,1.0,3.56,0.0,0.02,43.93000000000001,63.94390624999998,0.0,58.6,0.0,3.74,0.0,32.64,0.0,65.43,0.0,0.21,0.96,0.0,48420.16,58191.59,334473.8,334495.2,4.77,0.0,0.0,3.258976408102025,0.48981810615367816,3.4716946672596642,14.796521766665409,0.35556736731606936,0.7737600609164363,0.6947553049728232,0.3403037277220094,0,8192,3871,920875,693262,0,44,0.4270833333333333,18.2,693346.6,44.0,1326.0,39.0,21.6,6.869504964868156e-14,"default","mariadb"
32.52,0.0,8.07,0.0,1.03,3.65,0.0,0.0,45.27,63.9581818181818,0.0,48.4,0.0,2.86,0.0,32.4,0.0,60.48,0.0,0.21,0.64,0.0,49511.41,59491.16,341951.8,341954.0,4.87,0.0,0.0,3.1181898514628656,0.48718886485614005,3.456636315165925,14.704616805734377,0.35281584214929346,0.7732988445589515,0.7097029809618122,0.345759389679804,0,8192,3136,942133,709946,0,46,0.3958333333333333,18.2,709787.8,47.0,1326.0,39.72,22.04,6.869504964868156e-14,"default","mariadb"
30.23,0.0,8.13,0.03,0.96,3.49,0.0,0.01,42.82,61.77500000000001,0.0,20.2,0.0,1.19,0.0,33.99,0.0,60.4,0.0,0.22,0.56,0.0,47351.45,56971.71,327018.6,327045.2,4.67,0.0,0.0,3.18518480180045,0.4901253403634115,3.50222621233612,14.922561372815672,0.3605496009519023,0.777052274262895,0.6825107737197964,0.33451582527111057,0,8192,1261,895584,671197,0,43,0.4270833333333333,18.2,671228.4,35.0,1326.0,40.06,22.4,6.869504964868156e-14,"default","mariadb"
32.0,0.0,8.09,0.0,1.02,3.64,0.0,0.01,44.760000000000005,64.59830769230769,0.0,11.8,0.0,0.85,0.0,36.56,0.0,73.42,0.0,0.22,0.24,0.0,49432.2,59461.53,341397.6,341394.8,4.87,0.0,0.0,3.142034225356339,0.4886892045094416,3.4738989565158898,14.778555640603074,0.3568849477021872,0.7753542229369454,0.6990941431765562,0.3416397607061609,0,8192,903,935171,706786,0,45,0.4270833333333333,18.2,706627.2,37.0,1326.0,40.3,22.75,6.869504964868156e-14,"default","mariadb"
32.7,0.0,7.92,0.0,1.03,3.66,0.0,0.0,45.31,62.376086956521725,0.0,11.4,0.0,0.44,0.0,31.33,0.0,39.37,0.0,0.21,0.08,0.0,49772.1,59876.56,343736.0,343735.8,4.91,0.0,0.0,3.0990443546886723,0.4875838351194912,3.440054413079305,14.630809707209199,0.34939777535900945,0.7686434675721358,0.7112721591282801,0.3468048071614878,0,8192,485,946538,711336,0,46,0.4166666666666667,18.2,711129.8,38.0,1326.0,40.99,23.18,6.869504964868156e-14,"default","mariadb"
31.77,0.0,8.12,0.0,1.0,3.62,0.0,0.01,44.519999999999996,64.90781249999999,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,49325.21,59293.45,340698.2,340696.8,4.86,0.0,0.0,3.1608242028507125,0.4897329161245802,3.4875911547304628,14.851594180695741,0.3590487607558489,0.7768471737286611,0.6895375980265946,0.33768925865910276,0,8192,5,930659,703625,0,45,0.4791666666666667,18.2,703862.8,45.0,1326.0,40.75,23.43,6.869504964868156e-14,"default","mariadb"
31.91,0.0,8.13,0.0,1.02,3.66,0.0,0.01,44.73,62.06602941176472,0.0,4.4,0.0,0.06,0.0,12.0,0.0,13.27,0.0,0.09,0.08,0.0,49390.07,59376.43,341123.6,341124.8,4.86,0.0,0.0,3.167156563540885,0.489044639199093,3.4752796811189395,14.792833820432014,0.3561813165043207,0.7738791187061356,0.6969645987428613,0.3408468007267433,0,8192,76,937052,705790,0,45,0.4166666666666667,18.2,705518.8,46.0,1326.0,40.61,23.69,6.869504964868156e-14,"default","mariadb"
32.16,0.0,8.11,0.0,1.01,3.66,0.0,0.01,44.949999999999996,62.674264705882344,0.0,0.4,0.0,0.0,0.0,33.33,0.0,6.0,0.0,0.0,0.0,0.0,49588.12,59621.9,342494.8,342489.4,4.88,0.0,0.0,3.1199831189797447,0.4885144516492543,3.456359943737612,14.70402364433838,0.3528327787643896,0.7726996465324406,0.7047492125871935,0.34428017513727655,0,8192,14,942397,709052,0,45,0.3854166666666667,18.2,709036.2,40.0,1326.0,40.56,23.96,6.869504964868156e-14,"default","mariadb"
30.58,0.0,8.18,0.0,0.97,3.55,0.0,0.01,43.28999999999999,62.41015625000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48012.4,57680.21,331678.2,331677.0,4.73,0.0,0.0,3.169112995048762,0.4927683108793146,3.512809107244225,14.967284527419311,0.3625447097549934,0.7794047352128061,0.669155254461533,0.32973850445702757,0,8192,400,905151,677393,0,44,0.4166666666666667,18.4,677263.0,41.0,1326.0,40.6,24.24,6.869504964868156e-14,"default","mariadb"
29.95,0.0,8.02,0.0,0.97,3.46,0.0,0.01,42.41,59.45287878787878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47123.5,56729.36,325431.6,325429.0,4.65,0.0,0.0,3.267019378844711,0.4940464677908667,3.5337907446488974,15.054919024845626,0.36282495150805105,0.7811036402549989,0.6596851065203406,0.3259150967306159,0,8192,10,882501,656063,0,42,0.5104166666666666,18.2,656529.2,50.0,1325.0,41.43,24.69,6.869504964868156e-14,"default","mariadb"
30.42,0.0,8.12,0.0,0.97,3.56,0.0,0.01,43.08,61.86399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47817.7,57548.31,330205.0,330205.6,4.71,0.0,0.0,3.206202843510878,0.49270405423296704,3.510203522444532,14.95162490643375,0.36072308738536957,0.7792404505720804,0.6700297783293908,0.3301263882397071,0,8192,4,897565,671874,0,43,0.5104166666666666,18.2,671783.4,42.0,1325.0,42.04,25.09,6.869504964868156e-14,"default","mariadb"
31.72,0.0,8.11,0.0,1.0,3.62,0.0,0.02,44.47,63.84507692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49069.33,59058.16,338874.0,338872.6,4.84,0.0,0.0,3.1489242934733683,0.48923537035909476,3.4788197954792204,14.805002994258697,0.3572908226612146,0.7751179087231242,0.6950670735811666,0.3400513971678942,0,8192,20,926446,700421,0,45,0.5104166666666666,18.6,700084.2,49.0,1327.0,41.31,25.22,6.869504964868156e-14,"default","mariadb"
32.84,0.0,7.82,0.0,1.03,3.67,0.0,0.01,45.370000000000005,62.825588235294106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49724.83,59718.28,343502.8,343502.8,4.89,0.0,0.0,3.1173208726181545,0.4873478247067787,3.447419231171812,14.664310426749758,0.35077774385018196,0.772273973168982,0.7120114024767212,0.3469972081634528,0,8192,12,945238,710954,0,46,0.40625,18.2,710787.2,42.0,1327.0,41.45,25.52,6.869504964868156e-14,"default","mariadb"
31.79,0.0,7.94,0.0,1.0,3.62,0.0,0.01,44.35999999999999,63.849538461538465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49019.66,58975.64,338519.6,338515.0,4.83,0.0,0.0,3.1438465440360086,0.4901496831755027,3.4717729923999423,14.775966876619547,0.35567906113505865,0.7773535990608111,0.6916610215134806,0.33901743055967715,0,8192,6,927671,697334,0,45,0.4791666666666667,18.2,697176.8,44.0,1327.0,41.65,25.82,6.869504964868156e-14,"default","mariadb"
32.23,0.0,8.01,0.0,1.03,3.67,0.0,0.01,44.949999999999996,63.78560606060605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49654.62,59634.59,343008.4,343007.4,4.89,0.0,0.0,3.089459468867217,0.4885413280302292,3.4557710702523226,14.698330307434118,0.3528044655353767,0.7737251861761747,0.7054242527308021,0.34462890125383805,0,8192,8,942708,709845,0,45,0.3645833333333333,18.2,709788.8,44.0,1325.0,42.08,26.18,6.869504964868156e-14,"default","mariadb"
32.79,0.0,7.91,0.0,1.04,3.69,0.0,0.01,45.44,62.631159420289855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49681.68,59703.23,343175.6,343174.6,4.89,0.0,0.0,3.074564225056264,0.4867955507027314,3.426430240934498,14.561182247003496,0.3460861442807951,0.7695107187336802,0.7190289804504648,0.3500201085096075,0,8192,196,946902,710084,0,46,0.46875,19.0,710027.2,39.0,1327.0,42.08,26.44,6.869504964868156e-14,"default","mariadb"
32.29,0.0,7.97,0.0,1.01,3.68,0.0,0.01,44.959999999999994,63.516818181818174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49612.56,59691.98,342624.4,342623.6,4.89,0.0,0.0,3.0959171984996248,0.48924403788597653,3.456636703555512,14.70456594652476,0.35272786477101953,0.7720943371382661,0.701267905153211,0.343091141556997,0,8192,16,942491,709042,0,45,0.40625,18.2,709110.2,46.0,1327.0,42.31,26.75,6.869504964868156e-14,"default","mariadb"
