cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
48.67,0.0,15.3,0.01,1.45,5.36,0.0,0.0,70.78,70.778046875,117.0,1.0,1.83,0.01,0.0,0.0,16.0,11.2,0.24,0.0,99.6,1.0,50168.58,1152882.41,742595.0,460127.2,94.44,0.0,0.0,49.392960853333335,0.572,26.76,7.32,1.12,2.01,0.55,0.31,1,0,22,619029,796441,0,71,129,3.8,796295.2,143.0,2398.0,163.43,166.36,1.2031999999999998,default,mysql
49.14,0.0,15.28,0.01,1.46,5.38,0.0,0.0,71.25999999999999,71.24570312500002,111.2,2.8,1.74,0.02,0.0,50.0,16.0,8.0,0.24,0.21,100.0,1.0,50201.94,1153651.46,743076.4,460431.8,94.51,0.0,0.0,49.462859093333336,0.57,26.76,7.31,1.12,2.02,0.55,0.32,0,0,26,619492,795555,0,71,180,1.2,795420.8,163.0,2398.0,161.79,165.97,1.3056,default,mysql
48.94,0.0,15.42,0.01,1.48,5.39,0.0,0.0,71.23,71.22835937499997,114.4,0.0,1.79,0.0,0.0,0.0,16.0,0.0,0.24,0.0,99.84,1.0,49889.01,1148384.59,738090.2,458362.6,94.08,0.0,0.0,49.19635968000001,0.567,26.71,7.3,1.12,2.02,0.56,0.32,1,0,2,618310,789153,0,71,153,1.2,789027.0,180.0,2398.0,161.09,165.76,1.3056,default,mysql
49.23,0.0,15.08,0.0,1.45,5.37,0.0,0.0,71.13000000000001,71.12468749999994,104.2,1.0,1.63,0.01,0.0,0.0,16.0,11.2,0.24,0.2,99.76,1.0,50260.56,1154764.63,744002.4,460865.0,94.6,0.0,0.0,49.54536618666667,0.572,26.69,7.3,1.12,2.02,0.55,0.31,0,0,14,621388,797517,0,71,146,1.4,797351.8,151.0,2397.0,165.16,166.53,1.3056,default,mysql
49.01,0.0,14.89,0.01,1.45,5.34,0.0,0.0,70.69,70.686171875,106.6,2.8,1.67,0.02,0.0,46.15,16.0,7.43,0.24,0.21,99.52,1.0,50251.99,1153793.28,744005.4,460492.6,94.52,0.0,0.0,49.45028437333334,0.573,26.69,7.29,1.12,2.01,0.55,0.31,1,0,22,620195,797827,0,71,183,1.2,797683.8,111.0,2397.0,160.83,165.6,1.3056,default,mysql
49.02,0.0,15.49,0.0,1.46,5.37,0.0,0.0,71.34,71.33476562499996,92.8,0.0,1.45,0.0,0.0,0.0,16.0,0.0,0.24,0.0,99.92,1.0,50102.91,1151337.84,741614.4,459523.4,94.32,0.0,0.0,49.43336789333333,0.569,26.69,7.3,1.12,2.02,0.56,0.32,0,0,3,620483,792764,0,71,126,1.2,792659.2,146.0,2397.0,160.2,165.39,1.3056,default,mysql
49.05,0.0,15.26,0.0,1.47,5.4,0.0,0.0,71.18,71.1809375,99.0,1.0,1.55,0.02,0.0,0.0,16.0,17.6,0.24,0.0,99.84,1.0,50135.21,1152744.99,741999.4,460031.2,94.43,0.0,0.0,49.38173098666666,0.571,26.68,7.24,1.11,2.0,0.56,0.32,1,0,19,620746,793145,0,71,266,1.8,793047.0,196.0,2399.0,156.74,164.59,1.3056,default,mysql
49.31,0.0,16.4,0.01,1.99,5.5,0.0,0.0,73.2,73.19023437499997,96.6,2.8,1.51,0.02,0.0,50.0,16.0,8.0,0.26,0.21,99.44,1.0,49699.04,1145506.62,734981.4,457271.0,93.84,0.0,0.0,49.597542399999995,0.568,26.93,7.17,1.09,1.97,0.57,0.33,0,0,30,621514,759797,0,73,372,8.8,759714.6,285.0,2426.0,156.92,164.5,1.3056,default,mysql
48.37,0.0,15.43,0.0,3.11,5.48,0.0,0.0,72.39,72.39148437500002,94.4,0.0,1.47,0.0,0.0,0.0,16.0,0.0,0.25,0.0,99.76,1.0,49925.52,1149778.82,738560.2,458851.2,94.19,0.0,0.0,49.93454080000001,0.56,27.17,7.42,1.11,2.01,0.58,0.32,0,0,2,621773,775300,0,72,120,6.4,774840.0,146.0,2426.0,157.49,164.49,1.4592,default,mysql
48.07,0.0,15.49,0.01,3.19,5.51,0.0,0.0,72.26,72.25421875000004,94.0,1.0,1.47,0.01,0.0,0.0,16.0,11.2,0.24,0.2,98.72,0.99,49793.75,1147795.6,736408.8,458074.0,94.03,0.0,0.0,49.969384106666666,0.555,27.16,7.46,1.11,2.01,0.59,0.33,0,0,17,621297,772001,0,72,134,5.6,771898.0,188.0,2422.0,152.48,163.34,1.4336,default,mysql
