cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
14.91,0.0,46.03,0.14,1.02,1.79,0.0,0.0,63.75,63.75999999999998,0.2,2412.77,0.0,57.67,0.0,19.22,16.0,24.47,0.0,0.58,100.04,2.27,11589.71,217702.36,141424.95,122550.9,17.83,0.0,0.0,18.354353493333335,0.381,26.61,9.91,0.98,1.3,1.24,0.47,1,0,58763,528111,710957,0,64,148,1.8,711020.4,140.0,2913.0,187.05,161.36,0.15234375,default,mysql
13.56,0.0,46.07,0.13,0.96,1.68,0.0,0.0,62.27,62.26718749999999,1.2,2424.85,0.02,56.99,0.0,19.65,16.0,24.07,0.33,0.55,99.96,2.13,10716.99,199890.97,129862.4,114201.8,16.38,0.0,0.0,17.25026304,0.383,26.58,9.72,0.98,1.29,1.23,0.47,2,0,59440,506039,685852,0,63,0,1.2,685413.6,0.0,2912.0,174.71,159.23,0.16796875,default,mysql
16.27,0.0,39.73,0.16,1.04,1.91,0.0,0.0,58.949999999999996,58.954453125000015,0.2,2392.0,0.0,62.98,0.0,19.79,16.0,26.96,0.0,0.74,100.0,2.47,12539.5,239644.13,150687.8,134322.4,19.63,0.0,0.0,19.742767786666665,0.429,26.52,8.82,0.95,1.23,1.04,0.45,1,0,63822,551293,722267,0,59,3,4.0,722274.6,3.0,2919.0,171.77,158.88,0.16796875,default,mysql
14.94,0.0,45.1,0.13,1.7,1.82,0.0,0.0,63.56,63.558828125,0.2,2585.4,0.0,63.04,0.0,19.23,16.0,24.97,0.0,0.58,100.0,2.2,11631.39,218800.27,141182.2,123469.6,17.92,0.0,0.0,19.18471509333333,0.399,27.96,10.56,0.96,1.27,1.16,0.47,2,0,64574,529860,710541,0,63,176,6.8,710630.6,94.0,2942.0,170.83,158.89,0.16796875,default,mysql
14.2,0.0,45.92,0.12,1.69,1.65,0.0,0.0,63.46,63.46234375000001,1.8,2383.8,0.03,57.14,0.0,19.92,16.0,24.55,0.22,0.51,99.76,1.91,11119.67,207924.02,135512.2,117908.6,17.03,0.0,0.0,18.318670506666667,0.396,27.87,10.18,0.98,1.29,1.16,0.46,6,0,58559,513067,687827,0,63,24,6.4,687272.0,214.0,2938.0,159.71,156.79,0.1875,default,mysql
13.74,0.0,46.13,0.13,1.7,1.72,0.0,0.0,63.290000000000006,63.287187499999966,1.0,2407.2,0.02,57.8,0.0,19.52,16.0,24.59,0.2,0.53,100.0,1.99,10796.67,202446.7,130870.2,115339.4,16.58,0.0,0.0,18.56608938666667,0.39,27.79,9.99,0.96,1.3,1.18,0.46,0,0,59392,507456,681818,0,64,192,6.6,681372.4,30.0,2938.0,147.08,154.22,0.18359375,default,mysql
14.47,0.0,45.48,0.15,1.71,1.72,0.0,0.0,63.379999999999995,63.37507812499999,0.2,2388.47,0.0,57.17,0.0,19.44,16.0,24.51,0.0,0.54,99.72,2.03,11336.36,213450.48,137984.6,120554.4,17.49,0.0,0.0,18.762151253333332,0.389,27.99,10.21,0.96,1.29,1.18,0.46,8,0,58393,518371,694894,0,64,204,6.4,694798.0,409.0,2940.0,135.7,151.74,0.18359375,default,mysql
14.12,0.0,46.17,0.13,1.68,1.7,0.0,0.0,63.67,63.67218749999999,1.61,2535.14,0.03,59.48,0.0,19.34,16.0,24.02,0.25,0.68,100.4,2.47,11054.92,208134.49,134039.8,117849.4,17.05,0.0,0.0,18.618210986666668,0.392,27.96,10.4,0.96,1.29,1.22,0.48,0,0,61067,521045,702588,0,63,294,6.4,700169.6,42.0,2940.0,157.35,155.96,0.1875,default,mysql
14.22,0.0,44.83,0.12,1.67,1.76,0.0,0.0,62.48,62.48046875000003,0.2,2326.85,0.0,53.99,0.0,19.82,16.0,23.76,0.0,0.43,99.88,1.74,11003.93,205375.29,133878.8,116854.4,16.82,0.0,0.0,18.37733888,0.385,27.68,9.65,0.99,1.32,1.22,0.47,1,0,56169,508427,682238,0,62,175,2.4,681512.8,579.0,2915.0,146.27,153.69,0.19140625,default,mysql
15.1,0.0,44.03,0.15,1.03,1.83,0.0,0.0,61.99,61.98156249999998,0.0,2655.78,0.0,63.71,0.0,18.93,0.0,24.56,0.0,0.63,99.84,2.48,11907.34,225858.76,143582.0,126764.0,18.5,0.0,0.0,21.84480768,0.387,30.89,11.83,0.96,1.31,1.21,0.47,1,0,65003,559009,752589,0,62,145,19.0,752012.8,185.0,2916.0,162.1,156.85,0.16796875,default,mysql
15.48,0.0,43.38,0.17,1.06,1.89,0.0,0.0,61.81,61.81570312500001,2.6,2481.8,0.04,60.22,0.0,19.47,16.0,24.85,0.23,0.63,100.08,2.23,12084.5,227730.51,146398.4,128777.6,18.66,0.0,0.0,22.157858133333335,0.388,30.77,11.7,0.97,1.32,1.2,0.46,1,0,61342,548504,732199,0,61,154,23.0,732636.4,598.0,2916.0,159.69,156.43,0.17578125,default,mysql
15.09,0.0,46.15,0.15,1.44,1.93,0.0,0.0,64.61,64.59804687500001,0.4,2589.42,0.01,61.69,0.0,19.82,16.0,24.4,0.0,0.53,99.88,2.13,11913.76,226797.69,143659.4,127160.2,18.58,0.0,0.0,21.26517589333333,0.377,29.57,11.29,0.96,1.33,1.26,0.48,0,0,63377,605391,736257,0,65,167,14.8,736767.6,230.0,2916.0,162.6,157.09,0.17578125,default,mysql
15.49,0.0,41.31,0.15,1.04,1.95,0.0,0.0,59.790000000000006,59.794375,0.4,2325.3,0.01,59.31,0.0,20.51,16.0,26.12,0.5,0.63,100.08,2.22,12025.77,228705.1,144876.0,128854.4,18.74,0.0,0.0,19.198866773333336,0.39,26.69,9.53,0.98,1.4,1.21,0.47,2,0,61181,531905,704536,0,59,80,2.2,704214.4,49.0,2914.0,155.67,155.75,0.17578125,default,mysql
