cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
5.2,0.0,55.46,0.15,0.66,0.59,0.0,0.0,61.910000000000004,61.91164062499999,0.0,3318.36,0.0,53.27,0.0,28.52,0.0,16.44,0.0,0.25,100.12,1.5,3991.06,3424.62,32616.0,49734.8,0.33,0.0,0.0,10.553105066666667,0.262,26.31,16.99,0.77,1.38,2.08,0.54,2,0,54614,445684,720940,0,62,114,3.6,720838.8,204.0,2914.0,115.69,125.02,0.171875,default,mysql
4.8,0.0,53.47,0.11,0.66,0.54,0.0,0.0,59.46999999999999,59.47703125,0.0,2771.94,0.0,51.3,0.0,27.28,0.0,18.95,0.0,0.24,99.88,1.41,3829.69,3300.4,31351.8,47980.4,0.31,0.0,0.0,10.180102826666666,0.266,26.27,16.78,0.77,1.37,2.04,0.54,0,0,52646,430203,693316,0,60,83,1.4,691044.6,124.0,2914.0,118.92,125.54,0.1875,default,mysql
4.89,0.0,51.53,0.12,0.63,0.54,0.0,0.0,57.59,57.578125,0.0,2795.2,0.0,50.52,0.0,27.7,0.0,18.51,0.0,0.26,100.0,1.52,3799.29,3259.26,30992.2,47364.4,0.31,0.0,0.0,10.063865173333333,0.264,26.09,16.73,0.77,1.38,2.06,0.54,0,0,51706,420961,676257,0,58,92,1.2,676107.2,74.0,2914.0,109.56,123.48,0.1875,default,mysql
5.31,0.0,55.71,0.13,0.69,0.6,0.0,0.0,62.31,62.30562500000001,2.39,3289.84,0.04,52.93,0.0,31.51,16.0,16.47,0.17,0.2,100.08,1.42,4038.29,3458.78,32972.2,50218.2,0.33,0.0,0.0,10.70280704,0.258,26.16,17.2,0.78,1.39,2.12,0.55,5,0,54346,448037,724069,0,62,698,1.2,724631.0,3.0,2914.0,111.43,123.64,0.1875,default,mysql
4.82,0.0,52.64,0.12,0.65,0.57,0.0,0.0,58.68,58.682499999999976,1.2,3080.12,0.02,51.2,0.0,29.18,16.0,17.02,0.17,0.21,100.0,1.36,3872.22,3337.54,31634.0,48538.2,0.32,0.0,0.0,10.188916053333335,0.26,26.18,16.97,0.78,1.39,2.1,0.55,0,0,52355,432181,696982,0,59,14,1.4,696001.4,31.0,2913.0,109.0,122.93,0.1875,default,mysql
5.04,0.0,52.88,0.12,0.65,0.54,0.0,0.0,59.11,59.10421874999998,0.0,2893.6,0.0,50.99,0.0,28.04,0.0,18.04,0.0,0.23,100.08,1.43,3833.21,3304.06,31387.8,48034.8,0.31,0.0,0.0,10.196247893333334,0.265,26.24,16.8,0.77,1.38,2.05,0.54,0,0,52630,431244,695225,0,59,128,1.2,694937.4,217.0,2913.0,100.43,120.93,0.1875,default,mysql
4.8,0.0,55.14,0.14,0.66,0.55,0.0,0.0,61.14999999999999,61.15187499999998,0.8,3273.05,0.01,52.5,0.0,28.44,16.0,16.43,0.75,0.21,99.96,1.43,3920.36,3360.97,31988.4,48827.2,0.32,0.0,0.0,10.396398933333334,0.263,26.12,16.88,0.77,1.37,2.07,0.54,0,0,53441,440625,710981,0,61,80,1.2,710659.2,140.0,2913.0,95.19,119.5,0.1875,default,mysql
5.29,0.0,53.56,0.12,0.65,0.55,0.0,0.0,60.05,60.06039062500001,0.2,2991.38,0.0,51.26,0.0,28.93,16.0,17.55,0.0,0.2,100.04,1.38,3891.24,3349.31,31803.2,48672.8,0.32,0.0,0.0,10.237098666666666,0.264,26.25,16.85,0.77,1.38,2.06,0.54,0,0,52459,434482,700849,0,60,155,1.4,700700.4,41.0,2911.0,90.61,118.15,0.1875,default,mysql
4.99,0.0,51.12,0.14,0.63,0.54,0.0,0.0,57.28,57.282656249999995,0.0,2835.33,0.0,50.33,0.0,28.46,0.0,18.18,0.0,0.23,100.04,1.42,3779.5,3249.66,30843.2,47265.4,0.31,0.0,0.0,10.099855360000001,0.266,26.22,16.76,0.77,1.38,2.03,0.54,1,0,51794,422605,680150,0,57,0,1.2,682945.6,84.0,2911.0,83.43,116.2,0.1875,default,mysql
4.88,0.0,54.92,0.13,0.68,0.54,0.0,0.0,61.02,61.01664062500001,1.2,2988.42,0.02,51.6,0.0,27.97,16.0,17.68,0.17,0.25,99.96,1.48,3971.14,3386.45,32444.8,49096.4,0.33,0.0,0.0,10.5885696,0.263,26.3,16.99,0.78,1.39,2.06,0.54,0,0,52754,442727,715531,0,61,327,1.2,713664.6,2.0,2911.0,93.49,117.74,0.1875,default,mysql
