CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
14.28,0.0,50.28,27.61,1.17,1.48,0.0,0.0,67.21000000000001,67.21851562500002,22498.0,421.0,351.53,12.01,0.0,15.16,16.0,29.21,19.76,21.25,130.16,631.45,12051.74,302355.87,142473.6,134179.0,9.91,0.0,0.0,20.99294208,0.496,24.63,8.89,0.92,1.94,0.7,0.35,836,264,12542,724677,933129,0,67,152,16.6,932831.4,199.0,2867.0,827.73,521.45,0.042666666666666665,default,mysql
14.36,0.0,50.85,29.91,1.19,1.44,0.0,0.0,67.84,67.83312500000001,22377.0,486.6,349.64,14.82,0.0,16.36,16.0,31.18,26.21,32.92,131.92,846.61,11962.52,300344.24,141427.0,133537.0,9.84,0.0,0.0,20.86463488,0.494,24.59,8.88,0.92,1.94,0.7,0.35,799,264,15231,743166,969091,0,67,116,11.8,960241.4,209.0,2868.0,829.83,526.97,0.05333333333333334,default,mysql
14.55,0.0,46.66,33.68,1.18,1.48,0.0,0.0,63.86999999999999,63.87429687499999,22554.4,465.6,352.42,13.06,0.0,11.08,16.0,28.72,28.15,37.51,134.64,933.49,12127.21,304395.51,143360.0,135774.2,9.97,0.0,0.0,20.658947413333326,0.501,24.45,8.66,0.92,1.94,0.68,0.34,834,264,13462,726803,938299,0,64,112,17.8,939408.0,23.0,2867.0,832.73,532.6,0.0512,default,mysql
13.94,0.0,52.51,26.96,1.18,1.41,0.0,0.0,69.04,69.04023437500001,21623.6,813.2,337.87,20.06,0.0,19.53,16.0,25.26,24.24,17.69,128.4,738.92,11575.05,290483.12,136841.4,129750.4,9.52,0.0,0.0,20.608771413333333,0.489,24.55,8.95,0.9,1.92,0.72,0.35,747,264,20382,736211,976885,0,69,130,16.4,976081.0,111.0,2868.0,813.29,533.55,0.05546666666666666,default,mysql
14.2,0.0,47.28,33.32,1.16,1.43,0.0,0.0,64.07000000000001,64.07484375000001,22238.0,567.2,347.47,16.31,0.0,12.14,16.0,29.45,28.51,25.88,136.0,930.87,11818.29,296775.36,139719.8,132899.8,9.72,0.0,0.0,20.3886592,0.49700000000000005,24.44,8.75,0.92,1.93,0.7,0.35,579,264,16970,722716,941204,0,64,218,10.4,940918.2,123.0,2868.0,826.16,540.87,0.05333333333333334,default,mysql
13.92,0.0,33.97,44.2,1.08,1.46,0.0,0.0,50.43,50.43085937499999,22503.6,477.2,351.62,13.55,0.0,19.01,16.0,29.08,33.1,36.15,134.64,1083.54,12090.41,303595.73,142938.4,136998.6,9.95,0.0,0.0,19.398519466666666,0.523,24.16,8.21,0.93,1.95,0.63,0.33,274,264,13811,679372,838601,0,50,134,15.8,838360.8,162.0,2868.0,831.67,546.75,0.05333333333333334,default,mysql
14.26,0.0,46.2,33.27,1.16,1.44,0.0,0.0,63.06,63.06359374999998,22028.4,657.2,344.19,15.96,0.0,18.2,16.0,24.86,24.62,23.12,130.88,777.86,11907.82,298723.35,140774.0,133052.4,9.79,0.0,0.0,20.468640426666664,0.5,24.51,8.74,0.92,1.94,0.69,0.35,329,264,16421,719871,930899,0,63,237,15.4,931569.4,203.0,2868.0,828.09,550.73,0.0512,default,mysql
11.57,0.0,26.03,53.17,0.87,1.22,0.0,0.0,39.69,39.769212598425185,18992.4,285.8,296.76,9.12,0.0,19.04,16.0,32.67,45.07,63.15,136.72,1239.47,10294.93,258770.49,121691.0,120312.0,8.48,0.0,0.0,14.88567637333333,0.551,23.56,7.57,0.95,1.97,0.56,0.31,1019,264,9442,555253,647410,0,40,24,9.2,651890.0,11.0,2868.0,844.18,558.67,0.0512,default,mysql
8.74,0.0,5.36,69.72,0.56,0.98,0.0,0.0,15.640000000000002,30.79333333333333,15531.4,207.8,242.68,5.88,0.0,13.85,16.0,28.96,63.27,95.7,131.92,1356.62,8420.66,212104.87,99544.4,105139.8,6.95,0.0,0.0,10.478598826666667,0.631,22.69,6.36,0.99,2.02,0.41,0.26,861,264,5918,383165,340326,0,16,9,15.4,339844.4,19.0,2868.0,860.58,566.81,0.0512,default,mysql
11.92,0.0,46.85,29.62,1.03,1.19,0.0,0.0,60.99,60.97632812499998,18545.6,784.4,289.77,12.8,0.0,28.44,16.0,16.7,21.61,5.38,120.56,527.19,9850.79,247566.29,116474.6,111333.2,8.11,0.0,0.0,18.014365013333332,0.489,24.38,8.93,0.88,1.9,0.74,0.36,2,264,13607,662898,877521,0,61,153,18.6,870825.6,251.0,2867.0,831.15,565.59,0.0512,default,mysql
