cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
2.53,0.0,35.41,2.81,26.17,1.95,0.0,0.0,66.06,66.05773437500002,4143.0,3005.4,65.58,69.48,1.29,26.13,16.21,23.67,5.68,1.1,103.76,32.81,1751.96,30337.82,17688.8,17486.4,0.99,0.0,0.0,10.677445973333333,0.109,12.08,5.13,0.18,0.75,7.75,0.84,83,264,71605,1976164,3999331,0,65,466,12.6,3998004.6,554.0,2869.0,245.44,196.02,0.06826666666666667,default,mysql
1.92,0.0,53.27,0.52,34.76,1.34,0.0,0.0,91.29,91.28703125,2623.11,2854.78,41.05,72.14,0.2,21.02,16.02,25.88,1.88,0.53,101.83,7.74,1193.31,22261.24,12156.2,11793.6,0.73,0.0,0.0,6.947280213333333,0.101,12.49,3.28,0.05,0.66,8.86,0.89,47,264,74149,1645839,4776242,0,91,448,14.6,4770868.6,558.0,2869.0,261.26,200.12,0.07893333333333333,default,mysql
1.29,0.0,56.65,0.13,35.84,0.95,0.0,0.0,94.73,94.720703125,1376.55,3252.3,21.52,79.9,0.07,23.3,16.01,25.16,0.99,0.52,101.64,3.7,607.36,11089.81,6186.8,5771.6,0.36,0.0,0.0,7.067886933333334,0.107,13.55,3.26,0.05,0.67,8.29,0.89,1,264,81888,1613381,5015758,0,94,544,10.0,4999211.2,619.0,2869.0,274.53,203.89,0.07680000000000001,default,mysql
0.92,0.0,59.49,0.03,35.99,0.68,0.0,0.0,97.08000000000001,97.07609374999998,705.4,2833.2,11.02,66.51,0.0,23.6,16.0,24.04,0.64,0.31,100.88,2.02,275.94,4856.41,2783.0,2589.2,0.16,0.0,0.0,6.054024533333334,0.104,13.55,2.89,0.03,0.66,8.64,0.9,0,264,68898,1584222,5042897,0,97,513,14.8,5034345.2,625.0,2869.0,300.84,210.51,0.07680000000000001,default,mysql
1.28,0.0,57.91,0.27,36.27,0.85,0.0,0.0,96.31,96.313515625,1363.6,2544.6,21.38,62.09,0.34,24.84,16.05,24.99,1.73,0.75,101.12,5.08,605.68,10932.76,6178.8,5733.6,0.36,0.0,0.0,7.235570346666666,0.113,15.15,3.12,0.05,0.69,7.99,0.9,1,264,63349,1593843,5221791,0,96,735,9.78,5203267.47,715.0,2868.0,320.95,216.18,0.07680000000000001,default,mysql
0.87,0.0,61.68,0.0,36.0,0.54,0.0,0.0,99.09,99.07984375,573.6,1936.8,8.99,43.25,0.31,24.28,16.05,22.87,0.76,0.41,101.04,2.03,204.9,3598.65,2061.6,1982.2,0.12,0.0,0.0,5.565487786666667,0.108,15.1,2.82,0.03,0.67,8.23,0.89,0,264,44346,1566926,5188229,0,99,564,14.8,5179560.6,662.0,2869.0,346.5,223.22,0.07680000000000001,default,mysql
1.06,0.0,61.31,0.01,35.68,0.85,0.0,0.0,98.9,98.90015624999997,1011.6,2195.8,15.81,51.97,0.02,27.11,16.0,24.23,0.61,0.48,101.04,2.51,433.4,7828.62,4433.0,4185.8,0.26,0.0,0.0,6.03875328,0.108,15.14,2.8,0.03,0.67,8.3,0.9,0,264,52975,1562529,5168928,0,99,682,9.8,5161144.6,647.0,2868.0,370.88,230.32,0.07680000000000001,default,mysql
0.85,0.0,61.41,0.01,35.95,0.51,0.0,0.0,98.72000000000001,98.71968749999998,662.8,2244.0,10.37,51.25,0.15,25.98,16.02,23.39,0.69,0.42,101.2,2.13,170.39,3031.02,1748.6,1623.0,0.1,0.0,0.0,5.6522752,0.106,13.81,2.74,0.02,0.67,8.34,0.88,0,264,52523,1567737,5171933,0,99,626,14.8,5162627.6,574.0,2869.0,391.39,236.91,0.07680000000000001,default,mysql
0.84,0.0,60.2,0.02,36.13,0.55,0.0,0.0,97.72000000000001,97.71624999999995,613.2,2523.6,9.58,56.3,0.0,25.91,16.0,22.85,0.52,0.34,101.04,1.93,194.45,3520.93,1995.0,1852.0,0.12,0.0,0.0,5.681752746666667,0.103,12.45,2.72,0.02,0.65,8.74,0.9,0,264,58432,1582312,5115976,0,98,555,9.8,5108209.0,592.0,2868.0,402.25,241.72,0.07680000000000001,default,mysql
0.78,0.0,58.5,0.02,36.14,0.48,0.0,0.0,95.9,95.89648437499999,457.8,2480.0,7.15,53.92,0.0,22.75,16.0,22.26,0.54,0.3,100.8,1.67,140.0,2512.29,1425.4,1319.6,0.08,0.0,0.0,6.327309653333334,0.101,11.1,2.97,0.02,0.64,8.89,0.89,0,264,56075,1604416,4990248,0,96,302,14.8,4987251.4,589.0,2868.0,408.72,245.73,0.07680000000000001,default,mysql
