cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
4.5,0.0,45.09,3.33,0.67,0.49,0.0,0.0,50.75000000000001,50.745781249999986,2873.0,6330.8,45.92,161.25,2.23,21.45,16.37,26.08,2.84,1.56,100.48,19.08,3158.19,2967.58,23529.0,37061.2,0.1,0.0,0.0,9.632965973333333,0.251,26.11,18.51,0.73,1.26,2.13,0.53,29,264,165165,421205,701473,0,51,211,9.8,701067.8,321.0,2869.0,150.67,404.65,0.05333333333333334,default,mysql
4.69,0.0,46.36,3.5,0.71,0.54,0.0,0.0,52.3,52.29671875,2958.6,6442.4,47.42,154.81,2.52,23.37,16.41,24.61,2.68,1.76,100.48,20.16,3440.82,3108.38,25643.2,38456.8,0.11,0.0,0.0,9.988703573333332,0.257,25.81,17.77,0.72,1.23,2.07,0.53,12,264,162843,471412,788345,0,52,76,15.8,788412.2,108.0,2869.0,149.17,400.12,0.06826666666666667,default,mysql
4.21,0.0,46.37,3.2,0.68,0.52,0.0,0.0,51.78,51.776093749999994,2795.6,6521.4,44.59,146.64,2.03,22.5,16.33,23.02,2.77,1.45,100.72,18.16,3025.43,2826.83,22649.8,35278.6,0.1,0.0,0.0,9.177320106666667,0.247,26.01,18.16,0.69,1.24,2.22,0.55,2,264,150214,423701,711489,0,52,0,13.8,700428.4,161.0,2870.0,143.55,394.79,0.06826666666666667,default,mysql
4.87,0.0,49.56,3.64,0.7,0.56,0.0,0.0,55.690000000000005,55.688984375000004,3186.8,5845.6,51.52,146.49,3.34,22.25,16.55,25.66,3.25,2.0,100.72,22.63,3625.77,3384.09,27018.4,42188.8,0.12,0.0,0.0,10.10018304,0.247,26.19,18.77,0.75,1.27,2.17,0.54,3,264,149288,442392,733034,0,56,1,10.0,734900.8,114.0,2868.0,135.98,389.05,0.07253333333333334,default,mysql
5.04,0.0,50.76,3.76,0.72,0.57,0.0,0.0,57.089999999999996,57.08960937499999,3355.0,5528.4,53.82,136.83,2.6,21.87,16.43,25.34,3.38,2.18,100.96,24.19,3608.86,3309.88,26825.0,41074.0,0.12,0.0,0.0,10.67046912,0.245,26.23,18.77,0.76,1.29,2.2,0.54,11,264,140548,444702,741733,0,56,73,15.4,751132.6,111.0,2868.0,136.7,385.0,0.0704,default,mysql
4.17,0.0,47.36,3.01,0.66,0.46,0.0,0.0,52.65,52.65125000000001,2620.0,6753.6,41.48,147.85,1.3,23.43,16.21,22.42,2.53,1.39,100.56,16.8,2946.72,2758.65,21982.6,34424.0,0.1,0.0,0.0,9.247150079999999,0.252,26.06,18.18,0.68,1.23,2.14,0.54,15,264,151759,418947,702751,0,52,68,14.8,702528.8,53.0,2869.0,136.81,380.9,0.07253333333333334,default,mysql
3.99,0.0,45.89,3.62,0.67,0.46,0.0,0.0,51.010000000000005,51.00953125000003,2681.2,6557.6,43.23,144.12,3.09,22.62,16.51,22.51,3.0,1.34,100.96,17.66,3000.78,2823.56,22378.2,35270.4,0.1,0.0,0.0,9.197929813333333,0.253,25.83,18.0,0.69,1.22,2.12,0.54,30,264,147825,430445,722222,0,51,117,9.8,722435.6,167.0,2868.0,137.06,376.9,0.0704,default,mysql
4.81,0.0,50.87,3.59,0.73,0.57,0.0,0.0,56.98,56.98109374999997,3064.0,5764.8,49.39,140.16,3.07,22.28,16.51,24.9,3.51,1.9,100.8,22.44,3485.97,3256.52,25992.6,40621.0,0.11,0.0,0.0,10.05887488,0.246,26.16,18.43,0.71,1.25,2.21,0.54,1,264,143495,469186,791745,0,57,135,15.8,788742.8,3.0,2868.0,157.8,377.22,0.0704,default,mysql
4.86,0.0,49.58,3.77,0.7,0.53,0.0,0.0,55.67,55.678125,3171.0,5908.0,51.56,141.58,3.9,23.09,16.65,24.54,3.3,1.89,100.64,22.56,3512.95,3278.98,26171.2,40892.6,0.12,0.0,0.0,10.69430784,0.25,26.28,18.78,0.75,1.28,2.14,0.53,37,264,145174,448563,749917,0,56,133,15.6,753486.2,62.0,2869.0,148.85,371.72,0.0704,default,mysql
4.32,0.0,44.82,3.48,0.67,0.47,0.0,0.0,50.28,50.285156250000014,2728.6,6574.6,43.09,148.32,1.06,21.94,16.17,23.1,2.68,1.41,100.8,17.15,3032.87,2865.92,22716.6,35824.8,0.1,0.0,0.0,9.230622720000001,0.253,25.98,18.15,0.7,1.23,2.12,0.54,1,264,151689,429863,721244,0,50,3,10.2,719360.6,2.0,2868.0,139.57,366.09,0.07253333333333334,default,mysql
4.83,0.0,46.82,3.64,0.67,0.49,0.0,0.0,52.81,52.809999999999995,2911.2,6699.8,46.65,150.72,2.49,23.0,16.41,23.04,2.8,1.36,100.48,18.15,3256.22,3066.49,24220.6,38324.4,0.11,0.0,0.0,9.762174293333334,0.256,26.13,18.06,0.71,1.23,2.09,0.53,6,264,154338,441498,737657,0,53,221,15.4,737404.6,58.0,2868.0,141.77,362.79,0.07253333333333334,default,mysql
4.66,0.0,47.39,3.82,0.71,0.51,0.0,0.0,53.269999999999996,53.269765625000005,2954.2,6080.8,47.43,155.47,2.68,22.11,16.44,26.18,3.2,1.72,100.72,20.8,3339.13,3137.96,24868.4,39200.2,0.11,0.0,0.0,9.638522879999998,0.254,26.1,18.03,0.69,1.22,2.12,0.54,5,264,159250,457015,767379,0,54,52,14.8,763064.4,180.0,2869.0,133.3,357.36,0.07253333333333334,default,mysql
4.8,0.0,48.25,3.99,0.74,0.6,0.0,0.0,54.39,54.39171875000002,3239.2,5795.2,52.5,141.72,3.6,22.91,16.6,25.04,3.34,1.94,100.72,23.01,3703.68,3382.15,27673.6,41932.0,0.12,0.0,0.0,10.42999296,0.251,25.91,18.24,0.75,1.27,2.13,0.53,5,264,145766,472120,791061,0,54,0,9.8,794542.2,59.0,2868.0,139.68,354.97,0.07253333333333334,default,mysql
4.06,0.0,46.75,3.17,0.68,0.52,0.0,0.0,52.010000000000005,52.015,2814.0,6710.4,44.74,147.16,1.72,23.2,16.28,22.46,2.57,1.25,100.64,16.23,3030.64,2828.18,22527.2,35276.2,0.1,0.0,0.0,9.544246613333332,0.249,26.11,18.21,0.7,1.23,2.18,0.54,42,264,150357,418663,701541,0,52,107,16.0,702093.8,5.0,2869.0,139.06,351.27,0.07253333333333334,default,mysql
4.11,0.0,45.67,3.02,0.65,0.5,0.0,0.0,50.93,50.93328124999999,2582.4,6709.4,41.56,146.69,2.92,23.69,16.48,22.39,2.66,1.28,100.4,16.34,2910.27,2775.73,21782.0,34791.6,0.1,0.0,0.0,9.134810453333335,0.247,25.96,17.98,0.67,1.21,2.23,0.55,32,264,150732,415046,697664,0,51,150,14.4,697937.4,539.0,2870.0,159.64,352.01,0.0704,default,mysql
4.42,0.0,47.18,9.93,0.69,0.54,0.0,0.0,52.83,52.83164062499998,2900.0,5122.4,46.34,126.59,2.22,22.39,16.36,25.31,7.25,1.85,100.64,31.33,3243.89,3020.01,24184.0,37638.0,0.11,0.0,0.0,9.293312,0.248,26.19,18.37,0.71,1.24,2.19,0.54,3,264,129359,424587,707183,0,53,115,10.2,706423.2,148.0,2869.0,168.8,350.71,0.07253333333333334,default,mysql
5.44,0.0,52.97,3.32,0.75,0.58,0.0,0.0,59.739999999999995,59.74351562499998,3183.8,5954.4,51.62,144.59,3.64,21.63,16.6,24.87,2.94,1.82,100.48,21.26,3589.31,3344.9,26700.0,41672.2,0.12,0.0,0.0,10.889045333333334,0.248,26.12,18.56,0.73,1.26,2.17,0.54,23,264,148077,477597,806113,0,59,72,15.4,807199.2,132.0,2869.0,165.61,347.03,0.07466666666666666,default,mysql
4.1,0.0,44.34,3.47,0.68,0.49,0.0,0.0,49.61000000000001,49.61820312500001,2599.8,6503.4,42.26,150.37,3.87,22.89,16.64,23.68,3.01,1.74,100.32,19.61,3026.26,2860.42,22671.4,35797.0,0.1,0.0,0.0,9.240692053333333,0.261,25.94,17.47,0.67,1.19,2.06,0.54,6,264,154638,452342,761540,0,50,8,14.8,755526.0,150.0,2870.0,164.04,343.69,0.07893333333333333,default,mysql
4.77,0.0,44.3,3.59,0.77,0.51,0.0,0.0,50.349999999999994,50.343124999999986,2897.8,6526.6,46.48,154.36,2.59,23.58,16.43,24.22,2.65,1.61,100.64,18.95,3383.18,3035.56,25110.0,37466.4,0.11,0.0,0.0,9.88432384,0.27,25.48,16.87,0.68,1.18,1.94,0.52,37,264,157395,530118,899355,0,50,108,9.8,905017.2,90.0,2869.0,154.27,338.68,0.07893333333333333,default,mysql
4.43,0.0,47.21,3.37,0.71,0.52,0.0,0.0,52.870000000000005,52.877578125,2942.2,6378.0,46.82,154.5,1.82,22.17,16.3,24.8,2.77,1.71,100.32,19.98,3393.99,3105.19,25308.4,38530.0,0.11,0.0,0.0,10.007231146666665,0.256,25.8,17.79,0.71,1.23,2.09,0.53,14,264,158462,467663,788749,0,53,51,15.8,788811.8,47.0,2869.0,142.71,333.23,0.07893333333333333,default,mysql
4.58,0.0,46.25,3.61,0.75,0.54,0.0,0.0,52.12,52.11609374999999,3039.2,5993.0,49.3,149.89,3.67,23.16,16.61,25.61,3.0,1.82,100.48,20.84,3538.54,3150.51,26455.2,38793.8,0.12,0.0,0.0,9.815080960000001,0.269,25.34,16.81,0.69,1.2,1.95,0.52,4,264,153142,527314,888938,0,53,110,16.0,882771.6,3.0,2870.0,132.65,327.98,0.07893333333333333,default,mysql
5.04,0.0,50.02,3.84,0.75,0.55,0.0,0.0,56.36,56.369296874999996,3293.2,5464.0,52.82,139.22,2.57,23.9,16.42,26.09,3.24,1.91,100.64,22.16,3719.04,3385.4,27744.8,41964.6,0.12,0.0,0.0,10.626334720000001,0.256,25.76,17.87,0.72,1.24,2.06,0.53,9,264,142834,488234,816180,0,56,74,10.2,824933.4,99.0,2869.0,126.27,323.41,0.07893333333333333,default,mysql
