CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.05,32.01,40.15,0.11,1.46,3.96,0.0,0.0,77.62999999999998,77.63937499999999,1612.2,0.0,25.19,0.0,0.0,0.0,16.0,0.0,0.23,0.0,28.56,0.35,32898.25,822799.38,389058.6,338429.8,26.96,0.0,0.0,35.88007936,0.579,24.21,7.02,1.09,1.72,0.52,0.3,1,0,19,983774,1065258,0,78,228,20.2,1064943.6,149.0,2732.0,164.81,129.62,0.0704,default,mysql
0.04,32.97,40.63,0.06,1.47,4.09,0.0,0.0,79.2,79.19859374999999,1574.4,0.0,24.6,0.0,0.0,0.0,16.0,0.0,0.23,0.0,27.2,0.32,33532.6,838678.14,396566.0,344414.8,27.48,0.0,0.0,36.24432298666667,0.5770000000000001,24.19,6.99,1.09,1.72,0.52,0.3,0,0,23,990369,1073569,0,79,169,14.8,1074137.8,226.0,2733.0,168.59,130.99,0.08106666666666666,default,mysql
0.03,33.39,39.16,0.06,1.47,4.12,0.0,0.0,78.17,78.1715625,1555.58,0.0,24.31,0.0,0.0,0.0,16.0,0.0,0.23,0.0,28.61,0.36,33842.14,846356.7,400243.0,347422.0,27.73,0.0,0.0,36.21268138666667,0.5770000000000001,24.19,7.0,1.09,1.72,0.53,0.3,2,0,18,991862,1076742,0,78,10,9.8,1076776.4,38.0,2732.0,171.02,132.12,0.08106666666666666,default,mysql
0.05,32.84,40.02,0.08,1.49,4.15,0.0,0.0,78.55,78.54421874999996,1503.4,0.0,23.49,0.0,0.0,0.0,16.0,0.0,0.23,0.0,26.56,0.32,33573.07,839747.14,397057.6,344698.0,27.52,0.0,0.0,36.450966186666655,0.575,24.32,7.04,1.09,1.72,0.53,0.3,3,0,17,975834,1059436,0,79,100,15.8,1058461.6,84.0,2732.0,172.14,133.0,0.07893333333333333,default,mysql
0.04,33.36,39.39,0.07,1.48,4.18,0.0,0.0,78.44999999999997,78.45328124999997,1476.0,0.0,23.06,0.0,0.0,0.0,16.0,0.0,0.23,0.0,27.04,0.33,34124.58,853362.96,403577.8,350129.2,27.96,0.0,0.0,36.76346368,0.575,24.34,7.01,1.09,1.72,0.53,0.3,1,0,22,984104,1062678,0,78,82,14.4,1062242.8,127.0,2733.0,177.01,134.66,0.07893333333333333,default,mysql
0.04,33.98,39.13,0.07,1.51,4.27,0.0,0.0,78.93,78.92851562500002,1478.76,0.0,23.11,0.0,0.0,0.0,16.0,0.0,0.23,0.0,27.9,0.33,35323.85,883388.97,417762.8,362077.2,28.95,0.0,0.0,37.32084736,0.5820000000000001,24.27,6.94,1.09,1.73,0.51,0.3,1,0,21,1001104,1074697,0,79,121,10.2,1073989.4,86.0,2732.0,168.76,133.65,0.07893333333333333,default,mysql
0.04,34.41,38.24,0.05,1.53,4.37,0.0,0.0,78.59,78.58726562499999,1426.35,0.0,22.29,0.0,0.0,0.0,16.0,0.0,0.23,0.0,27.15,0.32,35025.09,875921.34,414238.4,358999.2,28.7,0.0,0.0,37.19843839999999,0.575,24.37,6.98,1.09,1.73,0.53,0.31,0,0,23,990498,1066584,0,78,340,16.4,1065816.0,235.0,2732.0,177.91,136.13,0.08106666666666666,default,mysql
0.04,35.12,38.18,0.07,1.53,4.43,0.0,0.0,79.30000000000003,79.302890625,1447.29,0.0,22.61,0.0,0.0,0.0,16.0,0.0,0.23,0.0,25.81,0.32,35684.77,892314.67,422044.2,365619.0,29.24,0.0,0.0,37.94946048,0.575,24.45,6.99,1.09,1.73,0.53,0.31,0,0,25,1001181,1072163,0,79,93,26.6,1071811.8,184.0,2733.0,173.68,135.95,0.08106666666666666,default,mysql
0.02,35.29,38.21,0.05,1.55,4.45,0.0,0.0,79.52000000000002,79.521484375,1359.72,0.0,21.25,0.0,0.0,0.0,16.0,0.0,0.23,0.0,24.37,0.29,36004.71,900266.27,425831.2,368352.0,29.5,0.0,0.0,38.24456362666667,0.5770000000000001,24.46,6.97,1.1,1.73,0.53,0.3,0,0,29,1005933,1079183,0,79,162,9.8,1079575.8,171.0,2732.0,170.42,135.9,0.08106666666666666,default,mysql
0.03,35.12,38.43,0.05,1.53,4.34,0.0,0.0,79.45,79.45070312500003,1352.2,0.0,21.13,0.0,0.0,0.0,16.0,0.0,0.23,0.0,24.8,0.31,35554.2,889015.62,420496.0,364026.8,29.13,0.0,0.0,37.958915413333344,0.5760000000000001,24.48,7.02,1.09,1.73,0.53,0.3,0,0,22,998096,1076184,0,79,199,15.77,1073176.05,197.0,2734.0,168.7,136.12,0.0832,default,mysql
