cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
62.08,0.0,24.95,0.0,2.08,6.87,0.0,0.0,95.98,95.97226562500003,69.2,1.0,1.08,0.01,0.0,0.0,16.0,11.2,0.25,0.2,99.92,1.0,49323.46,1422874.15,677591.0,568483.6,46.62,0.0,0.0,51.498693973333346,0.536,25.56,6.59,1.16,2.24,0.65,0.35,2,0,30,1034378,728576,0,96,454,3.8,728516.8,464.0,2383.0,433.02,331.64,0.234375,default,mysql
62.52,0.0,24.22,0.0,2.05,6.73,0.0,0.0,95.52000000000001,95.521640625,63.8,2.4,1.0,0.02,0.0,53.85,16.0,8.67,0.25,0.17,99.92,1.0,49899.82,1439608.5,685505.2,575190.6,47.17,0.0,0.0,51.75460522666667,0.541,25.61,6.56,1.16,2.24,0.63,0.34,0,0,49,1048866,742047,0,96,468,1.2,741799.0,461.0,2383.0,436.47,334.04,0.25390625,default,mysql
62.95,0.0,24.58,0.0,2.06,6.8,0.0,0.0,96.39,96.376328125,62.35,0.0,0.97,0.0,0.0,0.0,16.0,0.0,0.24,0.0,99.44,0.99,49809.4,1436859.15,684283.4,574024.8,47.08,0.0,0.0,51.86686293333334,0.537,25.65,6.59,1.16,2.24,0.65,0.35,3,0,18,1047198,723330,0,96,481,1.2,723247.8,461.0,2383.0,438.51,336.16,0.25390625,default,mysql
62.21,0.0,25.26,0.0,2.12,6.94,0.0,0.0,96.53,96.53687500000005,60.64,1.0,0.95,0.01,0.0,0.0,16.0,11.2,0.25,0.2,99.6,1.0,48986.69,1413209.94,672968.0,564618.4,46.31,0.0,0.0,51.40226730666667,0.527,25.64,6.63,1.16,2.24,0.67,0.36,0,0,30,1013526,715098,0,96,397,1.4,712703.2,461.0,2383.0,438.31,337.82,0.25390625,default,mysql
62.73,0.0,24.81,0.0,2.09,6.95,0.0,0.0,96.58,96.57687500000004,63.47,2.59,0.99,0.02,0.0,50.0,16.0,8.0,0.25,0.15,99.88,1.0,49292.45,1421988.53,677167.6,568120.8,46.6,0.0,0.0,51.92451413333333,0.53,25.62,6.65,1.16,2.24,0.66,0.35,0,0,43,1014001,733547,0,97,462,1.2,733449.2,451.0,2383.0,438.61,339.55,0.25390625,default,mysql
63.8,0.0,24.64,0.0,2.07,7.01,0.0,0.0,97.52,97.51851562499999,67.54,0.0,1.06,0.0,0.0,0.0,16.0,0.0,0.25,0.0,100.04,1.0,49548.68,1429210.66,680705.0,571016.6,46.83,0.0,0.0,52.198754986666664,0.528,25.69,6.65,1.16,2.24,0.67,0.35,0,0,22,1019827,705519,0,98,461,1.2,705467.6,468.0,2383.0,441.44,341.78,0.25390625,default,mysql
64.1,0.0,24.52,0.0,2.09,6.88,0.0,0.0,97.58999999999999,97.589140625,64.6,1.0,1.01,0.02,0.0,0.0,16.0,17.6,0.24,0.2,100.0,1.0,49862.04,1438221.26,685030.2,574594.0,47.13,0.0,0.0,52.12859050666667,0.529,25.75,6.61,1.16,2.24,0.67,0.35,7,0,37,1038329,692050,0,97,348,1.4,691710.8,462.0,2383.0,443.97,343.96,0.25390625,default,mysql
63.77,0.0,25.23,0.0,2.11,6.94,0.0,0.0,98.05,98.05328124999996,62.35,2.39,0.97,0.02,0.0,53.85,16.0,8.67,0.25,0.17,99.68,1.0,49689.59,1433230.89,682672.2,572655.2,46.96,0.0,0.0,51.955534506666666,0.532,25.77,6.54,1.15,2.22,0.67,0.36,1,0,42,1040423,683609,0,98,443,2.2,682444.0,245.0,2386.0,446.05,346.05,0.25390625,default,mysql
63.24,0.0,24.51,0.0,2.72,6.92,0.0,0.0,97.39,97.38765624999999,63.53,0.0,0.99,0.0,0.0,0.0,16.0,0.0,0.3,0.0,99.8,1.0,48799.69,1407622.43,670409.4,562524.4,46.12,0.0,0.0,51.842560000000006,0.533,25.8,6.59,1.14,2.21,0.67,0.36,0,0,34,1018940,682488,0,97,456,8.2,682826.8,448.0,2414.0,448.13,348.15,0.25390625,default,mysql
61.92,0.0,25.59,0.0,3.71,6.85,0.0,0.0,98.07,98.07203124999998,58.92,1.0,0.92,0.01,0.0,0.0,16.0,11.2,0.26,0.2,99.32,0.99,48194.32,1390138.22,662116.2,555425.4,45.55,0.0,0.0,51.259296426666666,0.517,25.73,6.57,1.15,2.23,0.71,0.37,0,0,38,1007800,664598,0,98,365,6.6,664335.6,465.0,2414.0,449.56,350.1,0.2734375,default,mysql
61.24,0.0,25.28,0.0,3.72,6.96,0.0,0.0,97.2,97.19351562500002,61.2,2.4,0.96,0.02,0.0,53.85,16.0,8.67,0.25,0.17,98.88,0.99,47777.71,1378262.38,656387.0,550617.8,45.16,0.0,0.0,51.22869248000001,0.518,25.69,6.67,1.15,2.23,0.7,0.36,0,0,53,986285,676587,0,97,471,6.4,676569.6,491.0,2409.0,450.16,351.88,0.26953125,default,mysql
61.76,0.0,25.14,0.0,3.86,6.94,0.0,0.0,97.7,97.70656249999999,57.49,0.0,0.9,0.0,0.0,0.0,16.0,0.0,0.26,0.0,98.76,0.99,48334.73,1394329.63,664027.2,557085.0,45.69,0.0,0.0,51.43516501333334,0.522,25.65,6.6,1.16,2.23,0.69,0.36,0,0,32,1010991,679418,0,98,475,2.4,679443.8,481.0,2390.0,452.55,354.0,0.26953125,default,mysql
62.05,0.0,25.16,0.0,3.79,6.85,0.0,0.0,97.85,97.86273437499992,51.6,1.0,0.81,0.01,0.0,0.0,16.0,11.2,0.26,0.2,99.84,1.0,48467.87,1397919.55,665880.6,558568.0,45.81,0.0,0.0,51.35643989333334,0.52,25.71,6.62,1.16,2.24,0.69,0.36,0,0,41,1019238,671831,0,98,382,5.4,671735.2,441.0,2407.0,453.7,355.88,0.25,default,mysql
62.36,0.0,25.3,0.0,3.74,6.86,0.0,0.0,98.25999999999999,98.25492187499997,59.32,2.2,0.93,0.02,0.0,54.17,16.0,8.73,0.26,0.18,97.64,0.98,48406.36,1396148.22,665032.8,557789.0,45.75,0.0,0.0,51.494202026666656,0.518,25.81,6.63,1.16,2.24,0.7,0.36,0,0,49,1008405,666415,0,98,451,6.4,666406.4,462.0,2407.0,454.13,357.59,0.26953125,default,mysql
