cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
14.62,0.0,52.66,0.17,1.01,1.74,0.0,0.0,70.03,70.03609375,0.2,4398.0,0.0,63.77,0.0,27.34,16.0,14.85,0.0,0.34,100.08,2.12,10668.73,218162.18,123689.4,122384.6,7.15,0.0,0.0,18.05222570666667,0.385,25.98,9.91,0.99,1.82,1.2,0.46,0,0,65559,588450,789122,0,70,143,3.6,789316.0,127.0,2915.0,185.44,172.2,0.16796875,default,mysql
14.26,0.0,52.67,0.14,1.04,1.8,0.0,0.0,69.77000000000001,69.77296875,2.6,3841.0,0.04,58.19,0.0,30.67,16.0,15.51,0.23,0.29,100.08,1.79,10312.34,210037.36,119291.4,118434.4,6.88,0.0,0.0,17.756603733333336,0.368,26.04,10.06,1.0,1.84,1.3,0.48,0,0,59619,571342,770477,0,69,167,1.2,770326.0,164.0,2915.0,182.28,171.76,0.1875,default,mysql
14.5,0.0,51.48,0.17,1.03,1.75,0.0,0.0,68.75999999999999,68.75656249999997,1.8,4621.4,0.03,61.63,0.0,30.77,16.0,13.66,0.44,0.29,100.0,2.04,10596.13,215445.03,122513.8,121747.0,7.06,0.0,0.0,17.967923199999998,0.382,25.85,9.93,1.0,1.83,1.21,0.46,2,0,63142,590538,796701,0,68,83,1.4,796620.4,121.0,2915.0,175.69,170.57,0.1875,default,mysql
15.48,0.0,42.97,0.14,1.09,1.89,0.0,0.0,61.43000000000001,61.42531249999996,0.8,3076.2,0.01,58.17,0.0,25.5,16.0,19.36,0.5,0.38,100.0,1.86,11401.69,232108.46,131852.8,129006.8,7.61,0.0,0.0,19.321610240000002,0.433,26.12,8.76,0.93,1.69,1.02,0.44,1,0,59590,588915,768147,0,61,91,9.0,767899.4,44.0,2938.0,164.34,168.3,0.1875,default,mysql
14.32,0.0,50.51,0.16,1.76,1.73,0.0,0.0,68.32000000000001,68.32570312499999,0.2,4089.2,0.0,59.61,0.0,30.24,16.0,14.93,0.0,0.28,100.0,1.93,10411.13,211279.51,120271.6,119253.2,6.92,0.0,0.0,18.69289472,0.391,26.8,9.85,0.98,1.79,1.14,0.45,0,0,61082,576780,775090,0,68,109,5.2,775004.2,87.0,2932.0,178.01,171.07,0.2109375,default,mysql
13.94,0.0,51.13,0.17,1.76,1.78,0.0,0.0,68.61000000000001,68.60906249999998,1.8,4355.4,0.03,57.41,0.0,31.51,16.0,13.5,0.22,0.2,99.92,1.57,10253.75,207282.0,118709.4,118593.8,6.79,0.0,0.0,17.845070506666666,0.371,26.19,10.79,1.1,1.81,1.3,0.48,1,0,58817,568654,762664,0,69,840,2.6,762757.0,581.0,2923.0,167.84,169.08,0.19140625,default,mysql
14.28,0.0,52.56,0.15,1.65,1.67,0.0,0.0,70.16000000000001,70.16374999999992,0.4,4217.8,0.01,60.8,0.0,28.06,16.0,14.76,0.0,0.3,100.0,1.99,10413.36,213017.99,120251.2,118547.0,6.98,0.0,0.0,18.52122453333333,0.386,26.69,10.44,0.97,1.79,1.2,0.46,0,0,62302,587692,791797,0,70,7,6.4,791244.8,103.0,2936.0,162.01,167.85,0.20703125,default,mysql
14.19,0.0,50.14,0.19,1.63,1.66,0.0,0.0,67.61999999999999,67.61859374999997,0.2,4759.4,0.0,61.77,0.0,30.4,16.0,13.29,0.0,0.27,99.76,1.98,10195.03,207524.56,117922.8,117266.2,6.8,0.0,0.0,18.00614570666667,0.387,26.6,10.36,0.98,1.82,1.19,0.46,0,0,63256,574081,767715,0,68,3,6.4,768000.2,1.0,2935.0,177.38,170.94,0.203125,default,mysql
14.28,0.0,51.8,0.18,1.65,1.66,0.0,0.0,69.39,69.38593749999997,0.2,4299.2,0.0,60.33,0.0,30.96,16.0,14.37,1.0,0.26,99.6,1.75,10253.06,208990.48,118653.4,118239.8,6.85,0.0,0.0,18.313885013333334,0.378,26.63,10.08,0.98,1.77,1.2,0.45,1,0,61823,577484,773564,0,69,163,6.6,773080.0,153.0,2935.0,171.18,169.76,0.20703125,default,mysql
14.68,0.0,49.64,0.13,1.31,1.74,0.0,0.0,67.36999999999999,67.37320312500003,0.0,4302.6,0.0,59.81,0.0,30.67,0.0,14.23,0.0,0.27,100.08,1.75,10628.93,216065.77,122879.8,121698.8,7.08,0.0,0.0,19.653946026666667,0.39,28.52,10.66,0.98,1.84,1.17,0.46,0,0,61563,585736,783414,0,68,6,14.6,783889.4,2.0,2913.0,159.96,167.46,0.203125,default,mysql
15.12,0.0,48.0,0.17,1.06,1.9,0.0,0.0,66.08,66.09320312499999,1.0,3896.0,0.02,60.2,0.0,29.25,16.0,15.82,0.2,0.31,100.0,1.93,11083.48,226588.05,128490.2,126491.8,7.42,0.0,0.0,20.64590848,0.377,29.44,11.58,0.97,1.83,1.24,0.47,1,0,61523,589235,781842,0,66,106,32.8,780853.2,273.0,2912.0,147.71,164.79,0.18359375,default,mysql
15.49,0.0,45.97,0.18,1.37,1.94,0.0,0.0,64.77,64.763828125,1.6,3447.2,0.03,65.71,0.0,25.88,16.0,19.52,0.25,0.52,100.0,2.42,11492.57,233309.54,132720.8,129340.0,7.65,0.0,0.0,20.29001386666667,0.385,26.8,9.97,0.98,1.93,1.21,0.47,1,0,67344,647323,779196,0,64,82,10.6,779357.6,107.0,2913.0,145.01,163.95,0.18359375,default,mysql
14.84,0.0,51.76,0.17,1.04,1.78,0.0,0.0,69.42,69.423828125,0.8,4465.6,0.01,61.72,0.0,29.24,13.0,14.15,0.25,0.28,100.0,1.94,10647.29,217247.96,123301.8,121941.8,7.12,0.0,0.0,18.11296938666667,0.385,25.98,9.97,0.99,1.82,1.2,0.46,1,0,63358,586406,787362,0,70,168,2.0,787332.8,138.0,2911.0,144.69,163.57,0.18359375,default,mysql
14.72,0.0,51.39,0.18,1.01,1.73,0.0,0.0,68.85000000000001,68.84562499999996,0.2,4459.8,0.0,61.17,0.0,28.55,16.0,14.04,1.0,0.31,100.0,2.07,10627.81,215384.27,122705.4,121779.8,7.06,0.0,0.0,18.07190016,0.385,25.85,9.77,1.0,1.83,1.2,0.46,1,0,62686,591399,793169,0,69,49,1.2,793107.2,199.0,2911.0,134.94,161.23,0.18359375,default,mysql
14.36,0.0,50.94,0.16,0.99,1.73,0.0,0.0,68.02,68.02093749999999,1.4,3994.2,0.02,58.93,0.0,31.03,16.0,15.11,1.71,0.29,100.0,1.91,10438.39,212356.92,120709.0,120014.0,6.96,0.0,0.0,17.75505408,0.38,25.85,9.98,1.01,1.85,1.22,0.46,1,0,60466,576240,770145,0,68,341,1.4,770063.4,71.0,2911.0,124.3,158.59,0.18359375,default,mysql
15.87,0.0,44.4,0.18,1.14,1.92,0.0,0.0,63.33,63.326093750000005,1.6,3423.2,0.03,59.23,0.0,24.09,16.0,17.72,0.88,0.38,99.92,2.14,11617.77,236527.31,134384.2,131208.6,7.75,0.0,0.0,19.512415573333335,0.429,26.19,8.93,0.95,1.69,1.05,0.45,3,0,60919,596106,780727,0,63,94,9.0,780481.6,195.0,2941.0,126.12,158.4,0.18359375,default,mysql
15.02,0.0,50.87,0.17,1.74,1.78,0.0,0.0,69.41,69.40523437499999,5.0,4701.4,0.08,62.46,0.0,28.53,16.0,13.6,0.28,0.26,100.16,1.89,10715.11,218384.43,124003.4,122973.6,7.16,0.0,0.0,18.756956159999998,0.38,26.97,10.72,1.02,1.78,1.24,0.47,1,0,63670,585501,779307,0,69,169,6.4,779204.2,128.0,2933.0,131.31,158.94,0.203125,default,mysql
14.61,0.0,51.7,0.18,1.73,1.77,0.0,0.0,69.81,69.809765625,6.8,4923.2,0.11,59.67,0.0,29.96,16.0,12.41,0.35,0.2,99.92,1.57,10560.53,215673.5,122410.8,121331.2,7.07,0.0,0.0,18.017348266666666,0.383,26.48,10.1,1.0,1.81,1.2,0.46,3,0,61137,581235,777200,0,70,108,1.6,776850.2,150.0,2917.0,136.73,159.61,0.203125,default,mysql
14.48,0.0,52.19,0.16,1.69,1.7,0.0,0.0,70.06,70.05718750000003,1.8,4100.2,0.03,59.16,0.0,30.95,16.0,14.78,0.44,0.26,100.16,1.78,10333.8,209340.42,119191.0,118686.8,6.86,0.0,0.0,18.62791168,0.373,26.78,10.7,1.0,1.84,1.29,0.48,0,0,60602,574855,771195,0,70,87,6.4,771443.8,168.0,2933.0,130.75,157.98,0.18359375,default,mysql
13.91,0.0,49.46,0.15,1.71,1.74,0.0,0.0,66.82,66.82867187500003,2.2,4201.8,0.03,59.42,0.0,31.49,16.0,14.48,0.18,0.28,100.0,1.83,10116.98,206093.7,117072.0,116487.6,6.75,0.0,0.0,18.028305066666668,0.376,26.77,10.33,0.99,1.82,1.24,0.47,0,0,60870,564204,754311,0,67,129,6.4,754247.2,79.0,2933.0,132.77,157.95,0.203125,default,mysql
14.36,0.0,51.46,0.16,1.72,1.8,0.0,0.0,69.33999999999999,69.34265625000002,1.4,4067.8,0.02,60.88,0.0,28.58,16.0,15.33,0.86,0.29,100.0,1.9,10676.56,217018.1,123430.0,121990.4,7.11,0.0,0.0,18.953413973333333,0.378,26.72,10.33,1.0,1.84,1.23,0.47,0,0,62591,580128,771852,0,69,29,6.6,772457.4,13.0,2933.0,141.28,159.3,0.203125,default,mysql
14.97,0.0,48.96,0.15,1.33,1.8,0.0,0.0,67.06,67.06859375,2.0,4215.8,0.03,57.93,0.0,29.73,16.0,14.07,0.2,0.21,100.0,1.69,10892.19,221685.72,125975.6,124272.2,7.26,0.0,0.0,19.972505599999998,0.389,28.23,11.02,0.99,1.85,1.19,0.47,0,0,59143,597619,797781,0,67,506,14.4,797508.4,26.0,2911.0,141.09,158.96,0.20703125,default,mysql
15.2,0.0,47.85,0.17,1.04,1.87,0.0,0.0,65.96000000000001,65.96257812500001,2.4,4123.0,0.04,57.44,0.0,29.72,16.0,14.27,0.25,0.22,99.76,1.65,11094.87,225746.92,128602.0,126735.2,7.4,0.0,0.0,20.699736746666662,0.377,29.33,11.55,0.97,1.83,1.24,0.47,4,0,58939,590837,783035,0,66,180,33.2,782218.4,826.0,2911.0,140.53,158.55,0.19140625,default,mysql
15.32,0.0,45.19,0.2,1.33,1.89,0.0,0.0,63.73,63.726328125,0.8,4345.0,0.01,62.18,0.0,28.47,16.0,14.65,0.25,0.25,100.08,1.82,11150.76,227532.83,128818.0,126771.0,7.46,0.0,0.0,20.01012736,0.392,26.66,10.05,0.97,1.92,1.17,0.46,1,0,63764,644982,779090,0,63,249,10.6,778360.0,60.0,2912.0,152.98,160.83,0.1953125,default,mysql
15.21,0.0,51.52,0.18,1.04,1.78,0.0,0.0,69.55000000000001,69.55890624999999,7.8,4833.0,0.12,60.27,0.0,29.79,16.0,12.77,0.21,0.19,100.0,1.63,10698.7,217236.76,123632.8,122684.2,7.12,0.0,0.0,18.330207573333336,0.379,25.97,9.91,1.0,1.83,1.24,0.47,1,0,61810,590557,790971,0,69,216,2.0,791468.8,44.0,2910.0,196.78,169.78,0.19140625,default,mysql
14.53,0.0,52.94,0.19,1.04,1.77,0.0,0.0,70.28,70.27953124999999,1.2,4619.2,0.02,61.49,0.0,29.61,16.0,13.63,0.5,0.26,100.08,2.04,10539.06,214556.59,121902.6,121342.2,7.03,0.0,0.0,17.95578538666667,0.385,25.86,9.87,0.99,1.81,1.2,0.46,0,0,63327,586449,787386,0,71,390,1.2,787874.8,130.0,2910.0,246.93,180.62,0.19140625,default,mysql
14.6,0.0,52.1,0.15,1.06,1.86,0.0,0.0,69.62,69.62812500000003,0.2,4196.2,0.0,57.3,0.0,28.6,16.0,13.98,0.0,0.24,100.08,1.76,10666.27,217698.18,123492.2,122387.2,7.13,0.0,0.0,18.090072746666667,0.371,25.99,9.96,1.0,1.84,1.28,0.48,1,0,58619,583093,784081,0,70,125,1.4,782245.2,187.0,2910.0,239.33,180.15,0.19140625,default,mysql
15.88,0.0,41.85,0.17,1.14,1.91,0.0,0.0,60.78,60.777890625000005,3.6,3191.2,0.06,61.96,0.0,22.51,16.0,19.88,0.39,0.59,100.0,2.79,11601.92,235524.04,134062.4,130843.4,7.72,0.0,0.0,19.368727893333332,0.432,26.9,8.76,0.92,1.71,1.02,0.44,0,0,63254,588834,768767,0,61,9,9.2,769744.8,110.0,2941.0,235.37,180.31,0.19140625,default,mysql
14.67,0.0,52.37,0.15,1.76,1.81,0.0,0.0,70.61,70.61562500000001,0.4,3945.2,0.01,59.49,0.0,28.7,16.0,15.44,0.0,0.27,100.0,1.81,10659.4,217847.25,123505.2,121847.0,7.14,0.0,0.0,18.52490410666667,0.378,26.39,10.34,0.96,1.81,1.25,0.47,0,0,61086,581252,775943,0,71,218,5.8,775109.6,75.0,2937.0,227.74,179.64,0.2109375,default,mysql
14.34,0.0,51.88,0.15,1.85,1.81,0.0,0.0,69.88,69.87398437499999,0.2,4584.2,0.0,58.49,0.0,29.35,16.0,13.06,0.0,0.22,100.0,1.72,10518.71,213199.87,121445.6,120486.8,6.99,0.0,0.0,18.237071359999998,0.373,26.03,9.07,0.97,1.78,1.22,0.46,0,0,59787,578373,772925,0,70,231,2.0,773228.2,111.0,2926.0,266.28,188.43,0.21484375000000003,default,mysql
14.14,0.0,50.6,0.18,1.72,1.73,0.0,0.0,68.19000000000001,68.19453125000001,1.8,4598.0,0.03,61.36,0.0,30.06,16.0,13.66,0.33,0.24,100.0,1.83,10254.18,208778.39,118616.6,118201.0,6.84,0.0,0.0,18.2371328,0.371,26.74,10.61,0.97,1.79,1.16,0.43,0,0,62877,574316,771006,0,68,373,6.4,770813.6,114.0,2933.0,313.74,199.56,0.1953125,default,mysql
14.28,0.0,51.55,0.15,1.73,1.74,0.0,0.0,69.3,69.30015625,3.8,4405.8,0.06,60.13,0.0,29.88,16.0,13.98,0.26,0.29,100.0,1.95,10398.46,212280.33,120445.0,119418.6,6.96,0.0,0.0,18.40549888,0.384,26.22,10.91,0.98,1.81,1.28,0.49,0,0,61611,577017,772551,0,69,189,6.4,771860.2,91.0,2933.0,296.78,197.94,0.21484375000000003,default,mysql
14.48,0.0,49.71,0.14,1.68,1.77,0.0,0.0,67.64,67.63664062500001,0.6,4260.0,0.01,56.78,0.0,29.52,16.0,13.65,0.33,0.21,100.0,1.59,10480.91,213806.62,121352.8,120392.0,7.01,0.0,0.0,18.387360426666667,0.382,26.56,10.27,0.97,1.81,1.22,0.46,2,0,58466,577424,769428,0,67,78,6.6,768870.6,57.0,2933.0,288.87,197.94,0.21875000000000003,default,mysql
14.42,0.0,48.81,0.17,1.28,1.77,0.0,0.0,66.28,66.29031250000004,1.4,4074.4,0.02,62.26,0.0,28.43,16.0,15.65,0.29,0.32,100.0,2.17,10594.58,214618.99,122258.0,121150.0,7.03,0.0,0.0,19.72852053333333,0.384,28.44,11.01,0.98,1.85,1.2,0.46,0,0,63813,587009,788185,0,66,15,14.4,789580.8,167.0,2910.0,272.63,196.09,0.21484375000000003,default,mysql
15.13,0.0,47.19,0.2,1.02,1.82,0.0,0.0,65.16,65.155703125,2.4,3927.6,0.04,60.19,0.0,27.69,16.0,15.69,0.25,0.32,99.84,1.92,10965.97,223015.07,127017.6,125233.4,7.31,0.0,0.0,20.70289749333333,0.382,29.4,11.59,0.97,1.83,1.21,0.46,3,0,61384,585211,773218,0,65,231,32.6,771621.0,883.0,2911.0,266.09,196.0,0.1953125,default,mysql
15.06,0.0,46.92,0.17,1.33,1.87,0.0,0.0,65.18,65.18148437499998,0.6,4003.0,0.01,60.43,0.0,28.04,16.0,15.46,0.0,0.32,100.08,1.9,11071.73,225368.83,127831.0,125947.6,7.38,0.0,0.0,19.79262293333333,0.396,26.73,9.91,0.97,1.9,1.15,0.46,0,0,61999,641541,776124,0,65,118,11.2,776463.2,85.0,2912.0,259.92,195.88,0.1953125,default,mysql
14.23,0.0,52.48,0.19,1.03,1.73,0.0,0.0,69.47,69.47414062499999,1.6,4982.2,0.03,63.42,0.0,28.52,16.0,13.04,0.25,0.29,100.0,2.17,10308.01,209921.94,119254.0,118544.0,6.88,0.0,0.0,17.89548544,0.378,26.01,9.98,0.98,1.81,1.25,0.47,0,0,65025,580489,785706,0,69,354,2.0,785826.6,161.0,2910.0,252.56,195.42,0.1953125,default,mysql
14.6,0.0,50.72,0.18,1.03,1.8,0.0,0.0,68.14999999999999,68.15671874999998,1.4,4647.0,0.02,58.8,0.0,30.41,16.0,12.96,0.29,0.23,100.0,1.81,10645.46,216716.56,123146.6,122000.6,7.1,0.0,0.0,17.875858773333334,0.378,25.91,9.85,1.01,1.84,1.23,0.47,1,0,60662,584483,782287,0,69,41,1.2,781272.2,70.0,2910.0,303.84,207.0,0.1953125,default,mysql
14.16,0.0,51.3,0.18,1.01,1.76,0.0,0.0,68.23,68.23843749999997,2.8,4531.4,0.04,61.15,0.0,29.08,16.0,13.82,0.64,0.32,99.84,2.15,10385.27,210681.21,120333.73,119676.45,6.9,0.0,0.0,17.614506666666667,0.382,25.9,9.97,0.99,1.83,1.21,0.46,1,0,62170,575889,770833,0,68,200,1.4,772953.8,961.0,2910.0,295.53,206.89,0.1953125,default,mysql
15.25,0.0,45.37,0.2,1.13,1.87,0.0,0.0,63.62,63.62,2.0,3756.8,0.03,66.65,0.0,26.24,16.0,18.17,0.5,0.66,100.0,3.2,11412.08,233711.75,131951.2,128894.0,7.66,0.0,0.0,19.29398954666667,0.432,26.13,8.78,0.93,1.69,1.03,0.45,0,0,68355,596381,786813,0,63,65,9.0,785009.2,162.0,2936.0,272.02,203.48,0.1953125,default,mysql
14.38,0.0,52.39,0.2,1.7,1.69,0.0,0.0,70.16,70.16374999999996,1.8,4792.8,0.03,66.43,0.0,29.29,16.0,14.19,0.22,0.32,100.08,2.22,10425.47,211413.51,120394.0,119880.8,6.93,0.0,0.0,18.757911893333333,0.394,26.95,10.37,0.97,1.78,1.17,0.46,0,0,68043,587839,789907,0,70,555,6.4,790573.4,85.0,2935.0,252.64,200.6,0.21484375000000003,default,mysql
14.67,0.0,51.12,0.15,1.79,1.77,0.0,0.0,69.35,69.346640625,2.2,4359.8,0.03,57.6,0.0,28.09,16.0,13.53,0.27,0.26,99.92,1.82,10521.01,213882.59,121904.8,120933.8,7.01,0.0,0.0,18.248485546666668,0.381,26.75,10.26,0.98,1.8,1.25,0.48,0,0,58982,572934,766490,0,70,123,1.4,765488.6,770.0,2916.0,253.07,201.56,0.21484375000000003,default,mysql
14.61,0.0,51.54,0.18,1.69,1.76,0.0,0.0,69.60000000000001,69.593203125,1.6,3697.8,0.02,58.99,0.0,28.69,14.5,16.34,0.5,0.37,100.08,2.22,10521.73,214455.85,121514.0,120057.0,7.03,0.0,0.0,18.67098112,0.39,25.68,10.07,0.98,1.83,1.24,0.48,0,0,60997,579069,775609,0,70,544,6.4,776099.4,147.0,2934.0,234.57,198.58,0.19140625,default,mysql
14.02,0.0,50.43,0.18,1.61,1.63,0.0,0.0,67.69,67.69796875000002,2.0,4517.4,0.03,59.12,0.0,29.84,16.0,13.4,0.2,0.32,100.08,2.1,10182.59,207186.47,117762.4,117554.0,6.79,0.0,0.0,18.23285930666667,0.378,26.45,10.31,1.0,1.82,1.24,0.47,0,0,60034,572341,763183,0,68,1,6.4,763309.8,118.0,2934.0,290.58,210.78,0.21484375000000003,default,mysql
14.57,0.0,50.45,0.15,1.73,1.79,0.0,0.0,68.54000000000002,68.54617187500003,1.6,3839.0,0.03,56.8,0.0,28.7,16.0,15.15,0.38,0.26,99.92,1.57,10639.33,216598.27,123071.6,121393.6,7.1,0.0,0.0,18.76144128,0.392,26.26,9.81,0.99,1.8,1.15,0.45,0,0,58638,579395,772346,0,69,80,6.6,770765.8,60.0,2934.0,271.07,208.07,0.21484375000000003,default,mysql
15.16,0.0,49.6,0.19,1.37,1.82,0.0,0.0,67.95,67.957578125,2.4,4409.98,0.04,66.06,0.0,28.98,16.0,15.34,0.25,0.34,100.12,2.25,10975.8,223460.66,126978.8,124972.2,7.32,0.0,0.0,20.07189504,0.384,28.3,10.87,0.98,1.84,1.2,0.46,0,0,67426,590483,787350,0,68,423,14.2,788692.4,233.0,2911.0,260.57,206.93,0.21484375000000003,default,mysql
14.65,0.0,48.22,0.17,1.05,1.85,0.0,0.0,65.77,65.75585937500004,2.4,3592.0,0.04,54.93,0.0,28.69,16.0,15.66,0.5,0.28,100.0,1.71,10892.86,221850.69,126019.2,124189.2,7.27,0.0,0.0,20.639197866666667,0.379,29.27,11.54,0.98,1.85,1.23,0.46,0,0,56330,589224,783374,0,66,26,32.4,781838.4,100.0,2912.0,259.57,207.62,0.19140625,default,mysql
15.18,0.0,44.52,0.13,1.23,1.82,0.0,0.0,62.75,62.751796874999954,2.2,3656.0,0.03,62.37,0.0,27.69,16.0,17.47,0.18,0.34,99.84,1.91,10821.24,218718.49,125213.2,123999.4,7.17,0.0,0.0,19.297648640000002,0.394,26.58,10.07,0.96,1.91,1.16,0.46,0,0,63840,637118,770398,0,63,168,11.4,771131.2,544.0,2911.0,240.94,204.62,0.19140625,default,mysql
