cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
5.99,0.0,58.75,0.2,1.18,0.57,0.0,0.0,66.49,66.49554687499997,1.99,4859.96,0.03,65.27,0.0,29.08,16.0,13.75,0.2,0.24,100.0,1.82,4168.76,3503.67,34037.6,50589.0,0.14,0.0,0.0,11.684222293333333,0.268,26.22,15.75,0.72,1.44,2.1,0.56,0,0,66996,487355,793739,0,67,185,8.8,793595.6,159.0,2926.0,142.56,249.68,0.21484375000000003,default,mysql
5.82,0.0,59.62,0.18,1.21,0.58,0.0,0.0,67.22999999999999,67.21984374999998,0.0,4615.86,0.0,63.17,0.0,30.41,0.0,14.01,0.0,0.26,99.92,1.83,4147.87,3514.08,33980.2,50835.0,0.14,0.0,0.0,11.653850453333334,0.265,26.43,17.24,0.73,1.44,2.1,0.56,2,0,64593,489557,797670,0,67,162,6.6,797555.8,138.0,2926.0,142.91,247.98,0.26171875,default,mysql
5.98,0.0,59.65,0.21,1.19,0.58,0.0,0.0,67.39999999999999,67.407109375,1.8,5744.6,0.03,68.31,0.0,29.23,16.0,12.18,0.22,0.19,100.08,1.76,4167.3,3537.74,34060.4,51213.8,0.14,0.0,0.0,11.82795776,0.292,26.45,15.44,0.72,1.31,1.82,0.53,3,0,69968,491654,799056,0,67,101,7.8,798974.4,162.0,2926.0,148.05,247.3,0.26171875,default,mysql
5.75,0.0,59.62,0.18,1.21,0.54,0.0,0.0,67.12,67.12273437500001,0.2,4563.87,0.0,61.37,0.0,27.6,16.0,13.77,0.0,0.27,100.12,1.97,4109.83,3437.21,33486.2,49536.2,0.13,0.0,0.0,11.718505813333332,0.297,26.18,15.41,0.68,1.39,1.87,0.56,6,0,62758,488271,795992,0,67,211,6.4,795871.0,213.0,2925.0,145.88,245.2,0.26171875,default,mysql
5.61,0.0,60.39,0.11,1.16,0.56,0.0,0.0,67.72,67.72117187500002,1.6,3443.49,0.03,56.48,0.0,27.88,16.0,16.8,0.25,0.3,99.88,1.88,4124.45,3417.64,33784.6,49106.4,0.14,0.0,0.0,11.571063466666667,0.249,26.9,18.49,0.75,1.46,2.04,0.51,0,0,58053,481553,784516,0,68,35,6.6,781890.2,161.0,2925.0,146.69,243.72,0.265625,default,mysql
5.81,0.0,59.46,0.23,1.03,0.59,0.0,0.0,66.89,66.88289062499999,0.2,6432.4,0.0,69.74,0.0,30.66,16.0,11.1,0.0,0.19,100.0,1.77,4203.48,3596.57,34353.4,52200.8,0.14,0.0,0.0,12.672996693333333,0.297,27.74,17.13,0.71,1.4,1.79,0.53,0,0,71712,499987,815302,0,67,224,12.4,814950.2,125.0,2902.0,141.91,241.12,0.26953125,default,mysql
5.95,0.0,57.57,0.19,0.74,0.58,0.0,0.0,64.84,64.84273437500002,2.0,5280.4,0.03,64.09,0.0,31.44,16.0,12.43,0.2,0.21,100.0,1.8,4136.61,3523.58,33762.8,51050.4,0.14,0.0,0.0,13.91706112,0.274,29.98,19.59,0.69,1.44,1.95,0.53,0,0,65522,492761,806855,0,65,172,40.8,807540.4,184.0,2903.0,143.44,239.79,0.24609375,default,mysql
6.14,0.0,57.15,0.2,0.83,0.66,0.0,0.0,64.78,64.78585937499999,0.0,5508.8,0.0,64.3,0.0,31.51,0.0,11.95,0.0,0.18,100.24,1.7,4260.15,3620.3,34784.2,52410.0,0.14,0.0,0.0,12.058658133333333,0.286,25.91,15.48,0.71,1.58,1.86,0.53,1,0,66071,540509,808329,0,65,161,5.6,808052.0,188.0,2901.0,145.01,238.51,0.24609375,default,mysql
5.82,0.0,60.53,0.21,0.73,0.6,0.0,0.0,67.67999999999999,67.67273437499999,1.6,5704.2,0.03,65.32,0.0,28.87,16.0,11.73,0.25,0.18,100.0,1.71,4183.57,3550.07,34143.0,51414.2,0.14,0.0,0.0,11.325262506666665,0.272,25.88,16.04,0.74,1.39,1.99,0.54,0,0,66892,491277,801170,0,68,126,1.2,800940.2,116.0,2901.0,147.57,237.49,0.24609375,default,mysql
5.74,0.0,59.91,0.15,0.71,0.57,0.0,0.0,66.92999999999998,66.93156250000003,0.0,4246.0,0.0,58.74,0.0,27.9,0.0,14.17,0.0,0.24,100.0,1.78,4106.81,3418.18,33594.6,49186.0,0.13,0.0,0.0,11.107976533333334,0.264,25.84,16.78,0.75,1.45,2.05,0.54,1,0,60304,484823,793192,0,67,58,1.2,792989.0,11.0,2901.0,147.44,235.97,0.24609375,default,mysql
5.87,0.0,59.59,0.2,0.73,0.6,0.0,0.0,66.79,66.792421875,2.0,5903.0,0.03,66.53,0.0,29.36,16.0,11.54,1.0,0.21,100.08,1.92,4194.69,3554.97,34282.2,51421.6,0.14,0.0,0.0,11.37743872,0.274,25.9,16.0,0.74,1.38,1.96,0.54,0,0,68178,493328,804566,0,67,131,1.4,804678.6,49.0,2901.0,143.24,233.63,0.24609375,default,mysql
6.29,0.0,55.17,0.17,0.72,0.62,0.0,0.0,62.8,62.796875000000014,0.0,4671.2,0.0,61.7,0.0,31.18,0.0,13.53,0.0,0.21,100.08,1.68,4297.66,3613.09,35046.8,52181.4,0.14,0.0,0.0,11.764189866666667,0.338,25.92,12.91,0.65,1.22,1.54,0.52,1,0,63072,500305,822782,0,62,143,3.8,822947.6,31.0,2908.0,142.9,232.06,0.24609375,default,mysql
5.84,0.0,59.59,0.2,1.2,0.57,0.0,0.0,67.2,67.210625,1.6,5522.4,0.03,64.86,0.0,28.58,16.0,12.03,0.62,0.19,100.0,1.66,4222.62,3572.01,34502.8,51645.8,0.14,0.0,0.0,11.894572373333332,0.276,27.78,16.37,0.74,1.37,1.86,0.51,0,0,66434,493452,803411,0,67,64,7.0,802950.4,153.0,2931.0,144.27,230.86,0.24609375,default,mysql
6.2,0.0,58.56,0.18,1.2,0.57,0.0,0.0,66.53,66.525546875,0.0,4820.8,0.0,61.31,0.0,31.1,0.0,13.02,0.0,0.21,99.84,1.68,4161.75,3507.85,34016.4,50663.0,0.14,0.0,0.0,11.897453226666666,0.283,26.9,17.42,0.75,1.36,1.93,0.55,0,0,63041,490279,797415,0,66,73,6.6,797197.8,158.0,2926.0,144.57,229.49,0.265625,default,mysql
6.07,0.0,60.29,0.21,1.23,0.56,0.0,0.0,68.15,68.15406250000004,1.8,6404.2,0.03,67.62,0.0,29.29,16.0,10.81,0.22,0.16,100.0,1.68,4176.3,3570.21,34124.4,51804.8,0.14,0.0,0.0,11.799470079999997,0.299,26.32,15.01,0.7,1.35,1.79,0.53,0,0,69136,497859,809393,0,68,50,6.4,811099.6,214.0,2926.0,146.77,228.53,0.26171875,default,mysql
5.89,0.0,60.36,0.21,1.21,0.56,0.0,0.0,68.02,68.02578125,0.0,5591.6,0.0,64.23,0.0,29.14,0.0,11.76,0.0,0.17,100.0,1.62,4195.27,3548.43,34254.6,51329.2,0.14,0.0,0.0,11.861183146666667,0.289,26.79,15.65,0.73,1.35,1.85,0.53,0,0,65735,496293,806404,0,68,169,6.4,804602.8,87.0,2926.0,148.55,227.54,0.26171875,default,mysql
5.76,0.0,60.2,0.19,1.17,0.56,0.0,0.0,67.69000000000001,67.69234374999999,1.8,5211.2,0.03,61.85,0.0,30.44,16.0,12.15,0.22,0.18,100.08,1.61,4124.9,3529.91,33779.0,51208.2,0.14,0.0,0.0,11.825889279999998,0.282,27.23,16.35,0.71,1.38,1.86,0.52,1,0,63486,488729,794877,0,68,84,6.6,794701.4,181.0,2926.0,147.38,225.99,0.265625,default,mysql
5.67,0.0,60.45,0.15,1.03,0.6,0.0,0.0,67.75,67.75257812499999,0.0,4750.8,0.0,60.51,0.0,29.74,0.0,13.04,0.0,0.19,100.0,1.54,4186.7,3515.51,34130.4,50746.2,0.14,0.0,0.0,12.462824106666668,0.281,27.62,17.22,0.72,1.47,1.9,0.54,2,0,62158,491915,802634,0,68,115,10.8,802312.6,75.0,2904.0,140.07,223.17,0.265625,default,mysql
5.97,0.0,60.24,0.13,0.74,0.63,0.0,0.0,67.58,67.58804687500002,1.6,3683.8,0.03,55.39,0.0,27.46,16.0,15.4,0.12,0.23,100.08,1.6,4232.36,3497.37,34578.0,50200.6,0.14,0.0,0.0,13.919832746666666,0.255,29.87,20.57,0.72,1.53,2.13,0.54,0,0,56593,490253,802815,0,68,150,40.4,803015.2,42.0,2904.0,143.18,222.43,0.24609375,default,mysql
