CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
45.37,0,12.48,2.11,1.69,3.24,0,0,62.78,77.53,40213.6,24419.4,157.08,792.4,0,0,4,33.23,0.14,0.03,99.6,0,37770.93,170967.96,241509.8,252709,14.01,0,0,25.52,0.62577606,2.579554634,7.924944643,0.258523496,0.691732007,1,0.62577606,7,1400384,811314,999493,976892,2202,62,165,0,976611.2,141,1495,19.49,4.36,7.70E-14,default,mysql
44.48,0,12.41,1.77,1.65,3.21,0,0,61.75,77.39,34420.4,23360,134.45,765.68,0,0,4,33.56,0.14,0.03,99.2,0,38003.86,169156.83,242145.2,253483.8,13.86,0,0,25.27,0.620936948,2.591295104,8.067233568,0.265768762,0.696581092,1,0.620936948,6,1400704,783186,988136,949494,397,61,98,0.2,949391.2,125,1493,25.94,5.94,7.70E-14,default,mysql
44.69,0,11.49,1.82,1.63,3.22,0,0,61.03,76.17,30729.4,33212.8,120.04,1042.65,0,0,4,32.15,0.15,0.02,99.2,0,38425.19,171286.65,244617.2,256051.4,14.03,0,0,25.04,0.625404079,2.546196169,8.06597475,0.267086142,0.692614128,1,0.625404079,6,1400704,1067757,1011964,988359,2150,61,54,0.4,988124,70,1504,34.59,8.07,7.91E-14,default,mysql
45.41,0,11.51,1.56,1.65,3.29,0,0,61.86,77.38,27673.2,42809.2,108.1,1122.8,0,0,4,26.86,0.16,0.02,98.96,0.01,39238.76,173859.6,249813.6,261295,14.24,0,0,25.62,0.616471696,2.558773404,8.212692611,0.272803943,0.698387011,1,0.616471696,11,1401280,1150214,1027382,980338,1152,61,105,0,980042.4,77,1496,36.79,8.97,7.70E-14,default,mysql
45.89,0,11.75,1.45,1.63,3.35,0,0,62.62,78.28,25164.6,44733,98.3,1142.83,0,0,4,26.16,0.16,0.03,98.56,0.06,39877.74,177667.86,253865.8,265330.8,14.55,0,0,25.83,0.615713114,2.552497708,8.264303039,0.276168956,0.695709552,1,0.615713114,6,1401280,1170689,1028250,964754,1280,63,91,0.4,964420.6,140,1497,40.65,10.23,7.70E-14,default,mysql
47.03,0,11.68,1.21,1.65,3.46,0,0,63.82,80.29,23947.5,36962.08,93.54,1003.81,0,0,4,27.81,0.15,0.02,98.52,0,41082.83,185338.11,262730.6,274072.2,15.18,0,0,26.61,0.605829001,2.549501446,8.424020907,0.286178307,0.68991827,1,0.605829001,3,1401280,1029953,1019992,918318,1626,64,65,0,918120,129,1495,50.33,13.29,7.70E-14,default,mysql
46.68,0,11.45,1.18,1.63,3.4,0,0,63.16,79.15,21822.4,37369.2,85.24,1054.51,0,0,4,28.9,0.15,0.02,97.28,0,40887.84,181357.67,260381.8,271894.4,14.86,0,0,25.97,0.615531047,2.552422964,8.284261773,0.278619652,0.694721318,1,0.615531047,3,1397184,1080165,1035228,961311,384,64,96,0,961127.8,121,1497,55.75,15.03,7.70E-14,default,mysql
46.99,0,11.66,1.08,1.63,3.43,0,0,63.71,80.22,20091.4,32460.8,78.48,945.99,0,0,4,29.84,0.15,0.02,96.32,0,40844.52,181944.69,260456.2,271966,14.9,0,0,26.14,0.620580584,2.557535671,8.135463575,0.273438199,0.692644068,1,0.620580584,8,1397184,969445,1009905,929363,90,64,100,0,929302,122,1495,57.37,16.04,7.91E-14,default,mysql
20.36,0,4.79,0.51,0.67,1.43,0,0,27.25,35.48,15745.4,17865.8,61.51,482.07,0,0,4,27.63,0.13,0.02,56.64,0,17334.24,76325.25,110619.4,115013.8,6.25,0,0,10.47,0.665653294,2.540832065,7.529843547,0.243038005,0.699433467,1,0.665653294,3,1397184,492398,457214,430983,154,27,10,45.8,430735.8,6,1497,52.78,15.77,7.70E-14,default,mysql
30.63,0,8.38,2.77,1.21,1.94,0,0,42.16,43.04,49512.4,25653.8,193.41,630.97,0,0,4,25.19,0.14,0.02,97.92,0,23368.89,103152.28,148064,154636,8.45,0,0,18.66,0.636283648,2.512420372,7.681833288,0.249321705,0.694896022,1,0.636283648,7,1397184,645381,655225,665402,256,43,118,0,665066.8,96,1499,60.16,17.92,7.91E-14,default,mysql
