CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
18.19,0,9.17,0.52,1.18,0.95,0,0,29.49,37.95,0,28579,0,1680.03,0,0,0,60.2,0,0.04,74,0,13187.21,6797.35,58990,58987.2,1.08,0,0,12.95,0.645110384,2.723766104,6.643802327,0.185043307,0.799338334,1,0.645110384,2,4096,1721356,646111,1005369,0,29,28,4.6,1005530.2,57,1494,8.47,18.23,5.20E-14,default,mysql
16.73,0,9.84,0.53,1.23,0.96,0,0,28.76,39.92,0,28867.6,0,1704.33,0,0,0,60.46,0,0.04,78.32,0,13223.56,6816,59153,59149,1.08,0,0,12.97,0.623880683,2.765053971,6.83164794,0.192014002,0.800075942,1,0.623880683,1,4096,1745917,638558,988884,0,29,69,4.6,989101.2,76,1497,11.32,18.66,5.41E-14,default,mysql
17.4,0,9.54,0.6,1.24,0.95,0,0,29.13,39.71,0,30741.6,0,1813.64,0,0,0,60.41,0,0.04,81.12,0,13209.39,6808.02,59088.8,59079.8,1.08,0,0,12.96,0.624348756,2.738451209,6.910381042,0.191266395,0.797025518,1,0.624348756,2,4096,1856618,632843,977388,0,29,21,4.6,977157.8,8,1494,11.13,18.5,5.41E-14,default,mysql
17.97,0,9.86,0.57,1.22,0.94,0,0,29.99,38.03,0,30575.6,0,1808.03,0,0,0,60.55,0,0.04,79.44,0,13329.87,6871.02,59628.2,59626.6,1.09,0,0,13.01,0.630070008,2.761724675,6.836222197,0.191497154,0.800422227,1,0.630070008,1,4096,1850746,634456,976777,0,30,7,4.6,976596.6,70,1494,21.61,20.55,5.41E-14,default,mysql
17.12,0,9.79,0.55,1.23,0.96,0,0,29.1,39.37,0,29448.6,0,1751.83,0,0,0,60.92,0,0.04,78.24,0,13321.83,6866.86,59592.6,59590.4,1.09,0,0,13.04,0.633511726,2.739978896,6.768549441,0.187901506,0.792927306,1,0.633511726,1,4096,1793877,640393,991161,0,29,15,4.8,991022.6,7,1495,22.28,20.71,5.41E-14,default,mysql
16.91,0,9.91,0.55,1.16,0.92,0,0,28.9,36.72,0,29691.8,0,1765.47,0,0,0,60.89,0,0.04,77.28,0,12974.26,6687.53,58037,58034.2,1.06,0,0,13,0.656866169,2.751713935,6.48223131,0.174548127,0.798808732,1,0.656866169,1,4096,1807506,670328,1055703,0,29,4,4.6,1055799.6,6,1494,29.18,22.23,5.20E-14,default,mysql
17.37,0,9.86,0.56,1.22,0.96,0,0,29.41,38.86,0,28991.2,0,1728.46,0,0,0,61.05,0,0.04,75.6,0,13261.52,6835.52,59322.4,59318.4,1.09,0,0,13.24,0.644443278,2.769047711,6.633672534,0.182688342,0.804670024,1,0.644443278,0,4096,1769411,658363,1027964,0,29,5,4.6,1027937,27,1498,30.05,22.53,5.20E-14,default,mysql
17.25,0,9.23,0.55,1.23,0.97,0,0,28.68,36.51,0,29206.8,0,1737.76,0,0,0,60.93,0,0.04,77.28,0,13226.46,6817.61,59165.6,59163,1.08,0,0,13.19,0.650717591,2.761161322,6.699363163,0.183507192,0.797471051,1,0.650717591,1,4096,1780321,650527,1011104,0,28,42,4.8,1010957,28,1495,35.65,23.82,5.00E-14,default,mysql
17.38,0,7.81,0.47,1.2,0.97,0,0,27.36,34.23,0,30153.8,0,1783.52,0,0,0,60.57,0,0.04,79.36,0,14328.5,7385.61,64095,64092.2,1.17,0,0,14.34,0.631166496,2.8140227,7.255406039,0.204013944,0.815895527,1,0.631166496,2,4096,1827912,688475,1062489,0,27,10,4.6,1062487.8,19,1495,33.68,23.6,5.41E-14,default,mysql
17.89,0,6.8,0.51,1.28,1.06,0,0,27.03,37.86,0,33019,0,1947,0,0,0,60.38,0,0.04,83.92,0,15910.8,8201.2,71173.2,71169.8,1.3,0,0,15,0.614475801,2.814191422,7.612819323,0.2210853,0.831698339,1,0.614475801,1,4096,1994128,732594,1121718,0,27,63,4.6,1121429.8,14,1497,31.54,23.33,5.20E-14,default,mysql
16.86,0,6.49,0.52,1.22,1.04,0,0,25.61,37.36,0,32535.8,0,1929.28,0,0,0,60.72,0,0.05,81.6,0,15425.31,7951.24,69001.2,69000.6,1.26,0,0,14.98,0.617152487,2.812082318,7.707347302,0.224466845,0.823230216,1,0.617152487,1,4096,1975336,715452,1099463,0,26,50,4.6,1099772,10,1497,29.98,23.14,5.62E-14,default,mysql
