CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
43.79,0,3.65,0.02,0.37,1.94,0,0,49.75,99.05421875,0.2,12.6,0,2.63,0,28.41,4,213.59,36,22.89,4.64,0.29,0,0,0,0,0,0,0,14.2019584,2.126,28.95,0.82,0.13,0.28,0.13,0.28,0,0,2691,392242,18024,0,50,71,16.6,18006,71,1618,62.58,51.49,0.110933333,default,nginx_https_short
43.38,0,3.62,0.03,0.37,1.93,0,0,49.3,98.30140625,0,13.6,0,2.56,0,20.93,0,193.12,0,35.22,5.52,0.46,0.04,0.03,0.6,0.6,0,0,0,14.04254891,2.127,28.86,0.82,0.13,0.28,0.13,0.28,0,0,2626,388339,17304,0,49,73,9.2,17303.4,73,1618,63.26,51.82,0.119466667,default,nginx_https_short
43.63,0,3.58,0.03,0.36,1.92,0,0,49.49,98.67671875,0,8.6,0,1.55,0,25.86,0,184.37,0,20.33,4.16,0.17,0.05,0.04,0.8,0.8,0,0,0,14.11829077,2.127,28.86,0.82,0.13,0.28,0.13,0.28,0,0,1586,390390,17538,0,50,68,14.4,17535.2,67,1619,63.64,52.09,0.119466667,default,nginx_https_short
44.07,0,3.65,0.01,0.38,1.93,0,0,50.03,99.76,0.2,15.6,0,3.18,0,16.13,4,208.92,12,51.6,5.44,0.79,0,0,0,0,0,0,0,14.23682901,2.127,28.82,0.81,0.13,0.28,0.13,0.29,0,0,3259,391089,17261,0,50,67,10.2,17257.8,69,1618,63.99,52.35,0.119466667,default,nginx_https_short
43.53,0,3.65,0.02,0.37,1.91,0,0,49.46,98.63140625,0,13.6,0,2.58,0,23.6,0,194.59,0,28.93,4.08,0.38,0.01,0.01,0.2,0.2,0,0,0,14.10837163,2.127,28.87,0.82,0.13,0.28,0.13,0.28,0,0,2646,387163,17259,0,50,72,12.6,17257.4,71,1620,64.39,52.63,0.1216,default,nginx_https_short
43.05,0,3.59,0.04,0.37,1.9,0,0,48.91,97.5115625,0,14.2,0,2.55,0,15.48,0,183.72,0,26.65,5.36,0.37,0,0,0,0,0,0,0,13.93850368,2.127,28.81,0.82,0.13,0.28,0.13,0.29,0,0,2609,386249,17430,0,49,68,12,17428,66,1618,65,52.95,0.1216,default,nginx_https_short
43.28,0,3.55,0.04,0.36,1.91,0,0,49.1,97.92125,0.2,8.8,0,1.55,0,25.42,4,180.73,0,27.09,5.52,0.24,0,0,0,0,0,0,0,14.00756224,2.126,28.86,0.82,0.13,0.28,0.13,0.29,0,0,1590,388762,17715,0,49,80,11.2,17713.2,76,1619,65.4,53.23,0.125866667,default,nginx_https_short
42.98,0,3.59,0.05,0.37,1.89,0,0,48.83,97.363125,0.2,16.2,0,3.12,0,14.74,4,197.09,11,30.93,6.08,0.49,0.04,0.03,0.6,0.6,0,0,0,13.91036416,2.127,28.9,0.82,0.13,0.28,0.13,0.28,0,0,3193,384703,16549,0,49,81,13.2,16544.6,67,1618,66.01,53.56,0.125866667,default,nginx_https_short
43.43,0,3.61,0.03,0.36,1.92,0,0,49.32,98.3615625,0,14.2,0,2.56,0,18.39,0,184.62,0,29.92,4.56,0.41,0.03,0.02,0.4,0.4,0,0,0,14.06400512,2.127,28.87,0.82,0.13,0.28,0.13,0.29,0,0,2622,388046,16574,0,49,71,8.8,16573.8,71,1618,66.81,53.93,0.125866667,default,nginx_https_short
43.51,0,3.61,0.03,0.37,1.93,0,0,49.42,98.4971875,0,9.6,0,1.55,0,18.64,0,165.58,0,30.92,4.96,0.29,0.01,0.01,0.2,0.2,0,0,0,14.11858432,2.127,28.89,0.82,0.13,0.28,0.13,0.28,0,0,1590,391085,17100,0,50,69,15.8,17099,65,1618,67.38,54.27,0.125866667,default,nginx_https_short
43.06,0,3.62,0.06,0.36,1.88,0,0,48.92,97.52265625,0,16.2,0,3.17,0,15.62,0,200.54,0,23.49,6.48,0.37,0.01,0.01,0.2,0.2,0,0,0,13.93315157,2.126,28.86,0.82,0.13,0.28,0.13,0.29,0,0,3249,383214,17583,0,49,77,14.4,17580.4,76,1619,67.67,54.55,0.125866667,default,nginx_https_short
43.49,0,3.56,0.03,0.36,1.92,0,0,49.33,98.37515625,0,15.2,0,2.59,0,14.61,0,174.58,0,29.25,5.36,0.44,0,0,0,0,0,0,0,14.07007403,2.127,28.81,0.82,0.13,0.28,0.13,0.28,0,0,2654,389098,17252,0,49,73,12.8,17239,73,1618,68.74,54.99,0.125866667,default,nginx_https_short
43.83,0,3.59,0.02,0.36,1.95,0,0,49.73,99.13078125,0,14.2,0,2.6,0,17.44,0,187.77,0,25.85,4.56,0.36,0,0,0,0,0,0,0,14.21020501,2.126,28.86,0.82,0.13,0.28,0.13,0.28,0,0,2666,395921,18322,0,50,79,17,18335.2,66,1618,69,55.27,0.128,default,nginx_https_short
43.4,0,3.6,0.04,0.36,1.9,0,0,49.26,98.2290625,0,11.4,0,2.05,0,20.83,0,184.42,0,23.96,4.8,0.27,0.03,0.02,0.4,0.4,0,0,0,14.01346048,2.128,28.82,0.82,0.13,0.28,0.13,0.28,0,0,2628,388912,17640,0,49,68,9.6,17627,76,1618,69.24,55.55,0.125866667,default,nginx_https_short
43.26,0,3.63,0.04,0.35,1.91,0,0,49.15,98.0028125,0,12.4,0,2.07,0,22.5,0,171.23,0,21.82,4.32,0.26,0.05,0.04,0.8,0.8,0,0,0,14.02738688,2.126,28.9,0.82,0.13,0.28,0.13,0.29,0,0,1598,389143,17811,0,49,69,18.4,17808.6,70,1618,68.98,55.72,0.123733333,default,nginx_https_short
44.2,0,3.61,0.01,0.38,1.94,0,0,50.13,99.9746875,0,18,0,3.13,0,17.43,0,177.96,0,48.8,6.08,0.86,0.01,0.01,0.2,0.2,0,0,0,14.26788352,2.128,28.8,0.82,0.13,0.28,0.13,0.28,0,0,3203,395639,16118,0,50,67,9.6,16126.8,72,1618,68.9,55.92,0.125866667,default,nginx_https_short
43.38,0,3.74,0.04,0.36,1.9,0,0,49.38,98.441875,0.2,12.8,0,2.1,0,24.71,4,168.06,0,24.09,5.36,0.3,0.01,0.01,0.2,0.2,0,0,0,14.07563776,2.127,28.9,0.82,0.13,0.28,0.13,0.29,0,0,2151,388756,16820,0,49,74,15.8,16818,67,1618,69.15,56.19,0.128,default,nginx_https_short
43.46,0,3.69,0.03,0.37,1.89,0,0,49.41,98.51,0,10.2,0,1.56,0,25,0,156.39,0,28.75,5.2,0.29,0,0,0,0,0,0,0,14.09559893,2.126,28.88,0.82,0.13,0.28,0.13,0.29,0,0,1595,388351,17456,0,49,73,14.6,17451.4,68,1621,69.38,56.45,0.128,default,nginx_https_short
43.93,0,3.64,0.01,0.38,1.94,0,0,49.89,99.49703125,0,18,0,3.21,0,14.29,0,182.49,0,34.76,5.76,0.61,0,0,0,0,0,0,0,14.22606336,2.128,28.81,0.82,0.13,0.28,0.13,0.29,0,0,3285,394953,18225,0,50,73,13,18219.2,76,1618,69.99,56.79,0.128,default,nginx_https_short
44.2,0,3.62,0,0.36,1.92,0,0,50.1,99.96625,0,16.6,0,3.13,0,16.16,0,192.82,0,67.65,6.4,1.11,0.03,0.02,0.4,0.4,0,0,0,14.26236757,2.128,28.87,0.82,0.13,0.28,0.13,0.29,0,0,3201,396491,17599,0,50,73,10.2,17596.4,66,1622,70.15,57.05,0.128,default,nginx_https_short
43.91,0,3.73,0.01,0.37,1.93,0,0,49.94,99.56875,0,15,0,2.61,0,18.48,0,178.51,0,28.65,5.44,0.42,0.04,0.03,0.6,0.6,0,0,0,14.21832192,2.128,28.92,0.82,0.13,0.28,0.13,0.29,0,0,2678,392718,17701,0,50,73,14.8,17705.8,80,1618,70.06,57.25,0.130133333,default,nginx_https_short
43.89,0,3.69,0.02,0.37,1.93,0,0,49.88,99.4465625,0.2,12.8,0,2.1,0,18.99,4,168.31,7,21.36,4.32,0.26,0.01,0.01,0.2,0.2,0,0,0,14.19948715,2.126,28.81,0.82,0.13,0.28,0.13,0.29,0,0,2678,394703,18138,0,50,75,10.8,18123.2,69,1623,69.89,57.42,0.125866667,default,nginx_https_short
43.16,0,3.63,0.04,0.37,1.9,0,0,49.06,97.79984375,0,12.6,0,2.08,0,19.23,0,168.76,0,24.29,5.84,0.3,0.01,0.01,0.2,0.2,0,0,0,13.96544853,2.127,28.98,0.82,0.13,0.28,0.13,0.29,0,0,1603,387239,17558,0,49,67,16.8,17568.4,70,1618,69.98,57.65,0.128,default,nginx_https_short
44.08,0,3.65,0.02,0.37,1.93,0,0,50.03,99.7434375,0,17.6,0,3.1,0,10.2,0,180.27,0,51.42,5.68,0.88,0,0,0,0,0,0,0,14.27933867,2.127,28.93,0.82,0.13,0.28,0.13,0.29,0,0,3173,394749,17560,0,50,75,14.4,17561.8,71,1620,69.98,57.86,0.125866667,default,nginx_https_short
43.59,0,3.61,0.02,0.36,1.91,0,0,49.47,98.65359375,0,15.2,0,2.59,0,13.64,0,174.68,0,31.74,4.96,0.47,0,0,0,0,0,0,0,14.08730453,2.128,28.87,0.82,0.13,0.28,0.13,0.29,0,0,2655,390175,17376,0,50,65,11.8,17348.4,70,1618,70.95,58.26,0.123733333,default,nginx_https_short
43.66,0,3.63,0.03,0.4,1.9,0,0,49.59,98.8375,0,15.2,0,2.62,0,15.56,0,176.37,0,31.07,6.4,0.46,0.01,0.01,0.2,0.2,0,0,0,14.12309675,2.126,28.93,0.82,0.13,0.28,0.13,0.29,0,0,2681,389815,17463,0,50,75,12.4,17482,76,1623,71.11,58.5,0.123733333,default,nginx_https_short
43.43,0,3.66,0.04,0.39,1.9,0,0,49.38,98.41328125,0.2,9.8,0,1.55,0,23.44,4,161.96,0,13.37,4.96,0.12,0.04,0.03,0.6,0.6,0,0,0,14.07195136,2.127,28.93,0.82,0.13,0.28,0.13,0.29,0,0,1587,388378,18007,0,49,69,12.2,18010.8,71,1618,70.7,58.63,0.123733333,default,nginx_https_short
43.21,0,3.67,0.05,0.37,1.91,0,0,49.16,98.0340625,0,17.6,0,3.17,0,12.87,0,184.23,0,27.62,6.8,0.48,0.04,0.03,0.6,0.6,0,0,0,14.02879317,2.127,28.94,0.82,0.13,0.28,0.13,0.29,0,0,3242,387472,17461,0,49,70,14.6,17430.2,66,1619,70.48,58.78,0.123733333,default,nginx_https_short
43.96,0,3.67,0.01,0.38,1.92,0,0,49.93,99.5346875,0,15.4,0,2.63,0,15.38,0,174.7,0,23.74,5.2,0.35,0,0,0,0,0,0,0,14.21301077,2.128,28.85,0.82,0.13,0.28,0.13,0.29,0,0,2690,392930,17780,0,50,72,10.2,17804.4,71,1619,70.85,59.05,0.1216,default,nginx_https_short
