cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
64.23,0,6.42,0.02,0.42,3.48,0,0,74.55,99.1896875,0,15.6,0,3.41,0,22.77,0,223.54,0,35.91,6.4,0.57,0.03,0.02,0.4,0.4,0,0,0,17.5919104,2.121,29.25,0.82,0.13,0.27,0.14,0.29,0,0,3865,357044,21670,0,74,111,15.4,21664.6,111,1649,96.98,83.71,0.110933333,default,nginx
64.81,0,6.19,0.01,0.41,3.43,0,0,74.84,99.66052083,0,13.6,0,2.72,0,20,0,204.71,0,31.18,5.2,0.37,0,0,0,0,0,0,0,17.69509547,2.123,29.26,0.82,0.13,0.27,0.14,0.29,0,0,2406,361363,21195,0,75,110,10.4,21191,111,1649,97.46,84.03,0.123733333,default,nginx
64.3,0,6.2,0.02,0.43,3.36,0,0,74.29,98.89052083,0,21.2,0,4.63,0,12.4,0,223.81,0,34.54,8.08,0.71,0.01,0.01,0.2,0.2,0,0,0,17.60396629,2.123,29.28,0.83,0.13,0.27,0.14,0.29,0,0,4745,357443,21474,0,74,110,15.4,21471.2,111,1649,98.55,84.48,0.123733333,default,nginx
64.42,0,6.34,0.01,0.41,3.44,0,0,74.61,99.32010417,0,18,0,3.77,0,14.29,0,214.49,0,28.59,5.92,0.5,0.01,0.01,0.2,0.2,0,0,0,17.64558165,2.122,29.29,0.83,0.13,0.27,0.14,0.29,0,0,3861,358096,21738,0,74,114,14.6,21732.8,114,1649,99.06,84.82,0.125866667,default,nginx
64.61,0,6.31,0,0.42,3.47,0,0,74.81,99.61927083,0,11.8,0,2.32,0,25.32,0,201.02,0,21.14,4.32,0.24,0,0,0,0,0,0,0,17.65454507,2.122,29.28,0.82,0.13,0.27,0.14,0.29,0,0,2372,358617,21354,0,75,113,10,21354.4,105,1649,100.18,85.29,0.125866667,default,nginx
64.1,0,6.28,0.02,0.42,3.47,0,0,74.27,98.8640625,0,22.8,0,4.59,0,9.52,0,206.21,0,27.94,7.28,0.62,0.04,0.03,0.6,0.6,0,0,0,17.56875435,2.121,29.26,0.83,0.13,0.27,0.14,0.29,0,0,4702,358094,22075,0,74,112,15.8,22071,103,1649,101.69,85.85,0.125866667,default,nginx
64.75,0,6.22,0.01,0.42,3.42,0,0,74.81,99.60635417,0,19.4,0,3.85,0,11.01,0,203.22,0,37.39,6.64,0.7,0.04,0.03,0.6,0.6,0,0,0,17.7211392,2.122,29.31,0.83,0.13,0.27,0.14,0.29,0,0,3942,359912,21700,0,75,115,14.2,21700.4,111,1649,101.87,86.15,0.125866667,default,nginx
63.85,0,6.25,0.03,0.41,3.41,0,0,73.92,98.416875,0,15.2,0,3.01,0,17.39,0,203.11,0,60.41,6.24,0.91,0.01,0.01,0.2,0.2,0,0,0,17.4768128,2.123,29.3,0.82,0.13,0.27,0.14,0.29,0,0,3087,353538,21487,0,74,113,10.4,21475.4,108,1649,102.12,86.46,0.125866667,default,nginx
64.39,0,6.28,0.01,0.42,3.45,0,0,74.54,99.22239583,0,16.2,0,3.05,0,14.74,0,192.64,0,25.59,5.52,0.4,0.01,0.01,0.2,0.2,0,0,0,17.63118421,2.123,29.3,0.83,0.13,0.27,0.14,0.29,0,0,3121,354239,22056,0,74,111,15.4,22047.4,116,1648,103.07,86.92,0.123733333,default,nginx
64.04,0,6.19,0.02,0.43,3.45,0,0,74.11,98.64614583,0,22,0,4.57,0,9.84,0,212.51,0,38.13,7.6,0.82,0,0,0,0,0,0,0,17.52956928,2.121,29.32,0.83,0.13,0.27,0.14,0.29,0,0,4675,358028,22380,0,74,115,16.2,22370.6,115,1648,103.79,87.33,0.123733333,default,nginx
