CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
43.16,0,4.44,0.01,0.36,2.08,0,0,50.04,99.6940625,0,11.6,0,2.53,0,25.64,0,223.38,0,37.64,5.2,0.42,35899.11,98808.13,288405.8,267711.8,3.24,0,0,14.12169045,2.077,26.5,0.83,0.14,0.3,0.14,0.28,0,0,2610,348318,15351,0,50,69,16,15337.6,71,1602,62.74,52.14,0.142933333,default,nginx_https_short
42.97,0,4.4,0.01,0.36,2.07,0,0,49.8,99.34640625,0,12.6,0,2.52,0,20.25,0,204.57,0,28.9,4.4,0.35,35731.95,98467.72,286942.4,267681.4,3.23,0,0,14.03682816,2.078,26.52,0.83,0.14,0.3,0.14,0.28,0,0,2589,345313,15339,0,50,72,11.8,15340,75,1604,63.8,52.53,0.1536,default,nginx_https_short
42.71,0,4.27,0.03,0.35,2.09,0,0,49.42,98.6384375,0,7.6,0,1.5,0,28.3,0,202.32,0,24.05,4.08,0.18,35504.24,97771.26,285203.4,265887.8,3.2,0,0,13.93210709,2.078,26.44,0.83,0.14,0.3,0.14,0.28,0,0,1554,347029,15550,0,50,68,13,15547.8,70,1603,64.54,52.87,0.1536,default,nginx_https_short
42.68,0,4.35,0.03,0.36,2.08,0,0,49.47,98.68484375,0,15,0,3.06,0,13.79,0,208.59,0,74.51,7.04,1.11,35520.72,97830.26,285287.2,265935.4,3.21,0,0,13.98508885,2.077,26.53,0.83,0.14,0.3,0.14,0.28,0,0,3129,345603,15231,0,50,81,15.4,15229.8,83,1602,65.37,53.24,0.1536,default,nginx_https_short
42.39,0,4.34,0.04,0.38,2.06,0,0,49.17,98.0859375,0,12.6,0,2.51,0,24.1,0,204.06,0,24.65,4.16,0.3,35285.21,97230.77,283476.8,264610,3.19,0,0,13.88161024,2.078,26.55,0.83,0.14,0.3,0.14,0.28,0,0,2582,340706,15283,0,49,82,9.4,15281.6,82,1604,66.15,53.6,0.151466667,default,nginx_https_short
42.8,0,4.32,0.03,0.36,2.1,0,0,49.58,98.87203125,0,13.4,0,2.54,0,16.25,0,194.21,0,26.84,5.04,0.35,35536.82,97919.84,285383.6,266194,3.21,0,0,14.00759637,2.077,26.54,0.83,0.14,0.3,0.14,0.28,0,0,2617,345283,15378,0,50,73,15.4,15375.8,75,1602,66.7,53.92,0.1536,default,nginx_https_short
42.65,0,4.32,0.04,0.36,2.06,0,0,49.39,98.52796875,0,11.2,0,2.04,0,24.32,0,186.07,0,23.96,5.12,0.26,35447.53,97646.85,284547.4,265275.6,3.2,0,0,13.95976875,2.077,26.56,0.83,0.14,0.3,0.14,0.28,0,0,2084,343993,15368,0,50,79,15.8,15367.8,71,1605,67.28,54.26,0.1536,default,nginx_https_short
42.91,0,4.33,0.02,0.35,2.07,0,0,49.66,99.11890625,0,12,0,2.06,0,20,0,175.6,0,34.53,6,0.4,35684.27,98297.41,286423.8,267104,3.22,0,0,14.01240917,2.079,26.54,0.83,0.14,0.3,0.14,0.28,0,0,2125,345002,15073,0,50,75,9,15069.2,72,1602,67.34,54.49,0.149333333,default,nginx_https_short
41.77,0,4.3,0.06,0.35,2.03,0,0,48.45,96.64796875,0,15.8,0,3.04,0,15.05,0,197.32,0,26.94,6.56,0.42,34694.46,95695.6,278392.4,259879,3.14,0,0,13.69675093,2.077,26.63,0.84,0.14,0.3,0.14,0.28,0,0,3132,337191,14703,0,49,73,17.2,14700.8,73,1603,67.55,54.74,0.149333333,default,nginx_https_short
42.4,0,4.36,0.03,0.36,2.07,0,0,49.19,98.11859375,0,11.4,0,2,0,20.83,0,179.93,0,29.79,4.48,0.33,35338.09,97328.24,283683.2,264570.8,3.19,0,0,13.89696341,2.077,26.51,0.83,0.14,0.3,0.14,0.28,0,0,2051,342664,14827,0,49,78,14.6,14829.4,69,1603,67.75,55,0.149333333,default,nginx_https_short
