cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
53.49,0,5.79,0.01,0.44,2.66,0,0,62.38,99.552625,0,14.2,0,3.11,0,23.66,0,224.11,0,29.96,4.56,0.41,44174.16,120860.55,354390.8,316477,3.96,0,0,15.64407808,2.079,27.3,0.86,0.14,0.3,0.14,0.29,0,0,3198,325613,17829,0,62,92,16.4,17818.4,91,1618,80.34,68.14,0.096,default,nginx
53.72,0,5.73,0,0.43,2.66,0,0,62.54,99.880125,0,16.2,0,3.14,0,15.62,0,198.67,0,30.64,5.52,0.47,44314.17,121202.67,355490.2,316957,3.97,0,0,15.65114368,2.081,27.25,0.85,0.14,0.3,0.14,0.29,0,0,3218,323675,17538,0,63,98,10.4,17535.4,97,1617,81.27,68.54,0.098133333,default,nginx
52.82,0,5.63,0.04,0.42,2.64,0,0,61.51,98.226875,0,9,0,1.85,0,26.23,0,211.02,0,22.62,4.72,0.2,43489.36,119103.63,348373.2,311914.2,3.9,0,0,15.42664192,2.079,27.33,0.86,0.14,0.3,0.14,0.29,0,0,1899,317481,17401,0,62,91,15.4,17398.8,93,1617,82.21,68.95,0.096,default,nginx
52.84,0,5.71,0.02,0.43,2.74,0,0,61.72,98.551625,0,17.6,0,3.67,0,12.87,0,213.77,0,60.53,5.2,1.06,43690.38,119618.85,350373.4,314083.6,3.92,0,0,15.48384256,2.079,27.33,0.86,0.14,0.3,0.14,0.29,0,0,3774,323277,17608,0,62,83,14.8,17607.8,85,1618,82.91,69.31,0.100266667,default,nginx
53.34,0,5.74,0.02,0.43,2.65,0,0,62.16,99.293875,0,12,0,2.49,0,24.05,0,212.07,0,15.08,4,0.17,43990.52,120430.64,352436.6,314850.2,3.95,0,0,15.54507093,2.08,27.29,0.85,0.14,0.3,0.14,0.29,0,0,2562,320028,17723,0,62,91,10,17720.6,91,1617,83.4,69.64,0.1024,default,nginx
53.21,0,5.76,0.02,0.43,2.66,0,0,62.06,99.072625,0,18.4,0,3.79,0,14.02,0,211.04,0,34.79,6.48,0.63,43834.52,120012.02,351261.6,314088.8,3.93,0,0,15.54117973,2.08,27.38,0.86,0.14,0.3,0.14,0.29,0,0,3894,317760,18177,0,62,95,16,18170.8,99,1617,84.09,70.01,0.104533333,default,nginx
53.17,0,5.75,0.01,0.42,2.62,0,0,61.96,98.936125,0,9.8,0,1.9,0,26.87,0,198.69,0,24.14,4.72,0.22,43910.23,120193.22,351821,314639.4,3.94,0,0,15.54392405,2.082,27.39,0.86,0.14,0.3,0.14,0.29,0,0,1962,316782,17823,0,62,87,14.2,17823.6,86,1618,84.08,70.24,0.110933333,default,nginx
52.57,0,5.77,0.03,0.43,2.62,0,0,61.39,98.031375,0,18,0,3.69,0,15.09,0,210.04,0,57.27,7.12,1.03,43370.45,118809.47,347505.4,311310.2,3.89,0,0,15.35888043,2.081,27.36,0.86,0.14,0.3,0.14,0.29,0,0,3781,312431,17675,0,62,95,10.4,17673.4,96,1617,85.68,70.8,0.106666667,default,nginx
53.41,0,5.77,0.01,0.43,2.62,0,0,62.23,99.366125,0,13.4,0,2.51,0,18.29,0,191.76,0,23.84,4.88,0.31,44075.36,120651.53,353119.8,315595.8,3.95,0,0,15.62935296,2.081,27.38,0.86,0.14,0.3,0.14,0.29,0,0,2581,320606,17467,0,62,96,15.4,17464,96,1617,86.18,71.16,0.104533333,default,nginx
53.56,0,5.75,0.01,0.43,2.65,0,0,62.39,99.622875,0,18.6,0,3.8,0,16.96,0,209.16,0,20.61,6.32,0.36,44167.42,120835.12,354070,315870,3.96,0,0,15.64213931,2.079,27.4,0.86,0.14,0.3,0.14,0.29,0,0,3905,317092,17417,0,63,96,14.6,17418.6,93,1618,87.37,71.65,0.104533333,default,nginx
