CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.82,0,4.93,0,0.85,5.14,0,0,12.74,100,0,0,0,0,0,0,0,0,0,0,0,0,100537.64,153251.74,556489.4,556488.6,12.55,0,0,3.83,0.745067942,4.213292365,16.66536857,1.671023815,1.83987622,1,0.745067942,0,0,39,927519,61997,0,13,20,1.8,62087.4,21,3603,8.01,12.22,0.2109375,default,nginx_http
2.04,0,4.95,0.01,0.88,5.15,0,0,13.02,100,0,0,0,0,0,0,0,0,0,0,0,0,100264.54,152835.9,554977.8,554978.6,12.52,0,0,4.19,0.748930659,4.145605427,16.43055453,1.651178879,1.87443053,1,0.748930659,0,0,155,926291,62883,0,13,17,6.4,62849.4,18,3601,8.89,12.33,0.2109375,default,nginx_http
1.84,0,4.86,0,0.85,5.15,0,0,12.7,100,0,0,0,0,0,0,0,0,0,0,0,0,100070.76,152539.2,553905.2,553901.2,12.5,0,0,3.81,0.740449211,4.241533547,16.77243432,1.674932415,1.819958019,1,0.740449211,0,0,36,925491,61851,0,13,18,0.4,61853.6,17,3604,9.62,12.43,0.21484375,default,nginx_http
1.82,0,4.9,0,0.86,5.13,0,0,12.71,100,0,0,0,0,0,0,0,0,0,0,0,0,100171.43,152693.25,554462.4,554460.6,12.51,0,0,3.85,0.741476607,4.231934265,16.72820653,1.6734275,1.825480611,1,0.741476607,0,0,30,924881,61946,0,13,24,1.6,61934.4,18,3602,10.68,12.56,0.21484375,default,nginx_http
1.83,0,4.88,0,0.87,5.14,0,0,12.72,100,0,0,0,0,0,0,0,0,0,0,0,0,100443.69,153108.1,555969.4,555967,12.54,0,0,3.82,0.742608531,4.223343127,16.69192503,1.677880488,1.831038185,1,0.742608531,0,0,19,924610,61945,0,13,18,0.6,61961,17,3602,11.26,12.65,0.21484375,default,nginx_http
2.17,0,4.91,0.01,0.86,5.14,0,0,13.08,100,0,0,0,0,0,0,0,0,0,0,0,0,100146.06,152655.3,554322,554322.8,12.51,0,0,4.24,0.751666578,4.105162457,16.28878448,1.640532737,1.899350375,1,0.751666578,0,0,66,927505,63387,0,13,18,8.8,63390.2,18,3605,11.64,12.71,0.21484375,default,nginx_http
1.87,0,4.91,0.02,0.85,5.14,0,0,12.77,100,0,0,0,0,0,0,0,0,0,0,0,0,100238.02,152795.86,554831,554833.2,12.52,0,0,3.84,0.738283375,4.236658691,16.74610705,1.675438817,1.834513794,1,0.738283375,0,0,91,926744,63554,0,13,17,3,63547.8,18,3601,11.99,12.76,0.21875,default,nginx_http
1.84,0,4.94,0,0.87,5.14,0,0,12.79,100,0,0,0,0,0,0,0,0,0,0,0,0,100288.86,152872.59,555112.4,555111.8,12.52,0,0,3.84,0.743196904,4.212529966,16.63353038,1.664827416,1.823432752,1,0.743196904,0,0,19,925423,71202,0,13,18,56.6,71199.2,17,3601,12.31,12.82,0.21875,default,nginx_http
1.82,0,4.88,0,0.86,5.14,0,0,12.7,100,0,0,0,0,0,0,0,0,0,0,0,0,100265.41,152837.56,554982.6,554984.6,12.52,0,0,3.85,0.741433265,4.228030377,16.71657869,1.677631495,1.829927078,1,0.741433265,0,0,12,925803,61750,0,13,17,0.8,61728.6,17,3601,12.61,12.87,0.21484375,default,nginx_http
2.15,0,4.94,0,0.86,5.15,0,0,13.1,100,0,0,0,0,0,0,0,0,0,0,0,0,100212.84,152756.43,554691.6,554690,12.51,0,0,4.09,0.752135395,4.095627756,16.25469547,1.640548052,1.898463689,1,0.752135395,0,0,66,926141,62638,0,13,19,9,62630.4,16,3601,13.04,12.95,0.21484375,default,nginx_http
