CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.13,0,9.48,0.01,0.33,1.81,0,0,12.75,100,0,0,0,0,0,0,0,0,0,0,0,0,27322.77,41648.76,151235.2,151235.2,3.41,0,0,2.37,2.011835747,0.603278028,2.041573871,0.325473815,0.332956274,1,2.011835747,0,0,31,302603,20012,0,13,24,3,20038,23,3721,5.24,2.89,0.09765625,default,nginx_http
1.25,0,9.5,0,0.33,1.81,0,0,12.89,100,0,0,0,0,0,0,0,0,0,0,0,0,27254.44,41545.82,150857,150861.4,3.4,0,0,2.44,2.003153484,0.609662486,2.065223345,0.327076129,0.349389402,1,2.003153484,0,0,90,302173,19908,0,13,21,7,19913,23,3715,7.19,3.39,0.1015625,default,nginx_http
1.09,0,9.45,0,0.34,1.81,0,0,12.69,100,0,0,0,0,0,0,0,0,0,0,0,0,27276.05,41577.49,150976.6,150976.4,3.41,0,0,2.32,2.017663773,0.599764237,2.026916869,0.319073369,0.310685688,1,2.017663773,0,0,20,303418,19651,0,13,17,0.2,19641.4,21,3717,7.89,3.6,0.1015625,default,nginx_http
1.05,0,9.47,0,0.33,1.82,0,0,12.67,100,0,0,0,0,0,0,0,0,0,0,0,0,27347.99,41686.93,151374.8,151373.8,3.41,0,0,2.32,2.016041965,0.603207546,2.038443099,0.319622558,0.310355851,1,2.016041965,0,0,26,303118,19837,0,13,20,0.6,19913,24,3714,8.54,3.8,0.1015625,default,nginx_http
0.91,0,7.99,0.58,0.29,1.53,0,0,10.72,83.77,0,0,0,0,0,0,0,0,0,0,0,0,22598.18,34483.82,125084,125650.6,2.82,0,0,2.04,2.004532238,0.599336014,2.02612827,0.314805894,0.310210746,1,2.004532238,0,0,123434,258166,18841,0,11,23,2,18626,20,3717,9.3,4.04,0.1015625,default,nginx_http
1.32,0,9.49,0,0.32,1.83,0,0,12.96,100,0,0,0,0,0,0,0,0,0,0,0,0,27239.55,41521.97,150774.6,150774.8,3.4,0,0,2.5,1.997053717,0.612985552,2.078853725,0.330960262,0.366654072,1,1.997053717,0,0,80,302109,20072,0,13,17,6.6,20118.8,21,3721,9.84,4.24,0.1015625,default,nginx_http
1.07,0,9.45,0,0.34,1.82,0,0,12.68,100,0,0,0,0,0,0,0,0,0,0,0,0,27237.35,41518.88,150762.4,150763.6,3.4,0,0,2.32,2.018052944,0.601149566,2.031410067,0.317887374,0.307346664,1,2.018052944,0,0,23,302069,19846,0,13,19,0.4,19846.4,20,3717,10.41,4.45,0.10546875,default,nginx_http
1.06,0,9.45,0.01,0.34,1.84,0,0,12.69,100,0,0,0,0,0,0,0,0,0,0,0,0,27209.49,41475.98,150608.2,150607.8,3.4,0,0,2.33,2.016559364,0.600884432,2.030628664,0.317755764,0.307532568,1,2.016559364,0,0,76,301751,20075,0,13,17,1.8,19858,17,3716,10.86,4.64,0.10546875,default,nginx_http
1.07,0,9.46,0.01,0.32,1.82,0,0,12.67,100,0,0,0,0,0,0,0,0,0,0,0,0,27255.38,41545.71,150862.2,150861,3.4,0,0,2.32,2.016184343,0.604152903,2.04163149,0.31907422,0.309475215,1,2.016184343,0,0,45,302524,19867,0,13,24,0.4,19902.2,17,3719,11.27,4.83,0.1015625,default,nginx_http
1.4,0,9.58,0,0.33,1.84,0,0,13.15,100,0,0,0,0,0,0,0,0,0,0,0,0,27204.11,41467.44,150578.4,150576.8,3.4,0,0,2.58,1.984668405,0.621412553,2.109085547,0.331396974,0.382716943,1,1.984668405,0,0,52,302229,31784,0,13,20,65,31758.8,20,3719,11.73,5.03,0.1015625,default,nginx_http
